chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
1	2	1793	820	1472	92	3.159	2.64	0.9426
1	4	2423	1277	1992	410	4.163	2.949	2.764
1	17	7402	3343	6619	1895	4.499	4.201	3.254
1	19	6286	2679	5388	1293	10.11	4.035	3.009
1	23	2057	994	1856	619	4.426	3.334	3.361
1	35	7590	3121	6558	1520	9.558	3.036	3.099
1	40	2409	1268	2184	795	5.163	2.574	2.274
1	48	2934	1233	2575	696	8.128	2.701	1.166
1	49	2772	1066	2481	435	3.952	3.959	2.347
1	51	2761	1253	2317	609	31.12	3.399	2.12
1	52	7683	3176	6619	1510	16.54	4.851	2.24
1	53	6796	3012	5723	1301	5.496	3.531	1.56
1	58	7990	3188	6819	1568	4.157	5.579	3.823
1	70	5202	2543	4511	1504	4.441	3.308	1.829
1	73	7320	3261	6384	1804	3.361	3.904	2.462
1	75	9247	4012	7752	2597	9.598	4.452	2.179
1	76	4568	1869	3972	1430	5.225	2.839	3.22
1	78	2805	1244	2455	852	2.602	4.079	2.093
1	80	2654	1184	2349	892	3.334	3.991	2.341
1	81	1905	889	1666	605	3	3.088	2.006
1	82	4188	1970	3622	1017	4.199	3.088	1.9
1	83	4847	2368	4259	1632	58.88	4.017	3.541
1	84	7675	3556	6650	2481	448.5	17.38	2.233
1	85	2222	1239	1976	957	10.89	2.653	2.038
1	88	3976	1969	3502	1284	3.104	2.882	2.878
1	89	4271	1959	3798	1333	3.177	3.378	2.792
1	92	5104	2564	4457	1463	3.432	3.155	2.561
1	94	1213	675	1059	356	4.633	3.076	2.279
1	96	4597	2274	4153	1352	8.573	3.001	3.632
1	97	5763	2748	5112	1582	69.63	3.06	3.256
1	100	4621	2143	4064	1655	5.087	3.444	3.617
1	109	6500	2991	5577	1824	3.802	3.424	3.102
1	124	7852	3741	6844	2070	4.226	3.711	2.44
1	125	10115	4466	8668	2412	12.19	4.686	3.388
1	136	5824	2553	5068	1303	5.661	3.432	2.425
1	138	7648	3465	6689	1601	464.8	9.698	3.962
1	139	1747	893	1513	433	5.329	2.983	1.713
1	141	2966	1476	2563	755	2.941	3.111	2.076
1	145	3370	1711	2809	886	4.316	2.512	2.461
1	147	5393	2696	4581	1273	3.258	4.687	2.637
1	150	5702	2630	4926	1707	6.407	3.093	3.604
1	151	7563	3285	6645	2374	4.853	3.527	2.862
1	154	10142	3946	8722	2252	6.436	3.437	1.969
1	158	6406	2620	5387	998	5.282	3.37	3.16
1	162	4873	2107	4256	1177	3.899	3.048	2.234
1	163	3911	1937	3284	1118	4.186	3.578	1.986
1	168	6267	2971	5337	1737	5.121	3.67	2.88
1	169	8051	4058	7103	2863	4.733	5.068	2.457
1	175	8167	3927	7083	2312	4.348	3.908	2.583
1	182	8629	3512	7601	2217	3.851	3.878	2.668
1	183	8259	3699	7176	2280	5.656	3.269	2.681
1	187	5534	2531	4677	1544	4.238	2.842	4.243
1	188	6034	2838	5325	1910	3.535	3.139	4.516
1	189	4304	1966	3739	1084	3.408	3.78	2.454
1	191	5904	2690	5189	1581	6.812	4.416	3.604
1	192	6096	2752	5202	1786	5.591	4.451	2.723
1	201	7461	2900	6278	1847	3.515	3.62	3.249
1	202	5922	2869	5171	1602	8.236	3.098	2.221
1	205	2262	1048	2040	652	3.842	3.968	1.715
1	213	3221	1537	2803	887	4.546	3.02	2.366
1	214	2762	1378	2494	763	4.079	3.872	1.956
1	216	6526	2890	5669	1645	3.649	3.633	4.257
1	221	5563	2474	4849	1780	4.192	3.456	2.854
1	223	6333	3129	5525	1818	3.472	3.032	3.871
1	226	2335	1276	1984	665	4.691	3.195	2.528
1	233	7457	3391	6542	2267	3.398	4.927	2.833
1	234	8672	3921	7505	2672	29.51	3.132	2.504
1	238	11474	4968	9842	3671	9.438	3.808	2.655
1	239	2757	1376	2309	997	3.662	3.41	2.132
1	252	2532	1272	2316	732	68.13	2.439	2.56
1	253	918	580	822	210	8.758	4.021	2.322
1	254	4618	2227	3999	1156	7.424	3.708	1.599
1	255	2794	1251	2519	930	5.399	2.966	2.267
1	280	11414	5124	10099	3098	4.954	6.311	3.945
2	6	3100	1476	2716	900	8.197	2.841	2.058
2	19	885	473	825	300	3.084	3.447	1.561
2	21	1934	950	1674	351	5.042	2.974	2.24
2	27	2501	1184	2245	536	6.237	2.529	2.062
2	34	7090	3502	6265	2092	3.697	3.582	2.441
2	37	2594	1298	2303	714	3.433	3.511	2.153
2	38	5647	2763	4925	1699	4.2	3.894	2.288
2	39	2529	1208	2296	773	2.552	3.345	2.535
2	40	7962	3805	7094	2426	4.478	3.919	3.305
2	41	3625	1710	3250	1053	19.1	4.271	2.771
2	42	332	198	298	0	5.6	4.585	-Inf
2	43	782	394	714	198	9.17	2.301	1.124
2	44	3836	1686	3342	848	303.2	5.601	3.5
2	45	6906	3325	5978	1802	18.53	4.782	2.005
2	46	3008	1560	2604	879	6.301	3.868	1.671
2	47	8530	4003	7471	2130	7.21	4.944	3.381
2	48	5283	2433	4608	1195	4.698	4.157	2.613
2	49	8341	3445	7290	1487	56.32	5.216	2.5
2	50	4700	2194	4163	1393	3.652	4.536	3.839
2	51	5322	2709	4755	1508	4.506	4.11	2.964
2	53	3487	1766	3091	1142	6.338	4.136	3.329
2	69	6357	3007	5620	1992	4.443	3.711	4.992
2	71	4968	2355	4440	1183	127.8	2.753	2.368
2	72	8263	4068	7365	2437	20.35	3.13	2.441
2	74	2763	1444	2491	839	3.558	3.631	1.522
2	75	3335	1976	2977	1174	5.704	3.113	2.639
2	77	3256	1733	2882	973	4.217	4.167	2.556
2	84	16536	8205	14498	5562	5.149	2.973	2.811
2	86	6476	3207	5708	1886	3.722	3.914	2.422
2	87	2311	1205	2015	652	3.564	3.592	2.335
2	88	19849	9816	16740	5422	17.06	3.864	3.488
2	89	4770	2245	4268	1035	4.473	3.412	1.681
2	97	7289	2906	6392	2248	2.967	5.331	3.778
2	99	4184	2022	3744	1085	3.368	3.863	3.293
2	100	5832	2583	5073	994	2.818	4.022	2.722
2	115	9633	4037	8462	2671	3.996	3.725	4.265
2	121	8649	3932	7623	2140	7.359	2.829	3.652
2	122	3920	1828	3357	954	4.488	4.048	2.537
2	124	7100	2897	6304	1728	5.997	3.825	2.36
2	127	12043	5656	10494	3161	3.233	3.287	2.951
2	128	10283	4728	8920	2387	22.07	3.977	3.455
2	130	1132	655	972	276	5.036	3.135	2.489
2	131	290	131	267	87	13.83	3.079	1.275
2	138	8695	4124	7521	2245	4.339	4.007	3.108
2	145	3025	1531	2691	1122	6.017	3.54	2.463
2	146	8188	2937	7338	2762	8.942	3.102	2.846
2	147	13401	5711	11956	4142	6.35	3.22	2.519
2	152	4881	2457	4175	1265	4.302	4.12	1.949
2	162	3151	1314	2765	739	3.563	3.227	1.747
2	163	379	178	346	0	7.061	1.608	-Inf
2	166	13723	6414	11540	3739	3.771	4.922	3.353
2	168	5988	2674	5132	1553	8.774	3.63	2.98
2	172	1765	874	1571	551	23.64	3.817	2.642
2	177	6384	3199	5697	2239	5.104	3.468	2.704
2	181	8326	3917	7110	2219	4.76	4.143	2.524
2	184	11099	4850	9623	3330	5.007	3.653	2.477
2	192	8071	3478	7048	2373	3.396	3.823	2.069
2	198	5364	2362	4605	1150	3.621	4.331	2.457
2	199	8960	4041	7545	2230	15.01	3.599	3.173
2	205	4133	1964	3574	978	3.389	3.167	1.749
2	208	12679	5164	11091	2639	4.429	3.273	2.918
2	212	6489	3197	5673	1817	3.48	2.93	1.24
2	213	14110	6541	12646	3643	8.186	3.552	2.967
2	217	3955	1515	3417	881	4.368	4.386	2.017
2	232	3022	1571	2710	983	6.002	3.817	2.127
2	237	5602	2726	4890	1452	4.385	2.93	2.492
2	240	5106	2608	4368	1469	3.526	3.843	3.183
2	242	4656	2219	4041	1598	8.665	4.769	1.945
2	250	10275	5026	9156	3445	3.439	4.161	2.752
2	256	6481	2597	5481	1597	7.176	3.887	2.17
3	24	7108	3320	6107	2007	14.34	3.573	3.073
3	41	8406	4295	7590	2430	5.231	3.417	2.007
3	43	5220	2472	4631	1621	7.343	3.582	2.077
3	51	2814	1299	2523	907	18.78	3.198	3.044
3	56	5511	2485	4792	1245	4.824	3.276	2.656
3	70	6467	2948	5844	2150	4.64	4.056	2.355
3	71	8523	3642	7615	1877	12.4	4.598	2.24
3	83	9447	4815	8358	3303	3.614	4.163	3.138
3	88	5852	2985	5089	2053	7.347	3.148	2.733
3	89	6609	3069	5797	1652	4.553	3.591	2.674
3	104	14056	5996	12234	4315	4.514	3.805	3.174
3	107	5722	2592	5065	1602	3.303	3.21	2.347
3	109	12936	5518	11353	3425	3.566	3.974	3.199
3	120	6151	2789	5358	1614	9.127	4.071	3.436
3	121	7540	3467	6403	1922	8.962	3.147	3.865
3	122	1608	727	1429	493	4.724	2.961	1.673
3	123	2507	1188	2258	655	3.043	3.033	3.029
3	125	6541	3025	5709	2051	3.765	4.277	2.457
3	127	7837	3298	6931	2388	5.848	3.352	4.637
3	128	3199	1646	2851	703	3.538	4.092	2.529
3	129	3632	1819	3235	1107	2.905	3.26	3.276
3	132	10361	4214	9026	2595	7.575	3.328	2.505
3	135	6139	2636	5546	1926	16.44	3.367	4.234
3	140	8056	3739	6801	1968	6.435	3.775	2.34
3	145	7802	3426	6700	2318	11.39	3.386	3.824
3	148	6788	2962	5962	1815	3.782	3.485	3.025
3	149	5433	2341	4927	1602	3.832	2.82	3.191
3	150	6507	3378	5539	1590	4.516	3.721	2.903
3	154	1539	928	1407	575	3.497	4.097	2.559
3	155	6234	3060	5451	1771	3.716	4.205	2.217
3	158	7676	3501	6737	2350	3.555	3.681	3.05
3	159	6359	2829	5503	1618	4.892	4.007	2.983
3	161	9038	4120	7943	2536	4.022	4.013	2.695
3	165	7122	2967	6166	2273	6.551	3.981	2.83
3	166	14371	6191	12444	4193	5.019	4.172	3.797
3	172	4925	2211	4335	1346	8.616	3.497	3.495
3	173	2881	1416	2587	722	4.449	3.581	1.986
3	175	1968	1096	1755	606	3.356	3.26	2.857
3	186	8557	4056	7418	2333	3.827	3.814	4.103
3	190	4046	1713	3623	1220	4.104	3.402	2.126
3	195	12884	6658	11407	3951	4.235	4.241	3.768
3	214	8719	3905	7491	2108	4.897	3.789	2.91
3	216	4428	2031	3834	913	4.657	2.992	1.417
4	1	20952	9631	18183	4518	18.67	5.051	3.379
4	15	3050	1533	2772	768	7.072	3.109	2.112
4	19	3105	1640	2793	647	5.816	2.531	3.623
4	21	11406	5123	10021	3560	4.823	4.252	2.784
4	28	5853	2771	5101	1887	6.041	3.385	2.13
4	30	3399	1777	3052	1296	3.686	5.421	2.631
4	42	1015	524	894	324	3.713	3.273	1.369
4	43	3496	1710	3026	855	4.944	4.101	2.697
4	55	6135	2595	5412	1870	6.911	3.47	3.181
4	57	1312	656	1167	241	4.258	2.988	2.026
4	64	10750	4843	8992	3072	3.891	5.933	2.264
4	65	4126	1895	3570	1235	4.075	2.366	2.563
4	66	5528	2428	4811	1467	4.425	4.154	3.411
4	71	2611	1295	2357	946	6.061	2.462	1.39
4	79	5387	2385	4772	1499	4.49	4.01	2.006
4	80	8020	3396	6787	2115	17.44	2.836	2.502
4	84	7441	2890	6625	1787	5.568	3.496	2.192
4	85	2473	1240	2127	764	3.569	2.368	3.125
4	86	527	269	464	183	4.838	2.541	3.274
4	87	10401	4477	9146	2908	5.445	3.607	2.966
4	90	7095	2920	6228	1660	4.55	4.333	2.592
4	92	5743	2401	5146	1496	11.87	3.821	1.909
4	101	8625	3603	7532	2081	8.273	4.917	2.725
4	113	8226	3912	7040	1919	9.123	4.156	2.543
4	115	3418	1507	2991	991	8.852	3.49	1.808
4	116	6543	2686	5697	1376	6.149	3.105	2.261
4	117	7532	3442	6420	1906	4.776	3.334	3.099
4	121	6054	2434	5308	1720	6.498	2.966	2.668
4	122	2284	1057	2045	808	3.452	3.717	2.162
4	129	8423	3449	7572	2162	5.598	3.899	2.716
4	130	7644	3105	6734	2345	3.603	4.556	3.585
4	134	11597	5256	10283	3520	4.204	4.241	2.855
4	136	10857	4773	9190	3061	4.92	5.248	3.774
4	148	4770	1997	4312	1308	3.736	3.253	2.655
4	156	10587	4562	9122	2937	5.205	4.353	3.768
4	159	2788	1296	2533	786	6.856	6.009	2.22
4	161	2736	1241	2367	617	10.09	2.826	1.534
4	162	4775	2258	4199	1466	4.882	3.549	2.564
4	203	3314	1735	2966	957	3.578	3.379	2.089
5	6	2263	1206	2028	891	3.599	3.194	2.233
5	17	4368	1947	3936	1094	2.769	3.809	2.959
5	55	1531	738	1422	568	7.813	3.175	1.965
5	64	8138	3938	6972	2475	6.154	3.982	3.726
5	69	2714	1349	2397	878	8.251	4.385	2.667
5	71	8910	4171	7801	2858	4.257	3.693	2.86
5	81	5096	2409	4440	1428	10.99	2.9	2.007
5	82	3457	1584	3086	984	3.313	3.867	3.615
5	84	981	488	871	365	7.183	2.835	2.804
5	85	7460	3363	6561	2509	197.1	4.726	4.676
5	86	91	62	83	49	2.395	2.007	1.534
5	109	3744	1724	3336	1119	3.093	3.674	2.268
5	127	12642	5539	11072	3410	6.949	3.439	3.647
5	130	8900	4176	7783	2715	21.27	3.086	2.786
5	134	4678	2227	4128	1643	3.823	4.03	2.472
5	144	6559	3203	5662	1895	4.743	3.488	3.397
5	146	8948	4116	7648	2111	5.838	3.868	3.089
5	147	3429	1742	3097	1161	5.93	3.303	3.217
5	148	107	90	94	0	3.011	1.261	-Inf
5	156	5210	2116	4575	1637	6.964	3.964	2.853
5	157	3052	1506	2662	886	3.928	3.995	2.264
5	158	4483	1971	3934	1314	3.873	3.329	2.2
5	165	3619	1906	3077	1169	4.024	3.308	2.129
5	166	6900	3313	6099	1936	58.83	4.81	2.456
5	167	5592	2440	4973	1341	4.227	4.249	2.458
5	202	4472	1867	3745	532	4.806	4.592	2.42
5	207	5715	2599	4845	1479	5.437	2.941	3.613
6	19	5261	2620	4685	1694	5.891	3.075	3.48
6	20	3471	1676	3079	1133	3.973	5.65	2.578
6	25	5233	2473	4625	1212	5.063	3.097	2.445
6	27	3287	1544	2939	1102	7.978	4.461	2.639
6	34	6169	3003	5438	1774	4.831	3.597	5.912
6	35	2257	1186	1961	544	28.62	3.178	1.898
6	39	9662	4567	8602	2821	4.306	3.763	2.34
6	43	6128	2936	5409	1695	4.793	3.199	3.39
6	44	1100	536	995	340	5.216	3.335	1.174
6	47	7681	3743	6811	2362	4.27	3.569	2.663
6	51	12492	5691	10938	3639	17.52	3.664	2.901
6	53	3738	1638	3305	991	10.12	3.113	2.561
6	56	3603	1767	3174	952	7.264	3.953	2.89
6	58	6118	3103	5359	1658	2.827	3.855	3.072
6	63	6090	2662	5242	1505	8.005	6.33	2.459
6	64	639	291	584	126	3.216	3.125	1.238
6	65	1667	856	1517	506	4.214	2.675	2.907
6	71	23573	9843	20696	5462	3.675	4.052	3.114
6	72	2350	1150	2114	781	5.323	4.803	2.595
6	73	912	445	809	297	4.083	3.019	2.02
6	75	869	422	756	310	6.663	4.574	1.644
6	76	11614	4912	10261	3657	5.403	3.27	2.339
6	87	10229	4174	8807	2759	3.547	4.379	2.31
6	88	18856	8297	15999	5059	5.404	3.059	3.333
6	100	92	66	74	37	8.527	2.719	0.9202
6	101	6445	3046	5427	2058	5.889	3.696	4.947
6	105	5694	2840	5063	1901	5.497	3.028	2.51
6	106	4848	2234	4217	1726	3.877	3.829	3.87
6	109	5459	2379	4835	1662	6.379	4.116	2.056
6	115	14201	6242	12197	3781	15.79	3.414	2.227
6	117	11924	5305	10303	4080	3.663	4.283	2.474
6	124	9551	4273	8229	1893	12.5	3.38	2.345
6	127	4581	2166	4140	1192	10.09	3.685	2.811
6	128	6604	2946	5865	1930	4.516	3.644	2.376
6	134	4606	2033	4084	1270	9.53	4.485	4.733
6	136	2899	1154	2567	888	4.6	3.098	3.15
6	140	3907	1868	3506	1330	4.367	3.659	2.287
