chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
1	1	1558	487	1401	81	4.143	4.043	1.967
1	2	1781	817	1463	130	3.234	3.479	0.9897
1	4	2434	1278	1983	446	2.698	2.762	3.323
1	17	7456	3414	6673	1843	4.427	3.655	2.529
1	19	6365	2752	5446	1424	12.18	3.31	2.236
1	35	7642	3204	6606	1476	9.364	3.264	3.154
1	40	2451	1313	2215	721	5.368	3.086	2.533
1	48	2962	1269	2605	664	14.76	3.155	1.284
1	49	2814	1109	2515	514	4.43	4.833	2.108
1	51	2775	1273	2339	582	34.1	3.63	2.51
1	52	7761	3254	6681	1614	7.496	5.262	1.671
1	53	6819	3076	5745	1238	4.763	3.334	1.876
1	58	8070	3265	6876	1604	5.166	4.674	3.409
1	67	5205	2527	4462	1285	5.456	4.475	2.427
1	70	5239	2602	4545	1434	9.064	3.198	2.02
1	73	7405	3361	6461	1710	3.343	3.626	2.401
1	74	7092	3114	6203	1519	4.178	2.744	3.289
1	75	9345	4126	7814	2502	8.103	3.938	2.105
1	76	4619	1936	4022	1364	6.654	3.077	3.428
1	80	2693	1234	2388	855	3.046	4.393	2.602
1	81	1932	920	1684	557	3.533	2.848	1.895
1	82	4220	2023	3661	967	4.642	3.696	2.293
1	83	4906	2438	4307	1594	51.23	4.074	3.156
1	84	7777	3672	6738	2380	391.4	11.49	3.073
1	85	2269	1292	2030	799	8.236	3.03	2.196
1	89	4347	2038	3876	1230	3.901	3.86	2.866
1	92	5210	2655	4539	1453	3.999	2.904	2.217
1	94	1219	684	1062	306	4.314	3.503	2.745
1	95	1120	459	1028	317	4.491	2.588	2.714
1	96	4617	2312	4172	1287	7.901	3.392	4.419
1	97	5843	2843	5194	1460	138.7	3.055	3.773
1	100	4720	2251	4171	1545	8.192	4.082	3.282
1	109	6579	3087	5653	1716	3.42	3.76	3.251
1	124	7961	3866	6943	2075	6.456	3.264	2.535
1	125	10210	4583	8752	2314	13.27	4.85	4.1
1	127	4278	2212	3748	1265	3.769	2.973	2.379
1	136	5887	2633	5116	1306	4.137	3.937	2.074
1	138	7716	3564	6746	1529	337.6	8.201	3.27
1	139	1756	911	1521	354	5.489	3.093	1.502
1	140	2437	1281	2156	699	4	2.886	1.548
1	141	3012	1533	2605	765	2.636	2.919	2.61
1	144	4259	1795	3689	759	5.173	3.57	2.421
1	145	3428	1771	2854	857	5.051	2.932	2.475
1	150	5766	2708	4985	1536	6.105	3.225	4.018
1	151	7703	3424	6771	2238	4.498	3.771	2.688
1	153	5837	2557	5273	1674	4.308	4.171	2.754
1	154	10276	4061	8827	2213	7.08	3.386	2.234
1	156	5573	2524	4660	1278	6.112	2.947	2.232
1	158	6421	2671	5394	942	5.62	2.782	2.746
1	162	4936	2204	4315	1113	4.168	3.772	2.418
1	168	6300	3038	5378	1564	6.619	3.456	2.841
1	169	8206	4240	7264	2617	4.717	4.636	2.319
1	175	8284	4071	7195	2085	5.391	3.818	3.101
1	182	8745	3641	7706	2046	5.02	4.067	2.822
1	183	8358	3828	7267	2136	4.881	3.012	2.963
1	185	2729	1213	2393	579	4.139	2.56	1.518
1	187	5598	2613	4746	1445	5.423	2.927	3.004
1	188	6148	2952	5430	1835	3.314	2.862	3.76
1	192	6158	2847	5275	1664	8.299	4.076	3.589
1	201	7464	2970	6319	1726	4.381	3.8	3.703
1	202	5978	2943	5225	1526	8.735	3.091	2.386
1	205	2293	1086	2069	630	3.244	4.416	1.855
1	209	1496	808	1295	498	3.567	2.967	2.015
1	213	3255	1586	2836	865	4.264	2.806	2.033
1	221	5624	2542	4896	1649	4.848	3.094	2.744
1	223	6414	3229	5603	1710	4.017	3.548	4.047
1	224	3780	1809	3371	1119	2.802	3.242	1.951
1	226	2362	1309	2006	665	3.818	2.497	2.498
1	229	5137	2698	4337	1438	6.726	3.357	3.108
1	233	7566	3515	6644	2143	4.041	3.65	2.141
1	234	8786	4055	7611	2539	40.97	3.565	2.681
1	235	6070	2651	5308	1542	4.469	3.259	3.821
1	238	11648	5158	9991	3472	10.74	4.161	2.225
1	239	2805	1426	2352	979	3.262	3.819	2.085
1	240	11934	5361	10317	3791	4.65	5.067	2.513
1	252	2550	1301	2341	662	79.81	2.739	2.629
1	253	924	596	834	176	9.584	3.453	2.359
1	254	4644	2267	4020	1130	10.12	3.834	2.414
1	255	2804	1274	2547	808	6.458	2.747	2.801
1	257	2915	1482	2617	1008	4.231	2.911	2.256
1	280	11466	5237	10183	2869	4.637	6.27	3.885
1	281	8191	3201	7475	1751	5.096	4.035	2.595
