chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
1	3	1089	519	820	156	5.266	2.544	2.077
1	4	2418	1272	1984	407	6.257	3.226	2.581
1	5	4183	1955	3594	488	5.214	5.578	2.105
1	15	5915	2722	5216	1437	6.91	3.91	2.7
1	17	7392	3336	6602	1882	3.342	3.028	2.961
1	18	2807	1456	2496	790	6.179	3.481	2.833
1	19	6289	2682	5384	1298	7.428	3.334	4.058
1	21	4107	1723	3660	1080	7.093	3.072	2.025
1	23	2054	991	1852	620	4.285	5.122	2.468
1	32	1608	882	1442	511	4.449	3.402	3.367
1	35	7576	3113	6543	1512	5.776	4.051	3.214
1	43	1561	877	1376	471	4.75	4.708	2.253
1	48	2933	1230	2576	691	9.623	2.872	1.751
1	50	4052	1846	3554	951	4.668	2.547	2.328
1	51	2748	1248	2313	611	3.62	2.893	2.708
1	52	7662	3167	6601	1510	42.82	4.227	2.497
1	53	6782	3002	5709	1289	8.6	3.197	2.418
1	58	7977	3184	6810	1575	4.669	3.098	2.35
1	63	6016	2067	5211	1610	3.686	3.778	2.54
1	67	5112	2444	4388	1234	5.061	5.097	2.084
1	70	5204	2539	4508	1507	25.43	4.121	2.251
1	71	5451	2477	4682	1654	8.61	3.878	2.855
1	83	4832	2364	4244	1626	13.56	3.304	3.255
1	85	2221	1241	1974	958	4.416	2.471	1.749
1	94	1205	672	1055	353	9.944	2.288	1.648
1	96	4588	2269	4148	1350	8.443	3.594	2.016
1	97	5735	2732	5089	1570	312.8	5.312	2.876
1	100	4607	2126	4054	1650	5.388	3.482	2.378
1	101	4765	2171	4245	1289	4.941	2.958	4.071
1	105	13314	5775	11487	3215	7.157	4.507	3.409
1	124	7846	3743	6840	2078	7.526	3.487	3.218
1	125	10100	4461	8663	2416	12.92	4.115	2.408
1	127	4191	2121	3674	1325	3.304	2.875	1.887
1	129	2770	1453	2213	581	15.78	3.467	2.414
1	132	5181	2551	4547	1723	5.257	4.129	2.615
1	135	8676	3713	7509	2230	4.26	5.929	1.839
1	138	7623	3451	6665	1597	6.21	4.103	3.177
1	139	1748	893	1514	430	8.055	2.684	1.661
1	143	4556	2200	4016	1210	6.674	3.233	2.123
1	144	4212	1745	3661	749	5.931	3.273	2.1
1	150	5686	2617	4916	1696	9.161	3.006	2.809
1	154	10097	3923	8691	2237	15.61	3.53	3.574
1	155	3960	1519	3504	1128	5.097	3.044	2.164
1	156	5534	2449	4612	1411	20.76	4.228	3.462
1	158	6392	2612	5374	993	7.347	3.384	2.102
1	168	6258	2959	5333	1730	4.122	5.089	2.447
1	182	8632	3510	7605	2209	10.26	5.92	2.454
1	183	8248	3675	7164	2279	4.588	3.676	2.478
1	184	1838	831	1603	525	3.455	2.157	1.995
1	187	5505	2517	4655	1542	10.66	3.418	2.255
1	192	6103	2751	5207	1790	5.562	3.584	3.26
1	193	7035	3137	6039	1989	6.859	4.896	2.495
1	201	7442	2902	6258	1846	5.336	3.462	2.154
1	202	5908	2859	5163	1600	5.411	3.218	2.664
1	203	4869	2204	4393	1530	6.617	3.269	2.04
1	207	3551	1679	3090	972	5.64	3.377	4.781
1	208	4365	1974	3716	1263	7.86	3.112	2.41
1	209	1461	779	1258	541	7.54	2.774	2.952
1	211	3166	1395	2773	771	8.232	3.246	3.361
1	212	4348	1950	3850	1163	4.565	3.284	2.811
1	213	3200	1526	2785	881	10.37	3.191	3.015
1	214	2744	1369	2484	756	3.667	4.174	1.634
1	217	2388	1339	2056	737	2.855	2.515	2.227
1	219	4734	2355	4148	1622	5.404	4.199	2.013
1	221	5548	2474	4835	1783	6.829	3.463	2.574
1	226	2327	1266	1978	672	8.183	3.213	2.899
1	228	3121	1385	2787	894	5.637	3.64	1.651
1	233	7437	3388	6521	2269	18.11	3.152	3.243
1	234	8644	3910	7476	2668	13.8	4.398	3.478
1	235	5981	2570	5239	1504	4.889	3.179	2.756
1	238	11476	4970	9835	3673	4.322	3.256	2.407
1	239	2751	1373	2306	994	4.263	4.375	2.038
1	240	11719	5176	10161	3916	12.19	4.063	3.449
1	242	2813	1335	2439	606	10.39	3.7	2.597
1	243	3102	1579	2762	927	138.1	3.863	2.071
1	244	6771	3302	5951	2078	11.98	3.621	3.692
1	248	3553	1887	3070	1132	6.314	3.161	2.951
1	252	2532	1273	2317	730	6.088	2.735	4.372
1	254	4612	2227	3997	1159	4.217	3.004	2.263
1	255	2778	1245	2516	920	3.449	2.531	3.163
1	257	2892	1437	2584	1136	4.258	3.116	1.896
1	264	3227	1577	2785	894	5.57	3.507	1.691
1	274	7434	3337	6482	1896	6.297	3.75	3.005
1	277	1556	772	1390	352	3.85	3.536	1.338
1	280	11401	5116	10100	3083	5.393	3.744	2.448
2	1	1547	662	1410	541	6.272	1.781	2.307
2	2	9981	4187	8995	3005	3.71	3.247	2.294
2	6	3096	1473	2716	901	14.72	2.936	2.1
2	7	2120	988	1923	670	2.404	3.048	1.662
2	21	1933	954	1680	349	5.292	2.531	1.799
2	34	7084	3500	6254	2097	5.389	2.797	2.797
2	41	3630	1711	3253	1052	23.43	3.747	2.082
2	43	779	395	711	198	5.244	2.771	1.234
2	44	3827	1682	3326	842	148.4	5.471	2.522
2	45	6888	3319	5959	1785	11.22	5.408	2.416
