pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	AFR	1	1	1401	288.681854724884	0	0	0	0
HDL	META	AFR	1	2	1463	352.261185646057	0	0	0	0
HDL	META	AFR	1	3	827	159.445283174515	0	0	0	0
HDL	META	AFR	1	5	3605	567.72606921196	0	0	0	0
HDL	META	AFR	1	15	5267	1858.31360888481	0	0	0	0
HDL	META	AFR	1	17	6661	1874.35887598991	0	0	0	0
HDL	META	AFR	1	18	2519	374.684692382812	0	0	0	0
HDL	META	AFR	1	19	5432	1029.04990839958	0	0	0	0
HDL	META	AFR	1	21	3702	1229.19057965279	0	0	0	0
HDL	META	AFR	1	23	1888	436.68288731575	0	0	0	0
HDL	META	AFR	1	24	1883	430.664508581161	0	0	0	0
HDL	META	AFR	1	35	6594	2499.12822008133	0	0	0	0
HDL	META	AFR	1	40	2211	397.862527132034	0	0	0	0
HDL	META	AFR	1	43	1399	24.8300106525421	0	1	0	0
HDL	META	AFR	1	44	1277	287.402861833572	0	0	0	0
HDL	META	AFR	1	46	4373	694.59147644043	0	0	0	0
HDL	META	AFR	1	48	2597	506.590995073318	0	0	0	0
HDL	META	AFR	1	49	2499	731.89000415802	0	0	0	0
HDL	META	AFR	1	50	3596	1165.6526722908	0	0	0	0
HDL	META	AFR	1	51	2354	693.914953947067	0	0	0	0
HDL	META	AFR	1	52	6665	2248.89103960991	0	0	0	0
HDL	META	AFR	1	53	5740	1877.00457024574	0	0	0	0
HDL	META	AFR	1	57	3923	843.181932210922	0	0	0	0
HDL	META	AFR	1	63	5261	1827.39734697342	0	0	0	0
HDL	META	AFR	1	70	4570	1493.2386200428	0	0	0	0
HDL	META	AFR	1	71	4715	1385.46456241608	0	0	0	0
HDL	META	AFR	1	73	6447	2295.69113063812	0	0	0	0
HDL	META	AFR	1	74	6189	997.26784825325	0	0	0	0
HDL	META	AFR	1	75	7792	2637.75328350067	0	0	0	0
HDL	META	AFR	1	76	4017	1384.45005512238	0	0	0	0
HDL	META	AFR	1	80	2382	574.226418495178	0	0	0	0
HDL	META	AFR	1	85	2008	308.512587785721	0	0	0	0
HDL	META	AFR	1	87	2528	341.916184186935	0	0	0	0
HDL	META	AFR	1	90	517	79.4076466560364	0	0	0	0
HDL	META	AFR	1	92	4539	1565.72135305405	0	0	0	0
HDL	META	AFR	1	94	1062	202.305317640305	0	0	0	0
HDL	META	AFR	1	96	4165	1345.07649636269	0	0	0	0
HDL	META	AFR	1	97	5170	894.841300725937	0	1	1	16
HDL	META	AFR	1	98	4661	1532.08079957962	0	0	0	0
HDL	META	AFR	1	100	4166	791.042713880539	0	0	0	0
HDL	META	AFR	1	102	3984	1723.28327798843	0	0	0	0
HDL	META	AFR	1	105	11654	3038.81139230728	0	0	0	0
HDL	META	AFR	1	110	2039	556.426448345184	0	0	0	0
HDL	META	AFR	1	113	3295	1100.12155652046	0	0	0	0
HDL	META	AFR	1	117	2520	736.943734407425	0	0	0	0
HDL	META	AFR	1	122	8187	1295.69894957542	0	0	0	0
HDL	META	AFR	1	124	6941	1088.04451107979	0	0	0	0
HDL	META	AFR	1	125	8753	2623.83309388161	0	0	0	0
HDL	META	AFR	1	128	7018	2508.98336744308	0	0	0	0
HDL	META	AFR	1	129	2240	530.111814260483	0	0	0	0
HDL	META	AFR	1	132	4627	1468.36956739426	0	0	0	0
HDL	META	AFR	1	136	5109	1946.2724802494	0	0	0	0
HDL	META	AFR	1	138	6730	1095.5567984581	0	1	0	0
HDL	META	AFR	1	139	1528	369.949501752853	0	0	0	0
HDL	META	AFR	1	143	4059	1378.1109149456	0	0	0	0
HDL	META	AFR	1	153	5251	1532.95709514618	0	0	0	0
HDL	META	AFR	1	154	8796	2363.1215004921	0	0	0	0
HDL	META	AFR	1	156	4659	1892.17921853065	0	0	0	0
HDL	META	AFR	1	158	5382	1736.80599474907	0	0	0	0
HDL	META	AFR	1	159	1169	198.891964197159	0	0	0	0
HDL	META	AFR	1	160	4017	1586.53067111969	0	0	0	0
HDL	META	AFR	1	168	5355	1470.04871439934	0	0	0	0
HDL	META	AFR	1	173	3876	1222.54601669312	0	0	0	0
HDL	META	AFR	1	181	7175	1723.1613202095	0	0	0	0
HDL	META	AFR	1	182	7710	2363.14451313019	0	0	0	0
HDL	META	AFR	1	183	7261	1878.70735287666	0	0	0	0
HDL	META	AFR	1	187	4726	1350.21386051178	0	0	0	0
HDL	META	AFR	1	189	3758	988.699922323227	0	0	0	0
HDL	META	AFR	1	191	5232	1659.74609971046	0	0	0	0
HDL	META	AFR	1	192	5272	1594.15973234177	0	0	0	0
HDL	META	AFR	1	193	6096	2151.9900624752	0	0	0	0
HDL	META	AFR	1	201	6303	1845.48568868637	0	0	0	0
HDL	META	AFR	1	202	5235	723.249764442444	0	0	0	0
HDL	META	AFR	1	203	4459	1559.20615005493	0	0	0	0
HDL	META	AFR	1	204	4317	1534.64673089981	0	0	0	0
HDL	META	AFR	1	207	3140	976.030778884888	0	0	0	0
HDL	META	AFR	1	208	3772	1068.85929822922	0	0	0	0
HDL	META	AFR	1	209	1297	279.271588087082	0	0	0	0
HDL	META	AFR	1	211	2811	726.657976865768	0	0	0	0
HDL	META	AFR	1	213	2831	818.64678311348	0	0	0	0
HDL	META	AFR	1	214	2519	425.64549946785	0	0	0	0
HDL	META	AFR	1	215	1305	307.80156826973	0	0	0	0
HDL	META	AFR	1	216	5721	2204.35857915878	0	0	0	0
HDL	META	AFR	1	218	1028	174.740320444107	0	0	0	0
HDL	META	AFR	1	221	4891	1684.10870146751	0	0	0	0
HDL	META	AFR	1	224	3377	1019.37696480751	0	0	0	0
HDL	META	AFR	1	228	2827	938.091794967651	0	0	0	0
HDL	META	AFR	1	233	6622	1858.75669622421	0	0	0	0
HDL	META	AFR	1	234	7584	1241.93328332901	0	0	0	0
HDL	META	AFR	1	235	5297	1467.90312385559	0	0	0	0
HDL	META	AFR	1	238	9961	2420.18111205101	0	0	0	0
HDL	META	AFR	1	239	2353	409.602047204971	0	0	0	0
HDL	META	AFR	1	240	10273	4057.02911448479	0	0	0	0
HDL	META	AFR	1	242	2480	90.553777217865	0	0	0	0
HDL	META	AFR	1	243	2815	151.513676404953	0	0	1	10
HDL	META	AFR	1	244	6077	873.938593149185	0	0	0	0
HDL	META	AFR	1	252	2334	616.825871229172	0	0	0	0
HDL	META	AFR	1	253	830	161.503061532974	0	0	0	0
HDL	META	AFR	1	254	4018	1432.02003979683	0	0	0	0
HDL	META	AFR	1	255	2540	137.40375995636	0	1	0	0
HDL	META	AFR	1	257	2617	798.288626670837	0	0	0	0
HDL	META	AFR	1	264	2815	263.131638050079	0	0	0	0
HDL	META	AFR	1	275	1006	77.8501183986664	0	0	0	0
HDL	META	AFR	2	1	1424	352.513220310211	0	0	0	0
HDL	META	AFR	2	2	9065	2390.9963657856	0	0	0	0
HDL	META	AFR	2	3	3280	532.786371469498	0	0	0	0
HDL	META	AFR	2	4	2656	715.809911727905	0	0	0	0
HDL	META	AFR	2	6	2729	824.066695451736	0	0	0	0
HDL	META	AFR	2	13	6214	725.716760396957	0	0	0	0
HDL	META	AFR	2	28	1234	198.260499477386	0	0	0	0
HDL	META	AFR	2	40	7181	1760.8936548233	0	0	0	0
HDL	META	AFR	2	41	3284	386.669807910919	0	0	1	2
HDL	META	AFR	2	44	3354	157.924920082092	0	1	1	3
HDL	META	AFR	2	45	5997	782.784597873688	0	0	0	0
HDL	META	AFR	2	46	2649	815.241297960281	0	0	0	0
HDL	META	AFR	2	47	7547	2051.32600951195	0	0	0	0
HDL	META	AFR	2	48	4607	1551.11832690239	0	0	0	0
HDL	META	AFR	2	49	7319	1550.09179449081	0	0	0	0
HDL	META	AFR	2	50	4208	1430.19779634476	0	0	0	0
HDL	META	AFR	2	51	4786	1350.78265404701	0	0	0	0
HDL	META	AFR	2	53	3137	599.334717512131	0	0	0	0
HDL	META	AFR	2	55	11051	2789.06449699402	0	0	0	0
HDL	META	AFR	2	60	4307	1596.20029067993	0	0	0	0
HDL	META	AFR	2	62	2508	692.301604270935	0	0	0	0
HDL	META	AFR	2	63	4478	703.179875135422	0	0	0	0
HDL	META	AFR	2	66	10542	1416.61273503304	0	0	0	0
HDL	META	AFR	2	67	9577	1827.37994837761	0	0	0	0
HDL	META	AFR	2	68	1655	379.947998285294	0	0	0	0
HDL	META	AFR	2	69	5641	1614.20820260048	0	0	0	0
HDL	META	AFR	2	79	6471	1882.32711434364	0	0	0	0
HDL	META	AFR	2	80	10936	1784.86368370056	0	0	0	0
HDL	META	AFR	2	84	14552	3176.70580339432	0	0	0	0
HDL	META	AFR	2	85	13936	2000.59588217735	0	0	0	0
HDL	META	AFR	2	86	5711	797.800820827484	0	0	0	0
HDL	META	AFR	2	87	2034	473.190771102905	0	0	0	0
HDL	META	AFR	2	88	16811	4573.9611017704	0	0	0	0
HDL	META	AFR	2	89	4311	1257.93734765053	0	0	0	0
HDL	META	AFR	2	90	3602	1034.85982084274	0	0	0	0
HDL	META	AFR	2	97	6439	1752.31816315651	0	0	0	0
HDL	META	AFR	2	99	3759	950.658747911453	0	0	0	0
HDL	META	AFR	2	100	5063	2069.86598420143	0	0	0	0
HDL	META	AFR	2	115	8552	2190.07485580444	0	0	0	0
HDL	META	AFR	2	117	4548	1853.88604235649	0	0	0	0
HDL	META	AFR	2	122	3364	692.733240842819	0	0	0	0
HDL	META	AFR	2	124	6376	215.563601016998	0	1	0	0
HDL	META	AFR	2	125	5236	1995.87009978294	0	0	0	0
HDL	META	AFR	2	128	9003	2151.26885652542	0	0	0	0
HDL	META	AFR	2	130	988	192.397401809692	0	0	0	0
HDL	META	AFR	2	131	270	28.4925117492676	0	0	0	0
HDL	META	AFR	2	132	996	193.899519205093	0	0	0	0
HDL	META	AFR	2	138	7593	912.105103254318	0	0	0	0
HDL	META	AFR	2	146	7454	826.061932086945	0	0	0	0
HDL	META	AFR	2	147	12131	3538.07980442047	0	0	0	0
HDL	META	AFR	2	151	4912	1638.77370429039	0	0	0	0
HDL	META	AFR	2	153	7084	1735.96685695648	0	0	0	0
HDL	META	AFR	2	154	3472	996.021092891693	0	0	0	0
HDL	META	AFR	2	159	10318	2576.39600682259	0	0	0	0
HDL	META	AFR	2	163	351	36.944516658783	0	0	0	0
HDL	META	AFR	2	164	1476	299.067759513855	0	0	0	0
HDL	META	AFR	2	166	11661	1442.40127778053	0	0	0	0
HDL	META	AFR	2	168	5161	248.250865936279	0	0	1	5
HDL	META	AFR	2	171	7566	1259.26509165764	0	0	0	0
HDL	META	AFR	2	175	218	22.1957910060883	0	0	0	0
HDL	META	AFR	2	176	7131	2195.49186325073	0	0	0	0
HDL	META	AFR	2	177	5757	964.602330446243	0	0	0	0
HDL	META	AFR	2	180	4669	1656.90458893776	0	0	0	0
HDL	META	AFR	2	181	7140	2358.97290229797	0	0	0	0
HDL	META	AFR	2	183	3080	993.269638776779	0	0	0	0
HDL	META	AFR	2	184	9686	1724.3446624279	0	0	0	0
HDL	META	AFR	2	185	2447	613.802642345428	0	0	0	0
HDL	META	AFR	2	186	7050	2085.18165850639	0	0	0	0
HDL	META	AFR	2	191	1885	530.710392475128	0	0	0	0
HDL	META	AFR	2	195	13282	3505.09430599213	0	0	0	0
HDL	META	AFR	2	197	6266	1116.92007613182	0	0	0	0
HDL	META	AFR	2	199	7599	2132.56182479858	0	0	0	0
HDL	META	AFR	2	202	1028	182.579159736633	0	0	0	0
HDL	META	AFR	2	205	3621	976.135503292084	0	0	0	0
HDL	META	AFR	2	208	11186	2304.07944393158	0	0	0	0
HDL	META	AFR	2	209	1710	259.207087278366	0	0	0	0
HDL	META	AFR	2	210	3898	964.762063741684	0	0	0	0
HDL	META	AFR	2	213	12763	3526.74669933319	0	0	0	0
HDL	META	AFR	2	215	4147	1410.52783608437	0	0	0	0
HDL	META	AFR	2	217	3457	1342.80548501015	0	0	0	0
HDL	META	AFR	2	218	2665	337.24963688850403	0	0	0	0
