pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	EAS	1	1	79	7.05519413948059	0	0	0	0
HDL	META	EAS	1	2	125	13.2700073719025	0	0	0	0
HDL	META	EAS	1	3	185	22.8613169193268	0	0	0	0
HDL	META	EAS	1	5	706	147.084209442139	0	0	0	0
HDL	META	EAS	1	15	1491	314.793520212173	0	0	0	0
HDL	META	EAS	1	17	1897	585.628168106079	0	0	0	0
HDL	META	EAS	1	18	764	73.5142688751221	0	0	0	0
HDL	META	EAS	1	19	1408	359.11333656311	0	0	0	0
HDL	META	EAS	1	21	1162	227.677000045776	0	0	0	0
HDL	META	EAS	1	23	687	105.420257091522	0	0	0	0
HDL	META	EAS	1	24	410	64.7256059646606	0	0	0	0
HDL	META	EAS	1	35	1503	325.541176795959	0	0	0	0
HDL	META	EAS	1	40	763	143.128828048706	0	0	0	0
HDL	META	EAS	1	43	434	49.7475774288177	0	0	0	0
HDL	META	EAS	1	44	461	53.5401537418365	0	0	0	0
HDL	META	EAS	1	46	1305	272.007125854492	0	0	0	0
HDL	META	EAS	1	48	670	67.3459634780884	0	0	0	0
HDL	META	EAS	1	49	467	70.7506587505341	0	0	0	0
HDL	META	EAS	1	50	975	78.713885307312	0	0	0	0
HDL	META	EAS	1	51	593	119.287971019745	0	0	0	0
HDL	META	EAS	1	52	1588	331.34694814682	0	0	0	0
HDL	META	EAS	1	53	1255	221.687766313553	0	0	0	0
HDL	META	EAS	1	57	1409	327.212194442749	0	0	0	0
HDL	META	EAS	1	63	1603	359.359165430069	0	0	0	0
HDL	META	EAS	1	70	1467	319.949101686478	0	0	1	25
HDL	META	EAS	1	71	1609	278.093821763992	0	0	0	0
HDL	META	EAS	1	73	1742	463.421824932098	0	0	0	0
HDL	META	EAS	1	74	1570	444.046043634415	0	0	0	0
HDL	META	EAS	1	75	2538	718.843314409256	0	0	0	0
HDL	META	EAS	1	76	1397	313.657570123672	0	0	0	0
HDL	META	EAS	1	80	877	184.277939796448	0	0	0	0
HDL	META	EAS	1	85	864	164.676491498947	0	0	0	0
HDL	META	EAS	1	87	736	114.261099815369	0	0	0	0
HDL	META	EAS	1	90	183	21.5711011886597	0	0	0	0
HDL	META	EAS	1	92	1472	103.41056728363	0	0	0	0
HDL	META	EAS	1	94	315	32.2628419399261	0	0	0	0
HDL	META	EAS	1	96	1336	358.4533598423	0	0	0	0
HDL	META	EAS	1	97	1543	432.378489732742	0	0	0	0
HDL	META	EAS	1	98	1352	262.802693128586	0	0	0	0
HDL	META	EAS	1	100	1601	353.847375631332	0	0	0	0
HDL	META	EAS	1	102	1084	260.145061016083	0	0	0	0
HDL	META	EAS	1	105	3186	1178.33570766449	0	0	0	0
HDL	META	EAS	1	110	567	98.3997843265533	0	0	0	0
HDL	META	EAS	1	113	1198	281.162676334381	0	0	0	0
HDL	META	EAS	1	117	957	165.018241643906	0	0	0	0
HDL	META	EAS	1	122	2436	629.389458179474	0	0	0	0
HDL	META	EAS	1	124	2163	614.840312004089	0	0	0	0
HDL	META	EAS	1	125	2333	820.880048513412	0	0	1	51
HDL	META	EAS	1	128	2148	560.150539875031	0	0	0	0
HDL	META	EAS	1	129	528	68.5671308040619	0	0	0	0
HDL	META	EAS	1	132	1620	373.872666358948	0	0	0	0
HDL	META	EAS	1	136	1302	309.399441719055	0	0	0	0
HDL	META	EAS	1	138	1511	89.9233829975128	0	0	0	0
HDL	META	EAS	1	139	404	38.9819869995117	1	1	1	1
HDL	META	EAS	1	143	1088	186.875456571579	0	0	0	0
HDL	META	EAS	1	153	1690	446.539681911469	0	0	0	0
HDL	META	EAS	1	154	2238	719.201019048691	0	0	0	0
HDL	META	EAS	1	156	1318	312.431648492813	0	0	0	0
HDL	META	EAS	1	158	972	195.621007442474	0	0	0	0
HDL	META	EAS	1	159	244	28.7322199344635	0	0	0	0
HDL	META	EAS	1	160	1181	192.755525588989	0	0	0	0
HDL	META	EAS	1	168	1652	371.486423969269	0	0	0	0
HDL	META	EAS	1	173	1318	316.315111160278	0	0	0	0
HDL	META	EAS	1	181	2184	300.409996032715	0	0	0	0
HDL	META	EAS	1	182	2121	698.893137216568	0	0	0	0
HDL	META	EAS	1	183	2195	672.662130355835	0	0	0	0
HDL	META	EAS	1	187	1469	100.153152704239	0	0	1	15
HDL	META	EAS	1	189	1035	152.797908782959	0	0	0	0
HDL	META	EAS	1	191	1476	208.146590709686	0	0	0	0
HDL	META	EAS	1	192	1721	302.147488355637	0	0	0	0
HDL	META	EAS	1	193	1979	476.034246444702	0	0	0	0
HDL	META	EAS	1	201	1770	542.369245529175	0	0	0	0
HDL	META	EAS	1	202	1551	366.31533741951	0	0	0	0
HDL	META	EAS	1	203	1474	369.165733098984	0	0	0	0
HDL	META	EAS	1	204	1393	299.900298833847	0	0	0	0
HDL	META	EAS	1	207	962	150.211444377899	0	0	0	0
HDL	META	EAS	1	208	1320	336.629049777985	0	0	0	0
HDL	META	EAS	1	209	522	84.0718991756439	0	0	0	0
HDL	META	EAS	1	211	769	142.150946378708	0	0	0	0
HDL	META	EAS	1	213	860	135.619272947311	0	0	0	0
HDL	META	EAS	1	214	698	96.0902683734894	0	0	0	0
HDL	META	EAS	1	215	283	19.0710065364838	0	0	0	0
HDL	META	EAS	1	216	1555	378.751843214035	0	0	0	0
HDL	META	EAS	1	218	271	34.9666492938995	0	0	0	0
HDL	META	EAS	1	221	1701	75.1023275852203	0	0	0	0
HDL	META	EAS	1	224	1161	133.850622177124	0	0	0	0
HDL	META	EAS	1	228	842	159.336889505386	0	0	0	0
HDL	META	EAS	1	233	2215	468.621461391449	0	0	0	0
HDL	META	EAS	1	234	2592	245.945630788803	0	1	1	2
HDL	META	EAS	1	235	1543	344.439019203186	0	0	0	0
HDL	META	EAS	1	238	3544	1328.77600836754	0	0	0	0
HDL	META	EAS	1	239	1000	132.009495973587	0	0	0	0
HDL	META	EAS	1	240	3844	1328.76196360588	0	0	0	0
HDL	META	EAS	1	242	578	59.0007643699646	0	0	1	24
HDL	META	EAS	1	243	912	281.317746639252	1	1	2	15
HDL	META	EAS	1	244	2001	579.979855775833	0	0	0	0
HDL	META	EAS	1	252	678	15.6810193061829	0	0	0	0
HDL	META	EAS	1	253	195	21.559063911438	0	0	0	0
HDL	META	EAS	1	254	1131	167.729753255844	0	0	0	0
HDL	META	EAS	1	255	857	153.550348043442	0	0	0	0
HDL	META	EAS	1	257	1056	255.427757501602	0	0	0	0
HDL	META	EAS	1	264	872	128.406658411026	0	0	0	0
HDL	META	EAS	1	275	431	64.241025686264	0	0	0	0
HDL	META	EAS	2	1	500	60.798100233078	0	0	0	0
HDL	META	EAS	2	2	2996	995.150498628616	0	0	0	0
HDL	META	EAS	2	3	947	159.322895288467	0	0	0	0
HDL	META	EAS	2	4	733	53.6260161399841	0	0	0	0
HDL	META	EAS	2	6	961	156.124763011932	0	0	0	0
HDL	META	EAS	2	13	1971	519.276270151138	0	0	0	0
HDL	META	EAS	2	28	322	42.6449840068817	0	0	0	0
HDL	META	EAS	2	40	2287	581.429655075073	0	0	0	0
HDL	META	EAS	2	41	990	209.821716785431	0	0	0	0
HDL	META	EAS	2	44	771	119.007364034653	0	0	2	42
HDL	META	EAS	2	45	1738	422.947432756424	0	0	0	0
HDL	META	EAS	2	46	887	144.010093450546	0	0	0	0
HDL	META	EAS	2	47	2226	589.510836839676	0	0	0	0
HDL	META	EAS	2	48	1204	291.773764610291	0	0	0	0
