pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	EUR	1	1	475	39.8984599113464	0	0	2	39
HDL	META	EUR	1	2	805	165.828685045242	0	0	1	36
HDL	META	EUR	1	3	507	91.4259562492371	0	0	1	55
HDL	META	EUR	1	5	1967	235.081125259399	0	0	1	7
HDL	META	EUR	1	15	2777	460.805084466934	0	0	0	0
HDL	META	EUR	1	17	3413	98.4793546199799	0	0	0	0
HDL	META	EUR	1	18	1470	130.228428602219	0	1	0	0
HDL	META	EUR	1	19	2744	540.192255020142	0	0	1	17
HDL	META	EUR	1	21	1765	336.472733259201	0	1	1	53
HDL	META	EUR	1	23	1028	133.734891891479	0	0	1	62
HDL	META	EUR	1	24	1164	37.819611787796	0	0	1	4
HDL	META	EUR	1	35	3193	367.025616168976	0	0	0	0
HDL	META	EUR	1	40	1290	67.9242868423462	0	0	1	5
HDL	META	EUR	1	43	901	32.4074530601501	0	0	0	0
HDL	META	EUR	1	44	697	65.7742671966553	0	1	1	9
HDL	META	EUR	1	46	2423	423.187004327774	0	0	1	10
HDL	META	EUR	1	48	1267	428.456690311432	2	2	2	2
HDL	META	EUR	1	49	1100	61.6350095272064	0	0	0	0
HDL	META	EUR	1	50	1895	492.180862665176	0	1	0	0
HDL	META	EUR	1	51	1277	103.767379522324	0	1	1	7
HDL	META	EUR	1	52	3236	6441.09627962112	3	3	4	16
HDL	META	EUR	1	53	3055	629.410156965256	0	1	1	6
HDL	META	EUR	1	57	2050	200.423219680786	0	0	1	23
HDL	META	EUR	1	63	2132	204.169732809067	0	1	0	0
HDL	META	EUR	1	70	2607	1337.8459751606	1	3	2	3
HDL	META	EUR	1	71	2526	339.559268474579	0	1	1	2
HDL	META	EUR	1	73	3340	1368.38388776779	1	2	2	7
HDL	META	EUR	1	74	3101	1580.13433527946	0	0	2	58
HDL	META	EUR	1	75	4105	1185.56307458878	0	0	0	0
HDL	META	EUR	1	76	1916	316.141634702682	0	0	0	0
