pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	UKBB	AFR	1	1	1401	371.756480932236	0	0	0	0
HDL	UKBB	AFR	1	2	1463	329.16206407547	0	0	0	0
HDL	UKBB	AFR	1	3	827	138.569469928741	0	0	0	0
HDL	UKBB	AFR	1	5	3605	805.491174697876	0	0	0	0
HDL	UKBB	AFR	1	15	5267	1552.39908671379	0	0	0	0
HDL	UKBB	AFR	1	17	6661	2278.50587558746	0	0	0	0
HDL	UKBB	AFR	1	18	2519	689.047202825546	0	0	0	0
HDL	UKBB	AFR	1	19	5432	1972.6962454319	0	0	0	0
HDL	UKBB	AFR	1	21	3702	842.933446407318	0	0	0	0
HDL	UKBB	AFR	1	23	1888	554.382029533386	0	0	0	0
HDL	UKBB	AFR	1	24	1883	93.3128519058228	0	0	0	0
HDL	UKBB	AFR	1	35	6594	2048.25590062141	0	0	0	0
HDL	UKBB	AFR	1	40	2211	636.940862178802	0	0	0	0
HDL	UKBB	AFR	1	43	1399	321.643946886063	0	0	0	0
HDL	UKBB	AFR	1	44	1277	298.377642393112	0	0	0	0
HDL	UKBB	AFR	1	46	4373	1239.05949664116	0	0	0	0
HDL	UKBB	AFR	1	48	2597	653.647794485092	0	0	0	0
HDL	UKBB	AFR	1	49	2499	598.055125951767	0	0	0	0
HDL	UKBB	AFR	1	50	3596	1210.46839475632	0	0	0	0
HDL	UKBB	AFR	1	51	2354	759.506417036057	0	0	0	0
HDL	UKBB	AFR	1	52	6665	2470.85592794418	0	0	0	0
HDL	UKBB	AFR	1	53	5740	2318.38778281212	0	0	0	0
HDL	UKBB	AFR	1	57	3923	1025.08598852158	0	0	0	0
HDL	UKBB	AFR	1	63	5261	1740.53970241547	0	0	0	0
HDL	UKBB	AFR	1	70	4570	1155.51329135895	0	0	0	0
HDL	UKBB	AFR	1	71	4715	799.47188949585	0	0	0	0
HDL	UKBB	AFR	1	73	6447	2831.76883363724	0	0	0	0
HDL	UKBB	AFR	1	74	6189	2524.52021288872	0	0	0	0
HDL	UKBB	AFR	1	75	7792	3592.85077190399	0	0	0	0
HDL	UKBB	AFR	1	76	4017	1560.1449098587	0	0	0	0
HDL	UKBB	AFR	1	80	2382	963.309893131256	0	0	0	0
HDL	UKBB	AFR	1	85	2008	470.912279844284	0	0	0	0
HDL	UKBB	AFR	1	87	2528	703.820334911346	0	0	0	0
HDL	UKBB	AFR	1	90	517	66.3136310577393	0	0	0	0
HDL	UKBB	AFR	1	92	4539	1827.51223015785	0	0	0	0
HDL	UKBB	AFR	1	94	1062	175.648924827576	0	0	0	0
HDL	UKBB	AFR	1	96	4165	1404.24907612801	0	0	0	0
HDL	UKBB	AFR	1	97	5170	2306.02210354805	0	0	0	0
HDL	UKBB	AFR	1	98	4661	1764.37677621841	0	0	0	0
HDL	UKBB	AFR	1	100	4166	1229.49371194839	0	0	0	0
