pheno	pid	chromosome	block	num_variants_0.9.UKBB	num_variants_0.9.UKBB_0.1.GLGC
HDL	EUR	1	1	0	0
HDL	EUR	1	2	0	0
HDL	EUR	1	3	0	0
HDL	EUR	1	5	0	0
HDL	EUR	1	15	0	0
HDL	EUR	1	17	0	0
HDL	EUR	1	18	0	0
HDL	EUR	1	19	0	0
HDL	EUR	1	21	1	0
HDL	EUR	1	23	0	0
HDL	EUR	1	24	0	0
HDL	EUR	1	35	0	0
HDL	EUR	1	40	0	0
HDL	EUR	1	43	0	0
HDL	EUR	1	44	0	0
HDL	EUR	1	46	0	0
HDL	EUR	1	48	1	0
HDL	EUR	1	49	0	0
HDL	EUR	1	50	0	0
HDL	EUR	1	51	0	0
HDL	EUR	1	52	1	0
HDL	EUR	1	53	1	1
HDL	EUR	1	57	0	0
HDL	EUR	1	63	0	0
HDL	EUR	1	70	0	0
HDL	EUR	1	71	0	0
HDL	EUR	1	73	1	1
HDL	EUR	1	74	0	0
HDL	EUR	1	75	0	0
HDL	EUR	1	76	0	0
HDL	EUR	1	80	0	0
HDL	EUR	1	85	0	0
HDL	EUR	1	87	0	0
HDL	EUR	1	90	0	0
HDL	EUR	1	92	0	0
HDL	EUR	1	94	0	0
HDL	EUR	1	96	1	0
HDL	EUR	1	97	0	0
HDL	EUR	1	98	0	0
HDL	EUR	1	100	0	0
HDL	EUR	1	102	0	0
HDL	EUR	1	105	0	0
HDL	EUR	1	110	0	0
HDL	EUR	1	113	0	0
HDL	EUR	1	117	0	0
HDL	EUR	1	122	0	0
HDL	EUR	1	124	0	0
HDL	EUR	1	125	1	1
HDL	EUR	1	128	0	0
HDL	EUR	1	129	0	0
HDL	EUR	1	132	0	0
HDL	EUR	1	136	0	0
HDL	EUR	1	138	3	2
HDL	EUR	1	139	3	3
HDL	EUR	1	143	0	0
HDL	EUR	1	153	0	0
HDL	EUR	1	154	1	1
HDL	EUR	1	156	0	0
HDL	EUR	1	158	1	0
HDL	EUR	1	159	0	0
HDL	EUR	1	160	0	0
HDL	EUR	1	168	1	1
HDL	EUR	1	173	0	0
HDL	EUR	1	181	0	0
HDL	EUR	1	182	0	0
HDL	EUR	1	183	0	0
HDL	EUR	1	187	0	0
HDL	EUR	1	189	0	0
HDL	EUR	1	191	1	1
HDL	EUR	1	192	0	0
HDL	EUR	1	193	1	0
HDL	EUR	1	201	0	0
HDL	EUR	1	202	1	1
HDL	EUR	1	203	0	0
HDL	EUR	1	204	0	0
HDL	EUR	1	207	0	0
HDL	EUR	1	208	1	1
HDL	EUR	1	209	0	0
HDL	EUR	1	211	0	0
HDL	EUR	1	213	0	0
HDL	EUR	1	214	0	0
HDL	EUR	1	215	1	1
HDL	EUR	1	216	0	0
HDL	EUR	1	218	0	0
HDL	EUR	1	221	1	0
HDL	EUR	1	224	0	0
HDL	EUR	1	228	0	0
HDL	EUR	1	233	0	0
HDL	EUR	1	234	3	2
HDL	EUR	1	235	1	1
HDL	EUR	1	238	1	1
HDL	EUR	1	239	0	0
HDL	EUR	1	240	0	0
HDL	EUR	1	242	1	1
HDL	EUR	1	243	1	0
HDL	EUR	1	244	1	0
HDL	EUR	1	252	0	0
HDL	EUR	1	253	0	0
HDL	EUR	1	254	0	0
HDL	EUR	1	255	0	0
HDL	EUR	1	257	0	0
HDL	EUR	1	264	0	0
HDL	EUR	1	275	0	0
HDL	EUR	2	1	0	0
HDL	EUR	2	2	0	0
HDL	EUR	2	3	0	0
HDL	EUR	2	4	0	0
HDL	EUR	2	6	0	0
HDL	EUR	2	13	0	0
HDL	EUR	2	28	0	0
HDL	EUR	2	40	0	0
HDL	EUR	2	41	0	0
HDL	EUR	2	44	2	1
HDL	EUR	2	45	1	0
HDL	EUR	2	46	0	0
HDL	EUR	2	47	0	0
HDL	EUR	2	48	0	0
HDL	EUR	2	49	0	0
HDL	EUR	2	50	0	0
HDL	EUR	2	51	0	0
HDL	EUR	2	53	0	0
HDL	EUR	2	55	0	0
HDL	EUR	2	60	0	0
HDL	EUR	2	62	0	0
HDL	EUR	2	63	0	0
HDL	EUR	2	66	0	0
HDL	EUR	2	67	0	0
HDL	EUR	2	68	0	0
HDL	EUR	2	69	0	0
HDL	EUR	2	79	1	0
HDL	EUR	2	80	0	0
HDL	EUR	2	84	0	0
HDL	EUR	2	85	1	1
HDL	EUR	2	86	0	0
HDL	EUR	2	87	0	0
HDL	EUR	2	88	0	0
HDL	EUR	2	89	0	0
HDL	EUR	2	90	0	0
HDL	EUR	2	97	0	0
HDL	EUR	2	99	0	0
HDL	EUR	2	100	0	0
HDL	EUR	2	115	0	0
HDL	EUR	2	117	0	0
HDL	EUR	2	122	0	0
HDL	EUR	2	124	0	0
HDL	EUR	2	125	0	0
HDL	EUR	2	128	1	0
HDL	EUR	2	130	0	0
HDL	EUR	2	131	0	0
HDL	EUR	2	132	0	0
HDL	EUR	2	138	0	0
HDL	EUR	2	146	0	0
HDL	EUR	2	147	0	0
HDL	EUR	2	151	0	0
HDL	EUR	2	153	1	1
HDL	EUR	2	154	0	0
HDL	EUR	2	159	0	0
HDL	EUR	2	163	1	1
HDL	EUR	2	164	0	0
HDL	EUR	2	166	0	0
HDL	EUR	2	168	1	1
HDL	EUR	2	171	0	0
HDL	EUR	2	175	0	0
HDL	EUR	2	176	0	0
HDL	EUR	2	177	0	0
HDL	EUR	2	180	0	0
HDL	EUR	2	181	0	0
HDL	EUR	2	183	1	1
HDL	EUR	2	184	0	0
HDL	EUR	2	185	0	0
HDL	EUR	2	186	0	0
HDL	EUR	2	191	0	0
HDL	EUR	2	195	0	0
HDL	EUR	2	197	0	0
HDL	EUR	2	199	1	1
HDL	EUR	2	202	0	0
HDL	EUR	2	205	0	0
HDL	EUR	2	208	0	0
HDL	EUR	2	209	0	0
HDL	EUR	2	210	0	0
HDL	EUR	2	213	0	0
HDL	EUR	2	215	0	0
HDL	EUR	2	217	3	1
HDL	EUR	2	218	2	1
HDL	EUR	2	221	0	0
HDL	EUR	2	227	0	0
HDL	EUR	2	228	0	0
HDL	EUR	2	230	1	1
HDL	EUR	2	232	0	0
HDL	EUR	2	233	0	0
HDL	EUR	2	234	0	0
HDL	EUR	2	235	0	0
HDL	EUR	2	237	0	0
HDL	EUR	2	240	0	0
HDL	EUR	2	247	0	0
HDL	EUR	2	250	0	0
HDL	EUR	2	251	0	0
HDL	EUR	2	256	1	0
HDL	EUR	3	8	1	1
HDL	EUR	3	9	0	0
HDL	EUR	3	20	0	0
HDL	EUR	3	23	0	0
HDL	EUR	3	24	3	3
HDL	EUR	3	25	0	0
HDL	EUR	3	28	0	0
HDL	EUR	3	30	0	0
HDL	EUR	3	32	0	0
HDL	EUR	3	34	0	0
HDL	EUR	3	35	0	0
HDL	EUR	3	39	0	0
HDL	EUR	3	40	0	0
HDL	EUR	3	41	0	0
HDL	EUR	3	42	0	0
HDL	EUR	3	55	0	0
HDL	EUR	3	59	0	0
HDL	EUR	3	60	0	0
HDL	EUR	3	64	0	0
HDL	EUR	3	65	0	0
HDL	EUR	3	71	0	0
HDL	EUR	3	77	0	0
HDL	EUR	3	81	0	0
HDL	EUR	3	83	0	0
HDL	EUR	3	84	0	0
HDL	EUR	3	85	0	0
HDL	EUR	3	88	0	0
HDL	EUR	3	89	0	0
HDL	EUR	3	90	0	0
HDL	EUR	3	105	0	0
HDL	EUR	3	106	0	0
HDL	EUR	3	108	0	0
HDL	EUR	3	109	0	0
HDL	EUR	3	112	0	0
HDL	EUR	3	114	0	0
HDL	EUR	3	119	0	0
HDL	EUR	3	120	1	0
HDL	EUR	3	121	0	0
HDL	EUR	3	123	1	1
HDL	EUR	3	124	0	0
HDL	EUR	3	125	0	0
HDL	EUR	3	127	0	0
HDL	EUR	3	128	0	0
HDL	EUR	3	129	0	0
HDL	EUR	3	132	0	0
HDL	EUR	3	134	0	0
HDL	EUR	3	135	0	0
HDL	EUR	3	136	1	0
HDL	EUR	3	140	1	1
HDL	EUR	3	144	0	0
HDL	EUR	3	145	0	0
HDL	EUR	3	146	0	0
HDL	EUR	3	155	1	0
HDL	EUR	3	158	0	0
HDL	EUR	3	159	0	0
HDL	EUR	3	161	0	0
HDL	EUR	3	162	0	0
HDL	EUR	3	165	0	0
HDL	EUR	3	170	0	0
HDL	EUR	3	171	0	0
HDL	EUR	3	174	0	0
HDL	EUR	3	175	1	1
HDL	EUR	3	179	1	1
HDL	EUR	3	183	0	0
HDL	EUR	3	184	0	0
HDL	EUR	3	186	0	0
HDL	EUR	3	191	0	0
HDL	EUR	3	193	0	0
HDL	EUR	3	195	0	0
HDL	EUR	3	212	0	0
HDL	EUR	3	214	1	0
HDL	EUR	3	216	0	0
HDL	EUR	4	1	0	0
HDL	EUR	4	4	1	0
HDL	EUR	4	10	0	0
HDL	EUR	4	21	0	0
HDL	EUR	4	32	0	0
HDL	EUR	4	33	0	0
HDL	EUR	4	37	0	0
HDL	EUR	4	39	0	0
HDL	EUR	4	42	1	0
HDL	EUR	4	54	0	0
HDL	EUR	4	55	0	0
HDL	EUR	4	63	0	0
HDL	EUR	4	64	0	0
HDL	EUR	4	66	0	0
HDL	EUR	4	67	0	0
HDL	EUR	4	71	0	0
HDL	EUR	4	79	0	0
HDL	EUR	4	80	1	0
HDL	EUR	4	87	1	0
HDL	EUR	4	94	0	0
HDL	EUR	4	95	0	0
HDL	EUR	4	101	0	0
HDL	EUR	4	102	1	1
HDL	EUR	4	103	0	0
HDL	EUR	4	109	0	0
HDL	EUR	4	113	0	0
HDL	EUR	4	114	4	0
HDL	EUR	4	115	1	0
HDL	EUR	4	116	1	0
HDL	EUR	4	117	0	0
HDL	EUR	4	121	1	1
HDL	EUR	4	122	0	0
HDL	EUR	4	123	0	0
HDL	EUR	4	124	0	0
HDL	EUR	4	129	0	0
HDL	EUR	4	130	0	0
HDL	EUR	4	134	0	0
HDL	EUR	4	136	0	0
HDL	EUR	4	146	0	0
HDL	EUR	4	147	0	0
HDL	EUR	4	149	0	0
HDL	EUR	4	150	0	0
HDL	EUR	4	151	0	0
HDL	EUR	4	152	1	0
HDL	EUR	4	153	0	0
HDL	EUR	4	154	0	0
HDL	EUR	4	156	0	0
HDL	EUR	4	159	0	0
HDL	EUR	4	164	0	0
HDL	EUR	4	165	0	0
HDL	EUR	4	168	0	0
HDL	EUR	4	180	0	0
HDL	EUR	4	182	0	0
HDL	EUR	4	184	0	0
HDL	EUR	4	205	0	0
HDL	EUR	4	209	0	0
HDL	EUR	5	1	0	0
HDL	EUR	5	2	1	1
HDL	EUR	5	9	0	0
HDL	EUR	5	27	0	0
HDL	EUR	5	56	0	0
HDL	EUR	5	57	0	0
HDL	EUR	5	58	0	0
HDL	EUR	5	60	0	0
HDL	EUR	5	64	1	0
HDL	EUR	5	66	0	0
HDL	EUR	5	68	2	1
HDL	EUR	5	69	0	0
HDL	EUR	5	70	0	0
HDL	EUR	5	71	0	0
HDL	EUR	5	72	0	0
HDL	EUR	5	75	0	0
HDL	EUR	5	78	1	0
HDL	EUR	5	80	0	0
HDL	EUR	5	81	0	0
HDL	EUR	5	82	0	0
HDL	EUR	5	85	1	0
HDL	EUR	5	88	0	0
HDL	EUR	5	92	0	0
HDL	EUR	5	93	0	0
HDL	EUR	5	96	0	0
HDL	EUR	5	97	0	0
HDL	EUR	5	102	0	0
HDL	EUR	5	104	1	1
HDL	EUR	5	105	0	0
HDL	EUR	5	108	0	0
HDL	EUR	5	109	0	0
HDL	EUR	5	114	0	0
HDL	EUR	5	116	0	0
HDL	EUR	5	117	0	0
HDL	EUR	5	119	0	0
HDL	EUR	5	120	0	0
HDL	EUR	5	127	0	0
HDL	EUR	5	130	0	0
HDL	EUR	5	132	0	0
HDL	EUR	5	133	0	0
HDL	EUR	5	134	0	0
HDL	EUR	5	136	0	0
HDL	EUR	5	142	1	1
HDL	EUR	5	144	0	0
HDL	EUR	5	145	0	0
HDL	EUR	5	146	0	0
HDL	EUR	5	147	0	0
HDL	EUR	5	151	0	0
HDL	EUR	5	152	0	0
HDL	EUR	5	154	0	0
HDL	EUR	5	156	1	1
HDL	EUR	5	158	0	0
HDL	EUR	5	160	0	0
HDL	EUR	5	163	0	0
HDL	EUR	5	167	0	0
HDL	EUR	5	168	1	1
HDL	EUR	5	181	0	0
HDL	EUR	5	189	0	0
HDL	EUR	5	191	0	0
HDL	EUR	5	193	0	0
HDL	EUR	5	194	0	0
HDL	EUR	5	202	0	0
HDL	EUR	5	207	0	0
HDL	EUR	5	208	0	0
HDL	EUR	5	209	1	0
HDL	EUR	5	210	1	1
HDL	EUR	6	18	0	0
HDL	EUR	6	19	0	0
HDL	EUR	6	21	0	0
HDL	EUR	6	23	0	0
HDL	EUR	6	29	0	0
HDL	EUR	6	34	0	0
HDL	EUR	6	36	0	0
HDL	EUR	6	37	0	0
HDL	EUR	6	38	0	0
HDL	EUR	6	39	0	0
HDL	EUR	6	43	0	0
HDL	EUR	6	49	0	0
HDL	EUR	6	50	0	0
HDL	EUR	6	51	2	2
HDL	EUR	6	52	0	0
HDL	EUR	6	53	0	0
HDL	EUR	6	55	0	0
HDL	EUR	6	57	0	0
HDL	EUR	6	58	0	0
HDL	EUR	6	60	0	0
HDL	EUR	6	63	2	0
HDL	EUR	6	64	4	1
HDL	EUR	6	68	0	0
HDL	EUR	6	69	0	0
HDL	EUR	6	71	0	0
HDL	EUR	6	73	0	0
HDL	EUR	6	76	0	0
HDL	EUR	6	84	0	0
HDL	EUR	6	85	0	0
HDL	EUR	6	86	0	0
HDL	EUR	6	88	0	0
HDL	EUR	6	90	0	0
HDL	EUR	6	94	0	0
HDL	EUR	6	97	0	0
HDL	EUR	6	98	0	0
HDL	EUR	6	101	0	0
HDL	EUR	6	105	1	1
HDL	EUR	6	106	1	1
HDL	EUR	6	108	1	0
HDL	EUR	6	109	0	0
HDL	EUR	6	115	0	0
HDL	EUR	6	116	0	0
HDL	EUR	6	117	0	0
HDL	EUR	6	118	0	0
HDL	EUR	6	124	1	0
HDL	EUR	6	127	0	0
HDL	EUR	6	128	0	0
HDL	EUR	6	134	0	0
HDL	EUR	6	137	0	0
HDL	EUR	6	140	0	0
HDL	EUR	6	146	0	0
HDL	EUR	6	160	0	0
HDL	EUR	6	161	0	0
HDL	EUR	6	164	1	1
HDL	EUR	6	167	1	1
HDL	EUR	6	168	0	0
HDL	EUR	6	169	2	0
HDL	EUR	6	173	0	0
HDL	EUR	6	175	0	0
HDL	EUR	6	179	0	0
HDL	EUR	6	182	0	0
HDL	EUR	6	183	0	0
HDL	EUR	7	1	0	0
HDL	EUR	7	3	0	0
HDL	EUR	7	12	1	1
HDL	EUR	7	13	0	0
HDL	EUR	7	21	0	0
HDL	EUR	7	25	0	0
HDL	EUR	7	26	1	1
HDL	EUR	7	31	0	0
HDL	EUR	7	32	0	0
HDL	EUR	7	33	0	0
HDL	EUR	7	37	0	0
HDL	EUR	7	39	0	0
HDL	EUR	7	40	0	0
HDL	EUR	7	42	0	0
HDL	EUR	7	43	0	0
HDL	EUR	7	44	0	0
HDL	EUR	7	45	0	0
HDL	EUR	7	46	0	0
HDL	EUR	7	48	0	0
HDL	EUR	7	49	0	0
HDL	EUR	7	51	1	1
HDL	EUR	7	53	0	0
HDL	EUR	7	58	0	0
HDL	EUR	7	62	0	0
HDL	EUR	7	64	0	0
HDL	EUR	7	67	0	0
HDL	EUR	7	69	0	0
HDL	EUR	7	72	0	0
HDL	EUR	7	73	0	0
HDL	EUR	7	74	0	0
HDL	EUR	7	82	0	0
HDL	EUR	7	85	0	0
HDL	EUR	7	86	0	0
HDL	EUR	7	87	1	1
HDL	EUR	7	88	1	0
HDL	EUR	7	89	0	0
HDL	EUR	7	90	0	0
HDL	EUR	7	92	0	0
HDL	EUR	7	93	0	0
HDL	EUR	7	94	0	0
HDL	EUR	7	95	0	0
HDL	EUR	7	99	0	0
HDL	EUR	7	101	0	0
HDL	EUR	7	107	1	0
HDL	EUR	7	111	0	0
HDL	EUR	7	113	0	0
HDL	EUR	7	114	0	0
HDL	EUR	7	119	0	0
HDL	EUR	7	121	0	0
HDL	EUR	7	127	0	0
HDL	EUR	7	128	0	0
HDL	EUR	7	131	0	0
HDL	EUR	7	132	0	0
HDL	EUR	7	133	0	0
HDL	EUR	7	134	0	0
HDL	EUR	7	139	0	0
HDL	EUR	7	141	0	0
HDL	EUR	7	143	0	0
HDL	EUR	7	145	0	0
HDL	EUR	7	146	0	0
HDL	EUR	7	147	0	0
HDL	EUR	7	160	0	0
HDL	EUR	7	161	0	0
HDL	EUR	7	162	0	0
HDL	EUR	7	164	0	0
HDL	EUR	7	184	0	0
HDL	EUR	7	187	0	0
HDL	EUR	8	13	0	0
HDL	EUR	8	17	0	0
HDL	EUR	8	20	0	0
HDL	EUR	8	21	0	0
HDL	EUR	8	22	0	0
HDL	EUR	8	23	0	0
HDL	EUR	8	24	0	0
HDL	EUR	8	27	0	0
HDL	EUR	8	29	0	0
HDL	EUR	8	30	0	0
HDL	EUR	8	31	2	1
HDL	EUR	8	32	6	5
HDL	EUR	8	33	4	0
HDL	EUR	8	34	0	0
HDL	EUR	8	35	1	1
HDL	EUR	8	36	0	0
HDL	EUR	8	37	0	0
HDL	EUR	8	39	0	0
HDL	EUR	8	40	0	0
HDL	EUR	8	42	1	0
HDL	EUR	8	46	0	0
HDL	EUR	8	48	0	0
HDL	EUR	8	51	0	0
HDL	EUR	8	53	0	0
HDL	EUR	8	55	1	1
HDL	EUR	8	69	0	0
HDL	EUR	8	70	0	0
HDL	EUR	8	71	0	0
HDL	EUR	8	77	0	0
HDL	EUR	8	78	0	0
HDL	EUR	8	80	0	0
HDL	EUR	8	81	0	0
HDL	EUR	8	84	0	0
HDL	EUR	8	88	0	0
HDL	EUR	8	93	0	0
HDL	EUR	8	94	0	0
HDL	EUR	8	107	0	0
HDL	EUR	8	108	0	0
HDL	EUR	8	109	1	1
HDL	EUR	8	110	0	0
HDL	EUR	8	112	0	0
HDL	EUR	8	113	0	0
HDL	EUR	8	115	0	0
HDL	EUR	8	118	1	0
HDL	EUR	8	119	0	0
HDL	EUR	8	124	0	0
HDL	EUR	8	125	4	2
HDL	EUR	8	127	0	0
HDL	EUR	8	130	0	0
HDL	EUR	8	159	2	1
HDL	EUR	8	160	0	0
HDL	EUR	9	1	0	0
HDL	EUR	9	4	0	0
HDL	EUR	9	9	0	0
HDL	EUR	9	12	0	0
HDL	EUR	9	27	1	1
HDL	EUR	9	31	2	1
HDL	EUR	9	33	0	0
HDL	EUR	9	36	0	0
HDL	EUR	9	40	0	0
HDL	EUR	9	48	0	0
HDL	EUR	9	49	0	0
HDL	EUR	9	50	0	0
HDL	EUR	9	51	0	0
HDL	EUR	9	53	0	0
HDL	EUR	9	56	0	0
HDL	EUR	9	63	0	0
HDL	EUR	9	78	0	0
HDL	EUR	9	84	0	0
HDL	EUR	9	85	0	0
HDL	EUR	9	88	1	0
HDL	EUR	9	91	0	0
HDL	EUR	9	92	0	0
HDL	EUR	9	93	0	0
HDL	EUR	9	97	0	0
HDL	EUR	9	98	1	1
HDL	EUR	9	100	0	0
HDL	EUR	9	102	1	1
HDL	EUR	9	103	0	0
HDL	EUR	9	104	1	1
HDL	EUR	9	105	0	0
HDL	EUR	9	106	1	0
HDL	EUR	9	107	0	0
HDL	EUR	9	109	0	0
HDL	EUR	9	110	8	3
HDL	EUR	9	111	7	3
HDL	EUR	9	112	8	5
HDL	EUR	9	113	0	0
HDL	EUR	9	114	0	0
HDL	EUR	9	115	0	0
HDL	EUR	9	116	0	0
HDL	EUR	9	118	2	2
HDL	EUR	9	124	1	0
HDL	EUR	9	129	0	0
HDL	EUR	9	130	0	0
HDL	EUR	9	134	1	1
HDL	EUR	9	136	0	0
HDL	EUR	9	138	0	0
HDL	EUR	9	140	0	0
HDL	EUR	9	141	0	0
HDL	EUR	9	144	1	1
HDL	EUR	9	148	0	0
HDL	EUR	9	149	0	0
HDL	EUR	9	152	0	0
HDL	EUR	9	153	0	0
HDL	EUR	9	154	0	0
HDL	EUR	9	156	0	0
HDL	EUR	9	162	0	0
HDL	EUR	10	1	0	0
HDL	EUR	10	9	0	0
HDL	EUR	10	11	0	0
HDL	EUR	10	13	0	0
HDL	EUR	10	14	0	0
HDL	EUR	10	20	0	0
HDL	EUR	10	22	0	0
HDL	EUR	10	23	0	0
HDL	EUR	10	33	0	0
HDL	EUR	10	40	0	0
HDL	EUR	10	43	0	0
HDL	EUR	10	46	0	0
HDL	EUR	10	48	1	1
HDL	EUR	10	49	0	0
HDL	EUR	10	52	0	0
HDL	EUR	10	54	0	0
HDL	EUR	10	60	1	1
HDL	EUR	10	61	0	0
HDL	EUR	10	64	0	0
HDL	EUR	10	67	0	0
HDL	EUR	10	68	0	0
HDL	EUR	10	70	0	0
HDL	EUR	10	79	0	0
HDL	EUR	10	80	0	0
HDL	EUR	10	81	0	0
HDL	EUR	10	83	0	0
HDL	EUR	10	85	0	0
HDL	EUR	10	87	0	0
HDL	EUR	10	92	0	0
HDL	EUR	10	93	0	0
HDL	EUR	10	100	0	0
HDL	EUR	10	101	0	0
HDL	EUR	10	109	0	0
HDL	EUR	10	113	0	0
HDL	EUR	10	117	2	1
HDL	EUR	10	124	0	0
HDL	EUR	10	126	0	0
HDL	EUR	10	127	0	0
HDL	EUR	10	128	0	0
HDL	EUR	10	129	0	0
HDL	EUR	10	130	0	0
HDL	EUR	10	137	0	0
HDL	EUR	10	138	1	1
HDL	EUR	10	140	1	0
HDL	EUR	10	141	0	0
HDL	EUR	10	142	0	0
HDL	EUR	10	143	0	0
HDL	EUR	10	144	0	0
HDL	EUR	10	145	0	0
HDL	EUR	10	150	0	0
HDL	EUR	10	152	1	1
HDL	EUR	10	153	0	0
HDL	EUR	10	154	0	0
HDL	EUR	10	157	0	0
HDL	EUR	10	162	0	0
HDL	EUR	10	167	0	0
HDL	EUR	11	2	1	0
HDL	EUR	11	4	1	0
HDL	EUR	11	6	0	0
HDL	EUR	11	7	1	1
HDL	EUR	11	11	0	0
HDL	EUR	11	18	0	0
HDL	EUR	11	19	0	0
HDL	EUR	11	26	0	0
HDL	EUR	11	27	0	0
HDL	EUR	11	28	2	1
HDL	EUR	11	29	0	0
HDL	EUR	11	30	0	0
HDL	EUR	11	33	0	0
HDL	EUR	11	51	0	0
HDL	EUR	11	52	1	1
HDL	EUR	11	53	0	0
HDL	EUR	11	54	0	0
HDL	EUR	11	57	0	0
HDL	EUR	11	65	0	0
HDL	EUR	11	70	0	0
HDL	EUR	11	75	0	0
HDL	EUR	11	76	1	1
HDL	EUR	11	77	1	1
HDL	EUR	11	78	2	1
HDL	EUR	11	79	3	3
HDL	EUR	11	80	2	1
HDL	EUR	11	81	1	1
HDL	EUR	11	86	0	0
HDL	EUR	11	88	0	0
HDL	EUR	11	89	0	0
HDL	EUR	11	90	0	0
HDL	EUR	11	100	0	0
HDL	EUR	11	107	2	2
HDL	EUR	11	108	0	0
HDL	EUR	11	109	0	0
HDL	EUR	11	115	0	0
HDL	EUR	11	117	0	0
HDL	EUR	11	121	1	1
HDL	EUR	11	123	0	0
HDL	EUR	11	126	0	0
HDL	EUR	11	128	1	1
HDL	EUR	11	129	9	5
HDL	EUR	11	130	4	2
HDL	EUR	11	131	1	0
HDL	EUR	11	132	0	0
HDL	EUR	11	133	0	0
HDL	EUR	11	134	0	0
HDL	EUR	11	138	0	0
HDL	EUR	11	140	0	0
HDL	EUR	11	141	0	0
HDL	EUR	11	142	0	0
HDL	EUR	11	147	2	2
HDL	EUR	11	148	0	0
HDL	EUR	11	149	0	0
HDL	EUR	12	4	0	0
HDL	EUR	12	8	0	0
