pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	AFR	1	2	1472	404.989902496338	0	0	0	0
LDL	META	AFR	1	4	1992	550.634509325027	0	0	0	0
LDL	META	AFR	1	17	6619	1969.27114224434	0	0	0	0
LDL	META	AFR	1	19	5388	1465.04767894745	0	0	0	0
LDL	META	AFR	1	23	1856	532.956834077835	0	0	0	0
LDL	META	AFR	1	35	6558	952.256530284882	0	0	0	0
LDL	META	AFR	1	40	2184	660.399261236191	0	0	0	0
LDL	META	AFR	1	48	2575	713.025924682617	0	0	0	0
LDL	META	AFR	1	49	2481	808.593643665314	0	0	0	0
LDL	META	AFR	1	51	2317	468.791792392731	0	0	0	0
LDL	META	AFR	1	52	6619	838.426259756088	0	0	0	0
LDL	META	AFR	1	53	5723	1388.66545534134	0	0	0	0
LDL	META	AFR	1	58	6819	908.13316488266	0	0	0	0
LDL	META	AFR	1	70	4511	1331.67161250114	0	0	0	0
LDL	META	AFR	1	73	6384	1967.81352138519	0	0	0	0
LDL	META	AFR	1	75	7752	2961.62225556374	0	0	0	0
LDL	META	AFR	1	76	3972	986.023057699203	0	0	0	0
LDL	META	AFR	1	78	2455	511.179051399231	0	0	0	0
LDL	META	AFR	1	80	2349	90.2508878707886	0	0	1	6
LDL	META	AFR	1	81	1666	150.874116659164	0	0	1	9
LDL	META	AFR	1	82	3622	509.750212430954	0	0	0	0
LDL	META	AFR	1	83	4259	14530.2215063572	7	9	8	10
LDL	META	AFR	1	84	6650	16100.6036717892	8	10	10	16
LDL	META	AFR	1	85	1976	614.165823936462	0	2	1	9
LDL	META	AFR	1	88	3502	810.12991642952	0	0	0	0
LDL	META	AFR	1	89	3798	908.576562404633	0	0	0	0
LDL	META	AFR	1	92	4457	1035.41826748848	0	0	0	0
LDL	META	AFR	1	94	1059	30.720287322998	0	0	0	0
LDL	META	AFR	1	96	4153	1188.21421003342	0	0	0	0
LDL	META	AFR	1	97	5112	1721.63029575348	1	1	1	1
LDL	META	AFR	1	100	4064	1101.36852049828	0	0	0	0
LDL	META	AFR	1	109	5577	1764.29417681694	0	0	0	0
LDL	META	AFR	1	124	6844	1414.98363900185	0	0	0	0
LDL	META	AFR	1	125	8668	5204.58015847206	2	3	3	18
LDL	META	AFR	1	136	5068	1252.36351585388	0	0	0	0
LDL	META	AFR	1	138	6689	1170.57520031929	1	1	1	1
LDL	META	AFR	1	139	1513	388.985926866531	0	0	0	0
LDL	META	AFR	1	141	2563	693.454087972641	0	0	0	0
LDL	META	AFR	1	145	2809	838.915407896042	0	0	0	0
LDL	META	AFR	1	147	4581	1230.09288907051	0	0	0	0
LDL	META	AFR	1	150	4926	2110.05273413658	0	0	0	0
LDL	META	AFR	1	151	6645	1809.77446126938	0	0	0	0
LDL	META	AFR	1	154	8722	2790.59963107109	0	0	0	0
LDL	META	AFR	1	158	5387	1432.22677540779	0	0	0	0
LDL	META	AFR	1	162	4256	674.693387269974	0	0	0	0
LDL	META	AFR	1	163	3284	1088.19003653526	0	0	0	0
LDL	META	AFR	1	168	5337	999.321656703949	0	0	0	0
LDL	META	AFR	1	169	7103	2588.68770670891	0	0	0	0
LDL	META	AFR	1	175	7083	2303.80095171928	0	0	0	0
LDL	META	AFR	1	182	7601	2753.04605698586	0	0	0	0
LDL	META	AFR	1	183	7176	2333.03323912621	0	0	0	0
LDL	META	AFR	1	187	4677	1675.27078604698	0	0	0	0
LDL	META	AFR	1	188	5325	1741.68429231644	0	0	0	0
LDL	META	AFR	1	189	3739	1169.82455229759	0	0	0	0
LDL	META	AFR	1	191	5189	1621.18783450127	0	0	0	0
LDL	META	AFR	1	192	5202	1214.59950685501	0	0	0	0
LDL	META	AFR	1	201	6278	1425.7900519371	0	0	0	0
LDL	META	AFR	1	202	5171	1721.94475150108	0	0	0	0
LDL	META	AFR	1	205	2040	241.618561983109	0	0	0	0
LDL	META	AFR	1	213	2803	564.984365463257	0	0	0	0
LDL	META	AFR	1	214	2494	788.730635166168	0	0	0	0
LDL	META	AFR	1	216	5669	2092.10698866844	0	0	0	0
LDL	META	AFR	1	221	4849	1990.87857508659	0	0	0	0
LDL	META	AFR	1	223	5525	711.722750902176	0	0	0	0
LDL	META	AFR	1	226	1984	414.898755788803	0	0	0	0
LDL	META	AFR	1	233	6542	1716.39463639259	0	0	0	0
LDL	META	AFR	1	234	7505	654.412200450897	0	0	1	34
LDL	META	AFR	1	238	9842	2989.9191775322	0	0	0	0
LDL	META	AFR	1	239	2309	587.404088258743	0	0	0	0
LDL	META	AFR	1	252	2316	247.450397729874	1	1	2	5
LDL	META	AFR	1	253	822	109.122268676758	0	0	0	0
LDL	META	AFR	1	254	3999	1524.29482793808	0	0	0	0
LDL	META	AFR	1	255	2519	706.333214759827	0	0	0	0
LDL	META	AFR	1	280	10099	2744.34578895569	0	0	0	0
LDL	META	AFR	2	6	2716	726.524049043655	0	0	0	0
LDL	META	AFR	2	19	825	164.647476911545	0	0	0	0
LDL	META	AFR	2	21	1674	352.530961990356	0	0	0	0
LDL	META	AFR	2	27	2245	651.348426818848	0	0	0	0
LDL	META	AFR	2	34	6265	339.493247509003	0	0	0	0
LDL	META	AFR	2	37	2303	209.893540143967	0	0	0	0
LDL	META	AFR	2	38	4925	1220.2619702816	0	0	0	0
LDL	META	AFR	2	39	2296	223.847952604294	0	0	0	0
LDL	META	AFR	2	40	7094	496.288007736206	0	0	1	3
LDL	META	AFR	2	41	3250	251.251058101654	0	0	1	6
LDL	META	AFR	2	42	298	25.1748542785645	1	2	1	1
LDL	META	AFR	2	43	714	59.0870642662048	1	2	2	5
LDL	META	AFR	2	44	3342	19978.3558986187	5	9	9	19
LDL	META	AFR	2	45	5978	12403.4023554325	1	2	3	19
LDL	META	AFR	2	46	2604	398.535239696503	0	1	1	2
LDL	META	AFR	2	47	7471	2518.79272055626	0	1	1	8
LDL	META	AFR	2	48	4608	1197.82683157921	0	1	0	0
LDL	META	AFR	2	49	7290	1915.80227351189	0	1	0	0
LDL	META	AFR	2	50	4163	927.945280313492	0	0	0	0
LDL	META	AFR	2	51	4755	426.817025899887	0	0	0	0
LDL	META	AFR	2	53	3091	489.2116792202	0	0	0	0
LDL	META	AFR	2	69	5620	1551.70006775856	0	0	0	0
LDL	META	AFR	2	71	4440	1280.95696616173	1	2	2	4
LDL	META	AFR	2	72	7365	2139.4100883007	1	1	1	1
LDL	META	AFR	2	74	2491	677.558664798737	0	0	0	0
LDL	META	AFR	2	75	2977	519.284073352814	0	0	0	0
LDL	META	AFR	2	77	2882	637.603374004364	0	0	0	0
LDL	META	AFR	2	84	14498	2631.00831699371	0	0	0	0
LDL	META	AFR	2	86	5708	1041.0443983078	0	0	0	0
LDL	META	AFR	2	87	2015	558.710339546204	0	0	0	0
LDL	META	AFR	2	88	16740	5505.37479734421	0	0	0	0
LDL	META	AFR	2	89	4268	1695.93244123459	0	0	0	0
LDL	META	AFR	2	97	6392	1180.37457537651	0	0	0	0
LDL	META	AFR	2	99	3744	1221.97836041451	0	0	0	0
LDL	META	AFR	2	100	5073	1746.59184789658	0	0	0	0
LDL	META	AFR	2	115	8462	1714.2341132164	0	0	0	0
LDL	META	AFR	2	121	7623	2567.23643040657	0	0	0	0
LDL	META	AFR	2	122	3357	1179.3928501606	0	0	0	0
LDL	META	AFR	2	124	6304	2118.70848417282	0	0	0	0
LDL	META	AFR	2	127	10494	3300.42947006226	0	0	0	0
LDL	META	AFR	2	128	8920	2015.12909722328	0	0	0	0
LDL	META	AFR	2	130	972	95.9652967453003	0	0	0	0
LDL	META	AFR	2	131	267	8.02704572677612	0	0	0	0
LDL	META	AFR	2	138	7521	2592.29894924164	0	0	0	0
LDL	META	AFR	2	145	2691	236.469882726669	0	0	0	0
LDL	META	AFR	2	146	7338	2108.09195327759	0	0	0	0
LDL	META	AFR	2	147	11956	2004.4895131588	0	0	0	0
LDL	META	AFR	2	152	4175	1073.05396652222	0	0	0	0
LDL	META	AFR	2	162	2765	886.873599767685	0	0	0	0
LDL	META	AFR	2	163	346	7.86603045463562	0	0	0	0
LDL	META	AFR	2	166	11540	1376.52138328552	0	0	0	0
LDL	META	AFR	2	168	5132	991.758189678192	0	0	0	0
LDL	META	AFR	2	172	1571	349.233109951019	0	0	0	0
LDL	META	AFR	2	177	5697	1866.57256484032	0	0	0	0
LDL	META	AFR	2	181	7110	3073.71626448631	0	0	0	0
LDL	META	AFR	2	184	9623	1502.14362621307	0	0	0	0
LDL	META	AFR	2	192	7048	1866.17106342316	0	0	0	0
LDL	META	AFR	2	198	4605	1386.71453309059	0	0	0	0
LDL	META	AFR	2	199	7545	1730.70397138596	0	0	0	0
LDL	META	AFR	2	205	3574	1226.38180065155	0	0	0	0
LDL	META	AFR	2	208	11091	3360.60871124268	0	0	0	0
LDL	META	AFR	2	212	5673	2050.15881109238	0	0	0	0
LDL	META	AFR	2	213	12646	3312.73097085953	0	0	0	0
LDL	META	AFR	2	217	3417	1102.80029582977	0	0	0	0
LDL	META	AFR	2	232	2710	604.883817672729	0	0	0	0
LDL	META	AFR	2	237	4890	879.600024223328	0	0	0	0
LDL	META	AFR	2	240	4368	1606.05502033234	0	0	0	0
LDL	META	AFR	2	242	4041	1239.67438459396	0	0	0	0
LDL	META	AFR	2	250	9156	1371.59970211983	0	0	0	0
LDL	META	AFR	2	256	5481	1569.5129365921	0	0	0	0
LDL	META	AFR	3	24	6107	672.518081903458	0	0	0	0
LDL	META	AFR	3	41	7590	2544.58417439461	0	0	0	0
LDL	META	AFR	3	43	4631	1014.269510746	0	0	0	0
LDL	META	AFR	3	51	2523	176.30788230896	0	0	1	4
LDL	META	AFR	3	56	4792	1549.1766872406	0	0	0	0
LDL	META	AFR	3	70	5844	1978.94856905937	0	0	0	0
LDL	META	AFR	3	71	7615	1161.98990011215	0	0	0	0
LDL	META	AFR	3	83	8358	2064.86745047569	0	0	0	0
LDL	META	AFR	3	88	5089	1372.21875309944	0	0	0	0
LDL	META	AFR	3	89	5797	966.805577039719	0	0	0	0
LDL	META	AFR	3	104	12234	2682.3491499424	0	0	0	0
LDL	META	AFR	3	107	5065	1412.90994119644	0	0	0	0
LDL	META	AFR	3	109	11353	1192.58257365227	0	0	0	0
LDL	META	AFR	3	120	5358	635.800815582275	0	0	0	0
LDL	META	AFR	3	121	6403	1920.19374465942	0	0	0	0
LDL	META	AFR	3	122	1429	171.834768533707	0	0	0	0
LDL	META	AFR	3	123	2258	624.058208703995	0	0	0	0
LDL	META	AFR	3	125	5709	1533.50386285782	0	0	0	0
LDL	META	AFR	3	127	6931	1297.71877598763	0	0	0	0
LDL	META	AFR	3	128	2851	754.922422885895	0	0	0	0
LDL	META	AFR	3	129	3235	875.450901269913	0	0	0	0
LDL	META	AFR	3	132	9026	2784.40698289871	0	0	0	0
LDL	META	AFR	3	135	5546	1269.96175169945	0	0	0	0
LDL	META	AFR	3	140	6801	1682.73948168755	0	0	0	0
LDL	META	AFR	3	145	6700	2724.38349556923	0	0	0	0
LDL	META	AFR	3	148	5962	2407.19731044769	0	0	0	0
LDL	META	AFR	3	149	4927	1486.70028972626	0	0	0	0
LDL	META	AFR	3	150	5539	1826.85693216324	0	0	0	0
LDL	META	AFR	3	154	1407	274.447599172592	0	0	0	0
LDL	META	AFR	3	155	5451	1519.02186632156	0	0	0	0
LDL	META	AFR	3	158	6737	2374.11010694504	0	0	0	0
LDL	META	AFR	3	159	5503	1286.78835391998	0	0	0	0
LDL	META	AFR	3	161	7943	2350.30495119095	0	0	0	0
LDL	META	AFR	3	165	6166	1157.40519428253	0	0	0	0
LDL	META	AFR	3	166	12444	1621.56703782082	0	0	0	0
LDL	META	AFR	3	172	4335	984.566655874252	0	0	0	0
LDL	META	AFR	3	173	2587	817.84544968605	0	0	0	0
LDL	META	AFR	3	175	1755	401.479449272156	0	0	0	0
LDL	META	AFR	3	186	7418	1025.94682335854	0	0	0	0
LDL	META	AFR	3	190	3623	1038.84548211098	0	0	0	0
LDL	META	AFR	3	195	11407	1625.48423433304	0	0	0	0
LDL	META	AFR	3	214	7491	2653.93517971039	0	0	0	0
LDL	META	AFR	3	216	3834	623.860701560974	0	0	0	0
LDL	META	AFR	4	1	18183	5863.4860124588	0	0	0	0
LDL	META	AFR	4	15	2772	778.165778160095	0	0	0	0
LDL	META	AFR	4	19	2793	756.775744438171	0	0	0	0
LDL	META	AFR	4	21	10021	2819.67059779167	0	0	0	0
LDL	META	AFR	4	28	5101	1425.04197907448	0	0	0	0
LDL	META	AFR	4	30	3052	948.979618549347	0	0	0	0
LDL	META	AFR	4	42	894	149.292707681656	0	0	0	0
LDL	META	AFR	4	43	3026	1090.26504349709	0	0	0	0
LDL	META	AFR	4	55	5412	1988.65684080124	0	0	0	0
