pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EUR	1	2	820	177.798158407211	0	0	0	0
LDL	META	EUR	1	4	1277	129.386307239532	0	0	1	4
LDL	META	EUR	1	17	3343	315.493433952332	0	0	0	0
LDL	META	EUR	1	19	2679	552.114140033722	0	0	0	0
LDL	META	EUR	1	23	994	194.835616827011	0	0	1	58
LDL	META	EUR	1	35	3121	1661.94807386398	1	1	2	4
LDL	META	EUR	1	40	1268	64.2543156147003	0	0	1	8
LDL	META	EUR	1	48	1233	871.274574041367	0	2	2	12
LDL	META	EUR	1	49	1066	109.406678199768	0	0	0	0
LDL	META	EUR	1	51	1253	514.255823135376	0	0	2	17
LDL	META	EUR	1	52	3176	6464.93618249893	2	2	3	16
LDL	META	EUR	1	53	3012	642.494717597961	0	1	1	6
LDL	META	EUR	1	58	3188	442.76654624939	0	1	1	2
LDL	META	EUR	1	70	2543	528.999720096588	0	0	1	22
LDL	META	EUR	1	73	3261	370.182716608047	0	0	1	15
LDL	META	EUR	1	75	4012	4800.22105121613	0	1	2	7
LDL	META	EUR	1	76	1869	224.324824810028	0	0	0	0
LDL	META	EUR	1	78	1244	83.1569700241089	0	0	1	6
LDL	META	EUR	1	80	1184	302.163775920868	0	0	0	0
LDL	META	EUR	1	81	889	23.2933824062347	0	0	0	0
LDL	META	EUR	1	82	1970	389.999161481857	2	2	2	2
LDL	META	EUR	1	83	2368	14473.1884925365	7	10	10	14
LDL	META	EUR	1	84	3556	12027.9085900784	7	10	10	16
LDL	META	EUR	1	85	1239	573.483366012573	1	3	1	1
LDL	META	EUR	1	88	1969	463.880312919617	0	0	0	0
LDL	META	EUR	1	89	1959	529.114387989044	0	0	0	0
LDL	META	EUR	1	92	2564	736.967842578888	0	0	0	0
LDL	META	EUR	1	94	675	452.258586645126	0	1	3	25
LDL	META	EUR	1	96	2274	282.780665874481	0	1	1	3
LDL	META	EUR	1	97	2748	526.041279554367	0	0	1	3
LDL	META	EUR	1	100	2143	132.68036699295	0	0	1	31
LDL	META	EUR	1	109	2991	589.101783752441	0	0	1	29
LDL	META	EUR	1	124	3741	334.031658411026	0	0	1	7
LDL	META	EUR	1	125	4466	5372.17952060699	1	1	3	12
LDL	META	EUR	1	136	2553	205.072885274887	0	0	1	13
LDL	META	EUR	1	138	3465	914.594934225082	2	4	3	4
LDL	META	EUR	1	139	893	952.314489841461	0	5	2	8
LDL	META	EUR	1	141	1476	239.701377391815	0	1	0	0
LDL	META	EUR	1	145	1711	290.721680164337	0	0	1	21
LDL	META	EUR	1	147	2696	175.571308374405	0	0	0	0
LDL	META	EUR	1	150	2630	412.336322546005	0	1	0	0
LDL	META	EUR	1	151	3285	536.883699655533	0	0	0	0
LDL	META	EUR	1	154	3946	3198.59952306747	1	2	2	3
LDL	META	EUR	1	158	2620	746.141758680344	0	0	1	2
LDL	META	EUR	1	162	2107	254.881508588791	0	0	1	21
LDL	META	EUR	1	163	1937	228.855368852615	0	0	1	19
LDL	META	EUR	1	168	2971	750.285959243774	0	3	3	17
LDL	META	EUR	1	169	4058	294.134998083115	0	0	0	0
LDL	META	EUR	1	175	3927	257.96303319931	0	0	0	0
LDL	META	EUR	1	182	3512	2542.33247685432	0	0	2	58
LDL	META	EUR	1	183	3699	821.503728628159	0	0	1	20
LDL	META	EUR	1	187	2531	1276.16375279427	1	1	1	1
LDL	META	EUR	1	188	2838	423.107780694962	0	0	0	0
LDL	META	EUR	1	189	1966	284.527373313904	0	0	0	0
LDL	META	EUR	1	191	2690	209.438933849335	0	0	1	10
LDL	META	EUR	1	192	2752	357.718226671219	0	0	1	26
LDL	META	EUR	1	201	2900	488.087537765503	0	0	2	18
LDL	META	EUR	1	202	2869	805.038831710815	0	1	1	3
LDL	META	EUR	1	205	1048	89.9398882389069	0	0	0	0
LDL	META	EUR	1	213	1537	31.0976912975311	0	0	1	5
LDL	META	EUR	1	214	1378	22.5665514469147	0	1	1	3
LDL	META	EUR	1	216	2890	269.507361888885	0	0	0	0
LDL	META	EUR	1	221	2474	138.32391500473	0	0	0	0
LDL	META	EUR	1	223	3129	144.230422019958	0	0	0	0
LDL	META	EUR	1	226	1276	827.732918262482	0	1	2	29
LDL	META	EUR	1	233	3391	648.124796628952	0	0	0	0
LDL	META	EUR	1	234	3921	915.803088665009	1	2	2	4
LDL	META	EUR	1	238	4968	697.302063465118	0	1	2	25
LDL	META	EUR	1	239	1376	279.115112543106	0	0	1	8
