pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	AFR	1	1	1401	384.853481769562	0	0	0	0
TC	META	AFR	1	2	1463	328.632989168167	0	0	0	0
TC	META	AFR	1	4	1983	511.884994745255	0	0	0	0
TC	META	AFR	1	17	6673	1924.86324501038	0	0	0	0
TC	META	AFR	1	19	5446	2163.5204615593	0	0	0	0
TC	META	AFR	1	35	6606	2067.45919585228	0	0	0	0
TC	META	AFR	1	40	2215	647.694438695908	0	0	0	0
TC	META	AFR	1	48	2605	647.550295591354	0	0	0	0
TC	META	AFR	1	49	2515	617.953755140305	0	0	0	0
TC	META	AFR	1	51	2339	308.54919719696	0	0	0	0
TC	META	AFR	1	52	6681	2189.47846484184	0	0	0	0
TC	META	AFR	1	53	5745	2153.2195439338702	0	0	0	0
TC	META	AFR	1	58	6876	1872.04422497749	0	0	0	0
TC	META	AFR	1	67	4462	992.160682916641	0	0	0	0
TC	META	AFR	1	70	4545	1489.61899423599	0	0	0	0
TC	META	AFR	1	73	6461	2841.96973609924	0	0	0	0
TC	META	AFR	1	74	6203	2082.55491089821	0	0	0	0
TC	META	AFR	1	75	7814	2517.17172789574	0	0	0	0
TC	META	AFR	1	76	4022	529.10770201683	0	0	0	0
TC	META	AFR	1	80	2388	182.286256551743	0	0	1	5
TC	META	AFR	1	81	1684	374.111651182175	0	0	0	0
TC	META	AFR	1	82	3661	366.394268751144	0	0	0	0
TC	META	AFR	1	83	4307	11370.4841179848	4	7	5	6
TC	META	AFR	1	84	6738	20943.6923260689	8	10	10	13
TC	META	AFR	1	85	2030	298.00100851059	0	0	0	0
TC	META	AFR	1	89	3876	1019.49942755699	0	0	0	0
TC	META	AFR	1	92	4539	1055.91325640678	0	0	0	0
TC	META	AFR	1	94	1062	100.086934328079	0	0	0	0
TC	META	AFR	1	95	1028	35.7008531093597	0	1	0	0
TC	META	AFR	1	96	4172	1445.14905405045	0	0	0	0
TC	META	AFR	1	97	5194	3162.44914722443	1	1	1	1
TC	META	AFR	1	100	4171	1048.14444327354	0	0	0	0
TC	META	AFR	1	109	5653	2398.25247144699	0	0	0	0
TC	META	AFR	1	124	6943	1775.90923690796	0	0	0	0
TC	META	AFR	1	125	8752	3904.50234246254	0	3	1	2
TC	META	AFR	1	127	3748	549.059266328812	0	0	0	0
TC	META	AFR	1	136	5116	1597.67609238625	0	0	0	0
TC	META	AFR	1	138	6746	3067.936013937	1	1	1	1
TC	META	AFR	1	139	1521	441.355833292007	0	0	0	0
TC	META	AFR	1	140	2156	736.067304849625	0	0	0	0
TC	META	AFR	1	141	2605	586.537352561951	0	0	0	0
TC	META	AFR	1	144	3689	956.77458524704	0	0	0	0
TC	META	AFR	1	145	2854	705.86458325386	0	0	0	0
TC	META	AFR	1	150	4985	1798.17287611961	0	0	0	0
TC	META	AFR	1	151	6771	1134.00797319412	0	0	0	0
TC	META	AFR	1	153	5273	2136.92540168762	0	0	0	0
TC	META	AFR	1	154	8827	2764.75751066208	0	0	0	0
TC	META	AFR	1	156	4660	1730.1444504261	0	0	0	0
TC	META	AFR	1	158	5394	1619.34345316887	0	0	0	0
TC	META	AFR	1	162	4315	1106.16188001633	0	0	0	0
TC	META	AFR	1	168	5378	2289.14001655579	0	0	0	0
TC	META	AFR	1	169	7264	2223.00279712677	0	0	0	0
TC	META	AFR	1	175	7195	2586.33680152893	0	0	0	0
TC	META	AFR	1	182	7706	2002.78640556335	0	0	0	0
TC	META	AFR	1	183	7267	2586.17019367218	0	0	0	0
TC	META	AFR	1	185	2393	555.884591341019	0	0	0	0
TC	META	AFR	1	187	4746	1783.39199590683	0	0	0	0
TC	META	AFR	1	188	5430	1651.94917726517	0	0	0	0
TC	META	AFR	1	192	5275	2067.59547829628	0	0	0	0
TC	META	AFR	1	201	6319	1604.82730078697	0	0	0	0
TC	META	AFR	1	202	5225	2382.33541750908	0	0	0	0
TC	META	AFR	1	205	2069	134.828287601471	0	1	1	4
TC	META	AFR	1	209	1295	326.64458656311	0	0	0	0
TC	META	AFR	1	213	2836	671.006011009216	0	0	0	0
TC	META	AFR	1	221	4896	1902.94317173958	0	0	0	0
TC	META	AFR	1	223	5603	1609.19515705109	0	0	0	0
TC	META	AFR	1	224	3371	1093.7825345993	0	0	0	0
TC	META	AFR	1	226	2006	419.009799003601	0	0	0	0
TC	META	AFR	1	229	4337	1187.77658081055	0	0	0	0
TC	META	AFR	1	233	6644	2251.17999219894	0	0	0	0
TC	META	AFR	1	234	7611	1603.49817299843	0	1	1	12
TC	META	AFR	1	235	5308	926.232136726379	0	0	0	0
TC	META	AFR	1	238	9991	3204.21901273727	0	0	0	0
TC	META	AFR	1	239	2352	699.951439857483	0	0	0	0
TC	META	AFR	1	240	10317	1294.63562560081	0	0	0	0
TC	META	AFR	1	252	2341	333.188293933868	1	1	2	5
TC	META	AFR	1	253	834	94.1292359828949	0	0	0	0
TC	META	AFR	1	254	4020	949.346338748932	0	0	0	0
