pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	EUR	1	1	487	59.8247873783112	0	0	1	29
TC	META	EUR	1	2	817	172.864975452423	0	0	1	18
TC	META	EUR	1	4	1278	81.3286209106445	0	0	1	14
TC	META	EUR	1	17	3414	717.476646900177	0	0	0	0
TC	META	EUR	1	19	2752	1647.4003303051	0	0	1	3
TC	META	EUR	1	35	3204	2664.32674074173	1	2	2	3
TC	META	EUR	1	40	1313	86.4900949001312	0	0	1	10
TC	META	EUR	1	48	1269	1932.12241196632	0	1	4	31
TC	META	EUR	1	49	1109	82.6362934112549	0	1	1	4
TC	META	EUR	1	51	1273	244.045260429382	0	0	2	19
TC	META	EUR	1	52	3254	5597.29721236229	1	1	3	81
TC	META	EUR	1	53	3076	3086.37608981133	0	0	1	5
TC	META	EUR	1	58	3265	721.0257127285	0	0	1	2
TC	META	EUR	1	67	2527	285.793183088303	0	0	0	0
TC	META	EUR	1	70	2602	730.527780056	0	1	1	18
TC	META	EUR	1	73	3361	590.247477769852	0	1	0	0
TC	META	EUR	1	74	3114	796.438411235809	0	0	0	0
TC	META	EUR	1	75	4126	6207.10392427444	1	1	2	5
TC	META	EUR	1	76	1936	465.028169155121	0	0	0	0
TC	META	EUR	1	80	1234	298.516443729401	0	0	0	0
TC	META	EUR	1	81	920	130.51579785347	0	0	0	0
TC	META	EUR	1	82	2023	257.832648038864	0	0	0	0
TC	META	EUR	1	83	2438	15416.8870971203	7	9	10	19
TC	META	EUR	1	84	3672	3750.5693192482	9	11	11	13
TC	META	EUR	1	85	1292	511.452906131744	1	1	1	1
TC	META	EUR	1	89	2038	545.25381231308	0	0	0	0
TC	META	EUR	1	92	2655	855.174627542496	0	0	0	0
TC	META	EUR	1	94	684	520.675635576248	0	1	2	18
TC	META	EUR	1	95	459	51.0813307762146	0	0	0	0
TC	META	EUR	1	96	2312	1221.70250439644	1	3	3	8
TC	META	EUR	1	97	2843	2908.60612678528	1	2	3	12
TC	META	EUR	1	100	2251	50.2160851955414	0	0	1	3
TC	META	EUR	1	109	3087	533.765633821487	0	0	1	54
TC	META	EUR	1	124	3866	326.782316446304	0	0	1	6
TC	META	EUR	1	125	4583	20750.6235506535	1	2	5	161
TC	META	EUR	1	127	2212	218.256126403809	0	0	1	20
TC	META	EUR	1	136	2633	256.008081436157	0	0	1	21
TC	META	EUR	1	138	3564	2119.66026854515	2	3	3	4
TC	META	EUR	1	139	911	1489.03590941429	1	3	2	10
TC	META	EUR	1	140	1281	93.4981918334961	0	1	0	0
TC	META	EUR	1	141	1533	130.924215316772	0	0	1	3
TC	META	EUR	1	144	1795	106.91090798378	0	0	1	21
TC	META	EUR	1	145	1771	175.732150793076	0	0	1	15
TC	META	EUR	1	150	2708	636.302845478058	0	1	1	15
TC	META	EUR	1	151	3424	1097.11224579811	0	0	1	7
TC	META	EUR	1	153	2557	1108.12659549713	1	1	1	1
TC	META	EUR	1	154	4061	4355.60910105705	0	1	3	14
TC	META	EUR	1	156	2524	115.216535568237	0	1	1	2
TC	META	EUR	1	158	2671	687.421163320541	0	1	1	4
TC	META	EUR	1	162	2204	377.785679578781	0	0	1	22
TC	META	EUR	1	168	3038	1413.71390604973	0	3	3	10
TC	META	EUR	1	169	4240	528.637547254562	0	0	1	7
TC	META	EUR	1	175	4071	84.889173746109	0	1	1	2
TC	META	EUR	1	182	3641	463.560348987579	0	0	0	0
TC	META	EUR	1	183	3828	776.019527435303	0	0	1	54
TC	META	EUR	1	185	1213	89.4948422908783	0	0	0	0
TC	META	EUR	1	187	2613	602.588737249374	0	0	1	21
TC	META	EUR	1	188	2952	288.520035028458	0	0	0	0
TC	META	EUR	1	192	2847	611.245018005371	0	0	1	27
TC	META	EUR	1	201	2970	644.785625934601	0	0	2	20
TC	META	EUR	1	202	2943	1475.25710344315	1	2	3	24
TC	META	EUR	1	205	1086	160.836766719818	0	0	0	0
TC	META	EUR	1	209	808	65.6601853370667	0	0	1	23
TC	META	EUR	1	213	1586	176.737731456757	0	0	1	19
TC	META	EUR	1	221	2542	190.978574752808	0	0	0	0
TC	META	EUR	1	223	3229	75.751941204071	0	0	1	27
TC	META	EUR	1	224	1809	236.545359611511	0	0	1	18
TC	META	EUR	1	226	1309	929.578241586685	1	1	3	31
TC	META	EUR	1	229	2698	333.46895813942	0	0	0	0
TC	META	EUR	1	233	3515	434.763018846512	0	0	0	0
TC	META	EUR	1	234	4055	1408.49027299881	1	2	2	4
