pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	AFR	1	1	1401	208.003660678864	0	0	0	0
TC	UKBB	AFR	1	2	1463	448.512443065643	0	0	0	0
TC	UKBB	AFR	1	4	1983	633.568749427795	0	0	0	0
TC	UKBB	AFR	1	17	6673	3070.80839538574	0	0	0	0
TC	UKBB	AFR	1	19	5446	2071.91084289551	0	0	0	0
TC	UKBB	AFR	1	35	6606	2565.15438055992	0	0	0	0
TC	UKBB	AFR	1	40	2215	848.872842550278	0	0	0	0
TC	UKBB	AFR	1	48	2605	1016.37485551834	0	0	0	0
TC	UKBB	AFR	1	49	2515	284.237844705582	0	0	0	0
TC	UKBB	AFR	1	51	2339	759.222028017044	0	0	0	0
TC	UKBB	AFR	1	52	6681	2114.08583712578	0	0	0	0
TC	UKBB	AFR	1	53	5745	2571.17373394966	0	0	0	0
TC	UKBB	AFR	1	58	6876	1537.73966908455	0	0	0	0
TC	UKBB	AFR	1	67	4462	1413.34021615982	0	0	0	0
TC	UKBB	AFR	1	70	4545	1912.17660856247	0	0	0	0
TC	UKBB	AFR	1	73	6461	2500.90820550919	0	0	0	0
TC	UKBB	AFR	1	74	6203	2083.88451719284	0	0	0	0
TC	UKBB	AFR	1	75	7814	2653.52767038345	0	0	0	0
TC	UKBB	AFR	1	76	4022	2024.27955913544	0	0	0	0
TC	UKBB	AFR	1	80	2388	517.341858863831	0	0	0	0
TC	UKBB	AFR	1	81	1684	536.437126159668	0	0	0	0
TC	UKBB	AFR	1	82	3661	1465.99671077728	0	0	0	0
TC	UKBB	AFR	1	83	4307	1651.69460248947	0	0	0	0
TC	UKBB	AFR	1	84	6738	3088.26438641548	1	2	2	3
TC	UKBB	AFR	1	85	2030	676.911192417145	0	0	0	0
TC	UKBB	AFR	1	89	3876	1184.30764007568	0	0	0	0
TC	UKBB	AFR	1	92	4539	2097.90465760231	0	0	0	0
TC	UKBB	AFR	1	94	1062	280.420327425003	0	0	0	0
TC	UKBB	AFR	1	95	1028	280.157280921936	0	0	0	0
TC	UKBB	AFR	1	96	4172	1521.57889914513	0	0	0	0
TC	UKBB	AFR	1	97	5194	1734.83688092232	0	0	0	0
TC	UKBB	AFR	1	100	4171	1701.41536569595	0	0	0	0
TC	UKBB	AFR	1	109	5653	2250.20692181587	0	0	0	0
TC	UKBB	AFR	1	124	6943	2091.22397208214	0	0	0	0
TC	UKBB	AFR	1	125	8752	873.526660919189	0	0	0	0
TC	UKBB	AFR	1	127	3748	1643.77505683899	0	0	0	0
TC	UKBB	AFR	1	136	5116	1896.34688711166	0	0	0	0
TC	UKBB	AFR	1	138	6746	297.617695331573	0	1	1	2
TC	UKBB	AFR	1	139	1521	423.624263048172	0	0	0	0
TC	UKBB	AFR	1	140	2156	596.207705259323	0	0	0	0
TC	UKBB	AFR	1	141	2605	780.866231679916	0	0	0	0
TC	UKBB	AFR	1	144	3689	1178.78958725929	0	0	0	0
TC	UKBB	AFR	1	145	2854	878.840336322784	0	0	0	0
TC	UKBB	AFR	1	150	4985	1474.19018340111	0	0	0	0
TC	UKBB	AFR	1	151	6771	2054.69116973877	0	0	0	0
TC	UKBB	AFR	1	153	5273	2066.76930594444	0	0	0	0
TC	UKBB	AFR	1	154	8827	2082.65894412994	0	0	0	0
TC	UKBB	AFR	1	156	4660	1500.8215174675	0	0	0	0
TC	UKBB	AFR	1	158	5394	683.112226963043	0	0	0	0
TC	UKBB	AFR	1	162	4315	756.128739118576	0	0	0	0
TC	UKBB	AFR	1	168	5378	946.810291051865	0	0	0	0
TC	UKBB	AFR	1	169	7264	2863.02178549767	0	0	0	0
TC	UKBB	AFR	1	175	7195	905.664200782776	0	0	0	0
TC	UKBB	AFR	1	182	7706	2423.88647198677	0	0	0	0
TC	UKBB	AFR	1	183	7267	1749.6056497097	0	0	0	0
TC	UKBB	AFR	1	185	2393	643.972204685211	0	0	0	0
TC	UKBB	AFR	1	187	4746	1468.4852836132	0	0	0	0
TC	UKBB	AFR	1	188	5430	1512.76611876488	0	0	0	0
TC	UKBB	AFR	1	192	5275	1001.4377617836	0	0	0	0
TC	UKBB	AFR	1	201	6319	2015.09222602844	0	0	0	0
TC	UKBB	AFR	1	202	5225	2062.28619408607	0	0	0	0
TC	UKBB	AFR	1	205	2069	342.326218605042	0	0	0	0
TC	UKBB	AFR	1	209	1295	271.605139970779	0	0	0	0
TC	UKBB	AFR	1	213	2836	807.133394479752	0	0	0	0
TC	UKBB	AFR	1	221	4896	2060.1466178894	0	0	0	0
TC	UKBB	AFR	1	223	5603	1044.47492957115	0	0	0	0
TC	UKBB	AFR	1	224	3371	1114.73577475548	0	0	0	0
TC	UKBB	AFR	1	226	2006	552.452467679977	0	0	0	0
TC	UKBB	AFR	1	229	4337	1541.06014823914	0	0	0	0
TC	UKBB	AFR	1	233	6644	2769.46224856377	0	0	0	0
TC	UKBB	AFR	1	234	7611	2843.80757594109	0	0	0	0
TC	UKBB	AFR	1	235	5308	2224.97434425354	0	0	0	0
TC	UKBB	AFR	1	238	9991	1340.93187355995	0	0	0	0
TC	UKBB	AFR	1	239	2352	589.30940413475	0	0	0	0
TC	UKBB	AFR	1	240	10317	3825.47865343094	0	0	0	0
TC	UKBB	AFR	1	252	2341	570.769731521606	0	0	0	0
TC	UKBB	AFR	1	253	834	100.423852205276	0	0	0	0
TC	UKBB	AFR	1	254	4020	625.786329746246	0	0	0	0
TC	UKBB	AFR	1	255	2547	606.258282423019	0	0	0	0
TC	UKBB	AFR	1	257	2617	709.755384206772	0	0	0	0
TC	UKBB	AFR	1	280	10183	1575.37421798706	0	0	0	0
TC	UKBB	AFR	1	281	7475	3015.72325801849	0	0	0	0
TC	UKBB	AFR	2	6	2729	916.521430253983	0	0	0	0
TC	UKBB	AFR	2	21	1697	430.394110918045	0	0	0	0
TC	UKBB	AFR	2	31	1598	471.455838441849	0	0	0	0
TC	UKBB	AFR	2	32	2234	650.975464344025	0	0	0	0
TC	UKBB	AFR	2	37	2336	585.913984775543	0	0	0	0
