pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	EAS	1	1	81	6.7343578338623	0	0	0	0
TC	UKBB	EAS	1	2	130	13.9408004283905	0	0	0	0
TC	UKBB	EAS	1	4	446	58.3769943714142	0	0	0	0
TC	UKBB	EAS	1	17	1843	451.126705646515	0	0	0	0
TC	UKBB	EAS	1	19	1424	361.796285152435	0	0	0	0
TC	UKBB	EAS	1	35	1476	240.467149019241	0	0	0	0
TC	UKBB	EAS	1	40	721	130.721885442734	0	0	0	0
TC	UKBB	EAS	1	48	664	139.305343389511	0	0	0	0
TC	UKBB	EAS	1	49	514	93.8946514129639	0	0	0	0
TC	UKBB	EAS	1	51	582	73.5787394046783	0	0	0	0
TC	UKBB	EAS	1	52	1614	414.743148326874	0	0	0	0
TC	UKBB	EAS	1	53	1238	305.66361284256	0	0	0	0
TC	UKBB	EAS	1	58	1604	291.80109667778	0	0	0	0
TC	UKBB	EAS	1	67	1285	312.944006443024	0	0	0	0
TC	UKBB	EAS	1	70	1434	369.968487739563	0	0	0	0
TC	UKBB	EAS	1	73	1710	390.603209018707	0	0	0	0
TC	UKBB	EAS	1	74	1519	361.030502319336	0	0	0	0
TC	UKBB	EAS	1	75	2502	810.354660987854	0	0	0	0
TC	UKBB	EAS	1	76	1364	307.345092773438	0	0	0	0
TC	UKBB	EAS	1	80	855	132.612629652023	0	0	0	0
TC	UKBB	EAS	1	81	557	103.341509103775	0	0	0	0
TC	UKBB	EAS	1	82	967	203.220212936401	0	0	0	0
TC	UKBB	EAS	1	83	1594	399.501791238785	0	0	0	0
TC	UKBB	EAS	1	84	2380	721.886704921722	0	0	0	0
TC	UKBB	EAS	1	85	799	153.429548978806	0	0	0	0
TC	UKBB	EAS	1	89	1230	244.764298439026	0	0	0	0
TC	UKBB	EAS	1	92	1453	331.219552755356	0	0	0	0
TC	UKBB	EAS	1	94	306	29.4867296218872	0	0	0	0
TC	UKBB	EAS	1	95	317	41.397358417511	0	0	0	0
TC	UKBB	EAS	1	96	1287	140.033408641815	0	0	0	0
TC	UKBB	EAS	1	97	1460	332.947143316269	0	0	0	0
TC	UKBB	EAS	1	100	1545	315.949279785156	0	0	0	0
TC	UKBB	EAS	1	109	1716	402.702346563339	0	0	0	0
TC	UKBB	EAS	1	124	2075	399.725810289383	0	0	0	0
TC	UKBB	EAS	1	125	2314	504.552681207657	0	0	0	0
TC	UKBB	EAS	1	127	1265	168.076922893524	0	0	0	0
TC	UKBB	EAS	1	136	1306	318.182983636856	0	0	0	0
TC	UKBB	EAS	1	138	1529	342.096922874451	0	0	0	0
TC	UKBB	EAS	1	139	354	47.5851757526398	0	0	0	0
TC	UKBB	EAS	1	140	699	135.829578638077	0	0	0	0
TC	UKBB	EAS	1	141	765	127.721227645874	0	0	0	0
TC	UKBB	EAS	1	144	759	123.107911109924	0	0	0	0
TC	UKBB	EAS	1	145	857	141.103792667389	0	0	0	0
TC	UKBB	EAS	1	150	1536	237.792803049088	0	0	0	0
TC	UKBB	EAS	1	151	2238	563.725015640259	0	0	0	0
TC	UKBB	EAS	1	153	1674	394.74645113945	0	0	0	0
TC	UKBB	EAS	1	154	2213	642.53968167305	0	0	0	0
TC	UKBB	EAS	1	156	1278	283.271066427231	0	0	0	0
TC	UKBB	EAS	1	158	942	150.210461139679	0	0	0	0
TC	UKBB	EAS	1	162	1113	253.588985443115	0	0	0	0
TC	UKBB	EAS	1	168	1564	354.294646501541	0	0	0	0
TC	UKBB	EAS	1	169	2617	624.903762817383	0	0	0	0
TC	UKBB	EAS	1	175	2085	559.389956474304	0	0	0	0
TC	UKBB	EAS	1	182	2046	443.212601900101	0	0	0	0
TC	UKBB	EAS	1	183	2136	457.821978807449	0	0	0	0
TC	UKBB	EAS	1	185	579	98.2195963859558	0	0	0	0
TC	UKBB	EAS	1	187	1445	336.771467208862	0	0	0	0
TC	UKBB	EAS	1	188	1835	414.4329662323	0	0	0	0
TC	UKBB	EAS	1	192	1664	381.821717977524	0	0	0	0
TC	UKBB	EAS	1	201	1726	344.096866369247	0	0	0	0
TC	UKBB	EAS	1	202	1526	374.728543996811	0	0	0	0
TC	UKBB	EAS	1	205	630	109.15198135376	0	0	0	0
TC	UKBB	EAS	1	209	498	76.7622222900391	0	0	0	0
TC	UKBB	EAS	1	213	865	167.751366376877	0	0	0	0
TC	UKBB	EAS	1	221	1649	400.992058992386	0	0	0	0
TC	UKBB	EAS	1	223	1710	272.136198282242	0	0	0	0
TC	UKBB	EAS	1	224	1119	235.657257318497	0	0	0	0
TC	UKBB	EAS	1	226	665	77.8195314407349	0	0	0	0
TC	UKBB	EAS	1	229	1438	356.046882152557	0	0	0	0
TC	UKBB	EAS	1	233	2143	659.767815351486	0	0	0	0
TC	UKBB	EAS	1	234	2539	768.591451644897	0	0	0	0
TC	UKBB	EAS	1	235	1542	190.643473863602	0	0	0	0
TC	UKBB	EAS	1	238	3472	1177.51126623154	0	0	0	0
TC	UKBB	EAS	1	239	979	201.482484340668	0	0	0	0
TC	UKBB	EAS	1	240	3791	715.674631595612	0	0	0	0
TC	UKBB	EAS	1	252	662	100.676713705063	0	0	0	0
TC	UKBB	EAS	1	253	176	14.2189438343048	0	0	0	0
TC	UKBB	EAS	1	254	1130	216.356024026871	0	0	0	0
TC	UKBB	EAS	1	255	808	137.166964530945	0	0	0	0
TC	UKBB	EAS	1	257	1008	197.708264350891	0	0	0	0
TC	UKBB	EAS	1	280	2869	876.086444854736	0	0	0	0
TC	UKBB	EAS	1	281	1751	332.051911354065	0	0	0	0
TC	UKBB	EAS	2	6	929	191.712644577026	0	0	0	0
TC	UKBB	EAS	2	21	333	36.1189935207367	0	0	0	0
TC	UKBB	EAS	2	31	425	60.3669130802155	0	0	0	0
TC	UKBB	EAS	2	32	654	109.47429895401	0	0	0	0
TC	UKBB	EAS	2	37	672	96.501403093338	0	0	0	0
TC	UKBB	EAS	2	38	1629	371.205249547958	0	0	0	0
TC	UKBB	EAS	2	39	735	110.112352609634	0	0	0	0
TC	UKBB	EAS	2	40	2233	490.03990650177	0	0	0	0
TC	UKBB	EAS	2	41	962	178.896789312363	0	0	0	0
TC	UKBB	EAS	2	42	73	6.38934636116028	0	0	0	0
TC	UKBB	EAS	2	43	183	19.9562606811523	0	0	0	0
TC	UKBB	EAS	2	44	721	103.485231637955	0	0	0	0
TC	UKBB	EAS	2	45	1688	448.241286754608	0	0	0	0
TC	UKBB	EAS	2	46	855	148.787638425827	0	0	0	0
TC	UKBB	EAS	2	47	2182	583.820771932602	0	0	0	0
TC	UKBB	EAS	2	48	1172	257.048874139786	0	0	0	0
TC	UKBB	EAS	2	49	1348	260.022211074829	0	0	0	0
TC	UKBB	EAS	2	50	1271	180.455306529999	0	0	0	0
TC	UKBB	EAS	2	51	1408	289.185414075851	0	0	0	0
TC	UKBB	EAS	2	53	1072	212.694580316544	0	0	0	0
TC	UKBB	EAS	2	55	2707	838.349524736404	0	0	0	0
TC	UKBB	EAS	2	56	135	13.5554285049438	0	0	0	0
TC	UKBB	EAS	2	66	3282	582.847660541534	0	0	0	0
TC	UKBB	EAS	2	69	1883	183.398439884186	0	0	0	0
TC	UKBB	EAS	2	71	1203	259.056870222092	0	0	0	0
TC	UKBB	EAS	2	72	2370	469.530434131622	0	0	0	0
TC	UKBB	EAS	2	74	744	132.979761123657	0	0	0	0
TC	UKBB	EAS	2	75	983	145.19284081459	0	0	0	0
TC	UKBB	EAS	2	77	870	167.979214906693	0	0	0	0
TC	UKBB	EAS	2	84	5250	1773.77208471298	0	0	0	0
TC	UKBB	EAS	2	88	5283	1671.76688432693	0	0	0	0
TC	UKBB	EAS	2	89	983	172.423581361771	0	0	0	0
TC	UKBB	EAS	2	97	2180	625.080200910568	0	0	0	0
TC	UKBB	EAS	2	99	889	164.206114768982	0	0	0	0
TC	UKBB	EAS	2	100	945	184.260263442993	0	0	0	0
TC	UKBB	EAS	2	102	806	142.11323595047	0	0	0	0
TC	UKBB	EAS	2	107	2962	960.288822412491	0	0	0	0
TC	UKBB	EAS	2	115	2468	306.966508865356	0	0	0	0
TC	UKBB	EAS	2	121	2235	589.913603067398	0	0	0	0
TC	UKBB	EAS	2	122	974	152.953084945679	0	0	0	0
TC	UKBB	EAS	2	124	1561	390.820442199707	0	0	0	0
TC	UKBB	EAS	2	125	1561	411.8152384758	0	0	0	0
TC	UKBB	EAS	2	127	3094	817.241582632065	0	0	0	0
TC	UKBB	EAS	2	128	2234	427.479775190353	0	0	0	0
TC	UKBB	EAS	2	130	336	33.1801698207855	0	0	0	0
TC	UKBB	EAS	2	131	73	6.61293983459473	0	0	0	0
TC	UKBB	EAS	2	138	2170	427.895880699158	0	0	0	0
TC	UKBB	EAS	2	146	2626	648.064705133438	0	0	0	0
TC	UKBB	EAS	2	147	4071	974.371489048004	0	0	0	0
TC	UKBB	EAS	2	152	1219	239.940417289734	0	0	0	0
TC	UKBB	EAS	2	153	1781	469.920790433884	0	0	0	0
