pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	META	EAS	1	3	156	14.9083995819092	0	0	0	0
TG	META	EAS	1	4	407	69.0586814880371	0	0	0	0
TG	META	EAS	1	5	488	99.8731005191803	0	0	0	0
TG	META	EAS	1	15	1437	349.621900320053	0	0	0	0
TG	META	EAS	1	17	1882	526.735787153244	0	0	0	0
TG	META	EAS	1	18	790	127.04892039299	0	0	0	0
TG	META	EAS	1	19	1298	301.691285610199	0	0	0	0
TG	META	EAS	1	21	1080	226.46603679657	0	0	0	0
TG	META	EAS	1	23	620	129.339460849762	0	0	0	0
TG	META	EAS	1	32	511	93.0775270462036	0	0	0	0
TG	META	EAS	1	35	1512	415.931664466858	0	0	0	0
TG	META	EAS	1	43	471	96.7552309036255	0	0	0	0
TG	META	EAS	1	48	691	144.274921894073	0	0	0	0
TG	META	EAS	1	50	951	94.2560410499573	0	0	0	0
TG	META	EAS	1	51	611	112.081563711166	0	0	0	0
TG	META	EAS	1	52	1510	433.32617354393	0	0	0	0
TG	META	EAS	1	53	1289	337.911732912064	0	0	0	0
TG	META	EAS	1	58	1575	151.55993103981	0	0	0	0
TG	META	EAS	1	63	1610	507.572961807251	0	1	0	0
TG	META	EAS	1	67	1234	308.509202480316	0	0	0	0
TG	META	EAS	1	70	1507	413.602813482285	0	0	0	0
TG	META	EAS	1	71	1654	403.134568691254	0	0	0	0
TG	META	EAS	1	83	1626	467.414929628372	0	0	0	0
TG	META	EAS	1	85	958	216.73237657547	0	0	0	0
TG	META	EAS	1	94	353	63.0427904129028	0	0	0	0
TG	META	EAS	1	96	1350	263.062946081161	0	0	0	0
TG	META	EAS	1	97	1570	106.571814537048	0	0	1	19
TG	META	EAS	1	100	1650	457.018355846405	0	0	0	0
TG	META	EAS	1	101	1289	321.249760150909	0	0	0	0
TG	META	EAS	1	105	3215	1129.14820671082	0	0	0	0
TG	META	EAS	1	124	2078	602.628358840942	0	0	0	0
TG	META	EAS	1	125	2416	794.287784814835	0	0	0	0
TG	META	EAS	1	127	1325	321.733018636703	0	0	0	0
TG	META	EAS	1	129	581	87.4672975540161	0	0	0	0
TG	META	EAS	1	132	1723	394.988471508026	0	0	0	0
TG	META	EAS	1	135	2230	721.452499389648	0	0	0	0
TG	META	EAS	1	138	1597	336.032307863235	0	0	0	0
TG	META	EAS	1	139	430	48.2174112796783	0	0	0	0
TG	META	EAS	1	143	1210	279.149609565735	0	0	0	0
TG	META	EAS	1	144	749	131.804584264755	0	0	0	0
TG	META	EAS	1	150	1696	377.922496795654	0	0	0	0
TG	META	EAS	1	154	2237	756.53505730629	0	0	0	0
TG	META	EAS	1	155	1128	211.746199846268	0	0	0	0
TG	META	EAS	1	156	1411	365.626368522644	0	0	0	0
TG	META	EAS	1	158	993	207.617037773132	0	0	0	0
TG	META	EAS	1	168	1730	444.801917791367	0	0	0	0
TG	META	EAS	1	182	2209	611.596932888031	0	0	0	0
TG	META	EAS	1	183	2279	783.79981803894	0	0	0	0
TG	META	EAS	1	184	525	87.0143971443176	0	0	0	0
TG	META	EAS	1	187	1542	440.113141536713	0	0	0	0
TG	META	EAS	1	192	1790	480.201235294342	0	0	0	0
TG	META	EAS	1	193	1989	429.730419874191	0	0	0	0
TG	META	EAS	1	201	1846	494.734731435776	0	0	0	0
TG	META	EAS	1	202	1600	454.25373339653	0	0	0	0
TG	META	EAS	1	203	1530	329.735736131668	0	0	0	0
TG	META	EAS	1	207	972	198.303833723068	0	0	0	0
TG	META	EAS	1	208	1263	269.763302087784	0	0	0	0
TG	META	EAS	1	209	541	37.8331091403961	0	0	0	0
TG	META	EAS	1	211	771	118.758672952652	0	0	0	0
TG	META	EAS	1	212	1163	260.171837806702	0	0	0	0
TG	META	EAS	1	213	881	142.038612127304	0	0	0	0
TG	META	EAS	1	214	756	134.312891244888	0	0	0	0
TG	META	EAS	1	217	737	121.605099439621	0	0	0	0
TG	META	EAS	1	219	1622	388.817203521729	0	0	0	0
TG	META	EAS	1	221	1783	395.281560182571	0	0	0	0
TG	META	EAS	1	226	672	115.810883283615	0	0	0	0
TG	META	EAS	1	228	894	185.801035165787	0	0	0	0
TG	META	EAS	1	233	2269	692.221287488937	0	0	0	0
TG	META	EAS	1	234	2668	499.548709630966	0	0	0	0
TG	META	EAS	1	235	1504	264.138561487198	0	0	0	0
TG	META	EAS	1	238	3673	1106.81769037247	0	0	0	0
TG	META	EAS	1	239	994	128.501572608948	0	0	0	0
TG	META	EAS	1	240	3916	1228.44268608093	0	0	0	0
TG	META	EAS	1	242	606	80.3439540863037	0	0	0	0
TG	META	EAS	1	243	927	97.0530579090118	0	0	0	0
TG	META	EAS	1	244	2078	292.997247457504	0	0	0	0
TG	META	EAS	1	248	1132	103.555201768875	0	0	0	0
TG	META	EAS	1	252	730	107.598477602005	0	0	0	0
TG	META	EAS	1	254	1159	109.470907926559	0	0	0	0
TG	META	EAS	1	255	920	184.209924221039	0	0	0	0
TG	META	EAS	1	257	1136	267.650880336761	0	0	0	0
TG	META	EAS	1	264	894	185.09242105484	0	0	0	0
TG	META	EAS	1	274	1896	366.615909099579	0	0	0	0
TG	META	EAS	1	277	352	46.1193284988403	0	0	0	0
TG	META	EAS	1	280	3083	1145.52760386467	0	0	0	0
TG	META	EAS	2	1	541	91.0905771255493	0	0	0	0
TG	META	EAS	2	2	3005	947.566942691803	0	0	0	0
TG	META	EAS	2	6	901	181.088227272034	0	0	0	0
TG	META	EAS	2	7	670	115.138142347336	0	0	0	0
TG	META	EAS	2	21	349	47.342476606369	0	0	0	0
TG	META	EAS	2	34	2097	608.732992649078	0	0	0	0
TG	META	EAS	2	41	1052	91.1681568622589	0	0	0	0
TG	META	EAS	2	43	198	21.2717115879059	0	0	0	0
