pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	AFR	1	3	820	196.395184755325	0	0	0	0
TG	UKBB	AFR	1	4	1984	443.326903820038	0	0	0	0
TG	UKBB	AFR	1	5	3594	609.189928770065	0	0	0	0
TG	UKBB	AFR	1	15	5216	2382.06423449516	0	0	0	0
TG	UKBB	AFR	1	17	6602	2384.663418293	0	0	0	0
TG	UKBB	AFR	1	18	2496	726.723236083984	0	0	0	0
TG	UKBB	AFR	1	19	5384	2851.75040459633	0	0	0	0
TG	UKBB	AFR	1	21	3660	669.520454645157	0	0	0	0
TG	UKBB	AFR	1	23	1852	93.1942296028137	0	0	0	0
TG	UKBB	AFR	1	32	1442	408.309135913849	0	0	0	0
TG	UKBB	AFR	1	35	6543	2509.22644805908	0	0	0	0
TG	UKBB	AFR	1	43	1376	157.459665775299	0	0	0	0
TG	UKBB	AFR	1	48	2576	961.151977777481	0	0	0	0
TG	UKBB	AFR	1	50	3554	1244.5760383606	0	0	0	0
TG	UKBB	AFR	1	51	2313	960.057790279388	0	0	0	0
TG	UKBB	AFR	1	52	6601	3174.74202060699	0	0	0	0
TG	UKBB	AFR	1	53	5709	2652.40807271004	0	0	0	0
TG	UKBB	AFR	1	58	6810	3108.54695725441	0	0	0	0
TG	UKBB	AFR	1	63	5211	2374.82217383385	0	0	0	0
TG	UKBB	AFR	1	67	4388	598.7565305233	0	0	0	0
TG	UKBB	AFR	1	70	4508	1554.51350831985	0	0	0	0
TG	UKBB	AFR	1	71	4682	1048.73761916161	0	0	0	0
TG	UKBB	AFR	1	83	4244	807.683834552765	0	0	0	0
TG	UKBB	AFR	1	85	1974	681.448594093323	0	0	0	0
TG	UKBB	AFR	1	94	1055	318.364493131638	0	0	0	0
TG	UKBB	AFR	1	96	4148	1517.86334013939	0	0	0	0
TG	UKBB	AFR	1	97	5089	578.119621515274	0	0	0	0
TG	UKBB	AFR	1	100	4054	2380.9629201889	0	0	0	0
TG	UKBB	AFR	1	101	4245	2232.33892035484	0	0	0	0
TG	UKBB	AFR	1	105	11487	4359.24591255188	0	0	0	0
TG	UKBB	AFR	1	124	6840	2541.4654712677	0	0	0	0
TG	UKBB	AFR	1	125	8663	2132.40894699097	0	0	0	0
TG	UKBB	AFR	1	127	3674	1706.71507453918	0	0	0	0
TG	UKBB	AFR	1	129	2213	655.06420135498	0	0	0	0
TG	UKBB	AFR	1	132	4547	1495.6919593811	0	0	0	0
TG	UKBB	AFR	1	135	7509	1845.60435724258	0	1	0	0
TG	UKBB	AFR	1	138	6665	1228.82167029381	0	0	0	0
TG	UKBB	AFR	1	139	1514	440.233852148056	0	0	0	0
TG	UKBB	AFR	1	143	4016	1507.91911458969	0	0	0	0
TG	UKBB	AFR	1	144	3661	1661.8523862361899	0	0	0	0
TG	UKBB	AFR	1	150	4916	1927.49236273766	0	0	0	0
TG	UKBB	AFR	1	154	8691	2304.07479524612	0	0	0	0
TG	UKBB	AFR	1	155	3504	1584.21571087837	0	0	0	0
TG	UKBB	AFR	1	156	4612	1709.64700388908	0	0	0	0
TG	UKBB	AFR	1	158	5374	2176.32498979568	0	0	0	0
TG	UKBB	AFR	1	168	5333	935.271683692932	0	0	0	0
TG	UKBB	AFR	1	182	7605	674.447739839554	0	1	0	0
TG	UKBB	AFR	1	183	7164	1699.80829644203	0	0	0	0
TG	UKBB	AFR	1	184	1603	365.236021757126	0	0	0	0
TG	UKBB	AFR	1	187	4655	2147.05367732048	0	0	0	0
TG	UKBB	AFR	1	192	5207	1471.83049464226	0	0	0	0
TG	UKBB	AFR	1	193	6039	2131.96152544022	0	0	0	0
TG	UKBB	AFR	1	201	6258	2599.6171271801	0	0	0	0
TG	UKBB	AFR	1	202	5163	2203.4690952301	0	0	0	0
TG	UKBB	AFR	1	203	4393	1711.38761568069	0	0	0	0
TG	UKBB	AFR	1	207	3090	1247.45942854881	0	0	0	0
TG	UKBB	AFR	1	208	3716	1735.32281184196	0	0	0	0
TG	UKBB	AFR	1	209	1258	256.007075786591	0	0	0	0
TG	UKBB	AFR	1	211	2773	805.406599521637	0	0	0	0
TG	UKBB	AFR	1	212	3850	1446.21719670296	0	0	0	0
