pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	EAS	1	3	156	18.3343396186829	0	0	0	0
TG	UKBB	EAS	1	4	407	60.0300035476685	0	0	0	0
TG	UKBB	EAS	1	5	488	91.3317782878876	0	0	0	0
TG	UKBB	EAS	1	15	1437	283.174891233444	0	0	0	0
TG	UKBB	EAS	1	17	1882	463.712734460831	0	0	0	0
TG	UKBB	EAS	1	18	790	146.657299757004	0	0	0	0
TG	UKBB	EAS	1	19	1298	306.679550886154	0	0	0	0
TG	UKBB	EAS	1	21	1080	271.452484846115	0	0	0	0
TG	UKBB	EAS	1	23	620	49.1380679607391	0	0	0	0
TG	UKBB	EAS	1	32	511	56.6234421730042	0	0	0	0
TG	UKBB	EAS	1	35	1512	255.543686151505	0	0	0	0
TG	UKBB	EAS	1	43	471	87.5215556621552	0	0	0	0
TG	UKBB	EAS	1	48	691	128.151105165482	0	0	0	0
TG	UKBB	EAS	1	50	951	158.090501070023	0	0	0	0
TG	UKBB	EAS	1	51	611	82.5053150653839	0	0	0	0
TG	UKBB	EAS	1	52	1510	272.487014770508	0	0	0	0
TG	UKBB	EAS	1	53	1289	328.147164821625	0	0	0	0
TG	UKBB	EAS	1	58	1575	429.701401233673	0	0	0	0
TG	UKBB	EAS	1	63	1610	394.294878482819	0	0	0	0
TG	UKBB	EAS	1	67	1234	142.339900016785	0	0	0	0
TG	UKBB	EAS	1	70	1507	370.138148069382	0	0	0	0
TG	UKBB	EAS	1	71	1654	393.824125766754	0	0	0	0
TG	UKBB	EAS	1	83	1626	254.221051216125	0	0	0	0
TG	UKBB	EAS	1	85	958	204.992272377014	0	0	0	0
TG	UKBB	EAS	1	94	353	54.68399477005	0	0	0	0
TG	UKBB	EAS	1	96	1350	352.283974409103	0	0	0	0
TG	UKBB	EAS	1	97	1570	410.57957649231	0	0	0	0
TG	UKBB	EAS	1	100	1650	395.899495840073	0	0	0	0
TG	UKBB	EAS	1	101	1289	176.5054500103	0	0	0	0
TG	UKBB	EAS	1	105	3215	748.21123623848	0	0	0	0
TG	UKBB	EAS	1	124	2078	227.700545549393	0	0	0	0
TG	UKBB	EAS	1	125	2416	683.365918159485	0	0	0	0
TG	UKBB	EAS	1	127	1325	298.134087562561	0	0	0	0
TG	UKBB	EAS	1	129	581	89.4292368888855	0	0	0	0
TG	UKBB	EAS	1	132	1723	426.745414972305	0	0	0	0
TG	UKBB	EAS	1	135	2230	714.33491206169106	0	0	0	0
TG	UKBB	EAS	1	138	1597	396.852117061615	0	0	0	0
TG	UKBB	EAS	1	139	430	55.4039347171783	0	0	0	0
TG	UKBB	EAS	1	143	1210	258.230752229691	0	0	0	0
TG	UKBB	EAS	1	144	749	122.74924659729	0	0	0	0
TG	UKBB	EAS	1	150	1696	335.61138677597	0	0	0	0
TG	UKBB	EAS	1	154	2237	502.241939544678	0	0	0	0
TG	UKBB	EAS	1	155	1128	237.486367940903	0	0	0	0
TG	UKBB	EAS	1	156	1411	222.36906504631	0	0	0	0
TG	UKBB	EAS	1	158	993	221.870020627975	0	0	0	0
TG	UKBB	EAS	1	168	1730	485.580527067184	0	0	0	0
TG	UKBB	EAS	1	182	2209	466.502801418304	0	0	0	0
TG	UKBB	EAS	1	183	2279	653.539175271988	0	0	0	0
TG	UKBB	EAS	1	184	525	79.9894993305206	0	0	0	0
TG	UKBB	EAS	1	187	1542	401.853599309921	0	0	0	0
TG	UKBB	EAS	1	192	1790	424.347612380981	0	0	0	0
TG	UKBB	EAS	1	193	1989	581.1275806427	0	0	0	0
TG	UKBB	EAS	1	201	1846	483.018681526184	0	0	0	0
TG	UKBB	EAS	1	202	1600	412.601722955704	0	0	0	0
TG	UKBB	EAS	1	203	1530	391.176418781281	0	0	0	0
TG	UKBB	EAS	1	207	972	94.9837992191315	0	0	0	0
TG	UKBB	EAS	1	208	1263	299.584941148758	0	0	0	0
TG	UKBB	EAS	1	209	541	78.15158867836	0	0	0	0
TG	UKBB	EAS	1	211	771	113.703306436539	0	0	0	0
TG	UKBB	EAS	1	212	1163	252.940173625946	0	0	0	0
TG	UKBB	EAS	1	213	881	131.535611867905	0	0	0	0
TG	UKBB	EAS	1	214	756	144.73947262764	0	0	0	0
TG	UKBB	EAS	1	217	737	125.300943374634	0	0	0	0
TG	UKBB	EAS	1	219	1622	462.470302343369	0	0	0	0
TG	UKBB	EAS	1	221	1783	429.279608249664	0	0	0	0
TG	UKBB	EAS	1	226	672	76.7673027515411	0	0	0	0
TG	UKBB	EAS	1	228	894	181.333413600922	0	0	0	0
TG	UKBB	EAS	1	233	2269	488.26197886467	0	0	0	0
TG	UKBB	EAS	1	234	2668	750.349371671677	0	0	0	0
TG	UKBB	EAS	1	235	1504	394.392274856567	0	0	0	0
TG	UKBB	EAS	1	238	3673	1152.79272389412	0	0	0	0
TG	UKBB	EAS	1	239	994	84.979453086853	0	0	0	0
TG	UKBB	EAS	1	240	3916	981.040870666504	0	0	0	0
TG	UKBB	EAS	1	242	606	88.7807111740112	0	0	0	0
TG	UKBB	EAS	1	243	927	176.750253915787	0	0	0	0
TG	UKBB	EAS	1	244	2078	471.753625392914	0	0	0	0
TG	UKBB	EAS	1	248	1132	188.750957965851	0	0	0	0
TG	UKBB	EAS	1	252	730	57.7386710643768	0	0	0	0
TG	UKBB	EAS	1	254	1159	268.702342987061	0	0	0	0
TG	UKBB	EAS	1	255	920	112.979476451874	0	0	0	0
TG	UKBB	EAS	1	257	1136	271.725976467133	0	0	0	0
TG	UKBB	EAS	1	264	894	177.27101111412	0	0	0	0
TG	UKBB	EAS	1	274	1896	205.279916286469	0	0	0	0
TG	UKBB	EAS	1	277	352	17.182986497879	0	0	0	0
