pheno	db	pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	EUR	1	3	519	92.7631211280823	0	0	1	89
TG	UKBB	EUR	1	4	1272	1167.51312923431	0	2	2	39
TG	UKBB	EUR	1	5	1955	246.72961974144	0	0	0	0
TG	UKBB	EUR	1	15	2722	330.024696350098	0	0	0	0
TG	UKBB	EUR	1	17	3336	836.116695642471	0	0	0	0
TG	UKBB	EUR	1	18	1456	175.876314401627	0	0	0	0
TG	UKBB	EUR	1	19	2682	277.733159303665	0	1	1	5
TG	UKBB	EUR	1	21	1723	98.8509914875031	1	1	1	1
TG	UKBB	EUR	1	23	991	147.81308221817	0	0	0	0
TG	UKBB	EUR	1	32	882	88.8416669368744	0	0	0	0
TG	UKBB	EUR	1	35	3113	621.083475112915	0	0	0	0
TG	UKBB	EUR	1	43	877	111.721840858459	0	0	0	0
TG	UKBB	EUR	1	48	1230	108.048439502716	0	1	1	9
TG	UKBB	EUR	1	50	1846	301.263367414474	0	0	0	0
TG	UKBB	EUR	1	51	1248	277.32800579071	0	0	0	0
TG	UKBB	EUR	1	52	3167	775.737067222595	1	1	2	18
TG	UKBB	EUR	1	53	3002	1082.51999545097	1	2	1	1
TG	UKBB	EUR	1	58	3184	571.706612825394	0	0	0	0
TG	UKBB	EUR	1	63	2067	535.390331029892	0	0	0	0
TG	UKBB	EUR	1	67	2444	386.069928407669	0	0	0	0
TG	UKBB	EUR	1	70	2539	1239.97414898872	0	1	1	5
TG	UKBB	EUR	1	71	2477	588.484779596329	0	0	1	8
TG	UKBB	EUR	1	83	2364	566.955315351486	0	0	1	3
TG	UKBB	EUR	1	85	1241	158.042851209641	0	0	0	0
TG	UKBB	EUR	1	94	672	46.7766532897949	0	0	1	16
TG	UKBB	EUR	1	96	2269	3399.79218840599	1	2	2	5
TG	UKBB	EUR	1	97	2732	1288.94729328156	0	0	2	33
TG	UKBB	EUR	1	100	2126	449.386967658997	0	1	0	0
TG	UKBB	EUR	1	101	2171	286.546051263809	0	0	0	0
TG	UKBB	EUR	1	105	5775	416.92654132843	0	0	1	18
TG	UKBB	EUR	1	124	3743	895.499571800232	0	0	2	37
TG	UKBB	EUR	1	125	4461	1261.35940527916	0	0	1	3
TG	UKBB	EUR	1	127	2121	584.956620693207	0	0	0	0
TG	UKBB	EUR	1	129	1453	307.083300113678	0	0	1	16
TG	UKBB	EUR	1	132	2551	600.477180242538	0	0	0	0
TG	UKBB	EUR	1	135	3713	888.150215387344	0	0	0	0
TG	UKBB	EUR	1	138	3451	542.788475751877	0	0	0	0
TG	UKBB	EUR	1	139	893	69.6281657218933	0	0	1	7
TG	UKBB	EUR	1	143	2200	297.619603872299	0	1	0	0
TG	UKBB	EUR	1	144	1745	160.195468425751	0	0	0	0
TG	UKBB	EUR	1	150	2617	657.896933794022	0	0	1	11
TG	UKBB	EUR	1	154	3923	864.424379110336	0	2	2	42
TG	UKBB	EUR	1	155	1519	23.8826472759247	0	0	0	0
TG	UKBB	EUR	1	156	2449	871.500885486603	1	1	1	1
TG	UKBB	EUR	1	158	2612	749.142247676849	0	0	0	0
TG	UKBB	EUR	1	168	2959	735.211263895035	0	0	0	0
TG	UKBB	EUR	1	182	3510	704.454339742661	0	0	1	14
TG	UKBB	EUR	1	183	3675	540.882043838501	0	0	0	0
TG	UKBB	EUR	1	184	831	137.985195159912	0	0	0	0
TG	UKBB	EUR	1	187	2517	191.957123994827	0	0	1	11
TG	UKBB	EUR	1	192	2751	682.138732433319	0	0	0	0
TG	UKBB	EUR	1	193	3137	1118.38494682312	1	2	1	1
TG	UKBB	EUR	1	201	2902	581.150709629059	0	0	0	0
TG	UKBB	EUR	1	202	2859	593.262251615524	0	0	0	0
TG	UKBB	EUR	1	203	2204	545.920505523682	0	1	2	44
TG	UKBB	EUR	1	207	1679	315.744033813477	0	1	1	22
TG	UKBB	EUR	1	208	1974	345.596919775009	0	0	1	58
TG	UKBB	EUR	1	209	779	54.9646272659302	1	2	1	1
TG	UKBB	EUR	1	211	1395	326.544161081314	0	0	1	8
TG	UKBB	EUR	1	212	1950	348.602876663208	0	0	0	0
TG	UKBB	EUR	1	213	1526	488.030581951141	0	1	1	3
TG	UKBB	EUR	1	214	1369	178.658832073212	0	0	0	0
TG	UKBB	EUR	1	217	1339	255.859885692596	0	0	0	0
TG	UKBB	EUR	1	219	2355	336.525291442871	0	0	0	0
TG	UKBB	EUR	1	221	2474	365.098151445389	0	0	1	15
TG	UKBB	EUR	1	226	1266	389.853325128555	0	1	1	2
TG	UKBB	EUR	1	228	1385	287.955033302307	0	1	0	0
TG	UKBB	EUR	1	233	3388	1592.633040905	0	0	2	25
TG	UKBB	EUR	1	234	3910	1101.16620206833	2	2	2	2
TG	UKBB	EUR	1	235	2570	625.909989118576	0	0	0	0
TG	UKBB	EUR	1	238	4970	1518.29453992844	0	0	0	0
TG	UKBB	EUR	1	239	1373	276.823448181152	0	0	0	0
TG	UKBB	EUR	1	240	5176	1595.85610055923	0	2	1	3
TG	UKBB	EUR	1	242	1335	223.68789768219	1	2	2	13
TG	UKBB	EUR	1	243	1579	1381.53155708313	1	6	4	10
TG	UKBB	EUR	1	244	3302	1523.92983150482	1	1	1	1
