pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
HDL	META	1	1	1555	1.0226916251592395	0.02260666946579344	0.0033875646186605165	5500	161.241344928741	5.668865099813328e-5	1.4491002002432785e-5	0	1	2	43	7.60502321500127e-5	4.711077197747599e-5	0	0	0	0	2.711542361681107e-6	5.64429201771037e-6	0	0	0	0
HDL	META	1	2	1768	1.0167431620549023	0.01677094298587674	2.1665023588799073e-4	5500	199.465381145477	3.539897387166739e-5	1.1470344412112554e-5	0	0	1	66	6.153024971863465e-5	3.828876161624564e-5	0	0	0	0	1.1037094025864832e-5	1.698907711501565e-5	0	0	0	0
HDL	META	1	3	1087	1.010893678233657	0.020045921100875514	7.446755488913483e-4	5500	88.2624397277832	2.7962331241056523e-5	9.866774914744286e-6	0	0	1	50	4.630238525637475e-5	3.360736369866962e-5	0	0	0	0	4.70621173401168e-5	4.270012605713932e-5	0	0	0	0
HDL	META	1	5	4196	1.0564788156719545	0.017130907731797707	9.791217313690971e-4	5500	1021.50357723236	6.389893361156913e-5	1.560956025116576e-5	0	0	1	30	1.577470850321259e-4	6.668065598482205e-5	0	0	0	0	3.932186043087629e-5	2.9892552355531926e-5	0	0	0	0
HDL	META	1	15	5982	1.0261835777333734	0.019458662638288125	5.277359029604928e-4	5500	2016.56948137283	7.688071568933184e-5	1.759328609322983e-5	0	0	0	0	2.510523364991032e-4	8.498142792020076e-5	0	0	0	0	1.0518592907106982e-4	5.517386125059194e-5	0	0	0	0
HDL	META	1	17	7449	1.0292402604399313	0.020572932231473835	4.6842861775117677e-4	5500	3213.38359999657	7.494279415779581e-5	1.7831732182766933e-5	0	0	0	0	2.9160231247562075e-4	9.05597450008609e-5	0	0	0	0	1.1425317257150871e-4	5.5279253196568574e-5	0	0	0	0
HDL	META	1	18	2815	1.0523454568802564	0.023758498272904296	0.002605680290739619	5500	521.084663629532	6.247589086875865e-5	1.767404434605892e-5	0	1	0	0	3.449169686319954e-4	1.317473201650917e-4	0	0	0	0	1.2028993264948208e-4	7.016522265575327e-5	0	0	0	0
HDL	META	1	19	6349	1.0424526932807339	0.02145158119329107	7.656537169900073e-4	5500	2166.1851849556	9.548584427675403e-5	2.0933127089665005e-5	0	0	0	0	3.744318793089419e-4	1.2111995548548769e-4	0	0	0	0	1.2757814111052104e-4	6.564371631993309e-5	0	0	0	0
HDL	META	1	21	4171	1.0163428683495819	0.027672510013704486	0.0027398221964761793	5500	1058.78162074089	6.930625949155126e-5	1.6242529700410333e-5	0	1	1	63	1.7777124653674145e-4	6.979711546764481e-5	0	0	0	0	9.89111464182666e-5	5.644590427170332e-5	0	0	0	0
HDL	META	1	23	2090	1.0353168006477842	0.017530846159345574	7.605979455377644e-4	5500	334.925364255905	3.5562411418547386e-5	1.2236066587512706e-5	0	0	0	0	8.898301869968569e-5	4.6350043655150196e-5	0	0	0	0	6.18253515919121e-5	4.55965832835696e-5	0	0	0	0
HDL	META	1	24	2192	1.0194926908467452	0.01966920888518929	0.0018223325722760877	5500	331.228801012039	4.426304604222424e-5	1.3914116429806716e-5	0	0	1	4	9.68932350766123e-5	5.235328790741059e-5	0	0	0	0	3.510111761804911e-5	3.160221607250953e-5	0	0	0	0
HDL	META	1	35	7638	1.0475476104331203	0.019205717558153763	8.161358378087521e-4	5500	3140.66092395782	6.957238436026938e-5	1.672742730490285e-5	0	0	0	0	2.7221815028741393e-4	8.636571089959393e-5	0	0	0	0	8.755588129806692e-5	4.888446314216386e-5	0	0	0	0
HDL	META	1	40	2446	1.0421792260849714	0.017871364198874008	0.0016172916263908414	5500	460.488379955292	5.2722226412090026e-5	1.4574523684009929e-5	0	0	0	0	1.5918609163909227e-4	7.395304682182939e-5	0	0	0	0	7.083404714857275e-5	4.6991578287350146e-5	0	0	0	0
HDL	META	1	43	1585	1.0332925929904018	0.024950645998304783	0.004252895344986181	5500	216.271684646606	3.360202046973406e-5	1.2011956105622799e-5	0	0	1	20	1.6406960222544245e-4	1.0290012218853951e-4	0	0	0	0	9.579649634952679e-5	6.235332963521449e-5	0	0	0	0
HDL	META	1	44	1435	1.0290378162335272	0.01900098081956024	0.001940371344453487	5500	177.626491785049	6.335459769536471e-5	1.6409305108846393e-5	0	1	1	12	1.1000053823927076e-4	6.36419357255824e-5	0	0	0	0	8.415323346310186e-5	5.493411181219358e-5	0	0	0	0
HDL	META	1	46	4867	1.0283309057328138	0.017923140158549018	0.0015552371853696397	5500	1432.14763379097	9.21258393226846e-5	1.996215209137825e-5	0	0	1	35	2.3603292791930526e-4	8.416854280172746e-5	0	0	0	0	1.1463139369316377e-4	6.273227469243023e-5	0	0	0	0
HDL	META	1	48	2955	1.1728047380087767	0.020105139711059705	0.0028904619929702936	6500	665.150188922882	1.2972178149174167e-4	2.2775053381445333e-5	0	0	1	4	2.519506245710418e-4	1.0335501069499715e-4	0	0	0	0	9.696606052787947e-5	5.761570152707868e-5	0	0	0	0
HDL	META	1	49	2793	1.0385623087433482	0.019047128664591823	0.0016857924072686522	5500	446.793531656265	4.558488168284833e-5	1.4271232065978682e-5	0	1	0	0	1.5046813860547438e-4	6.871205222211281e-5	0	0	0	0	5.578815947882512e-5	4.633158137277785e-5	0	0	0	0
HDL	META	1	50	4096	1.0280660364447813	0.021924285752652973	0.0016149480128002393	5500	981.13382601738	6.344399363104967e-5	1.713712763810725e-5	0	0	0	0	3.461157878592923e-4	1.2342173211224756e-4	0	0	0	0	9.673642624194044e-5	5.450972025664452e-5	0	0	0	0
HDL	META	1	51	2792	1.025946745755956	0.015088991190153184	5.451071683284509e-4	5500	468.784642696381	4.441170023721635e-5	1.3467285692939471e-5	0	0	1	74	8.678850621234953e-5	4.1867948423483986e-5	0	0	0	0	2.792950016862284e-5	2.312513309994258e-5	0	0	0	0
HDL	META	1	52	7738	1.0464286054877747	0.023713199390988385	0.0068934358447492634	5500	3232.77593374252	5.304371940648932e-4	4.898401055829971e-5	0	1	3	82	6.273726513891284e-4	1.5612788861898253e-4	0	0	0	0	1.395414635444761e-4	6.39847431493894e-5	0	0	0	0
HDL	META	1	53	6806	1.0522643605923134	0.028240479341593176	0.0016347384247095112	5500	2438.2452890873	1.4369304811919764e-4	2.4395051355050884e-5	0	0	1	7	4.749771891009142e-4	1.322991009732013e-4	0	0	0	0	2.630136037365384e-4	1.0570920934675993e-4	0	0	0	0
HDL	META	1	57	4453	1.0459254356472203	0.021897317109856214	9.350011590081932e-4	5500	1245.60437011719	5.888459738286988e-5	1.4691917309808496e-5	0	0	1	23	3.020187074674503e-4	1.1567539101911648e-4	0	0	0	0	9.628186888144246e-5	5.202652427936658e-5	0	0	0	0
HDL	META	1	63	6073	1.035357304336673	0.021834989872989513	0.002316620282593226	5500	1959.43168497086	6.320417716504212e-5	1.7013534950593163e-5	0	2	0	0	4.367788851964521e-4	1.3763070550406716e-4	0	0	0	0	1.992298442467783e-4	9.130727862424817e-5	0	0	0	0
HDL	META	1	70	5261	1.1631938727272602	0.04153450822117341	0.014022029655758987	5500	1590.30831408501	6.711195952789743e-4	5.128101539595062e-5	1	1	2	13	6.42209614166921e-4	1.6794664210002358e-4	0	1	0	0	5.360181767292081e-4	1.433301877424505e-4	0	0	1	16
HDL	META	1	71	5491	1.0867441475290647	0.021991817822871913	0.0034888253103784795	5500	1759.96461963654	1.6629221494538965e-4	2.9009290796305072e-5	0	2	2	35	2.7237041563706944e-4	8.774066232243469e-5	0	0	0	0	1.6670344934960492e-4	8.032857955482288e-5	0	0	0	0
HDL	META	1	73	7390	1.0926724838760764	0.023044576325480015	7.160265875172293e-4	5500	3079.26098060608	1.1564513430365532e-4	2.187003599704682e-5	0	0	0	0	3.5364363665258065e-4	1.057142960548251e-4	0	0	0	0	1.0626057942582084e-4	5.0982265799792496e-5	0	0	0	0
HDL	META	1	74	7083	1.0317815424326615	0.02242064612284421	0.0012452090172521571	5500	2804.06282711029	9.154248748292216e-5	1.969445012943214e-5	0	0	1	50	4.756283478419965e-4	1.4256053081112204e-4	0	0	0	0	1.0387671427692551e-4	5.0644537753969865e-5	0	0	0	0
HDL	META	1	75	9312	1.09614378717316	0.022839461135190534	0.0010120848206488888	5500	4855.71102428436	8.495148429748236e-5	1.9115964986710184e-5	0	0	0	0	3.8643158269253584e-4	1.1525671373022395e-4	0	0	0	0	1.3770533084630688e-4	6.288665995399904e-5	0	0	0	0
HDL	META	1	76	4605	1.0471422102046504	0.020241800003723415	6.466535374998041e-4	5500	1196.68521046638	4.477251274719281e-5	1.3260744101568868e-5	0	0	0	0	2.3327856366372977e-4	9.158717362376307e-5	0	0	0	0	1.2470125992226273e-4	6.267805488498525e-5	0	0	0	0
