pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
HDL	UKBB	1	1	1555	1.0301773610528893	0.04595425566431215	9.893606459459065e-4	5500	171.315629959106	9.220837049128512e-5	3.492427958171353e-5	0	0	0	0	3.5659897483164424e-4	2.7788059748163626e-4	0	0	0	0	1.6385833600295884e-5	3.729398979926257e-5	0	0	0	0
HDL	UKBB	1	2	1768	1.0152386614499824	0.05404271075566744	7.153066357640817e-4	5500	218.626410484314	5.453282615045716e-5	2.598242965432509e-5	0	0	0	0	4.094098779838235e-4	3.210634865853715e-4	0	0	0	0	3.728943554299067e-5	8.372094282148349e-5	0	0	0	0
HDL	UKBB	1	3	1087	1.0255307485102134	0.07585600928647307	0.002228562595210019	5500	99.8462612628937	1.348996339745538e-4	4.306721750281432e-5	0	0	1	57	8.317854345909315e-4	7.493177463150972e-4	0	0	0	0	2.032709412027977e-4	4.0997933759217333e-4	0	0	0	0
HDL	UKBB	1	5	4196	1.0565502729480551	0.08983349301438656	0.013519211159193073	5500	1217.17475938797	2.6185226431117866e-4	6.263531948536075e-5	0	0	0	0	0.003824029715854872	0.0017493321625877561	0	0	0	0	6.967060225629099e-4	7.109244367125303e-4	0	0	0	0
HDL	UKBB	1	15	5982	1.0541945044318475	0.08540854540230539	0.0027247733620930996	5500	2585.35572886467	3.4599542372706427e-4	7.178102906343589e-5	0	1	2	119	0.0038808267534559803	0.0014958396798594347	0	0	0	0	0.0014450823348852542	9.412816082119579e-4	0	0	0	0
HDL	UKBB	1	17	7449	1.0662377959777263	0.1288755240187724	0.0042180097863090274	5500	3940.67602181435	3.2492377435307013e-4	7.385396038003609e-5	0	0	0	0	0.004318844345174355	0.0014275058703357706	0	0	0	0	0.00375059728655945	0.002471500592724774	0	0	0	0
HDL	UKBB	1	18	2815	1.0713617463754992	0.0962021943353433	0.00432611705135889	5500	637.916659593582	2.848601062553805e-4	6.949888382515982e-5	0	1	1	3	0.002099997111412107	0.0010771982744923465	0	0	0	0	0.0011445933180708086	0.0010770058318906703	0	0	0	0
HDL	UKBB	1	19	6349	1.058463335401221	0.07685951927669066	0.002583428606624942	5500	2646.47977662086	3.054111056476458e-4	7.044997234004733e-5	0	0	0	0	0.003053040715848631	0.0012285866315420789	0	0	0	0	0.0012967773714280676	0.0010006886635209853	0	0	0	0
HDL	UKBB	1	21	4171	1.0671221344829087	0.09692856855667914	0.006978848203101502	5500	1343.5617620945	3.0272345924395983e-4	7.347560446269871e-5	0	1	0	0	0.004552410538299128	0.0018295438617179226	0	0	0	0	0.0024001548613298597	0.0017074521033365654	0	0	0	0
HDL	UKBB	1	23	2090	1.045122817922847	0.09945621497337923	0.0020970111412714604	5500	298.956370830536	1.7072082471064073e-4	5.213461990414895e-5	0	0	0	0	0.002454786829418384	0.0012129314922545167	0	0	0	0	0.0013638626347213015	0.0012848037978218975	0	0	0	0
