pheno	chromosome	block	num_variants_0.9.UKBB.EUR	num_variants_0.9.UKBB_0.1.GLGC.EUR	num_variants_0.9.UKBB.AFR	num_variants_0.9.UKBB_0.1.GLGC.AFR	num_variants_0.9.UKBB.EAS	num_variants_0.9.UKBB_0.1.GLGC.EAS
HDL	1	1	0	0	0	0	0	0
HDL	1	2	0	0	0	0	0	0
HDL	1	3	0	0	0	0	0	0
HDL	1	5	0	0	0	0	0	0
HDL	1	15	0	0	0	0	0	0
HDL	1	17	0	0	0	0	0	0
HDL	1	18	0	0	0	0	0	0
HDL	1	19	0	0	0	0	0	0
HDL	1	21	0	0	0	0	0	0
HDL	1	23	0	0	0	0	0	0
HDL	1	24	0	0	0	0	0	0
HDL	1	35	0	0	0	0	0	0
HDL	1	40	0	0	0	0	0	0
HDL	1	43	0	0	0	0	0	0
HDL	1	44	0	0	0	0	0	0
HDL	1	46	0	0	0	0	0	0
HDL	1	48	0	0	0	0	0	0
HDL	1	49	0	0	0	0	0	0
HDL	1	50	0	0	0	0	0	0
HDL	1	51	0	0	0	0	0	0
HDL	1	52	0	0	0	0	0	0
HDL	1	53	0	0	0	0	0	0
HDL	1	57	0	0	0	0	0	0
HDL	1	63	0	0	0	0	0	0
HDL	1	70	0	0	0	0	0	0
HDL	1	71	0	0	0	0	0	0
HDL	1	73	0	0	0	0	0	0
HDL	1	74	0	0	0	0	0	0
HDL	1	75	0	0	0	0	0	0
HDL	1	76	0	0	0	0	0	0
HDL	1	80	0	0	0	0	0	0
HDL	1	85	0	0	0	0	0	0
HDL	1	87	0	0	0	0	0	0
HDL	1	90	0	0	0	0	0	0
HDL	1	92	0	0	0	0	0	0
HDL	1	94	0	0	0	0	0	0
HDL	1	96	0	0	0	0	0	0
HDL	1	97	0	0	0	0	0	0
HDL	1	98	0	0	0	0	0	0
HDL	1	100	0	0	0	0	0	0
HDL	1	102	0	0	0	0	0	0
HDL	1	105	0	0	0	0	0	0
HDL	1	110	0	0	0	0	0	0
HDL	1	113	0	0	0	0	0	0
HDL	1	117	0	0	0	0	0	0
HDL	1	122	0	0	0	0	0	0
HDL	1	124	0	0	0	0	0	0
HDL	1	125	0	0	0	0	0	0
HDL	1	128	0	0	0	0	0	0
HDL	1	129	0	0	0	0	0	0
HDL	1	132	0	0	0	0	0	0
HDL	1	136	0	0	0	0	0	0
HDL	1	138	0	0	0	0	0	0
HDL	1	139	1	0	0	0	0	0
HDL	1	143	0	0	0	0	0	0
HDL	1	153	0	0	0	0	0	0
HDL	1	154	0	0	0	0	0	0
HDL	1	156	0	0	0	0	0	0
HDL	1	158	0	0	0	0	0	0
HDL	1	159	0	0	0	0	0	0
HDL	1	160	0	0	0	0	0	0
HDL	1	168	0	0	0	0	0	0
HDL	1	173	0	0	0	0	0	0
HDL	1	181	0	0	0	0	0	0
HDL	1	182	0	0	0	0	0	0
HDL	1	183	0	0	0	0	0	0
HDL	1	187	0	0	0	0	0	0
HDL	1	189	0	0	0	0	0	0
HDL	1	191	0	0	0	0	0	0
HDL	1	192	0	0	0	0	0	0
HDL	1	193	0	0	0	0	0	0
HDL	1	201	0	0	0	0	0	0
HDL	1	202	1	0	0	0	0	0
HDL	1	203	0	0	0	0	0	0
HDL	1	204	0	0	0	0	0	0
HDL	1	207	0	0	0	0	0	0
HDL	1	208	0	0	0	0	0	0
HDL	1	209	0	0	0	0	0	0
HDL	1	211	0	0	0	0	0	0
HDL	1	213	0	0	0	0	0	0
HDL	1	214	0	0	0	0	0	0
HDL	1	215	0	0	0	0	0	0
HDL	1	216	0	0	0	0	0	0
HDL	1	218	0	0	0	0	0	0
HDL	1	221	0	0	0	0	0	0
HDL	1	224	0	0	0	0	0	0
HDL	1	228	0	0	0	0	0	0
HDL	1	233	0	0	0	0	0	0
HDL	1	234	0	0	0	0	0	0
HDL	1	235	0	0	0	0	0	0
HDL	1	238	0	0	0	0	0	0
HDL	1	239	0	0	0	0	0	0
HDL	1	240	0	0	0	0	0	0
HDL	1	242	0	0	0	0	0	0
HDL	1	243	0	0	0	0	0	0
HDL	1	244	0	0	0	0	0	0
HDL	1	252	0	0	0	0	0	0
HDL	1	253	0	0	0	0	0	0
HDL	1	254	0	0	0	0	0	0
HDL	1	255	0	0	0	0	0	0
HDL	1	257	0	0	0	0	0	0
HDL	1	264	0	0	0	0	0	0
HDL	1	275	0	0	0	0	0	0
HDL	2	1	0	0	0	0	0	0
HDL	2	2	0	0	0	0	0	0
HDL	2	3	0	0	0	0	0	0
HDL	2	4	0	0	0	0	0	0
HDL	2	6	0	0	0	0	0	0
HDL	2	13	0	0	0	0	0	0
HDL	2	28	0	0	0	0	0	0
HDL	2	40	0	0	0	0	0	0
HDL	2	41	0	0	0	0	0	0
HDL	2	44	0	0	0	0	0	0
HDL	2	45	1	0	0	0	0	0
HDL	2	46	0	0	0	0	0	0
HDL	2	47	0	0	0	0	0	0
HDL	2	48	0	0	0	0	0	0
HDL	2	49	0	0	0	0	0	0
HDL	2	50	0	0	0	0	0	0
HDL	2	51	0	0	0	0	0	0
HDL	2	53	0	0	0	0	0	0
HDL	2	55	0	0	0	0	0	0
HDL	2	60	0	0	0	0	0	0
HDL	2	62	0	0	0	0	0	0
HDL	2	63	0	0	0	0	0	0
HDL	2	66	0	0	0	0	0	0
HDL	2	67	0	0	0	0	0	0
HDL	2	68	0	0	0	0	0	0
HDL	2	69	0	0	0	0	0	0
HDL	2	79	0	0	0	0	0	0
HDL	2	80	0	0	0	0	0	0
HDL	2	84	0	0	0	0	0	0
HDL	2	85	0	0	0	0	0	0
HDL	2	86	0	0	0	0	0	0
HDL	2	87	0	0	0	0	0	0
HDL	2	88	0	0	0	0	0	0
HDL	2	89	0	0	0	0	0	0
HDL	2	90	0	0	0	0	0	0
HDL	2	97	0	0	0	0	0	0
HDL	2	99	0	0	0	0	0	0
HDL	2	100	0	0	0	0	0	0
HDL	2	115	0	0	0	0	0	0
HDL	2	117	0	0	0	0	0	0
HDL	2	122	0	0	0	0	0	0
HDL	2	124	0	0	0	0	0	0
HDL	2	125	0	0	0	0	0	0
HDL	2	128	1	0	0	0	0	0
