pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
LDL	META	1	2	1793	1.0208959812502112	0.018664706023274687	2.204659968075111e-4	5500	216.92870926857	3.2444858981755676e-5	1.09779878296282e-5	0	0	1	29	7.896207673841886e-5	4.8103711186814846e-5	0	0	0	0	8.066918647522332e-6	1.3154573784460581e-5	0	0	0	0
LDL	META	1	4	2423	1.0727074042430087	0.022117177244869692	0.0022646044582630806	5500	372.39358830452	1.028191711357434e-4	2.1889990805380805e-5	0	0	1	6	1.620014923806395e-4	7.701735481782798e-5	0	0	0	0	6.761571836869828e-5	5.7126435654591505e-5	0	0	0	0
LDL	META	1	17	7402	1.0323388756178724	0.02299688724962751	7.369883096204234e-4	5500	3329.25576806068	7.271062590974325e-5	1.7405266186576274e-5	0	0	0	0	4.60620697151837e-4	1.414899176665167e-4	0	0	0	0	1.2253222532985827e-4	6.134888107823248e-5	0	0	0	0
LDL	META	1	19	6286	1.0338101921192195	0.020645492954901108	0.001000057800625557	5500	2242.47098350525	8.172040371483471e-5	1.86069635981977e-5	0	0	0	0	3.36990404030945e-4	1.1027366298588481e-4	0	0	0	0	1.2254565911951523e-4	7.350451422009734e-5	0	0	0	0
LDL	META	1	23	2057	1.0295993641182546	0.020035381719220986	8.794018492786711e-4	5500	316.085083961487	4.5440362238256784e-5	1.3402127968906381e-5	0	0	0	0	1.2584145186743463e-4	6.481819614586018e-5	0	0	0	0	7.089343278811219e-5	5.207697243766791e-5	0	0	0	0
LDL	META	1	35	7590	1.044415732138132	0.033962348283643876	0.0069438880620127695	5500	3172.18904805183	2.1675003559916815e-4	3.11097904180132e-5	0	2	2	19	5.990654936209875e-4	1.5849275648208077e-4	0	0	0	0	3.2406740750511633e-4	1.3061992921765646e-4	0	0	0	0
LDL	META	1	40	2409	1.0358741738300177	0.02102426682829186	0.0013881966645805303	5500	482.431210279465	6.412566172398565e-5	1.5836381565774774e-5	0	0	1	10	1.4131073944439955e-4	6.785485407620104e-5	0	0	0	0	6.411615411817691e-5	4.3758149856256124e-5	0	0	0	0
LDL	META	1	48	2934	1.082600306989626	0.021833532500095877	0.0012155503224511738	5500	507.649203062057	1.4851307286655675e-4	2.58905755492233e-5	0	0	3	67	2.690290254931127e-4	1.0401999635977426e-4	0	0	0	0	7.504195608432085e-5	5.207608094948302e-5	0	0	0	0
LDL	META	1	49	2772	1.0586698434509292	0.015896081441777867	0.0011715263478422235	5500	511.163150310516	3.661646072886156e-5	1.2665740218846679e-5	0	0	0	0	9.290967693833885e-5	4.772898785108276e-5	0	0	0	0	1.8470657527236727e-5	1.9078616277619112e-5	0	0	0	0
LDL	META	1	51	2761	1.0459768381569536	0.04249281231602583	0.0036818846899807356	5500	463.719017982483	3.3930836905057203e-4	3.561099765790018e-5	0	1	2	26	4.106016820320723e-4	1.3889099317346734e-4	0	0	0	0	4.219476417767854e-4	1.5255560746455773e-4	0	0	1	56
