pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TC	META	1	1	1558	1.0224034925749994	0.015952422845211416	4.567246522237215e-4	5500	136.180045366287	1.8964824019586838e-5	7.91366541562909e-6	0	0	1	36	5.901589628989214e-5	3.646016310892509e-5	0	0	0	0	2.113411864397513e-5	2.9072439001754916e-5	0	0	0	0
TC	META	1	2	1781	1.0451117404262962	0.01869745297028503	5.534979092137949e-4	5500	183.478982448578	3.7804691796564315e-5	1.1275748385738715e-5	0	0	2	68	1.6285519582139816e-4	8.207535005578421e-5	0	0	0	0	1.1754478292044386e-5	1.4646157224875245e-5	0	0	0	0
TC	META	1	4	2434	1.0457540465216513	0.025023615619239326	0.0010267957957000855	5500	367.108588218689	7.325060069685206e-5	1.7324041965180187e-5	0	0	0	0	1.544219524434589e-4	7.50641362709007e-5	0	0	0	0	6.932651438261102e-5	5.0123446949505714e-5	0	0	0	0
TC	META	1	17	7456	1.0576479485815955	0.022417702814570645	7.196446506940019e-4	5500	3106.99616456032	8.310927496019538e-5	1.8332457205749206e-5	0	0	0	0	4.273660308093275e-4	1.2520443200285676e-4	0	0	0	0	1.0513161894584515e-4	4.7185679238262664e-5	0	0	0	0
TC	META	1	19	6365	1.0628286723236824	0.01763716113750966	0.0026536979072525717	5500	2099.68639111519	1.2030742355980597e-4	2.1779345729220652e-5	0	0	2	80	2.7039888275424376e-4	8.725407764698186e-5	0	0	0	0	1.2026103645758137e-4	5.794652893675171e-5	0	0	0	0
TC	META	1	35	7642	1.0608391800278079	0.02638109932238592	0.007066756791018658	5500	2967.60512185097	2.225148895310745e-4	3.0020079814554038e-5	0	1	3	45	4.567956296359138e-4	1.252056471075213e-4	0	0	0	0	2.7236556031743644e-4	9.498763574695873e-5	0	0	1	16
TC	META	1	40	2451	1.0498084198993116	0.019099510079976102	0.0013680460355330645	5500	398.5388712883	5.370717679574845e-5	1.3701294019424453e-5	0	0	1	13	1.3684677598754902e-4	6.553749294551494e-5	0	0	0	0	6.414216311004581e-5	4.281519935137435e-5	0	0	0	0
TC	META	1	48	2962	1.196632277856663	0.031327711179872354	0.002711131316252835	5500	492.155634880066	2.719230882232172e-4	3.3450692476398183e-5	0	0	3	59	3.417034481889651e-4	1.1620916721922481e-4	0	0	0	0	1.7510641364561048e-4	7.461134677703125e-5	0	0	0	0
TC	META	1	49	2814	1.0342909948084413	0.01684392099351678	0.0036554032303075367	5500	407.870248556137	5.782569624160443e-5	1.6375654710885378e-5	0	1	1	4	1.4095861805032796e-4	6.516313032127662e-5	0	0	0	0	2.3534233102954997e-5	1.8761546491472245e-5	0	0	0	0
TC	META	1	51	2775	1.0288563222539746	0.033226873331404665	0.0017350983975649291	5500	408.511751651764	3.3371426520647195e-4	3.434692133222365e-5	0	0	2	33	3.493436971854236e-4	1.2402091493355605e-4	0	0	0	0	2.359548650486618e-4	8.531958284491936e-5	0	0	1	49
