pheno	chromosome	block	num_variants_0.9.UKBB.EUR	num_variants_0.9.UKBB_0.1.GLGC.EUR	num_variants_0.9.UKBB.AFR	num_variants_0.9.UKBB_0.1.GLGC.AFR	num_variants_0.9.UKBB.EAS	num_variants_0.9.UKBB_0.1.GLGC.EAS
TC	1	1	0	0	0	0	0	0
TC	1	2	0	0	0	0	0	0
TC	1	4	0	0	0	0	0	0
TC	1	17	0	0	0	0	0	0
TC	1	19	0	0	0	0	0	0
TC	1	35	0	0	0	0	0	0
TC	1	40	0	0	0	0	0	0
TC	1	48	0	0	0	0	0	0
TC	1	49	0	0	0	0	0	0
TC	1	51	0	0	0	0	0	0
TC	1	52	0	0	0	0	0	0
TC	1	53	0	0	0	0	0	0
TC	1	58	0	0	0	0	0	0
TC	1	67	0	0	0	0	0	0
TC	1	70	0	0	0	0	0	0
TC	1	73	0	0	0	0	0	0
TC	1	74	0	0	0	0	0	0
TC	1	75	0	0	0	0	0	0
TC	1	76	0	0	0	0	0	0
TC	1	80	0	0	0	0	0	0
TC	1	81	0	0	0	0	0	0
TC	1	82	0	0	0	0	0	0
TC	1	83	1	0	0	0	0	0
TC	1	84	2	0	1	0	0	0
TC	1	85	1	0	0	0	0	0
TC	1	89	0	0	0	0	0	0
TC	1	92	0	0	0	0	0	0
TC	1	94	0	0	0	0	0	0
TC	1	95	0	0	0	0	0	0
TC	1	96	0	0	0	0	0	0
TC	1	97	0	0	0	0	0	0
TC	1	100	0	0	0	0	0	0
TC	1	109	0	0	0	0	0	0
TC	1	124	0	0	0	0	0	0
TC	1	125	0	0	0	0	0	0
TC	1	127	0	0	0	0	0	0
TC	1	136	0	0	0	0	0	0
TC	1	138	0	0	0	0	0	0
TC	1	139	0	0	0	0	0	0
TC	1	140	0	0	0	0	0	0
TC	1	141	0	0	0	0	0	0
TC	1	144	0	0	0	0	0	0
TC	1	145	0	0	0	0	0	0
TC	1	150	0	0	0	0	0	0
TC	1	151	0	0	0	0	0	0
TC	1	153	0	0	0	0	0	0
TC	1	154	0	0	0	0	0	0
TC	1	156	0	0	0	0	0	0
TC	1	158	0	0	0	0	0	0
TC	1	162	0	0	0	0	0	0
TC	1	168	0	0	0	0	0	0
TC	1	169	0	0	0	0	0	0
TC	1	175	0	0	0	0	0	0
TC	1	182	0	0	0	0	0	0
TC	1	183	0	0	0	0	0	0
TC	1	185	0	0	0	0	0	0
TC	1	187	0	0	0	0	0	0
TC	1	188	0	0	0	0	0	0
TC	1	192	0	0	0	0	0	0
TC	1	201	0	0	0	0	0	0
TC	1	202	0	0	0	0	0	0
TC	1	205	0	0	0	0	0	0
TC	1	209	0	0	0	0	0	0
TC	1	213	0	0	0	0	0	0
TC	1	221	0	0	0	0	0	0
TC	1	223	0	0	0	0	0	0
TC	1	224	0	0	0	0	0	0
TC	1	226	0	0	0	0	0	0
TC	1	229	1	1	0	0	0	0
TC	1	233	0	0	0	0	0	0
TC	1	234	2	0	0	0	0	0
TC	1	235	0	0	0	0	0	0
TC	1	238	0	0	0	0	0	0
TC	1	239	0	0	0	0	0	0
TC	1	240	0	0	0	0	0	0
TC	1	252	0	0	0	0	0	0
TC	1	253	0	0	0	0	0	0
TC	1	254	0	0	0	0	0	0
TC	1	255	0	0	0	0	0	0
TC	1	257	0	0	0	0	0	0
TC	1	280	0	0	0	0	0	0
TC	1	281	0	0	0	0	0	0
TC	2	6	0	0	0	0	0	0
TC	2	21	0	0	0	0	0	0
TC	2	31	0	0	0	0	0	0
TC	2	32	0	0	0	0	0	0
TC	2	37	0	0	0	0	0	0
TC	2	38	0	0	0	0	0	0
TC	2	39	0	0	0	0	0	0
TC	2	40	0	0	0	0	0	0
TC	2	41	0	0	0	0	0	0
TC	2	42	0	0	0	0	0	0
TC	2	43	1	0	0	0	0	0
TC	2	44	0	0	0	0	0	0
TC	2	45	1	0	0	0	0	0
TC	2	46	0	0	0	0	0	0
TC	2	47	0	0	0	0	0	0
TC	2	48	0	0	0	0	0	0
TC	2	49	1	0	0	0	0	0
TC	2	50	0	0	0	0	0	0
TC	2	51	0	0	0	0	0	0
TC	2	53	0	0	0	0	0	0
