pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TG	META	1	3	1089	1.024505521803369	0.01658461569217607	7.363778371437127e-4	5500	94.2412118911743	2.76546141406317e-5	1.0330715851182662e-5	0	0	1	70	4.106877022478536e-5	3.030770133362101e-5	0	0	0	0	3.276949769620227e-5	4.0012276204903556e-5	0	0	0	0
TG	META	1	4	2418	1.0429123136585285	0.018268725868405267	6.311496542730883e-4	5500	372.789462327957	9.104073488913014e-5	1.9347402123687345e-5	0	0	0	0	1.4425900497019867e-4	7.002162636512748e-5	0	0	0	0	5.218930015144041e-5	4.656984177993143e-5	0	0	0	0
TG	META	1	5	4183	1.0574702272494765	0.017564797929357497	6.993704050867127e-4	5500	948.925221920013	4.6786011067832234e-5	1.2971204538663921e-5	0	0	1	31	1.4798175652809063e-4	6.466487525796232e-5	0	0	0	0	2.5144376997825043e-5	2.4212757937002607e-5	0	0	0	0
TG	META	1	15	5915	1.0273610615710644	0.017558223611697427	4.0222320220531857e-4	5500	2092.28409385681	6.16697413274496e-5	1.481050738513489e-5	0	0	1	53	1.9042321025735705e-4	6.953812180649574e-5	0	0	0	0	6.547909726897761e-5	3.895461993905637e-5	0	0	0	0
TG	META	1	17	7392	1.044636356843351	0.01947702049774117	8.200861599824271e-4	5500	3320.98795175552	9.039964479966523e-5	1.9812196982817545e-5	0	0	1	40	2.7256794015191485e-4	8.976608823479644e-5	0	0	0	0	1.0681806460029028e-4	5.717809140316215e-5	0	0	0	0
TG	META	1	18	2807	1.0262556114778643	0.02196430279063662	0.0011112869974986164	5500	581.415920734406	5.0732431841480735e-5	1.4272807314959051e-5	0	0	0	0	1.769448757144409e-4	8.05839965115808e-5	0	0	0	0	1.0998129201041092e-4	7.43096739328645e-5	0	0	0	0
TG	META	1	19	6289	1.0318288778613172	0.01926189809821917	0.0010641639520740382	5500	2064.04110383987	8.223478795594108e-5	1.961831738991006e-5	0	0	1	81	2.2890635967941683e-4	7.853399148950254e-5	0	0	0	0	9.246849983680978e-5	5.9468645242958836e-5	0	0	0	0
TG	META	1	21	4107	1.029783274924172	0.01927926871349553	0.001326939861491038	5500	1189.42271971703	3.6987514394870513e-05	1.267897882935146e-5	0	0	0	0	1.422264185951074e-4	6.264079958121901e-5	0	0	0	0	6.729012299057197e-5	5.139793619028214e-5	0	0	0	0
TG	META	1	23	2054	1.0251988382965997	0.01733917930294569	3.427720726125514e-4	5500	372.990304708481	3.0515273553598053e-5	1.0387106647849769e-5	0	0	0	0	7.745370300033525e-5	4.502516391880701e-5	0	0	0	0	4.1437888620676313e-05	3.5805643235247435e-5	0	0	0	0
TG	META	1	32	1608	1.0516833304800992	0.019292712256189087	0.0016627805013290596	5500	227.775863409042	3.7052837860685695e-5	1.2595209581668757e-5	0	1	1	23	9.344876797276357e-5	5.3788861852596405e-5	0	0	0	0	3.955241586391622e-5	3.532628792277666e-5	0	0	0	0
TG	META	1	35	7576	1.0386420483619705	0.021078576694746286	7.508600242531716e-4	5500	3126.90322256088	1.1366577634289526e-4	2.1204875534652074e-5	0	0	1	32	3.3350798475972025e-4	9.779247531232585e-5	0	0	0	0	1.1211106544936037e-4	6.489123890129783e-5	0	0	0	0
TG	META	1	43	1561	1.0194434840234508	0.018451131855079357	4.34741488248755e-4	5500	244.556474208832	3.266725699906318e-5	1.1576998488583731e-5	0	0	0	0	9.293471954044971e-5	5.7482100845315886e-5	0	0	0	0	3.203327393157024e-5	2.8503153623565747e-5	0	0	0	0
TG	META	1	48	2933	1.0547357362516865	0.018819020433361294	0.0014470117032132361	5500	514.554371356964	1.158986773787502e-4	2.1798737481591356e-5	0	0	1	18	1.6792315270808527e-4	7.001903313471683e-5	0	0	0	0	6.751197865799894e-5	4.81653575446131e-5	0	0	0	0
