pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TG	UKBB	1	3	1089	1.0573214595684337	0.054945976220490265	0.002396570882727519	5500	85.962290763855	8.37869383570744e-5	3.284521755105556e-5	0	0	1	78	2.824001217606999e-4	2.869292370797355e-4	0	0	0	0	6.926958743150241e-5	1.5594668430691863e-4	0	0	0	0
TG	UKBB	1	4	2418	1.0755647516758842	0.08164268653126465	0.003993499784913652	5500	392.370250225067	3.029816771947709e-4	6.677591250012701e-5	0	0	2	48	0.0017015268528358075	9.143088554040328e-4	0	0	0	0	6.013004316989157e-4	7.79891721434284e-4	0	0	0	0
TG	UKBB	1	5	4183	1.0834170683327229	0.16811408230861163	0.014612958277959644	5500	1132.52379345894	2.2291722023422424e-4	6.107626814856815e-5	0	1	0	0	0.006446992984775788	0.002178126178932756	0	0	0	0	6.987647719926361e-4	7.567142274898784e-4	0	0	0	0
TG	UKBB	1	15	5915	1.0542737580878745	0.0977841382933616	0.0012684569880701206	5500	2423.4097673893	3.343993899685413e-4	6.604602665626737e-5	0	0	1	40	0.0024506656594281517	9.320436839559164e-4	0	0	0	0	0.001555497281972222	0.001181945004706436	0	0	0	0
TG	UKBB	1	17	7392	1.0431333695951897	0.0994036512634979	0.0016864203690718448	5500	4173.68761944771	3.075809888336471e-4	6.699256544627776e-5	0	0	0	0	0.004072369545077264	0.00138053728023808	0	0	0	0	0.0026825527549124532	0.0017065229603724875	0	0	0	0
TG	UKBB	1	18	2807	1.0562517315796907	0.08496001735224762	0.0019050562406925954	5500	570.575405836105	1.5952087367505127e-4	4.577624960175586e-5	0	0	0	0	0.0014462384729091306	7.898350139671268e-4	0	0	0	0	7.201742124127192e-4	7.180194547034928e-4	0	0	0	0
TG	UKBB	1	19	6289	1.0542170807032152	0.1058128378491211	0.0043935603425421955	5500	2601.87458825111	3.98170551777219e-4	7.617144183504587e-5	0	0	1	5	0.004332364737606655	0.0015251516439045766	0	0	0	0	0.0030075677556025845	0.0018909679182215144	0	0	0	0
TG	UKBB	1	21	4107	1.0430495074613815	0.08067175419023803	0.005347547916296318	5500	1133.81472492218	1.9086730401618308e-4	5.390360689218343e-5	0	1	0	0	0.002528617520956386	0.0011233902134996161	0	0	0	0	0.0010836614749751292	9.339859718349776e-4	0	0	0	0
TG	UKBB	1	23	2054	1.049509304866653	0.10495753434628534	0.00715401500081617	5500	383.039463996887	1.3871520556581177e-4	4.456071964457051e-5	0	0	0	0	0.00430800840243961	0.0016751739935682317	0	0	0	0	0.0016067881411586074	0.0013849812564602493	0	0	0	0
TG	UKBB	1	32	1608	1.0255791797054534	0.09737360264751002	0.003546251982353898	5500	227.83278799057	1.0968805248620006e-4	3.79615670547771e-5	0	0	0	0	0.001437268546602337	8.922889750862275e-4	0	0	0	0	8.726838051576621e-4	0.0010832635736824335	0	0	0	0
TG	UKBB	1	35	7576	1.067132049162208	0.09924213769859334	0.004345572603680197	5500	3872.62753486633	3.2745409747744823e-4	6.639396869881371e-5	0	0	0	0	0.00504684205683202	0.0016665086621616499	0	0	0	0	0.0025498706278749084	0.0018017841713018963	0	0	0	0
TG	UKBB	1	43	1561	1.0278634774369118	0.10736309539638009	0.009246722325382999	5500	226.533576965332	1.5816420348084288e-4	4.835271261132173e-5	0	0	0	0	0.003461224016533054	0.001620812546035923	0	0	0	0	9.512629856910366e-4	0.0010063437988393478	0	0	0	0
TG	UKBB	1	48	2933	1.091510300421495	0.08435246045867471	0.0034077567202811577	5500	582.041520833969	2.5387459786226394e-4	6.111584037463413e-5	0	0	1	12	0.001772029777324638	8.573156655393327e-4	0	0	0	0	8.405752222570078e-4	8.107602370866415e-4	0	0	0	0
