pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
HDL	META	1	1	1555	1.0159156611798232	0.016874559245149925	0.002056397295840047	5500	146.976383924484	5.619226221615184e-5	1.4582981376970802e-5	0	0	1	6	7.26807644172838e-5	4.6086775695877484e-5	0	0	0	0	2.5298659604060247e-6	5.922748393304599e-6	0	0	0	0
HDL	META	1	2	1768	1.0253105708731982	0.015024324756925158	2.1751278693689675e-4	5500	177.782002925873	3.534299322593318e-5	1.1516941333227227e-5	0	0	1	59	6.085860965211156e-5	3.746451842778978e-5	0	0	0	0	1.0659152782159002e-5	1.5975101796699066e-5	0	0	0	0
HDL	META	1	3	1087	1.0150892394293702	0.019764460841661436	3.036469979304669e-4	5500	70.095662355423	2.8722414358817688e-5	1.015940542961113e-5	0	0	1	54	4.5475228912576504e-5	3.2539649978262356e-5	0	0	0	0	5.016337375129687e-5	4.432294704155014e-5	0	0	0	0
HDL	META	1	5	4196	1.0435651653670441	0.022664602797016174	0.0015523633803409711	5500	969.41041302681	6.580512884361943e-5	1.6330257530277917e-5	0	0	1	23	1.7543787183123117e-4	7.029347039933687e-5	0	0	0	0	3.909761260822289e-5	2.9990234828798384e-5	0	0	0	0
HDL	META	1	15	5982	1.0254051046246437	0.01978011091538201	3.681917551271432e-4	5500	1832.33530449867	7.901531116980085e-5	1.8419914952013965e-5	0	0	1	76	2.665382464625665e-4	8.806363169473503e-5	0	0	0	0	1.0820022699288296e-4	5.668785269083031e-5	0	0	0	0
HDL	META	1	17	7449	1.0293793906017232	0.0194587474447849	6.651689781227013e-4	5500	3381.70012927055	7.51686028519494e-5	1.790133049940316e-5	0	0	0	0	3.03209089320414e-4	9.83881889913512e-5	0	0	0	0	1.1132098682016826e-4	5.3848650446683145e-5	0	0	0	0
HDL	META	1	18	2815	1.0787516254773972	0.02520581631116386	0.0033415910178874815	5500	509.028322219849	6.402849717722293e-5	1.826530986403047e-5	0	1	0	0	3.5647054914369266e-4	1.388564055185895e-4	0	0	0	0	1.2160289530970125e-4	7.06250497822148e-5	0	0	0	0
HDL	META	1	19	6349	1.0436736500439752	0.021900963472872334	0.0011803354907406211	5500	2172.16853046417	9.352931556684283e-5	2.064071440230721e-5	0	0	0	0	3.665068799667426e-4	1.1964184914152191e-4	0	0	0	0	1.172817093100085e-4	6.153663754877101e-5	0	0	0	0
HDL	META	1	21	4171	1.0228151767813418	0.02145975523711222	0.0021077868818486977	5500	1002.38256406784	6.964802470065186e-5	1.663733299435778e-5	0	1	1	78	1.8488164355499577e-4	7.147799088515224e-5	0	0	0	0	1.0278335225757827e-4	5.934255670858542e-5	0	0	0	0
HDL	META	1	23	2090	1.0619556490737252	0.018027243605467244	4.8663442925723507e-4	5500	354.389449357986	3.578618764537276e-5	1.1998679143364326e-5	0	0	0	0	8.43226582197835e-5	4.344474783169639e-5	0	0	0	0	5.752692027157838e-5	4.2270087708480304e-5	0	0	0	0
HDL	META	1	24	2192	1.0157365787888644	0.015823433087649545	0.001543654996133425	5500	344.461466550827	4.472364447905634e-5	1.393288471106425e-5	0	0	1	4	8.21878637560223e-5	4.648694352695405e-5	0	0	0	0	2.9164186548126932e-5	2.936469332612175e-5	0	0	0	0
HDL	META	1	35	7638	1.0860831780320963	0.021343481512335723	0.0010614932595855227	5500	3178.83384037018	7.277752159799297e-5	1.7713901348426284e-5	0	0	0	0	2.770446983279788e-4	8.994147015437971e-5	0	0	0	0	8.571369162385001e-5	4.794290811846042e-5	0	0	0	0
HDL	META	1	40	2446	1.0331619368771081	0.018522371510796956	0.0010570279326137851	5500	429.233992338181	5.620133690615939e-5	1.532037343263688e-5	0	0	0	0	1.9596521618752444e-4	8.88276769625616e-5	0	0	0	0	8.470442635862802e-5	5.211867081477433e-5	0	0	0	0
HDL	META	1	43	1585	1.031093762581452	0.025158953017446986	0.0060513782322548565	5500	191.173751354218	3.551305690702991e-5	1.2061913629870806e-5	0	0	1	20	2.1152005006703692e-4	1.1345583988876664e-4	0	1	0	0	9.644290123782751e-5	6.191700963840795e-5	0	0	0	0
HDL	META	1	44	1435	1.032669688059034	0.01907383904794769	0.001974359295670215	5500	153.749804735184	6.416212900963272e-5	1.6930829798648724e-5	0	1	1	15	1.1496389139242956e-4	6.897835951861761e-5	0	0	0	0	9.419052914705509e-5	5.999454601675281e-5	0	0	0	0
HDL	META	1	46	4867	1.076152077698901	0.020342350925480552	0.0015169456638585216	5500	1482.71330809593	9.258399058580483e-5	2.0303892309189047e-5	0	0	1	40	2.3208514472066642e-4	8.385251065513124e-5	0	0	0	0	1.0886037563174347e-4	6.0533354390560685e-5	0	0	0	0
HDL	META	1	48	2955	1.0989365574974606	0.021888346291327094	0.0023837256082055386	5500	497.016023159027	1.317608067198922e-4	2.396182841127037e-5	0	0	1	5	2.6817644140371156e-4	1.0445928813532679e-4	0	0	0	0	1.0458441510411387e-4	5.828365462838588e-5	0	0	0	0
HDL	META	1	49	2793	1.0405850950338897	0.01875408583584784	8.372153839882171e-4	5500	458.787098646164	4.474019961517027e-5	1.509032441972064e-5	0	0	1	10	1.4508620564795523e-4	6.613933343603327e-5	0	0	0	0	5.6309943372222474e-5	4.773208076328513e-5	0	0	0	0
HDL	META	1	50	4096	1.033779343501426	0.023966223291878308	0.0020075990280875567	5500	1071.05153775215	6.189463300900432e-5	1.6968821182354576e-5	0	0	0	0	3.531318650769049e-4	1.3251851405560592e-4	0	0	0	0	1.0171156423410418e-4	5.68722464169917e-5	0	0	0	0
HDL	META	1	51	2792	1.0231774450595241	0.016936267131398383	5.53214747838024e-4	5500	548.531738519669	4.203880307159951e-5	1.3370789341700513e-5	0	0	1	76	7.481112074610859e-5	3.769742587038761e-5	0	0	0	0	2.5461617140465063e-5	2.101915702821993e-5	0	0	0	0
HDL	META	1	52	7738	1.0805823497161338	0.024944395337631074	0.004488118912092668	5500	3251.68094468117	5.324318405645513e-4	4.9313109538038674e-5	0	0	3	82	6.08678140103435e-4	1.6419273756565562e-4	0	0	0	0	1.301322650657176e-4	6.0827936465880304e-5	0	0	0	0
HDL	META	1	53	6806	1.0949535130552135	0.024459376376504964	0.0017425873090247727	5500	2640.23559737206	1.4307745703112882e-4	2.4498926997812477e-5	0	0	1	9	4.5398098483509595e-4	1.3255729585425762e-4	0	0	0	0	2.5570615140805197e-4	1.0760122175942093e-4	0	0	0	0
