pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
LDL	UKBB	1	2	1793	1.0150604003141188	0.07472617734929676	3.4215983476210176e-4	5500	181.983946561813	6.5975490505851e-5	2.672869734848596e-5	0	0	0	0	5.315729983409426e-4	4.381969773793722e-4	0	0	0	0	3.15665234179459e-5	7.170419766677838e-5	0	0	0	0
LDL	UKBB	1	4	2423	1.0155207661632069	0.06558228390618215	7.248170702754437e-4	5500	330.064889907837	1.1925284981713596e-4	3.876900633945136e-5	0	0	0	0	8.006988414671064e-4	5.108358809195432e-4	0	0	0	0	2.6227006014552067e-4	4.238591959351148e-4	0	0	0	0
LDL	UKBB	1	17	7402	1.036142820426212	0.10158114562396087	0.004298584010518343	5500	4167.09732842445	2.439177450648785e-4	5.909230841657127e-5	0	0	0	0	0.004151339839510918	0.0014690474962358918	0	0	0	0	0.001988596559156832	0.0012922872189901579	0	0	0	0
LDL	UKBB	1	19	6286	1.0611517352568822	0.09714757564470197	0.00413252759172123	5500	2452.94052815437	3.030216643709539e-4	6.253200522606778e-5	0	0	1	5	0.003071447185409123	0.0011726071833894683	0	0	0	0	0.0012596492503013398	0.0010591759288288483	0	0	0	0
LDL	UKBB	1	23	2057	1.041313360133718	0.10525246739398078	0.0013000426884749992	5500	277.651746273041	1.0599049708486755e-4	3.700820556042192e-5	0	0	0	0	0.0011690558012438397	7.228976933664206e-4	0	0	0	0	4.4266124822639583e-4	5.95949597507151e-4	0	0	0	0
LDL	UKBB	1	35	7590	1.0444257089061237	0.07927177342438067	0.0018273781475310511	5500	3545.52176570892	3.1368734057400833e-4	6.498752727978347e-5	0	0	1	36	0.0035415984350395187	0.0012402728450268915	0	0	0	0	0.0013481647988790118	9.836859397562845e-4	0	0	0	0
LDL	UKBB	1	40	2409	1.051514399504997	0.10825138452417629	0.0015431080360854342	5500	445.248062610626	1.6195049605087267e-4	5.001217611271236e-5	0	0	0	0	0.0019780226393116165	0.0010184733234802356	0	0	0	0	9.699968817793055e-4	8.445700781222257e-4	0	0	0	0
LDL	UKBB	1	48	2934	1.04151912263251	0.06889500176833033	0.00542700672343109	5500	511.569091558456	2.8102908292535817e-4	6.549011138991179e-5	0	1	1	18	0.0017675007527552025	8.467317629447624e-4	0	0	0	0	5.924351405396894e-4	5.175019667773051e-4	0	0	0	0
LDL	UKBB	1	49	2772	1.0473427247692142	0.061718526636797194	5.149284130117064e-4	5500	413.705697536469	1.1932526954635797e-4	4.009254738989642e-5	0	0	0	0	8.026947530500097e-4	4.927741727270848e-4	0	0	0	0	2.6058941730556335e-4	3.908634792619433e-4	0	0	0	0
LDL	UKBB	1	51	2761	1.0604529661117372	0.09926194124077047	0.002105634745251255	5500	463.832365751266	4.639010481785701e-4	7.432478229033371e-5	0	0	1	20	0.0023066484862071103	0.0011338177696489865	0	0	0	0	0.0011622111795733655	0.0011085625407830034	0	0	0	0
