pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TC	META	1	1	1558	1.0124573557586911	0.015807269782690245	3.5885484495131804e-4	5500	129.828799962997	1.9581137483812588e-5	8.05229810055237e-6	0	0	1	30	5.9784811729692444e-5	3.697360393249731e-5	0	0	0	0	2.0814885177403673e-5	2.858092710478482e-5	0	0	0	0
TC	META	1	2	1781	1.0310885422278075	0.023100972809876455	5.08568272015882e-4	5500	179.466636180878	3.904296623548869e-5	1.1688572580916803e-5	0	0	2	66	1.6737346424093417e-4	8.361617715811067e-5	0	0	0	0	1.0800771886152135e-5	1.3983773747295115e-5	0	0	0	0
TC	META	1	4	2434	1.0300020955983746	0.01884047058087776	8.474264905715119e-4	5500	347.203841209412	7.647819957803492e-5	1.7401742721140763e-5	0	0	0	0	1.713140912448348e-4	8.014274944174745e-5	0	0	0	0	6.941005196131428e-5	4.780876993569253e-5	0	0	0	0
TC	META	1	17	7456	1.0326152286958623	0.024103902142728076	9.143410276421237e-4	5500	3552.04992794991	8.25201703725858e-5	1.8344681597266552e-5	0	0	0	0	4.3595118742588077e-4	1.262894226591969e-4	0	0	0	0	1.0337626891277152e-4	4.808815305129193e-5	0	0	0	0
TC	META	1	19	6365	1.0331865788702037	0.018424306452199397	0.0015546815821407584	5500	2195.82335782051	1.1988155223285103e-4	2.1337377765546264e-5	0	0	2	83	2.740214679104606e-4	8.908335367662432e-5	0	0	0	0	1.1423277487886204e-4	5.527995810943035e-5	0	0	0	0
TC	META	1	35	7642	1.155129393049392	0.028113389141917328	0.007274011675148825	5500	3188.70042777061	2.2353636497614543e-4	3.08454773467887e-5	0	1	3	40	4.8380395612387163e-4	1.302485555980743e-4	0	0	0	0	2.744645756106584e-4	9.461789706474854e-5	0	0	1	14
TC	META	1	40	2451	1.0882704109079795	0.021164216043569162	8.392124390103809e-4	5500	457.954342603683	5.350054424306176e-5	1.4304932233087592e-5	0	0	1	12	1.365924287039281e-4	6.505028098917889e-5	0	0	0	0	6.34655188669034e-5	4.2517720242358694e-5	0	0	0	0
TC	META	1	48	2962	1.0635522500101993	0.028809309951342597	0.0032239654981002356	5500	509.543558359146	2.69236697101842e-4	3.409269465086175e-5	0	0	3	60	3.2091837491451003e-4	1.0897756802763816e-4	0	0	0	0	1.6916391971355153e-4	7.447953381808555e-5	0	0	0	0
TC	META	1	49	2814	1.0510482527680243	0.021627201940858015	0.001384684070576382	5500	430.104466199875	5.861447795642924e-5	1.6728266964989567e-5	0	0	0	0	1.404077630265579e-4	6.378848834809072e-5	0	0	0	0	2.453045811726551e-5	1.9379402566653636e-5	0	0	0	0
TC	META	1	51	2775	1.0405925054176381	0.03334862570123357	0.0022711242916455595	5500	407.013258457184	3.330736842674288e-4	3.4281720756068895e-5	0	0	2	30	3.5300867151566673e-4	1.2165517989608316e-4	0	0	0	0	2.3502736895389165e-4	8.43569223107715e-5	0	0	1	50
TC	META	1	52	7761	1.140911061134455	0.020827109509646786	0.0034982644806310598	5500	3480.39979290962	2.891645885327386e-4	3.764158918758344e-5	0	0	4	165	4.7310708126374287e-4	1.316046363806509e-4	0	0	0	0	1.2086637587198228e-4	5.546717759613653e-5	0	0	0	0
TC	META	1	53	6819	1.0558483011116577	0.02355989116972034	0.0017174629236624483	5500	2477.16166496277	1.434102714080078e-4	2.3800131613888654e-5	0	0	1	11	4.777189290992417e-4	1.3439735760950274e-4	0	0	0	0	2.2397715858576544e-4	8.233737956999499e-5	0	0	1	11
TC	META	1	58	8070	1.0345655423118296	0.02192338878764383	0.003630025237726205	5500	3480.96151661873	1.0311523861635651e-4	1.9939400109301817e-5	0	1	1	2	3.9328890508118187e-4	1.1069766676897104e-4	0	0	0	0	1.5602102253195078e-4	7.223475505609355e-5	0	0	0	0
TC	META	1	67	5205	1.0513717823591668	0.017338792151626557	4.0682389985708414e-4	5500	1796.07860970497	5.591841833384104e-5	1.4303490738501313e-5	0	0	0	0	1.9810056655295233e-4	7.367457160358239e-5	0	0	0	0	7.85390252562508e-5	4.513094975192982e-5	0	0	0	0
TC	META	1	70	5239	1.0325800772186313	0.030067117302068527	0.0018907360322575064	5500	1583.74401044846	7.42251470081625e-5	1.5920290145312148e-5	0	0	1	28	2.9683940169144207e-4	1.1138067055706913e-4	0	0	0	0	1.1741363819947826e-4	5.7520135943075846e-5	0	0	0	0
TC	META	1	73	7405	1.0562167498737955	0.024768098891935146	0.001007637876540124	5500	3042.13168740273	7.866182040866782e-5	1.827779594513649e-5	0	0	0	0	4.074728542660836e-4	1.1811982522360913e-4	0	0	0	0	1.4761542142476192e-4	6.554469741648514e-5	0	0	0	0
TC	META	1	74	7092	1.0357026008889485	0.02162773178617293	9.276895342027239e-4	5500	2858.22663640976	7.161799790635033e-5	1.7146856364129865e-5	0	0	2	146	4.4455906415297804e-4	1.384631181512151e-4	0	0	0	0	6.791203960101627e-5	3.849396734583475e-5	0	0	0	0
TC	META	1	75	9345	1.0660473767412808	0.027841855998315696	0.0020207231579571594	5500	4971.42104530334	1.621819472919414e-4	2.6114115950599502e-5	0	0	2	28	5.24934554302601e-4	1.3618159256508264e-4	0	0	0	0	2.4940456984673317e-4	8.422757438760339e-5	0	0	0	0
TC	META	1	76	4619	1.0383388739633979	0.026797731472745348	0.00266555835956704	5500	1222.47147512436	8.434798322027624e-5	1.9517519555934296e-5	0	0	1	43	5.836658772276224e-4	1.616603785973226e-4	0	0	0	0	1.2717014553884537e-4	6.180249616058847e-5	0	0	0	0
TC	META	1	80	2693	1.1000729895652497	0.03315198115178103	0.003268626152999473	5500	468.662053823471	3.144092521447404e-5	1.1557559197154383e-5	0	0	0	0	6.353021499288454e-4	1.754631732925428e-4	0	0	0	0	1.1813011021440651e-4	6.467491695879916e-5	0	0	0	0
TC	META	1	81	1932	1.0387809128653596	0.032486508299037126	0.0028437743629865344	5500	228.996128559113	3.301143604340739e-5	1.322545996326869e-5	0	0	0	0	5.689545947342152e-4	1.674592463133853e-4	0	0	0	0	4.422576537278793e-5	3.2027283516469745e-5	0	0	0	0
TC	META	1	82	4220	1.0402738476204387	0.02373324492929854	0.010273764057569953	5500	879.460270881653	1.2484315581217693e-4	2.7445785849612833e-5	1	4	2	3	5.039109741631601e-4	1.5156334813029118e-4	0	0	0	0	7.860709877898659e-5	4.541324264258506e-5	0	0	0	0
TC	META	1	83	4906	1.165808684432014	0.08411091103069156	0.029097595112368813	5500	1497.59041786194	0.0014247754040520651	1.217199719489661e-4	1	5	4	28	0.003909899201957816	5.429407945564855e-4	0	3	2	13	6.766705090871647e-4	1.7418566679826842e-4	0	1	1	19
