pheno	db	chromosome	block	num_variants	max_PSRF	max_beta	max_betamean	mcmc_n	time	h2_beta_mean.EUR	h2_beta_sd.EUR	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	h2_beta_mean.AFR	h2_beta_sd.AFR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	h2_beta_mean.EAS	h2_beta_sd.EAS	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TC	UKBB	1	1	1558	1.0816771464397612	0.055213462972480365	0.001101902502299739	5500	134.606374740601	4.098380822908433e-5	2.1213545398827133e-5	0	0	0	0	3.4173178848035106e-4	3.0255151540842945e-4	0	0	0	0	1.951733355734853e-5	5.050977991961568e-5	0	0	0	0
TC	UKBB	1	2	1781	1.015610986017099	0.07755094866345279	0.0011846234851583734	5500	213.874567270279	7.151018971882535e-5	2.827151149985742e-5	0	0	0	0	0.0013841354650624299	8.858336182836213e-4	0	0	0	0	6.873977667767922e-5	1.3700663430725332e-4	0	0	0	0
TC	UKBB	1	4	2434	1.0261730191358551	0.08694225088657037	7.130002768720397e-4	5500	366.860409498215	9.649966972158719e-5	3.3612994429082403e-5	0	0	0	0	7.01401026157097e-4	4.279830074300514e-4	0	0	0	0	3.202731925536556e-4	5.729271067202801e-4	0	0	0	0
TC	UKBB	1	17	7456	1.0288034445830914	0.09568370035111895	0.0023649083774264076	5500	3834.799036026	2.5576294770004277e-4	5.802606228486501e-5	0	0	0	0	0.004100440031744301	0.0014391673705583094	0	0	0	0	0.0017304191169516864	0.0011506961400045458	0	0	0	0
TC	UKBB	1	19	6365	1.0336367238490178	0.09257666488061837	0.0030904337339221367	5500	2738.56085896492	3.799061735152149e-4	7.157212831524268e-5	0	0	1	6	0.0034300182623294264	0.0012267591588099535	0	0	0	0	0.0016487284556618578	0.0011624039098351792	0	0	0	0
TC	UKBB	1	35	7642	1.17063955741321	0.09000700275185604	0.0026829052277510773	5500	3618.31919765472	3.428078336986519e-4	6.893031674730318e-5	0	0	1	36	0.0034607516220501945	0.0012060453095437405	0	0	0	0	0.0012442717998428752	9.382829239359151e-4	0	0	0	0
TC	UKBB	1	40	2451	1.0453278184241692	0.09441215039223541	0.002056525786608199	5500	444.816410303116	1.4865792648309753e-4	4.444222875102057e-5	0	0	0	0	0.0015270321724472674	8.817810219656004e-4	0	0	0	0	8.129911479451569e-4	8.459084031695155e-4	0	0	0	0
TC	UKBB	1	48	2962	1.0790892447807163	0.07558139319439107	0.004522728595478162	5500	543.8365483284	3.850037563035875e-4	7.107434636106795e-5	0	1	2	55	0.0016792162898292707	8.083853209383044e-4	0	0	0	0	5.638219420432891e-4	4.907642023459283e-4	0	0	0	0
TC	UKBB	1	49	2814	1.055286334129425	0.08477410727683449	0.0041945366695111015	5500	502.816596269608	1.6662501388205783e-4	4.5473576675255186e-5	0	0	0	0	0.001879471493145155	0.0011092227121423555	0	0	0	0	5.393515039533282e-4	6.287407519499973e-4	0	0	0	0
TC	UKBB	1	51	2775	1.0701445561770897	0.09969940893331192	0.002378316888571646	5500	484.917524337769	5.274123731726384e-4	8.105986622322006e-5	0	0	1	25	0.0026686850940310946	0.0012541245076766073	0	0	0	0	0.0011939956634418863	0.0011536983118815164	0	0	0	0
TC	UKBB	1	52	7761	1.0940567212734138	0.08620468607054375	0.0032036067170317472	5500	3895.02975106239	4.2841025105648414e-4	7.826208546589526e-5	0	0	3	99	0.0056210298487793945	0.0017827887466207231	0	0	0	0	0.0014748564823170794	9.861652058995223e-4	0	0	0	0
TC	UKBB	1	53	6819	1.0578377174132598	0.08869285685480563	0.0027616924225170444	5500	2825.10378360748	2.786958235190631e-4	6.078980223090565e-5	0	0	0	0	0.003282949232932631	0.0012552516442781386	0	0	0	0	0.0010074636569624691	7.976662651790445e-4	0	0	0	0
TC	UKBB	1	58	8070	1.0951725253616174	0.09432704865981656	0.003229957119142947	5500	4399.052983284	2.7005325820989885e-4	5.9318350392132244e-5	0	0	0	0	0.0037754104309198223	0.0014315909528885172	0	0	0	0	0.0014144088374335355	0.0011888325711213864	0	0	0	0
TC	UKBB	1	67	5205	1.0489303380938761	0.09007915805160427	0.005689127835705271	5500	1706.24992322922	2.8500723886224676e-4	6.22432857950757e-5	0	0	1	9	0.004143321926707816	0.0016915790553847232	0	0	0	0	0.001813174992315302	0.001319637640852562	0	0	0	0
TC	UKBB	1	70	5239	1.0544621669539194	0.09305974313480611	0.0016337250654640874	5500	1898.36370205879	2.790281345294146e-4	5.88483377763436e-5	0	0	0	0	0.002883110084151844	0.0011914809647591623	0	0	0	0	0.0012031234763399444	8.707826380776564e-4	0	0	0	0
TC	UKBB	1	73	7405	1.039070685909582	0.11843151775021439	0.0025944352045311606	5500	3750.2199587822	2.4833413338161116e-4	6.0244631022338435e-5	0	0	0	0	0.003990329697513411	0.0013994134776842612	0	0	0	0	0.0017886689857649044	0.001307933549560554	0	0	0	0
TC	UKBB	1	74	7092	1.0459981558615707	0.10300580155380673	0.0061307466686233575	5500	3519.67114639282	2.876416610282671e-4	6.914857863377528e-5	0	0	0	0	0.003054371719108322	0.0010686315744465817	0	0	0	0	0.0015891774826620475	0.0013712993359100052	0	0	0	0
TC	UKBB	1	75	9345	1.0367686050679368	0.08848372352899064	0.0012106290174896655	5500	5499.68351268768	4.691481826929615e-4	8.009242995150402e-5	0	0	1	39	0.004338741279787687	0.0013916107960331432	0	0	0	0	0.002072381555028975	0.0012151132298786668	0	0	0	0
TC	UKBB	1	76	4619	1.0442464502102973	0.1036261113438611	0.002246625624611003	5500	1416.09525370598	2.4175648386894088e-4	5.974031574327149e-5	0	0	0	0	0.0030708594404325116	0.0012048141448964664	0	0	0	0	0.002476843527098522	0.0017828557122243132	0	0	0	0
TC	UKBB	1	80	2693	1.0474399871056255	0.10591231571153728	0.0060270509166786956	5500	498.5676176548	1.2611042064203607e-4	4.4440886456785304e-5	0	0	0	0	0.003274586124587827	0.001407091665060359	0	0	0	0	0.0015443774927498854	0.001355716762516466	0	0	0	0
TC	UKBB	1	81	1932	1.0198836168062906	0.05492607941006289	0.0012057933697550097	5500	265.758327722549	7.999165570120187e-5	3.3765030027020325e-5	0	0	0	0	6.524822824461365e-4	4.343122761997009e-4	0	0	0	0	2.770007062407226e-4	2.965077930020773e-4	0	0	0	0
TC	UKBB	1	82	4220	1.0339164008857489	0.0690470093635937	0.0022256148205951915	5500	1199.70933222771	2.5542425564435613e-4	6.243615281229405e-5	0	0	0	0	0.0029084440925166806	0.0012440799350530163	0	0	0	0	9.501945771414876e-4	7.855789475430848e-4	0	0	0	0
TC	UKBB	1	83	4906	1.0729939681923828	0.11561650679251503	0.023845125615938597	5500	1664.91816449165	0.001119630342516735	1.4125965336500375e-4	1	3	2	39	0.005306649277236571	0.00197842520440567	0	0	0	0	0.003210943180221129	0.002046760752404419	0	0	0	0
TC	UKBB	1	84	7777	1.1891902438562885	0.15306440989140477	0.07715898868551971	5500	3796.33388328552	0.00627570109860565	4.1862745811301077e-4	2	3	5	52	0.025373468376810957	0.004371806085764564	1	2	1	1	0.006448765380446313	0.0028946158610029414	0	0	0	0
TC	UKBB	1	85	2269	1.0384830004317054	0.08260449799626043	0.008196632077256197	5500	387.709768772125	2.2858242793006716e-4	6.279958934113146e-5	1	1	1	1	0.0015324555305555332	8.600739904679879e-4	0	0	0	0	9.383408710218311e-4	8.233157906100739e-4	0	0	0	0
TC	UKBB	1	89	4347	1.043410574772449	0.09159978564485485	0.0029630527386838136	5500	1219.82161927223	1.6499174948242495e-4	5.0892145287694154e-5	0	0	0	0	0.002640017740799963	0.0012449301039456268	0	0	0	0	0.0011305157943754774	9.674666966131895e-4	0	0	0	0
TC	UKBB	1	92	5210	1.0849677182433157	0.07426984114706997	0.0015057455021841343	5500	1901.94029903412	2.5028629900136724e-4	6.293778920177016e-5	0	0	0	0	0.0027572159377705617	0.001073886555031034	0	0	0	0	0.0014526329718501545	0.001051952671174742	0	0	0	0
TC	UKBB	1	94	1219	1.027335874628963	0.10034337713745359	0.0014932375530415053	5500	130.330279111862	1.3003254732052062e-4	4.122150351189509e-5	0	0	0	0	0.0012146605060558346	8.187321477349432e-4	0	0	0	0	4.327694726890834e-4	6.634627570122792e-4	0	0	0	0
TC	UKBB	1	95	1120	1.0279367942709843	0.07784346491594737	0.0049500954718816855	5500	95.7489521503448	6.345866126207326e-5	3.174936261519346e-5	0	1	0	0	7.269819703337144e-4	5.744028691083722e-4	0	0	0	0	3.252445813530625e-4	5.68001156554719e-4	0	0	0	0
TC	UKBB	1	96	4617	1.1295305579364572	0.13266379726754693	0.00713038355694941	5500	1502.91600728035	3.812919003114646e-4	7.77280493648776e-5	0	1	2	9	0.004760918765650371	0.0017113209439352588	0	0	0	0	0.00520071974153183	0.0029524713850242433	0	0	0	0
TC	UKBB	1	97	5843	1.0500940869538826	0.12942163123962053	0.005508071922724072	5500	2164.9018433094	0.0018763558530356707	1.4199320995395828e-4	0	0	1	36	0.0051978351717444455	0.0016466596645560417	0	0	0	0	0.0026222319920787504	0.0018738532609548727	0	0	0	0
TC	UKBB	1	100	4720	1.054660127963047	0.11368775692705636	0.0038515332847753386	5500	1596.45110106468	2.5850747136827096e-4	5.8596470991849464e-5	0	0	0	0	0.003574434294970842	0.0014091927405952456	0	0	0	0	0.0023342421480137686	0.0016457415249860126	0	0	0	0
TC	UKBB	1	109	6579	1.0444328834389711	0.09133783222700614	0.0017584558825099544	5500	2746.77353072166	2.1650078506196336e-4	5.05703961472761e-5	0	0	0	0	0.002480257382971933	0.0010193126194686744	0	0	0	0	0.0011738625442582102	9.324636247493315e-4	0	0	0	0
TC	UKBB	1	124	7961	1.0818818420021155	0.09041856886495327	0.003367514259806967	5500	4359.65322804451	3.6638392746447324e-4	7.459021351838364e-5	0	0	1	11	0.003675359765059161	0.0012450268619857712	0	0	0	0	0.0018260123241702663	0.0011865446592335465	0	0	0	0
TC	UKBB	1	125	10210	1.0447973827959824	0.12070176124787119	0.00363131778211344	5500	7083.85969305038	6.618709148693796e-4	9.789624063904591e-5	0	0	1	53	0.005509844859132191	0.0016269295178901603	0	0	0	0	0.003596344825624863	0.0021438634602542026	0	0	0	0
TC	UKBB	1	127	4278	1.0296566776807823	0.09175561695925509	0.0015757792536845066	5500	1243.36222195625	1.6207880025403306e-4	4.522031134005918e-5	0	0	0	0	0.0020279785125652387	8.94923485396697e-4	0	0	0	0	0.001417696090888968	0.001085479029485798	0	0	0	0
TC	UKBB	1	136	5887	1.0632915398325968	0.08283495180807204	0.002357470413666031	5500	2240.83997154236	2.3177820799271209e-4	5.972011492179834e-5	0	0	0	0	0.0035253502531647036	0.001427932339354238	0	0	0	0	0.0012668686315882882	9.24900912201305e-4	0	0	0	0
TC	UKBB	1	138	7716	1.076315809754659	0.12681780656412223	0.04663554373058936	5500	3535.70391821861	0.00425993355759549	2.16131038719532e-4	0	2	2	77	0.013438557909491507	0.0029921155097341005	0	1	1	2	0.004022713753395893	0.0023902326363363174	0	0	0	0
TC	UKBB	1	139	1756	1.0295054291461023	0.055873642070311216	0.001491535827959328	5500	196.341493368149	1.3270410186066393e-4	4.397182599236154e-5	0	0	1	17	9.073446945831266e-4	6.204991616257581e-4	0	0	0	0	1.9879326899229814e-4	2.664852250817571e-4	0	0	0	0
TC	UKBB	1	140	2437	1.039946535894752	0.07009183407945699	0.0016451523046334755	5500	402.533850669861	1.1778274316303551e-4	4.209039433467974e-5	0	0	0	0	0.0010955908263194788	6.391966221750313e-4	0	0	0	0	5.019752866134196e-4	4.8535711597374326e-4	0	0	0	0
TC	UKBB	1	141	3012	1.0388991610281837	0.07089994143145673	6.858275141540504e-4	5500	613.064192056656	1.2375144369396293e-4	4.0427317622863785e-5	0	0	0	0	0.0015336207655080067	7.603603877208048e-4	0	0	0	0	6.510939827324069e-4	6.238424381958835e-4	0	0	0	0
TC	UKBB	1	144	4259	1.1060676516452357	0.09494370547014415	0.001209840135002736	5500	1114.29379725456	2.018686220420497e-4	5.635015379905878e-5	0	0	0	0	0.002330539589910654	0.0010175986131010929	0	0	0	0	8.936755926900302e-4	9.077705275545967e-4	0	0	0	0
TC	UKBB	1	145	3428	1.0868605899951744	0.07584897840013144	0.0020562256396088373	5500	751.692929983139	2.2032010200270628e-4	5.367314902603481e-5	0	0	0	0	0.0012561955878609384	6.227384883100201e-4	0	0	0	0	8.00490281056029e-4	7.293238450188501e-4	0	0	0	0
TC	UKBB	1	150	5766	1.0310309145960144	0.10274719600995472	0.004426179197263734	5500	2178.38714408875	2.816296019734822e-4	6.376039514624912e-5	0	1	0	0	0.0032532994318194572	0.0011866816950416616	0	0	0	0	0.0019192474378718514	0.001411255221372695	0	0	0	0
TC	UKBB	1	151	7703	1.0751026683320273	0.10625105742371252	0.0014566821963940093	5500	4158.86837601662	3.2481439176709076e-4	6.683889409310321e-5	0	0	0	0	0.004798154851135701	0.0015267633008410513	0	0	0	0	0.002625063049234533	0.0015647788271942922	0	0	0	0
TC	UKBB	1	153	5837	1.070960263229666	0.09636246208447177	0.005655737702437516	5500	2540.93824267387	2.800099304266471e-4	6.480554467697881e-5	0	0	0	0	0.005186007891671389	0.0018249596573915571	0	0	0	0	0.0024434596357914384	0.0015814942165718751	0	0	0	0
TC	UKBB	1	154	10276	1.0479190744443858	0.07301820233666001	0.001808487587931934	5500	6915.66528224945	4.292150361651263e-4	7.816846909459195e-5	0	0	0	0	0.0034514059291660525	0.0011140078026562565	0	0	0	0	0.0013693180688038537	8.6227113856301e-4	0	0	0	0
TC	UKBB	1	156	5573	1.1134149794737087	0.07438528380096315	0.00348610919410075	5500	1861.91294503212	2.9117357319215264e-4	6.299863336632545e-5	0	1	1	19	0.002022086559089187	8.40456932759676e-4	0	0	0	0	9.034785515445323e-4	7.330445860110558e-4	0	0	0	0
TC	UKBB	1	158	6421	1.072431237290492	0.06484196616941071	0.0018042966307749598	5500	2393.47401237488	2.3317088517201548e-4	5.3847112061907627e-5	0	0	2	87	0.001671176878668243	6.829819703891446e-4	0	0	0	0	4.5901556412133575e-4	4.2332178969487275e-4	0	0	0	0
TC	UKBB	1	162	4936	1.0361172545658888	0.08693450826708593	0.005561098347552487	5500	1506.11290860176	1.9362270016463548e-4	4.95104111424067e-5	0	0	0	0	0.003199817996627672	0.0013128151011658812	0	0	0	0	0.001400701031211194	0.0011714759901525961	0	0	0	0
TC	UKBB	1	168	6300	1.051665424577272	0.09631921150244949	0.0035017500510341557	5500	2423.3404238224	3.8733914596022806e-4	7.416674959093412e-5	0	0	1	18	0.003473062502951224	0.0013162186134886506	0	0	0	0	0.0016683420392315683	0.0011435661003311886	0	0	0	0
TC	UKBB	1	169	8206	1.098617830265525	0.09131214237979099	0.0038706017616136554	5500	4879.88022756577	3.590733109895276e-4	7.450058100401193e-5	0	1	0	0	0.004803471239294967	0.001579385755244802	0	0	0	0	0.0023577868055563275	0.0013321435115604947	0	0	0	0
TC	UKBB	1	175	8284	1.0430506890816214	0.09325519560870715	0.003464871699995028	5500	4643.55146121979	3.727607490698506e-4	7.437776826391625e-5	0	1	0	0	0.003574691063132307	0.0012727953358621818	0	0	0	0	0.0017119840024988485	0.0011671470997080392	0	0	0	0
TC	UKBB	1	182	8745	1.095577848036587	0.09477022440847473	0.003797951236264408	5500	5243.01290774345	3.076660787147072e-4	6.521143935899364e-5	0	0	0	0	0.004195149559693968	0.0014327584991300232	0	0	0	0	0.0021214320874700108	0.0013756424138714	0	0	0	0
TC	UKBB	1	183	8358	1.0520766042063712	0.08203301713140874	0.0016157947781008796	5500	4625.04313755035	3.14344179301833e-4	6.45511586440724e-5	0	0	1	12	0.003519511857981853	0.0011592660422415596	0	0	0	0	0.0020254239694396116	0.001349723431573909	0	0	0	0
TC	UKBB	1	185	2729	1.0479305154906893	0.060764522509491145	0.0014436309566187573	5500	463.598289966583	1.1877747307375675e-4	4.030713310252038e-5	0	0	0	0	9.901478041852633e-4	5.6907129040419e-4	0	0	0	0	3.1502410378303074e-4	3.47372441570829e-4	0	0	0	0
TC	UKBB	1	187	5598	1.0361263667694347	0.07605742753955633	9.730175033137398e-4	5500	1972.95868611336	2.642647995314766e-4	5.764632174436878e-5	0	0	0	0	0.002015722246538814	8.446458831888275e-4	0	0	0	0	0.001155088010984178	8.946810824707292e-4	0	0	0	0
TC	UKBB	1	188	6148	1.046704109007992	0.11694391765560055	0.00207728321086342	5500	2473.23661017418	2.1499624994613506e-4	5.6605624199502136e-5	0	0	0	0	0.003212968138852475	0.001142521916729204	0	0	0	0	0.0030953126439666697	0.0019693831570633015	0	0	0	0
TC	UKBB	1	192	6158	1.0489501295276993	0.1061475744547789	0.0038125060445535373	5500	2594.27569031715	3.650966433907133e-4	7.258247507918257e-5	0	2	0	0	0.003941478243102871	0.001435985936400597	0	0	0	0	0.0025158470142097847	0.0018758460940040123	0	0	0	0
TC	UKBB	1	201	7464	1.0451422530705876	0.10856274787973452	0.0016635916219081184	5500	3438.13857150078	2.2923193689014916e-4	5.630540765539443e-5	0	0	0	0	0.0028915051786269526	0.0010413140294490979	0	0	0	0	0.0019992156354093583	0.0015587065976918357	0	0	0	0
TC	UKBB	1	202	5978	1.0973321099712192	0.09234752856218989	0.0028385702664079993	5500	2425.65685677528	3.560008736457894e-4	6.811840958227614e-5	0	0	0	0	0.0031123628870962108	0.0011534353719557804	0	0	0	0	0.0015369098963322848	0.001121067437004983	0	0	0	0
TC	UKBB	1	205	2293	1.050397517391228	0.09127893436997223	0.00726623147902416	5500	351.689145565033	1.2640856462916019e-4	4.2440936340057546e-5	0	0	0	0	0.0031100115328226447	0.001490100401543813	0	0	0	0	9.435680506947482e-4	8.84818186993586e-4	0	0	0	0
TC	UKBB	1	209	1496	1.0338366424386627	0.08798212160780139	0.0016405245155961079	5500	162.681078672409	1.0327293908636032e-4	3.7890403506963456e-5	0	0	0	0	0.0022602216373136122	0.0013038967219934346	0	0	0	0	9.148060728499867e-4	9.514483131943073e-4	0	0	0	0
TC	UKBB	1	213	3255	1.0333138042280987	0.053599805134886665	0.0013210001585298497	5500	710.582901000977	1.384521762181318e-4	4.448712759240906e-5	0	0	0	0	8.375025089869513e-4	4.2743269888602316e-4	0	0	0	0	3.9798042228179095e-4	3.675655884733744e-4	0	0	0	0
