pheno	db	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
HDL	META	1	1	45	5	0.180411577224731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	2	82	5	0.400750398635864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	3	85	5	0.631620168685913	0	0	1	32	0	0	1	32	0	0	0	0	0	0	0	0
HDL	META	1	5	494	5	2.15738081932068	0	0	1	28	0	0	1	28	0	0	0	0	0	0	0	0
HDL	META	1	15	1057	5	12.2707688808441	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
HDL	META	1	17	1322	5	27.7441556453705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	18	566	5	5.8123083114624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	19	896	5	6.54960989952087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	21	722	5	3.5603232383728	0	0	1	29	0	0	1	29	0	0	0	0	0	0	0	0
HDL	META	1	23	455	5	3.49648952484131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	24	303	5	1.60248851776123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	35	959	5	9.1689600944519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	40	563	5	6.0615713596344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	43	352	5	3.06390905380249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	META	1	44	307	5	1.8740770816803	0	0	1	6	0	0	1	6	0	0	1	6	0	0	1	6
HDL	META	1	46	873	5	10.0182394981384	0	1	1	13	0	1	1	13	0	0	0	0	0	0	0	0
HDL	META	1	48	465	5	2.07023358345032	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
