pheno	db	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
HDL	UKBB	1	1	45	5	0.253537654876709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	2	82	5	0.315086603164673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	3	85	5	0.560759305953979	0	1	1	22	0	1	1	22	0	0	0	0	0	0	0	0
HDL	UKBB	1	5	494	5	2.48067450523376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	15	1057	5	9.13369035720825	0	0	1	15	0	0	1	15	0	0	0	0	0	0	1	15
HDL	UKBB	1	17	1322	5	18.0788753032684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	18	566	5	2.56913614273071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	19	896	5	8.10316681861877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	21	722	5	3.8943088054657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	23	455	5	3.44833874702454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	24	303	5	1.77538323402405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	35	959	5	8.7456636428833	0	0	1	6	0	0	1	6	0	0	0	0	0	0	0	0
HDL	UKBB	1	40	563	5	3.79807066917419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	43	352	5	1.70383214950562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	44	307	5	1.95773482322693	0	0	1	7	0	0	1	7	0	0	0	0	0	0	0	0
HDL	UKBB	1	46	873	5	6.75676083564758	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HDL	UKBB	1	48	465	5	1.84003186225891	0	2	1	6	0	2	1	6	0	0	0	0	0	0	0	0
HDL	UKBB	1	49	327	5	1.66042256355286	0	0	1	6	0	0	1	6	0	0	0	0	0	0	0	0
HDL	UKBB	1	50	672	5	3.13230752944946	0	0	1	18	0	0	1	18	0	0	0	0	0	0	0	0
HDL	UKBB	1	51	434	5	2.49583745002747	0	0	1	47	0	0	1	47	0	0	0	0	0	0	0	0
HDL	UKBB	1	52	996	5	10.3679740428925	0	0	1	17	0	0	1	17	0	0	0	0	0	0	1	17
