pheno	chromosome	block	UKBB_nCS.EUR	GLGC_nCS.EUR	UKBB_in_GLGC.EUR	GLGC_in_UKBB.EUR	UKBB_nCS.AFR	GLGC_nCS.AFR	UKBB_in_GLGC.AFR	GLGC_in_UKBB.AFR	UKBB_nCS.EAS	GLGC_nCS.EAS	UKBB_in_GLGC.EAS	GLGC_in_UKBB.EAS
HDL	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	2	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	3	1	1	1	1	0	0	0	0	0	0	0	0
HDL	1	5	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	15	1	0	0	0	0	0	0	0	1	0	0	0
HDL	1	17	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	18	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	19	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	21	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	23	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	24	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	35	1	0	0	0	0	0	0	0	0	0	0	0
HDL	1	40	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	43	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	44	1	1	1	1	0	1	0	0	0	1	0	0
HDL	1	46	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	48	1	1	0	0	0	0	0	0	0	0	0	0
HDL	1	49	1	1	1	1	0	0	0	0	0	1	0	0
HDL	1	50	1	1	1	1	0	0	0	0	0	1	0	0
HDL	1	51	1	1	1	1	0	0	0	0	0	0	0	0
HDL	1	52	1	3	1	1	0	0	0	0	1	1	0	0
HDL	1	53	3	1	1	1	1	1	1	1	0	1	0	0
HDL	1	57	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	63	1	0	0	0	0	0	0	0	0	0	0	0
HDL	1	70	1	4	0	0	0	1	0	0	0	2	0	0
HDL	1	71	2	1	1	1	0	0	0	0	1	0	0	0
HDL	1	73	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	74	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	75	1	0	0	0	0	0	0	0	0	0	0	0
HDL	1	76	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	80	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	85	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	87	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	90	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	92	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	94	1	2	1	1	0	0	0	0	0	1	0	0
HDL	1	96	1	0	0	0	0	0	0	0	0	0	0	0
HDL	1	97	1	1	1	1	0	1	0	0	0	0	0	0
HDL	1	98	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	100	2	2	2	2	0	0	0	0	1	1	1	1
HDL	1	102	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	105	1	2	0	0	0	1	0	0	1	1	0	0
HDL	1	110	1	1	0	0	0	0	0	0	0	0	0	0
HDL	1	113	1	0	0	0	0	0	0	0	0	0	0	0
HDL	1	117	0	1	0	0	0	0	0	0	0	1	0	0
HDL	1	122	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	124	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	125	3	1	0	0	0	0	0	0	2	1	0	0
HDL	1	128	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	129	1	2	1	1	0	0	0	0	1	0	0	0
HDL	1	132	0	1	0	0	0	0	0	0	0	1	0	0
HDL	1	136	2	1	0	0	2	0	0	0	2	0	0	0
HDL	1	138	4	5	3	3	0	1	0	0	1	3	0	0
HDL	1	139	4	5	3	3	0	0	0	0	1	2	0	0
HDL	1	143	0	1	0	0	0	0	0	0	0	1	0	0
HDL	1	153	1	1	1	1	0	0	0	0	0	0	0	0
HDL	1	154	1	1	1	1	0	1	0	0	0	0	0	0
HDL	1	156	1	2	0	0	0	1	0	0	1	2	0	0
HDL	1	158	3	1	1	1	1	0	0	0	0	0	0	0
HDL	1	159	2	1	1	1	0	0	0	0	1	0	0	0
HDL	1	160	0	1	0	0	0	1	0	0	0	1	0	0
HDL	1	168	2	3	0	0	0	0	0	0	0	1	0	0
HDL	1	173	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	181	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	182	2	3	1	1	1	0	0	0	0	1	0	0
HDL	1	183	1	0	0	0	0	0	0	0	0	1	0	0
HDL	1	187	2	3	1	1	0	1	0	0	0	3	0	0
HDL	1	189	2	0	0	0	0	0	0	0	1	0	0	0
HDL	1	191	2	1	1	1	0	1	0	0	1	1	1	1
HDL	1	192	2	0	0	0	0	0	0	0	1	0	0	0
HDL	1	193	0	1	0	0	0	0	0	0	0	1	0	0
HDL	1	201	1	1	0	0	0	0	0	0	0	0	0	0
HDL	1	202	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	203	0	1	0	0	0	0	0	0	0	1	0	0
HDL	1	204	1	1	1	1	1	0	0	0	0	0	0	0
HDL	1	207	1	1	1	1	0	0	0	0	1	0	0	0
HDL	1	208	1	1	0	0	1	0	0	0	1	0	0	0
HDL	1	209	1	2	1	1	0	0	0	0	0	0	0	0
HDL	1	211	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	213	1	2	1	1	0	0	0	0	0	1	0	0
HDL	1	214	1	1	1	1	0	1	0	0	0	1	0	0
HDL	1	215	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	216	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	218	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	221	1	1	0	0	0	0	0	0	0	1	0	0
HDL	1	224	1	1	1	1	0	0	0	0	0	0	0	0
HDL	1	228	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	233	1	2	1	1	0	1	0	0	0	1	0	0
HDL	1	234	2	1	1	1	0	1	0	0	0	1	0	0
HDL	1	235	0	1	0	0	0	0	0	0	0	0	0	0
HDL	1	238	1	1	0	0	0	0	0	0	0	0	0	0
HDL	1	239	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	240	1	1	1	1	0	1	0	0	1	1	1	1
HDL	1	242	1	2	1	1	0	3	0	0	0	2	0	0
HDL	1	243	3	4	2	2	2	2	1	1	0	3	0	0
HDL	1	244	1	1	1	1	0	0	0	0	0	0	0	0
HDL	1	252	2	4	2	2	0	1	0	0	0	3	0	0
HDL	1	253	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	254	0	2	0	0	0	1	0	0	0	0	0	0
HDL	1	255	1	1	0	0	0	0	0	0	0	1	0	0
HDL	1	257	0	0	0	0	0	0	0	0	0	0	0	0
HDL	1	264	0	1	0	0	0	0	0	0	0	1	0	0
HDL	1	275	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	1	1	1	1	1	1	0	0	0	0	0	0	0
HDL	2	2	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	3	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	4	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	6	1	1	1	1	1	0	0	0	0	1	0	0
HDL	2	13	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	28	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	40	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	41	1	2	1	1	1	1	1	1	0	0	0	0
HDL	2	44	2	3	2	2	1	1	0	0	1	4	1	1
HDL	2	45	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	46	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	47	1	1	0	0	0	0	0	0	1	0	0	0
HDL	2	48	0	2	0	0	0	0	0	0	0	0	0	0
HDL	2	49	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	50	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	51	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	53	1	1	0	0	1	0	0	0	0	0	0	0
HDL	2	55	0	2	0	0	0	0	0	0	0	1	0	0
HDL	2	60	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	62	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	63	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	66	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	67	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	68	1	1	1	1	0	0	0	0	0	0	0	0
HDL	2	69	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	79	2	2	1	1	0	1	0	0	0	0	0	0
HDL	2	80	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	84	0	2	0	0	0	0	0	0	0	0	0	0
HDL	2	85	0	2	0	0	0	1	0	0	0	1	0	0
HDL	2	86	1	1	1	1	0	0	0	0	0	0	0	0
HDL	2	87	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	88	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	89	1	1	1	1	0	1	0	0	1	1	1	1
HDL	2	90	1	1	1	1	0	1	0	0	0	1	0	0
HDL	2	97	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	99	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	100	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	115	2	1	1	1	1	0	0	0	1	0	0	0
HDL	2	117	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	122	2	2	2	2	0	0	0	0	0	1	0	0
HDL	2	124	1	0	0	0	1	0	0	0	0	0	0	0
HDL	2	125	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	128	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	130	2	0	0	0	0	0	0	0	0	0	0	0
HDL	2	131	1	2	1	1	1	0	0	0	0	1	0	0
HDL	2	132	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	138	1	0	0	0	0	0	0	0	1	0	0	0
HDL	2	146	2	2	0	0	0	0	0	0	0	0	0	0
HDL	2	147	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	151	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	153	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	154	1	0	0	0	0	0	0	0	0	0	0	0
HDL	2	159	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	163	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	164	0	1	0	0	0	1	0	0	0	0	0	0
HDL	2	166	3	3	2	2	0	0	0	0	0	3	0	0
HDL	2	168	4	4	4	4	0	3	0	0	1	0	0	0
HDL	2	171	1	1	0	0	0	0	0	0	0	0	0	0
HDL	2	175	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	176	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	177	1	2	0	0	0	0	0	0	0	1	0	0
HDL	2	180	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	181	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	183	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	184	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	185	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	186	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	191	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	195	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	197	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	199	3	2	1	1	2	0	0	0	1	0	0	0
HDL	2	202	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	205	0	2	0	0	0	0	0	0	0	2	0	0
HDL	2	208	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	209	1	1	1	1	0	1	0	0	0	1	0	0
HDL	2	210	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	213	2	1	1	1	0	0	0	0	0	0	0	0
HDL	2	215	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	217	1	2	1	1	0	0	0	0	0	0	0	0
HDL	2	218	2	1	1	1	0	0	0	0	0	0	0	0
HDL	2	221	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	227	0	1	0	0	0	1	0	0	0	1	0	0
HDL	2	228	0	1	0	0	0	0	0	0	0	1	0	0
HDL	2	230	2	2	2	2	1	2	1	1	1	1	1	1
HDL	2	232	0	1	0	0	0	1	0	0	0	0	0	0
HDL	2	233	0	2	0	0	0	0	0	0	0	0	0	0
HDL	2	234	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	235	1	2	1	1	1	0	0	0	0	1	0	0
HDL	2	237	0	1	0	0	0	0	0	0	0	0	0	0
HDL	2	240	1	1	1	1	0	0	0	0	0	0	0	0
HDL	2	247	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	250	0	0	0	0	0	0	0	0	0	0	0	0
HDL	2	251	1	0	0	0	0	0	0	0	1	0	0	0
HDL	2	256	1	1	0	0	0	1	0	0	0	1	0	0
HDL	3	8	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	9	1	0	0	0	0	0	0	0	1	0	0	0
HDL	3	20	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	23	0	2	0	0	0	0	0	0	0	1	0	0
HDL	3	24	5	5	4	4	0	1	0	0	1	4	1	1
HDL	3	25	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	28	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	30	1	1	1	1	0	0	0	0	0	0	0	0
HDL	3	32	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	34	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	35	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	39	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	40	0	1	0	0	0	0	0	0	0	1	0	0
HDL	3	41	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	42	1	0	0	0	0	0	0	0	0	0	0	0
HDL	3	55	1	2	0	0	0	0	0	0	0	2	0	0
HDL	3	59	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	60	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	64	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	65	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	71	1	1	0	0	0	0	0	0	0	1	0	0
HDL	3	77	1	0	0	0	0	0	0	0	0	0	0	0
HDL	3	81	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	83	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	84	1	1	0	0	0	0	0	0	0	0	0	0
HDL	3	85	0	1	0	0	0	0	0	0	0	1	0	0
HDL	3	88	1	1	0	0	0	0	0	0	0	0	0	0
HDL	3	89	3	2	1	1	0	1	0	0	0	1	0	0
HDL	3	90	1	0	0	0	0	0	0	0	0	0	0	0
HDL	3	105	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	106	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	108	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	109	1	2	1	1	0	0	0	0	0	0	0	0
HDL	3	112	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	114	1	2	0	0	0	2	0	0	0	1	0	0
HDL	3	119	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	120	1	1	1	1	1	1	1	1	0	0	0	0
HDL	3	121	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	123	1	1	1	1	0	0	0	0	0	0	0	0
HDL	3	124	2	1	1	1	1	0	0	0	0	0	0	0
HDL	3	125	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	127	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	128	1	0	0	0	0	0	0	0	0	0	0	0
HDL	3	129	1	1	1	1	0	0	0	0	0	0	0	0
HDL	3	132	0	1	0	0	0	0	0	0	0	1	0	0
HDL	3	134	1	1	1	1	0	0	0	0	0	0	0	0
HDL	3	135	1	0	0	0	0	0	0	0	1	0	0	0
HDL	3	136	1	1	1	1	0	1	0	0	1	1	1	1
HDL	3	140	1	1	0	0	1	1	0	0	0	0	0	0
HDL	3	144	1	0	0	0	0	0	0	0	0	0	0	0
HDL	3	145	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	146	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	155	1	1	1	1	0	1	0	0	0	0	0	0
HDL	3	158	2	1	1	1	0	1	0	0	0	1	0	0
HDL	3	159	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	161	1	1	0	0	0	0	0	0	0	1	0	0
HDL	3	162	1	1	1	1	1	0	0	0	0	0	0	0
HDL	3	165	3	2	3	2	2	0	0	0	2	1	0	0
HDL	3	170	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	171	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	174	1	1	1	1	0	0	0	0	0	1	0	0
HDL	3	175	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	179	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	183	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	184	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	186	0	1	0	0	0	0	0	0	0	1	0	0
HDL	3	191	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	193	3	3	3	3	0	1	0	0	0	1	0	0
HDL	3	195	0	1	0	0	0	0	0	0	0	0	0	0
HDL	3	212	0	0	0	0	0	0	0	0	0	0	0	0
HDL	3	214	1	2	1	1	0	0	0	0	0	0	0	0
HDL	3	216	0	0	0	0	0	0	0	0	0	0	0	0
HDL	4	1	2	2	2	2	1	1	1	1	0	2	0	0
HDL	4	4	0	0	0	0	0	0	0	0	0	0	0	0
HDL	4	10	0	1	0	0	0	0	0	0	0	0	0	0
HDL	4	21	0	0	0	0	0	0	0	0	0	0	0	0
HDL	4	32	1	1	1	1	0	0	0	0	0	0	0	0
