pheno	db	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
LDL	META	1	2	59	5	0.621365785598755	0	0	1	20	0	0	1	20	0	0	1	20	0	0	0	0
LDL	META	1	4	293	5	2.99484920501709	0	1	1	22	0	1	1	22	0	0	0	0	0	0	0	0
LDL	META	1	17	1325	5	925.06574678421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	19	823	5	569.651117563248	0	0	1	29	0	0	1	29	0	0	0	0	0	0	0	0
LDL	META	1	23	418	5	4.29067134857178	0	0	1	11	0	0	1	11	0	0	0	0	0	0	1	11
LDL	META	1	35	991	5	364.916077613831	1	2	3	27	1	2	3	27	0	0	1	21	1	2	2	6
LDL	META	1	40	605	5	8.09517645835876	0	0	1	8	0	0	1	8	0	0	1	8	0	0	0	0
LDL	META	1	48	483	5	10.548615694046	0	2	3	21	0	2	3	21	0	2	2	8	0	0	0	0
LDL	META	1	49	305	5	9.63250327110291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	51	456	5	421.050711631775	0	2	2	10	0	2	2	10	0	2	1	7	0	1	2	10
LDL	META	1	52	958	5	1612.77935600281	0	1	3	33	0	1	3	33	0	1	0	0	0	0	1	15
LDL	META	1	53	815	5	1394.75633955002	0	0	2	23	0	0	2	23	0	0	0	0	0	0	1	9
LDL	META	1	58	952	5	1463.86641335487	0	1	1	2	0	1	1	2	0	0	0	0	0	0	0	0
LDL	META	1	70	1030	5	1219.23445510864	0	0	1	22	0	0	1	22	0	0	0	0	0	0	0	0
LDL	META	1	73	1277	5	2558.92890644073	0	0	1	14	0	0	1	14	0	0	0	0	0	0	0	0
LDL	META	1	75	1448	5	1317.1611790657	0	1	1	19	0	1	1	19	0	1	0	0	0	0	1	19
LDL	META	1	76	877	5	661.968114376068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	78	505	5	25.3056080341339	0	0	1	5	0	0	1	5	0	0	0	0	0	0	0	0
LDL	META	1	80	603	5	492.261478662491	0	0	1	6	0	0	0	0	0	0	1	6	0	0	0	0
LDL	META	1	81	405	5	2.66112017631531	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LDL	META	1	82	786	5	1129.30281400681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	83	1082	5	164.395642757416	3	4	4	7	2	3	3	6	2	2	3	6	1	2	3	6
LDL	META	1	84	1730	20	5115.050167799	17	20	20	24	16	19	19	23	9	13	13	14	5	10	11	13
LDL	META	1	85	679	5	11.7993445396423	0	1	1	8	0	1	1	8	0	1	0	0	0	0	1	8
LDL	META	1	88	956	5	900.542915821075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	89	931	5	171.733572721481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	92	1039	5	1177.60487365723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	94	256	5	1.37508940696716	2	3	3	5	2	3	3	5	0	1	0	0	0	2	2	4
LDL	META	1	96	958	5	222.031191825867	0	1	1	2	0	1	1	2	0	0	0	0	0	0	1	2
LDL	META	1	97	1128	5	128.019010305405	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LDL	META	1	100	1160	5	161.661449670792	0	0	1	4	0	0	1	4	0	0	0	0	0	0	1	4
LDL	META	1	109	1209	5	307.375466346741	0	0	1	31	0	0	1	31	0	0	0	0	0	0	0	0
LDL	META	1	124	1456	5	2531.36569070816	0	0	1	6	0	0	1	6	0	0	0	0	0	0	0	0
LDL	META	1	125	1540	5	496.086796283722	0	2	4	38	0	1	1	3	0	2	3	14	0	1	2	27
LDL	META	1	136	919	5	1167.86300969124	0	0	1	14	0	0	1	14	0	0	0	0	0	0	1	14
LDL	META	1	138	1101	5	292.460008382797	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1
LDL	META	1	139	331	5	5.9181809425354	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0
LDL	META	1	141	537	5	15.7430443763733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	145	583	5	84.3708610534668	0	0	1	10	0	0	1	10	0	0	0	0	0	0	0	0
LDL	META	1	147	953	5	298.670372486115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	150	1233	5	926.045821666718	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LDL	META	1	151	1610	5	999.343751192093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	154	1366	5	1776.36619091034	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
LDL	META	1	158	658	5	1156.70584416389	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0
LDL	META	1	162	773	5	20.6813423633575	0	0	1	9	0	0	1	9	0	0	0	0	0	0	1	9
LDL	META	1	163	738	5	11.5607993602753	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
LDL	META	1	168	1157	5	730.047231197357	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
LDL	META	1	169	1983	5	1758.98595404625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	175	1604	5	1855.52583479881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	182	1556	5	799.93032169342	0	0	2	64	0	0	1	14	0	0	0	0	0	0	1	14
LDL	META	1	183	1446	5	1536.69943642616	0	0	1	27	0	0	1	27	0	0	0	0	0	0	0	0
LDL	META	1	187	1124	5	1124.29719305038	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
LDL	META	1	188	1254	5	1154.09270882607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	189	757	5	926.190244436264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	191	1213	5	1461.42957091331	0	0	1	9	0	0	1	9	0	0	1	9	0	0	1	9
LDL	META	1	192	1162	5	647.766880989075	0	0	1	27	0	0	1	27	0	0	0	0	0	0	0	0
LDL	META	1	201	929	5	1299.0876584053	0	0	2	16	0	0	2	16	0	0	1	5	0	0	2	16
LDL	META	1	202	1155	5	752.792706727982	0	1	1	5	0	1	1	5	0	0	0	0	0	0	0	0
LDL	META	1	205	468	5	19.3036041259766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	213	608	5	6.74481678009033	0	0	1	5	0	0	1	5	0	0	0	0	0	0	0	0
LDL	META	1	214	569	5	14.4703950881958	0	1	1	2	0	1	1	2	0	0	0	0	0	1	1	2
LDL	META	1	216	1142	5	352.946055173874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	221	1231	5	329.566960096359	0	0	1	6	0	0	1	6	0	0	0	0	0	0	0	0
LDL	META	1	223	1283	5	233.417731046677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	226	507	5	212.312115430832	0	0	1	13	0	0	1	13	0	0	0	0	0	0	0	0
LDL	META	1	233	1550	5	314.81009554863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	234	1779	5	533.240816116333	1	3	3	8	1	2	2	4	1	2	2	5	1	2	2	4
LDL	META	1	238	2312	5	929.86919760704	0	0	2	14	0	0	2	14	0	0	0	0	0	0	0	0
LDL	META	1	239	621	5	1254.09878897667	0	0	2	22	0	0	2	22	0	0	0	0	0	0	1	3
LDL	META	1	252	568	10	515.183679819107	1	5	6	20	1	5	6	20	1	3	4	8	0	3	4	11
LDL	META	1	253	170	5	87.7382078170776	0	2	1	2	0	2	1	2	0	1	1	2	0	1	1	2
LDL	META	1	254	775	5	255.040531635284	0	1	1	3	0	1	1	3	0	1	1	3	0	1	1	3
LDL	META	1	255	649	5	561.945207357407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	1	280	2070	5	1743.16021347046	0	0	1	13	0	0	1	13	0	0	0	0	0	0	1	13
LDL	META	2	6	627	5	325.497151613235	0	1	1	2	0	1	1	2	0	0	0	0	0	0	1	2
LDL	META	2	19	258	5	276.233581066132	0	0	1	10	0	0	1	10	0	0	0	0	0	0	0	0
LDL	META	2	21	273	5	264.010313034058	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	3
LDL	META	2	27	383	5	447.400192499161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	34	1441	5	1777.53859496117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	37	526	5	371.420910358429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	38	1200	5	188.708520889282	0	1	2	7	0	1	2	7	0	1	2	7	0	1	2	7
LDL	META	2	39	576	5	6.63654184341431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	META	2	40	1838	5	566.136545419693	0	0	1	3	0	0	0	0	0	0	1	3	0	0	1	3
LDL	META	2	41	813	5	300.317369937897	1	1	3	20	1	1	3	20	1	1	2	4	1	1	2	17
LDL	META	2	42	164	5	61.5279901027679	1	3	2	6	0	2	2	6	1	2	1	1	0	0	0	0
LDL	META	2	43	182	5	375.998471260071	1	2	3	16	1	2	3	16	0	1	0	0	0	0	0	0
LDL	META	2	44	604	15	3162.72112202644	9	14	14	29	7	11	11	25	6	10	11	16	2	8	9	24
LDL	META	2	45	1262	5	651.567815065384	1	2	4	16	1	1	3	11	1	2	4	16	0	1	2	6
