pheno	db	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
LDL	UKBB	1	2	59	5	0.430679082870483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	4	293	5	2.73927187919617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	17	1325	5	762.270530462265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	19	823	5	72.2622230052948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	23	418	5	1.43638110160828	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
LDL	UKBB	1	35	991	5	257.393835306168	0	1	1	15	0	1	1	15	0	0	0	0	0	0	0	0
LDL	UKBB	1	40	605	5	6.12817478179932	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	48	483	5	5.93280243873596	0	0	2	16	0	0	2	16	0	0	0	0	0	0	0	0
LDL	UKBB	1	49	305	5	1.39674711227417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	51	456	5	4.00832962989807	0	0	1	17	0	0	1	17	0	0	0	0	0	0	1	17
LDL	UKBB	1	52	958	5	551.000171899796	0	0	1	24	0	0	1	24	0	0	0	0	0	0	0	0
LDL	UKBB	1	53	815	5	10.8054835796356	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	58	952	5	375.353761672974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	70	1030	5	1310.47028779984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	73	1277	5	849.623844861984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	75	1448	5	653.24688076973	0	0	1	45	0	0	1	45	0	0	0	0	0	0	0	0
LDL	UKBB	1	76	877	5	15.583756685257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	78	505	5	3.25195240974426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	80	603	5	10.1899588108063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	81	405	5	2.89732575416565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	82	786	5	21.7878315448761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	83	1082	5	25.9247190952301	0	1	1	8	0	1	1	8	0	0	0	0	0	0	0	0
LDL	UKBB	1	84	1730	10	3417.79861187935	7	9	9	11	7	9	9	11	1	4	4	5	0	0	0	0
LDL	UKBB	1	85	679	5	7.18152165412903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	88	956	5	17.6893472671509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	89	931	5	8.88569808006287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	92	1039	5	79.150045633316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	94	256	5	3.6301155090332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	96	958	5	69.7378702163696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	97	1128	5	57.5914545059204	0	0	1	29	0	0	1	29	0	0	0	0	0	0	0	0
LDL	UKBB	1	100	1160	5	19.3295052051544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	109	1209	5	1054.79564809799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	124	1456	5	1050.16819667816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	125	1540	5	1268.08695244789	0	0	2	105	0	0	2	105	0	0	0	0	0	0	0	0
LDL	UKBB	1	136	919	5	155.670555830002	0	0	1	23	0	0	1	23	0	0	0	0	0	0	0	0
LDL	UKBB	1	138	1101	5	926.872609615326	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LDL	UKBB	1	139	331	5	5.72476553916931	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	141	537	5	3.22497463226318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	145	583	5	5.60670208930969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	147	953	5	204.845424175262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	150	1233	5	732.561275243759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	151	1610	5	1400.1734995842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	154	1366	5	939.338497400284	0	0	1	29	0	0	1	29	0	0	0	0	0	0	0	0
LDL	UKBB	1	158	658	5	70.6483058929443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	162	773	5	12.3897576332092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	163	738	5	17.8096022605896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	168	1157	5	464.361193418503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	169	1983	5	1050.75964236259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	175	1604	5	1025.28283858299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	182	1556	5	307.214337825775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	183	1446	5	1462.44075632095	0	0	1	96	0	0	1	96	0	0	0	0	0	0	0	0
LDL	UKBB	1	187	1124	5	787.232918024063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	188	1254	5	585.114828109741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	189	757	5	17.1678061485291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	191	1213	5	101.167193889618	0	0	1	13	0	0	1	13	0	0	0	0	0	0	0	0
LDL	UKBB	1	192	1162	5	45.6027987003326	0	0	1	35	0	0	1	35	0	0	0	0	0	0	0	0
LDL	UKBB	1	201	929	5	522.089744091034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	202	1155	5	224.410002470016	0	0	1	6	0	0	1	6	0	0	0	0	0	0	0	0
LDL	UKBB	1	205	468	5	4.15633797645569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	213	608	5	5.72956824302673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	214	569	5	3.7262849807739302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	216	1142	5	400.171854257584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	221	1231	5	602.948848724365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	223	1283	5	1049.71338891983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	226	507	5	508.291625261307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	233	1550	5	434.664735794067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	234	1779	5	481.665331363678	1	1	2	5	1	1	2	5	0	0	0	0	0	0	1	4
LDL	UKBB	1	238	2312	5	1036.20000624657	0	0	1	7	0	0	1	7	0	0	0	0	0	0	0	0
LDL	UKBB	1	239	621	5	10.5652239322662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	252	568	5	905.599238157272	0	3	4	28	0	3	4	28	0	2	1	2	0	1	1	2
LDL	UKBB	1	253	170	5	3.6767725944519	0	1	1	2	0	1	1	2	0	0	0	0	0	0	0	0
LDL	UKBB	1	254	775	5	584.222986698151	0	1	1	3	0	1	1	3	0	1	1	3	0	0	0	0
LDL	UKBB	1	255	649	5	426.827946424484	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	1	280	2070	5	1212.19779777527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	6	627	5	313.321488618851	0	1	1	2	0	1	1	2	0	0	0	0	0	0	0	0
LDL	UKBB	2	19	258	5	4.9220609664917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	21	273	5	0.789344072341919	0	0	1	10	0	0	1	10	0	0	0	0	0	0	0	0
LDL	UKBB	2	27	383	5	5.91539549827576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	34	1441	5	884.480948925018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	37	526	5	579.250499248505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	38	1200	5	750.752665758133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	39	576	5	104.248709201813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	40	1838	5	1622.36110877991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	41	813	5	477.174286842346	0	1	2	13	0	1	2	13	0	0	0	0	0	0	0	0
LDL	UKBB	2	42	164	5	1.40913271903992	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LDL	UKBB	2	43	182	5	48.6481521129608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	44	604	15	1303.26083254814	3	9	10	31	3	9	10	31	0	4	4	9	0	2	2	4
LDL	UKBB	2	45	1262	5	1096.3023686409	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
LDL	UKBB	2	46	669	5	200.553376197815	0	0	1	17	0	0	1	17	0	0	0	0	0	0	0	0
LDL	UKBB	2	47	1479	5	924.225378036499	0	0	1	35	0	0	1	35	0	0	0	0	0	0	0	0
LDL	UKBB	2	48	784	5	232.195780277252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	49	1060	5	239.096669197083	1	1	3	44	1	1	3	44	0	1	1	1	0	0	0	0
LDL	UKBB	2	50	987	5	270.444016456604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	51	1213	5	841.347308635712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	53	868	5	563.273462295532	0	0	1	19	0	0	1	19	0	0	0	0	0	0	0	0
LDL	UKBB	2	69	1510	5	951.519042253494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	71	938	10	1235.9519701004	1	6	7	17	1	6	7	16	0	0	0	0	0	0	0	0
LDL	UKBB	2	72	1864	5	1564.68757224083	2	3	3	4	2	3	3	4	0	0	0	0	0	1	1	1
LDL	UKBB	2	74	714	5	297.316250801086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	75	956	5	398.746239900589	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	77	801	5	296.08899641037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	84	4135	5	1350.82012438774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	86	1445	5	783.15539932251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	87	496	5	59.8392651081085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	88	3826	5	2608.64903283119	0	0	2	49	0	0	2	49	0	0	0	0	0	0	0	0
LDL	UKBB	2	89	769	5	412.038404226303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	97	1377	5	388.065183162689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	99	739	5	586.359343290329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	100	740	5	383.946056604385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	115	1746	5	581.729876279831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	121	1496	5	448.954261064529	0	0	1	20	0	0	1	20	0	0	0	0	0	0	0	0
LDL	UKBB	2	122	652	5	577.378284215927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	124	1118	5	1014.24497008324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	127	2279	5	1337.66593670845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	128	1689	5	1498.25486326218	1	1	3	48	1	1	3	48	0	0	0	0	0	0	0	0
LDL	UKBB	2	130	231	5	312.115411281586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	131	62	5	24.9733858108521	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
LDL	UKBB	2	138	1578	5	960.438720703125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	145	828	5	408.65483880043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	146	1521	5	1001.07407283783	0	0	1	5	0	0	1	5	0	0	0	0	0	0	0	0
LDL	UKBB	2	147	2818	5	2123.05164194107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDL	UKBB	2	152	858	5	764.721019506454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
