pheno	db	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TC	META	1	1	44	5	0.339434623718262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	2	83	5	0.507749319076538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	4	308	5	1.28977394104004	0	1	1	13	0	1	1	13	0	0	0	0	0	0	0	0
TC	META	1	17	1294	5	21.9474515914917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	19	903	5	8.38267207145691	1	1	2	32	1	1	2	32	0	0	0	0	0	0	0	0
TC	META	1	35	962	5	15.3521649837494	0	2	2	6	0	2	2	6	0	0	1	3	0	1	1	3
TC	META	1	40	536	5	2.84218811988831	0	0	1	8	0	0	1	8	0	0	1	8	0	0	0	0
TC	META	1	48	460	5	2.82802248001099	1	1	4	16	1	1	3	15	1	1	2	5	1	1	2	5
TC	META	1	49	359	5	3.15714192390442	0	1	1	2	0	1	1	2	0	0	1	2	0	0	0	0
TC	META	1	51	422	5	2.73193836212158	0	1	2	11	0	1	2	11	0	0	1	7	0	1	1	4
TC	META	1	52	1028	5	13.9214737415314	0	1	2	26	0	1	2	26	0	0	0	0	0	0	1	8
TC	META	1	53	772	5	9.94377946853638	0	1	2	20	0	1	2	20	0	1	1	5	0	1	2	20
TC	META	1	58	952	5	19.2541847229004	0	1	1	2	0	1	1	2	0	0	0	0	0	0	0	0
TC	META	1	67	892	5	8.37552618980408	0	0	1	15	0	0	1	15	0	0	0	0	0	0	0	0
TC	META	1	70	969	5	15.8144917488098	0	0	1	19	0	0	1	19	0	0	0	0	0	0	1	19
TC	META	1	73	1194	5	22.5515575408936	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TC	META	1	74	1024	5	17.2968926429749	0	0	2	113	0	0	1	55	0	0	0	0	0	0	0	0
TC	META	1	75	1375	5	26.7154483795166	0	1	2	20	0	1	2	20	0	0	1	2	0	0	2	20
TC	META	1	76	829	5	5.8833863735199	0	0	2	53	0	0	2	53	0	0	0	0	0	0	0	0
TC	META	1	80	581	5	2.97525882720947	0	1	1	6	0	0	0	0	0	1	1	6	0	0	0	0
TC	META	1	81	359	5	1.83036613464355	0	0	1	10	0	0	0	0	0	0	1	10	0	0	0	0
TC	META	1	82	743	5	7.22535490989685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	83	1042	10	40.2399270534515	6	8	8	19	4	7	7	18	4	5	5	10	3	3	3	9
TC	META	1	84	1651	10	130.534809350967	8	8	8	8	8	8	8	8	6	7	6	6	5	5	5	5
TC	META	1	85	567	5	5.20694446563721	1	2	1	1	1	2	0	0	1	2	1	1	1	1	1	1
TC	META	1	89	849	5	10.1891911029816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	92	1001	5	16.3840479850769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	94	218	5	1.2245180606842	1	4	4	15	1	4	4	15	0	2	1	2	0	1	1	2
TC	META	1	95	196	5	1.88427543640137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	96	892	5	13.094961643219	0	2	2	5	0	2	2	5	0	0	1	2	0	0	0	0
TC	META	1	97	1040	5	9.58515620231628	0	1	1	2	0	1	1	2	0	1	1	2	0	1	1	2
TC	META	1	100	1070	5	16.3986642360687	0	1	1	2	0	1	1	2	0	0	0	0	0	1	1	2
TC	META	1	109	1113	5	17.1407489776611	0	1	1	6	0	1	1	6	0	0	0	0	0	1	1	6
TC	META	1	124	1445	5	33.0577487945557	0	2	2	5	0	1	1	3	0	2	1	3	0	2	1	3
TC	META	1	125	1427	10	73.5282599925995	1	4	4	17	1	4	4	17	1	2	2	4	0	1	2	14
TC	META	1	127	873	5	13.543306350708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	136	915	5	9.63737344741821	0	0	1	15	0	0	1	15	0	0	0	0	0	0	1	15
TC	META	1	138	1033	5	13.2336716651917	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1
TC	META	1	139	263	5	4.89048743247986	1	1	2	8	1	1	2	8	0	0	0	0	1	1	1	1
TC	META	1	140	550	5	4.01288270950317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	141	543	5	3.62639260292053	0	1	1	2	0	1	1	2	0	0	0	0	0	0	0	0
TC	META	1	144	508	5	2.76890206336975	0	0	1	14	0	0	1	14	0	0	0	0	0	0	0	0
TC	META	1	145	565	5	2.97510528564453	0	0	1	13	0	0	1	13	0	0	0	0	0	0	1	13
TC	META	1	150	1088	5	12.8711552619934	0	0	1	5	0	0	1	5	0	0	0	0	0	0	1	5
TC	META	1	151	1483	5	39.2940139770508	0	0	1	7	0	0	1	7	0	0	0	0	0	0	0	0
TC	META	1	153	986	5	16.4031670093536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	META	1	154	1250	5	19.8384737968445	0	2	2	7	0	2	2	7	0	0	0	0	0	0	0	0
