pheno	db	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TC	UKBB	1	1	44	5	0.138011693954468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	2	83	5	0.395126819610596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	4	308	5	1.40695214271545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	17	1294	5	35.9404726028442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	19	903	5	11.9136099815369	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
TC	UKBB	1	35	962	5	15.9356427192688	0	0	1	15	0	0	1	15	0	0	0	0	0	0	0	0
TC	UKBB	1	40	536	5	2.81607794761658	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	48	460	5	4.02506351470947	0	1	2	10	0	1	2	10	0	0	0	0	0	0	0	0
TC	UKBB	1	49	359	5	1.87461304664612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	51	422	5	2.27498030662537	0	0	1	18	0	0	1	18	0	0	0	0	0	0	1	18
TC	UKBB	1	52	1028	5	16.0332899093628	0	0	1	11	0	0	1	11	0	0	0	0	0	0	0	0
TC	UKBB	1	53	772	5	9.17233920097351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	58	952	5	13.5925197601318	0	1	1	4	0	1	1	4	0	0	0	0	0	0	0	0
TC	UKBB	1	67	892	5	14.140022277832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	70	969	5	9.28055882453918	0	1	2	35	0	1	1	12	0	0	0	0	0	0	0	0
TC	UKBB	1	73	1194	5	23.913213968277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	74	1024	5	11.4863836765289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	75	1375	5	37.0406224727631	1	1	2	51	1	1	2	51	0	0	0	0	0	1	1	1
TC	UKBB	1	76	829	5	8.55271434783936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	80	581	5	5.89329624176025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	81	359	5	1.40017533302307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	82	743	5	8.14817047119141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	83	1042	5	13.3086342811584	0	0	1	21	0	0	1	21	0	0	0	0	0	0	0	0
TC	UKBB	1	84	1651	15	155.413569688797	6	8	10	21	6	8	10	21	1	2	2	2	0	0	0	0
TC	UKBB	1	85	567	5	6.82680916786194	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	89	849	5	4.96698594093323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	92	1001	5	10.5082902908325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	94	218	5	1.3316171169281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	95	196	5	0.934536218643188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	96	892	5	8.88091945648193	0	0	1	3	0	0	1	3	0	0	0	0	0	0	1	3
TC	UKBB	1	97	1040	5	14.9283487796783	0	0	1	23	0	0	1	23	0	0	0	0	0	0	0	0
TC	UKBB	1	100	1070	5	12.1031129360199	0	0	1	4	0	0	1	4	0	0	0	0	0	0	0	0
TC	UKBB	1	109	1113	5	14.6777863502502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	124	1445	5	37.8013260364532	0	0	1	6	0	0	1	6	0	0	0	0	0	0	0	0
TC	UKBB	1	125	1427	5	30.6531960964203	0	2	2	39	0	2	2	39	0	1	1	2	0	1	0	0
TC	UKBB	1	127	873	5	5.99486374855042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	136	915	5	9.12246203422546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	138	1033	5	10.923912525177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TC	UKBB	1	139	263	5	0.905024528503418	0	1	1	5	0	1	1	5	0	0	0	0	0	0	0	0
TC	UKBB	1	140	550	5	3.16297101974487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	141	543	5	2.37041449546814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	144	508	5	2.51694464683533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	145	565	5	5.17381644248962	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	150	1088	5	15.0636448860168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	151	1483	5	36.1856801509857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	153	986	5	9.23368716239929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	154	1250	5	16.3438646793365	0	0	1	5	0	0	1	5	0	0	0	0	0	0	0	0
TC	UKBB	1	156	811	5	8.02391791343689	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	158	620	5	7.12018084526062	0	1	2	27	0	1	2	27	0	0	0	0	0	0	0	0
TC	UKBB	1	162	733	5	7.10898351669312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	168	1022	5	11.6915447711945	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	169	1788	5	67.0839605331421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	175	1427	5	25.3476061820984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	182	1403	5	31.2454607486725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	183	1337	5	25.6150755882263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	185	391	5	1.83334112167358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	187	1046	5	10.4203956127167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TC	UKBB	1	188	1193	5	26.5082352161407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
