pheno	chromosome	block	UKBB_nCS.EUR	GLGC_nCS.EUR	UKBB_in_GLGC.EUR	GLGC_in_UKBB.EUR	UKBB_nCS.AFR	GLGC_nCS.AFR	UKBB_in_GLGC.AFR	GLGC_in_UKBB.AFR	UKBB_nCS.EAS	GLGC_nCS.EAS	UKBB_in_GLGC.EAS	GLGC_in_UKBB.EAS
TC	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	2	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	4	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	17	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	19	1	2	1	1	0	0	0	0	0	0	0	0
TC	1	35	1	2	1	1	0	1	0	0	0	1	0	0
TC	1	40	0	1	0	0	0	1	0	0	0	0	0	0
TC	1	48	2	3	2	2	0	2	0	0	0	2	0	0
TC	1	49	0	1	0	0	0	1	0	0	0	0	0	0
TC	1	51	1	2	1	1	0	1	0	0	1	1	1	1
TC	1	52	1	2	0	0	0	0	0	0	0	1	0	0
TC	1	53	0	2	0	0	0	1	0	0	0	2	0	0
TC	1	58	1	1	1	1	0	0	0	0	0	0	0	0
TC	1	67	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	70	1	1	0	0	0	0	0	0	0	1	0	0
TC	1	73	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	74	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	75	2	2	0	0	0	1	0	0	1	2	0	0
TC	1	76	0	2	0	0	0	0	0	0	0	0	0	0
TC	1	80	0	0	0	0	0	1	0	0	0	0	0	0
TC	1	81	0	0	0	0	0	1	0	0	0	0	0	0
TC	1	82	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	83	1	7	1	1	0	5	0	0	0	3	0	0
TC	1	84	10	8	3	3	2	6	1	1	0	5	0	0
TC	1	85	0	0	0	0	0	1	0	0	0	1	0	0
TC	1	89	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	92	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	94	0	4	0	0	0	1	0	0	0	1	0	0
TC	1	95	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	96	1	2	1	1	0	1	0	0	1	0	0	0
TC	1	97	1	1	1	1	0	1	0	0	0	1	0	0
TC	1	100	1	1	1	1	0	0	0	0	0	1	0	0
TC	1	109	0	1	0	0	0	0	0	0	0	1	0	0
TC	1	124	1	1	1	1	0	1	0	0	0	1	0	0
TC	1	125	2	4	2	2	1	2	0	0	0	2	0	0
TC	1	127	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	136	0	1	0	0	0	0	0	0	0	1	0	0
TC	1	138	1	2	1	1	1	2	1	1	1	1	1	1
TC	1	139	1	2	1	1	0	0	0	0	0	1	0	0
TC	1	140	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	141	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	144	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	145	0	1	0	0	0	0	0	0	0	1	0	0
TC	1	150	0	1	0	0	0	0	0	0	0	1	0	0
TC	1	151	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	153	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	154	1	2	0	0	0	0	0	0	0	0	0	0
TC	1	156	0	1	0	0	0	1	0	0	0	0	0	0
TC	1	158	2	2	1	1	0	0	0	0	0	0	0	0
TC	1	162	0	1	0	0	0	0	0	0	0	1	0	0
TC	1	168	0	3	0	0	0	2	0	0	0	2	0	0
TC	1	169	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	175	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	182	0	1	0	0	0	0	0	0	0	1	0	0
TC	1	183	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	185	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	187	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	188	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	192	1	2	1	2	0	2	0	0	0	2	0	0
TC	1	201	0	2	0	0	0	0	0	0	0	2	0	0
TC	1	202	1	1	1	1	0	0	0	0	0	0	0	0
TC	1	205	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	209	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	213	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	221	0	2	0	0	0	2	0	0	0	2	0	0
TC	1	223	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	224	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	226	0	2	0	0	0	1	0	0	0	0	0	0
TC	1	229	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	233	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	234	1	2	1	1	0	2	0	0	0	2	0	0
TC	1	235	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	238	1	2	1	1	0	1	0	0	0	0	0	0
TC	1	239	0	3	0	0	0	1	0	0	0	2	0	0
TC	1	240	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	252	4	5	4	4	2	3	2	2	2	5	2	2
TC	1	253	1	2	1	1	0	2	0	0	0	1	0	0
TC	1	254	1	1	0	0	1	1	0	0	0	1	0	0
TC	1	255	1	1	0	0	0	0	0	0	0	0	0	0
TC	1	257	0	1	0	0	0	0	0	0	0	0	0	0
TC	1	280	0	0	0	0	0	0	0	0	0	0	0	0
TC	1	281	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	6	1	1	1	1	1	1	1	1	0	0	0	0
TC	2	21	1	2	1	1	0	1	0	0	1	0	0	0
TC	2	31	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	32	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	37	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	38	0	2	0	0	0	2	0	0	0	1	0	0
TC	2	39	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	40	0	0	0	0	0	1	0	0	0	0	0	0
TC	2	41	2	3	1	1	0	3	0	0	0	2	0	0
TC	2	42	0	2	0	0	1	3	1	1	0	1	0	0
TC	2	43	0	1	0	0	0	2	0	0	0	2	0	0
TC	2	44	6	9	4	4	2	5	1	1	1	9	1	1
TC	2	45	1	4	0	0	1	4	0	0	0	5	0	0
TC	2	46	1	1	0	0	0	1	0	0	0	1	0	0
TC	2	47	1	2	1	1	0	1	0	0	0	2	0	0
TC	2	48	0	2	0	0	0	0	0	0	0	0	0	0
TC	2	49	3	4	3	3	1	2	1	1	1	3	1	1
TC	2	50	0	1	0	0	0	1	0	0	0	0	0	0
TC	2	51	0	0	0	0	0	1	0	0	0	0	0	0
TC	2	53	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	55	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	56	0	0	0	0	0	1	0	0	0	0	0	0
TC	2	66	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	69	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	71	6	10	4	5	0	5	0	0	0	1	0	0
TC	2	72	4	8	2	2	1	4	0	0	1	1	0	0
TC	2	74	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	75	1	1	1	1	0	1	0	0	0	0	0	0
TC	2	77	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	84	0	1	0	0	0	0	0	0	0	1	0	0
TC	2	88	2	5	2	2	0	1	0	0	0	3	0	0
TC	2	89	0	1	0	0	0	0	0	0	0	1	0	0
TC	2	97	0	2	0	0	0	2	0	0	0	2	0	0
TC	2	99	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	100	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	102	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	107	0	1	0	0	0	0	0	0	0	1	0	0
TC	2	115	1	1	0	0	0	0	0	0	1	1	0	0
TC	2	121	2	1	1	1	0	1	0	0	0	1	0	0
TC	2	122	1	1	0	0	1	0	0	0	0	0	0	0
TC	2	124	1	1	1	1	0	0	0	0	0	0	0	0
TC	2	125	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	127	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	128	3	3	0	0	0	1	0	0	0	1	0	0
TC	2	130	0	1	0	0	0	0	0	0	0	1	0	0
TC	2	131	1	1	1	1	1	1	1	1	0	1	0	0
TC	2	138	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	146	1	3	1	1	0	1	0	0	1	1	0	0
TC	2	147	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	152	0	2	0	0	0	0	0	0	0	0	0	0
TC	2	153	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	155	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	162	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	163	1	2	1	1	0	1	0	0	0	1	0	0
TC	2	164	0	0	0	0	0	0	0	0	0	0	0	0
TC	2	166	0	1	0	0	0	0	0	0	0	0	0	0
TC	2	168	0	1	0	0	0	0	0	0	0	0	0	0
