pheno	db	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.AFR	num_variants_0.5.AFR	num_CS95.AFR	num_variants_CS95.AFR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
TG	UKBB	1	3	73	5	0.645601034164429	0	0	1	12	0	0	1	12	0	0	0	0	0	0	0	0
TG	UKBB	1	4	292	5	3.09403967857361	0	0	2	27	0	0	2	27	0	0	0	0	0	0	0	0
TG	UKBB	1	5	331	5	1.47671413421631	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TG	UKBB	1	15	1040	5	10.1671526432037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	17	1313	5	19.8611125946045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	18	583	5	3.08461761474609	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	19	829	5	7.65693306922913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	21	675	5	2.6762580871582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	23	417	5	2.90218615531921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	32	386	5	1.63449335098267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	35	990	5	10.7397406101227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	43	387	5	2.21389245986938	0	0	1	19	0	0	1	19	0	0	0	0	0	0	0	0
TG	UKBB	1	48	481	5	2.31297540664673	0	0	1	7	0	0	1	7	0	0	0	0	0	0	0	0
TG	UKBB	1	50	660	5	2.97406601905823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	51	459	5	1.52971911430359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	52	957	5	8.41622185707092	0	0	2	30	0	0	2	30	0	0	0	0	0	0	0	0
TG	UKBB	1	53	803	5	7.06444549560547	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
TG	UKBB	1	58	955	5	9.24976229667664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	63	826	5	7.29252004623413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	67	877	5	4.99840331077576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	70	1028	5	12.4955196380615	0	0	2	15	0	0	2	15	0	0	0	0	0	0	0	0
TG	UKBB	1	71	1019	5	11.7004241943359	0	0	1	4	0	0	1	4	0	0	0	0	0	0	0	0
TG	UKBB	1	83	1077	5	8.66840577125549	0	1	1	3	0	1	1	3	0	0	0	0	0	0	0	0
TG	UKBB	1	85	681	5	5.59185266494751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	94	255	5	1.31941699981689	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
TG	UKBB	1	96	956	5	13.4536111354828	0	2	1	4	0	2	1	4	0	0	1	4	0	0	0	0
TG	UKBB	1	97	1118	5	13.4587912559509	0	0	1	6	0	0	1	6	0	0	1	6	0	0	0	0
TG	UKBB	1	100	1150	5	17.6963269710541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	101	918	5	8.38276886940002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	105	2142	5	106.938812971115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	124	1461	5	25.1415274143219	0	0	2	31	0	0	2	31	0	0	0	0	0	0	0	0
TG	UKBB	1	125	1538	5	29.9865739345551	0	0	1	3	0	0	1	3	0	0	0	0	0	0	0	0
TG	UKBB	1	127	933	5	7.39842391014099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	129	442	5	4.33911728858948	0	1	1	17	0	1	1	17	0	1	0	0	0	0	0	0
TG	UKBB	1	132	1182	5	10.4422543048859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	135	1463	5	24.1502768993378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	138	1096	5	11.8221342563629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	139	328	5	3.10143804550171	0	0	1	7	0	0	1	7	0	0	0	0	0	0	0	0
TG	UKBB	1	143	908	5	6.53168416023254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	144	509	5	2.8362092971801802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	150	1219	5	15.2865858078003	0	0	2	55	0	0	1	9	0	0	0	0	0	0	0	0
TG	UKBB	1	154	1357	5	28.2477617263794	0	0	1	23	0	0	1	23	0	0	0	0	0	0	0	0
TG	UKBB	1	155	644	5	6.28739213943481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	156	908	5	6.33105611801147	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
TG	UKBB	1	158	654	5	3.47684764862061	0	0	1	10	0	0	1	10	0	0	0	0	0	0	0	0
TG	UKBB	1	168	1150	5	10.8424072265625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	182	1549	5	41.0464961528778	0	1	1	2	0	1	1	2	0	1	0	0	0	0	0	0
TG	UKBB	1	183	1441	5	26.3117244243622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	184	372	5	1.480717420578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	187	1121	5	10.2809250354767	0	0	1	9	0	0	1	9	0	0	0	0	0	0	0	0
TG	UKBB	1	192	1162	5	12.9995818138123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG	UKBB	1	193	1272	5	21.6530163288116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
