pheno	chromosome	block	UKBB_nCS.EUR	GLGC_nCS.EUR	UKBB_in_GLGC.EUR	GLGC_in_UKBB.EUR	UKBB_nCS.AFR	GLGC_nCS.AFR	UKBB_in_GLGC.AFR	GLGC_in_UKBB.AFR	UKBB_nCS.EAS	GLGC_nCS.EAS	UKBB_in_GLGC.EAS	GLGC_in_UKBB.EAS
TG	1	3	1	1	1	1	0	0	0	0	0	0	0	0
TG	1	4	2	3	1	1	0	0	0	0	0	0	0	0
TG	1	5	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	15	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	17	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	18	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	19	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	21	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	23	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	32	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	35	0	1	0	0	0	0	0	0	0	1	0	0
TG	1	43	1	0	0	0	0	0	0	0	0	0	0	0
TG	1	48	1	2	1	1	0	0	0	0	0	0	0	0
TG	1	50	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	51	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	52	2	3	2	2	0	0	0	0	0	2	0	0
TG	1	53	1	1	0	0	0	0	0	0	0	0	0	0
TG	1	58	0	1	0	0	0	0	0	0	0	1	0	0
TG	1	63	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	67	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	70	2	2	2	2	0	1	0	0	0	0	0	0
TG	1	71	1	1	1	1	0	0	0	0	0	0	0	0
TG	1	83	1	3	1	1	0	0	0	0	0	0	0	0
TG	1	85	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	94	1	1	1	1	0	0	0	0	0	0	0	0
TG	1	96	1	2	1	1	1	2	1	1	0	0	0	0
TG	1	97	1	1	1	1	1	1	1	1	0	1	0	0
TG	1	100	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	101	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	105	0	2	0	0	0	0	0	0	0	0	0	0
TG	1	124	2	2	1	1	0	1	0	0	0	0	0	0
TG	1	125	1	1	0	0	0	0	0	0	0	1	0	0
TG	1	127	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	129	1	1	1	1	0	0	0	0	0	0	0	0
TG	1	132	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	135	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	138	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	139	1	1	0	0	0	0	0	0	0	0	0	0
TG	1	143	0	1	0	0	0	0	0	0	0	1	0	0
TG	1	144	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	150	1	1	0	0	0	0	0	0	0	0	0	0
TG	1	154	1	1	1	1	0	0	0	0	0	0	0	0
TG	1	155	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	156	1	3	0	0	0	1	0	0	0	1	0	0
TG	1	158	1	1	0	0	0	0	0	0	0	1	0	0
TG	1	168	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	182	1	2	0	0	0	1	0	0	0	1	0	0
TG	1	183	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	184	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	187	1	0	0	0	0	0	0	0	0	0	0	0
TG	1	192	0	1	0	0	0	0	0	0	0	1	0	0
TG	1	193	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	201	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	202	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	203	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	207	1	1	1	1	0	0	0	0	1	0	0	0
TG	1	208	0	2	0	0	0	0	0	0	0	0	0	0
TG	1	209	0	0	0	0	0	1	0	0	0	1	0	0
TG	1	211	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	212	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	213	0	2	0	0	0	1	0	0	0	0	0	0
TG	1	214	0	1	0	0	0	1	0	0	0	1	0	0
TG	1	217	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	219	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	221	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	226	1	1	0	0	0	0	0	0	1	0	0	0
TG	1	228	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	233	2	2	1	1	0	1	0	0	0	0	0	0
TG	1	234	1	2	1	1	0	0	0	0	0	1	0	0
TG	1	235	0	1	0	0	0	0	0	0	0	0	0	0
TG	1	238	0	0	0	0	0	0	0	0	0	0	0	0
TG	1	239	0	3	0	0	0	1	0	0	0	0	0	0
TG	1	240	1	1	1	1	0	1	0	0	0	1	0	0
TG	1	242	1	1	1	1	0	2	0	0	0	1	0	0
