pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	EAS	1	1	79	5	0.63275146484375	0	0	0	0
HDL	META	EAS	1	2	125	5	0.810551643371582	0	0	0	0
HDL	META	EAS	1	3	185	5	1.0115852355957	0	0	0	0
HDL	META	EAS	1	5	706	5	1.34480762481689	0	0	0	0
HDL	META	EAS	1	15	1491	5	2.97158670425415	0	0	0	0
HDL	META	EAS	1	17	1897	5	2.75326991081238	0	0	0	0
HDL	META	EAS	1	18	764	5	2.06826019287109	0	0	0	0
HDL	META	EAS	1	19	1408	5	2.69770765304565	0	0	0	0
HDL	META	EAS	1	21	1162	5	1.87854313850403	0	0	0	0
HDL	META	EAS	1	23	687	5	2.22935318946838	0	0	0	0
HDL	META	EAS	1	24	410	5	1.6215615272522	0	0	0	0
HDL	META	EAS	1	35	1503	5	2.69523525238037	0	0	0	0
HDL	META	EAS	1	40	763	5	1.77352285385132	0	0	0	0
HDL	META	EAS	1	43	434	5	1.68294453620911	0	0	0	0
HDL	META	EAS	1	44	461	5	1.89904069900513	0	0	0	0
HDL	META	EAS	1	46	1305	5	2.35892510414124	0	0	0	0
HDL	META	EAS	1	48	670	5	1.39813685417175	0	0	0	0
HDL	META	EAS	1	49	467	5	1.62752985954285	0	0	0	0
HDL	META	EAS	1	50	975	5	1.80657720565796	0	0	0	0
HDL	META	EAS	1	51	593	5	1.85920095443726	0	0	0	0
HDL	META	EAS	1	52	1588	5	2.23816013336182	0	0	0	0
HDL	META	EAS	1	53	1255	5	3.86148071289062	0	0	0	0
HDL	META	EAS	1	57	1409	5	2.93015694618225	0	0	0	0
HDL	META	EAS	1	63	1603	5	2.77100324630737	0	0	0	0
HDL	META	EAS	1	70	1467	5	2.58882474899292	0	0	1	26
HDL	META	EAS	1	71	1609	5	3.09277701377869	0	0	0	0
HDL	META	EAS	1	73	1742	5	2.4807665348053	0	0	0	0
HDL	META	EAS	1	74	1570	5	2.16315340995789	0	0	0	0
HDL	META	EAS	1	75	2538	5	4.24336051940918	0	0	0	0
HDL	META	EAS	1	76	1397	5	2.42344951629639	0	0	0	0
HDL	META	EAS	1	80	877	5	1.30618667602539	0	0	0	0
HDL	META	EAS	1	85	864	5	1.60893440246582	0	0	0	0
HDL	META	EAS	1	87	736	5	1.83773565292358	0	0	0	0
HDL	META	EAS	1	90	183	5	1.61244583129883	0	0	0	0
HDL	META	EAS	1	92	1472	5	2.63659000396729	0	0	0	0
HDL	META	EAS	1	94	315	5	1.22333312034607	0	0	0	0
