pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	EUR	1	1	475	5	11.1006441116333	0	1	0	0
HDL	META	EUR	1	2	805	5	2.10716366767883	0	0	1	36
HDL	META	EUR	1	3	507	5	1.99713158607483	0	0	0	0
HDL	META	EUR	1	5	1967	5	4.90207386016846	0	0	1	6
HDL	META	EUR	1	15	2777	5	15.3457357883453	0	0	0	0
HDL	META	EUR	1	17	3413	5	24.6631398200989	0	0	0	0
HDL	META	EUR	1	18	1470	5	3.94363737106323	0	1	0	0
HDL	META	EUR	1	19	2744	5	2068.08023643494	0	0	0	0
HDL	META	EUR	1	21	1765	5	3.64736914634705	0	0	1	49
HDL	META	EUR	1	23	1028	5	2.79233813285828	0	0	0	0
HDL	META	EUR	1	24	1164	5	3.44472575187683	0	0	1	4
HDL	META	EUR	1	35	3193	5	21.4622189998627	0	0	0	0
HDL	META	EUR	1	40	1290	5	4.04135704040527	0	0	0	0
HDL	META	EUR	1	43	901	5	2.54389214515686	0	0	1	15
HDL	META	EUR	1	44	697	5	1.6234872341156	1	1	2	10
HDL	META	EUR	1	46	2423	5	9.73860669136047	0	1	2	11
HDL	META	EUR	1	48	1267	5	4.34148144721985	2	2	2	2
HDL	META	EUR	1	49	1100	5	3.4532196521759	0	0	0	0
HDL	META	EUR	1	50	1895	5	5.37123441696167	0	0	0	0
HDL	META	EUR	1	51	1277	5	3.46973085403442	0	1	1	2
HDL	META	EUR	1	52	3236	5	2490.3580737114	0	0	3	36
HDL	META	EUR	1	53	3055	5	11.9728562831879	0	0	1	6
HDL	META	EUR	1	57	2050	5	6.94499516487122	0	0	1	24
HDL	META	EUR	1	63	2132	5	12.8859202861786	0	1	0	0
HDL	META	EUR	1	70	2607	5	2413.15151047707	0	0	2	19
HDL	META	EUR	1	71	2526	5	1018.58431482315	0	1	2	19
HDL	META	EUR	1	73	3340	5	23.7897119522095	1	1	3	23
HDL	META	EUR	1	74	3101	5	2557.79815006256	0	0	0	0
HDL	META	EUR	1	75	4105	5	66.953052520752	0	0	0	0
HDL	META	EUR	1	76	1916	5	5.44361710548401	0	0	0	0
HDL	META	EUR	1	80	1227	5	6.96343636512756	0	0	0	0
HDL	META	EUR	1	85	1278	5	5.28192567825317	0	0	1	7
HDL	META	EUR	1	87	1475	5	3.56033825874329	0	0	0	0
HDL	META	EUR	1	90	302	5	2.00867056846619	0	0	1	26
HDL	META	EUR	1	92	2654	5	16.9749972820282	0	0	0	0
HDL	META	EUR	1	94	681	5	2.65791201591492	0	1	2	24
HDL	META	EUR	1	96	2307	5	7.8077232837677	1	1	1	1
HDL	META	EUR	1	97	2826	5	37.5957338809967	0	0	1	48
HDL	META	EUR	1	98	2436	5	6.90341353416443	0	0	1	3
HDL	META	EUR	1	100	2249	5	512.391280889511	0	0	2	34
HDL	META	EUR	1	102	2085	5	20.3026382923126	0	0	0	0
HDL	META	EUR	1	105	5965	5	2207.48938250542	0	0	2	24
HDL	META	EUR	1	110	1108	5	2.93377208709717	0	0	0	0
HDL	META	EUR	1	113	1888	5	15.489902973175	0	0	0	0
HDL	META	EUR	1	117	1444	5	2.92350482940674	0	1	0	0
HDL	META	EUR	1	122	4195	5	116.508873462677	0	1	1	4
HDL	META	EUR	1	124	3865	5	94.2600638866425	0	0	1	24
HDL	META	EUR	1	125	4578	5	2647.00049710274	0	1	1	3
HDL	META	EUR	1	128	4125	5	49.5740950107574	0	0	0	0
HDL	META	EUR	1	129	1493	5	1692.40092682838	0	0	0	0
HDL	META	EUR	1	132	2639	5	17.44264960289	0	0	0	0
HDL	META	EUR	1	136	2621	5	19.9428415298462	0	0	1	10
HDL	META	EUR	1	138	3541	10	3220.53481483459	1	2	5	18
HDL	META	EUR	1	139	912	5	47.5535495281219	1	1	1	1
HDL	META	EUR	1	143	2254	5	18.8246359825134	0	1	1	12
HDL	META	EUR	1	153	2542	5	50.6992230415344	1	2	2	15
HDL	META	EUR	1	154	4038	5	3523.2030570507	0	0	1	4
HDL	META	EUR	1	156	2514	5	1769.99257302284	0	0	2	17
HDL	META	EUR	1	158	2657	5	396.475003242493	0	0	0	0
HDL	META	EUR	1	159	568	5	3.05299830436707	0	0	1	14
HDL	META	EUR	1	160	2231	5	7.34262108802795	0	0	1	6
HDL	META	EUR	1	168	3013	5	1414.34999275208	0	2	3	9
HDL	META	EUR	1	173	2436	5	37.9843323230743	0	0	0	0
HDL	META	EUR	1	181	3786	5	66.0217390060425	0	0	0	0
HDL	META	EUR	1	182	3638	5	68.0590298175812	0	0	3	43
HDL	META	EUR	1	183	3781	5	2281.4369456768	0	0	0	0
HDL	META	EUR	1	187	2604	5	2469.97771143913	0	0	2	24
HDL	META	EUR	1	189	1990	5	15.2786927223206	0	0	0	0
HDL	META	EUR	1	191	2762	5	16.2827930450439	0	0	1	7
HDL	META	EUR	1	192	2843	5	23.8160099983215	0	0	0	0
HDL	META	EUR	1	193	3226	5	37.8217718601227	0	0	1	13
HDL	META	EUR	1	201	2958	5	38.8677096366882	0	0	1	15
HDL	META	EUR	1	202	2929	5	44.5246829986572	0	0	1	13
HDL	META	EUR	1	203	2277	5	18.459493637085	0	0	1	10
