pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	UKBB	AFR	1	1	1401	5	1.55038118362427	0	0	0	0
HDL	UKBB	AFR	1	2	1463	5	1.51132345199585	0	0	0	0
HDL	UKBB	AFR	1	3	827	5	0.81872820854187	0	0	0	0
HDL	UKBB	AFR	1	5	3605	5	4.55580043792725	0	0	0	0
HDL	UKBB	AFR	1	15	5267	5	10.5997874736786	0	0	0	0
HDL	UKBB	AFR	1	17	6661	5	17.3942859172821	0	0	0	0
HDL	UKBB	AFR	1	18	2519	5	2.8217496871948198	0	0	0	0
HDL	UKBB	AFR	1	19	5432	5	11.1958801746368	0	0	0	0
HDL	UKBB	AFR	1	21	3702	5	5.11128258705139	0	0	0	0
HDL	UKBB	AFR	1	23	1888	5	1.77869415283203	0	0	0	0
HDL	UKBB	AFR	1	24	1883	5	1.64528203010559	0	0	0	0
HDL	UKBB	AFR	1	35	6594	5	16.7653923034668	0	0	0	0
HDL	UKBB	AFR	1	40	2211	5	2.15009093284607	0	0	0	0
HDL	UKBB	AFR	1	43	1399	5	1.38233709335327	0	0	0	0
HDL	UKBB	AFR	1	44	1277	5	1.3740348815918	0	0	0	0
HDL	UKBB	AFR	1	46	4373	5	7.15586924552917	0	0	0	0
HDL	UKBB	AFR	1	48	2597	5	2.94233894348145	0	0	0	0
HDL	UKBB	AFR	1	49	2499	5	2.66129612922668	0	0	0	0
HDL	UKBB	AFR	1	50	3596	5	4.7569305896759	0	0	0	0
HDL	UKBB	AFR	1	51	2354	5	2.8256528377533	0	0	0	0
HDL	UKBB	AFR	1	52	6665	5	17.6162452697754	0	0	0	0
HDL	UKBB	AFR	1	53	5740	5	12.4253447055817	0	0	0	0
HDL	UKBB	AFR	1	57	3923	5	5.34750556945801	0	0	0	0
HDL	UKBB	AFR	1	63	5261	5	10.8246748447418	0	0	0	0
HDL	UKBB	AFR	1	70	4570	5	8.82703137397766	0	0	0	0
