pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	UKBB	EAS	1	1	79	5	0.650353193283081	0	0	0	0
HDL	UKBB	EAS	1	2	125	5	0.784738779067993	0	0	0	0
HDL	UKBB	EAS	1	3	185	5	1.01397395133972	0	0	0	0
HDL	UKBB	EAS	1	5	706	5	1.84459519386292	0	0	0	0
HDL	UKBB	EAS	1	15	1491	5	1.90757393836975	0	0	0	0
HDL	UKBB	EAS	1	17	1897	5	4.36806631088257	0	0	0	0
HDL	UKBB	EAS	1	18	764	5	1.7695574760437	0	0	0	0
HDL	UKBB	EAS	1	19	1408	5	2.56400632858276	0	0	0	0
HDL	UKBB	EAS	1	21	1162	5	1.9707567691803	0	0	0	0
HDL	UKBB	EAS	1	23	687	5	2.13429665565491	0	0	0	0
HDL	UKBB	EAS	1	24	410	5	1.5704927444458	0	0	0	0
HDL	UKBB	EAS	1	35	1503	5	2.77550673484802	0	0	0	0
HDL	UKBB	EAS	1	40	763	5	2.369389295578	0	0	0	0
HDL	UKBB	EAS	1	43	434	5	1.60173726081848	0	0	0	0
HDL	UKBB	EAS	1	44	461	5	1.48440790176392	0	0	0	0
HDL	UKBB	EAS	1	46	1305	5	2.18085193634033	0	0	0	0
HDL	UKBB	EAS	1	48	670	5	1.52790403366089	0	0	0	0
HDL	UKBB	EAS	1	49	467	5	1.82852602005005	0	0	0	0
HDL	UKBB	EAS	1	50	975	5	1.83183240890503	0	0	0	0
HDL	UKBB	EAS	1	51	593	5	1.24582290649414	0	0	0	0
HDL	UKBB	EAS	1	52	1588	5	2.42231559753418	0	0	0	0
HDL	UKBB	EAS	1	53	1255	5	1.72349619865417	0	0	0	0
HDL	UKBB	EAS	1	57	1409	5	1.94139909744263	0	0	0	0
HDL	UKBB	EAS	1	63	1603	5	2.8327522277832	0	0	0	0
HDL	UKBB	EAS	1	70	1467	5	2.25951099395752	0	0	0	0
HDL	UKBB	EAS	1	71	1609	5	2.54230952262878	0	0	0	0
HDL	UKBB	EAS	1	73	1742	5	3.18503069877625	0	0	0	0
