pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	UKBB	EUR	1	1	475	5	15.2370581626892	0	0	0	0
HDL	UKBB	EUR	1	2	805	5	14.5395498275757	0	0	0	0
HDL	UKBB	EUR	1	3	507	5	14.4808011054993	0	0	1	32
HDL	UKBB	EUR	1	5	1967	5	14.8743426799774	0	1	0	0
HDL	UKBB	EUR	1	15	2777	5	14.0030884742737	0	0	0	0
HDL	UKBB	EUR	1	17	3413	5	30.2785840034485	0	0	0	0
HDL	UKBB	EUR	1	18	1470	5	924.831707239151	0	0	0	0
HDL	UKBB	EUR	1	19	2744	5	8.88212728500366	0	0	0	0
HDL	UKBB	EUR	1	21	1765	5	14.6392586231232	1	1	1	1
HDL	UKBB	EUR	1	23	1028	5	15.4760315418243	0	0	0	0
HDL	UKBB	EUR	1	24	1164	5	15.2040445804596	0	0	0	0
HDL	UKBB	EUR	1	35	3193	5	14.2367601394653	0	0	0	0
HDL	UKBB	EUR	1	40	1290	5	14.6215791702271	0	1	0	0
HDL	UKBB	EUR	1	43	901	5	13.9472277164459	0	0	0	0
HDL	UKBB	EUR	1	44	697	5	14.2040209770203	0	0	1	10
HDL	UKBB	EUR	1	46	2423	5	13.494099855423	0	0	0	0
HDL	UKBB	EUR	1	48	1267	5	729.081592559814	0	1	2	12
HDL	UKBB	EUR	1	49	1100	5	14.7734634876251	0	0	0	0
HDL	UKBB	EUR	1	50	1895	5	15.2147538661957	0	0	1	27
HDL	UKBB	EUR	1	51	1277	5	14.8437206745148	0	0	1	70
HDL	UKBB	EUR	1	52	3236	5	2130.12617564201	0	0	2	34
HDL	UKBB	EUR	1	53	3055	5	1743.97421646118	1	1	4	34
HDL	UKBB	EUR	1	57	2050	5	20.3847301006317	0	0	0	0
HDL	UKBB	EUR	1	63	2132	5	8.4259238243103	0	0	0	0
HDL	UKBB	EUR	1	70	2607	5	1463.40933561325	1	1	2	4
HDL	UKBB	EUR	1	71	2526	5	1325.51677012444	0	0	2	37
HDL	UKBB	EUR	1	73	3340	5	36.2597484588623	1	1	1	1
HDL	UKBB	EUR	1	74	3101	5	28.9149556159973	0	0	0	0
HDL	UKBB	EUR	1	75	4105	5	106.213471412659	0	0	1	48
HDL	UKBB	EUR	1	76	1916	5	7.8686318397522	0	0	0	0
HDL	UKBB	EUR	1	80	1227	5	4.06588816642761	0	0	0	0
HDL	UKBB	EUR	1	85	1278	5	13.1872577667236	0	0	0	0
HDL	UKBB	EUR	1	87	1475	5	6.3241593837738	0	0	0	0
HDL	UKBB	EUR	1	90	302	5	2.69891333580017	0	0	0	0
HDL	UKBB	EUR	1	92	2654	5	18.2093501091003	0	0	1	7
HDL	UKBB	EUR	1	94	681	5	767.841531038284	0	0	2	28
HDL	UKBB	EUR	1	96	2307	5	23.8944954872131	1	1	1	1
HDL	UKBB	EUR	1	97	2826	5	22.3575663566589	0	0	1	48
HDL	UKBB	EUR	1	98	2436	5	26.9742758274078	0	0	0	0
HDL	UKBB	EUR	1	100	2249	5	405.554545402527	0	0	2	28
HDL	UKBB	EUR	1	102	2085	5	23.6597464084625	0	1	0	0
HDL	UKBB	EUR	1	105	5965	5	97.8742461204529	0	0	2	24
HDL	UKBB	EUR	1	110	1108	5	6.87628960609436	0	0	0	0
HDL	UKBB	EUR	1	113	1888	5	13.3550570011139	0	0	1	25
HDL	UKBB	EUR	1	117	1444	5	14.5430598258972	0	1	2	12
HDL	UKBB	EUR	1	122	4195	5	43.7652678489685	1	1	2	6
HDL	UKBB	EUR	1	124	3865	5	94.4039199352264	0	0	0	0
HDL	UKBB	EUR	1	125	4578	5	2926.32358407974	0	0	1	3
HDL	UKBB	EUR	1	128	4125	5	93.9089574813843	0	0	0	0
HDL	UKBB	EUR	1	129	1493	5	6.03531980514526	0	0	0	0
HDL	UKBB	EUR	1	132	2639	5	22.0280215740204	0	0	0	0
HDL	UKBB	EUR	1	136	2621	5	49.849419593811	0	0	0	0
HDL	UKBB	EUR	1	138	3541	10	3893.99889087677	1	1	5	77
HDL	UKBB	EUR	1	139	912	5	753.974014759064	3	3	4	9
HDL	UKBB	EUR	1	143	2254	5	22.4363498687744	0	0	0	0
HDL	UKBB	EUR	1	153	2542	5	738.362020969391	0	0	0	0
HDL	UKBB	EUR	1	154	4038	5	2034.7397172451	1	1	2	36
HDL	UKBB	EUR	1	156	2514	5	1751.29409599304	0	0	0	0
HDL	UKBB	EUR	1	158	2657	5	525.763363838196	1	2	2	7
HDL	UKBB	EUR	1	159	568	5	860.157321691513	0	0	0	0
HDL	UKBB	EUR	1	160	2231	5	17.7714829444885	0	0	0	0
HDL	UKBB	EUR	1	168	3013	5	144.482405424118	1	1	2	9
HDL	UKBB	EUR	1	173	2436	5	11.420821428299	0	0	0	0
HDL	UKBB	EUR	1	181	3786	5	56.1244850158691	0	0	0	0
HDL	UKBB	EUR	1	182	3638	5	666.830839157104	0	0	1	4
HDL	UKBB	EUR	1	183	3781	5	78.185985326767	0	0	0	0
HDL	UKBB	EUR	1	187	2604	5	29.0168142318726	0	0	2	34
HDL	UKBB	EUR	1	189	1990	5	19.1151404380798	0	1	2	28
HDL	UKBB	EUR	1	191	2762	5	561.544666290283	0	1	2	10
HDL	UKBB	EUR	1	192	2843	5	20.9583761692047	0	0	2	49
HDL	UKBB	EUR	1	193	3226	5	27.7578616142273	0	1	0	0
HDL	UKBB	EUR	1	201	2958	5	38.1339571475983	0	0	0	0
HDL	UKBB	EUR	1	202	2929	5	20.8041014671326	1	1	1	1
HDL	UKBB	EUR	1	203	2277	5	27.3952140808105	0	0	0	0
HDL	UKBB	EUR	1	204	2293	5	22.2468190193176	0	0	0	0
HDL	UKBB	EUR	1	207	1727	5	1458.43345189095	0	0	2	31
HDL	UKBB	EUR	1	208	2038	5	658.948230266571	0	0	0	0
HDL	UKBB	EUR	1	209	808	5	3.06427121162415	0	1	2	17
HDL	UKBB	EUR	1	211	1439	5	7.15609574317932	0	0	1	9
HDL	UKBB	EUR	1	213	1578	5	24.5671696662903	0	0	0	0
HDL	UKBB	EUR	1	214	1412	5	16.0616827011108	0	0	1	3
HDL	UKBB	EUR	1	215	685	5	426.409211158752	0	0	0	0
HDL	UKBB	EUR	1	216	2969	5	37.4197494983673	0	0	0	0
HDL	UKBB	EUR	1	218	566	5	3.84315466880798	0	0	0	0
HDL	UKBB	EUR	1	221	2537	5	42.5322296619415	1	2	2	2
HDL	UKBB	EUR	1	224	1806	5	28.8240900039673	0	0	1	20
HDL	UKBB	EUR	1	228	1428	5	5.66351938247681	0	0	0	0
HDL	UKBB	EUR	1	233	3506	5	837.371247529984	0	1	1	4
HDL	UKBB	EUR	1	234	4037	5	1836.02451252937	3	3	4	11
HDL	UKBB	EUR	1	235	2641	5	29.8881814479828	1	1	1	1
HDL	UKBB	EUR	1	238	5124	5	1941.01639866829	0	0	0	0
HDL	UKBB	EUR	1	239	1422	5	13.864794254303	0	0	0	0
HDL	UKBB	EUR	1	240	5344	5	151.51203918457	0	0	1	3
HDL	UKBB	EUR	1	242	1366	5	596.430240631104	0	1	1	2
HDL	UKBB	EUR	1	243	1636	5	2208.18380665779	0	1	1	3
HDL	UKBB	EUR	1	244	3432	5	49.891996383667	0	1	2	44
HDL	UKBB	EUR	1	252	1296	5	1773.75784397125	0	0	1	8
HDL	UKBB	EUR	1	253	591	5	8.43099761009216	0	1	1	2
HDL	UKBB	EUR	1	254	2253	5	31.4447576999664	0	1	0	0
HDL	UKBB	EUR	1	255	1271	5	2.64304995536804	0	0	1	26
HDL	UKBB	EUR	1	257	1483	5	5.82103323936462	0	0	0	0
HDL	UKBB	EUR	1	264	1616	5	11.9974298477173	0	0	0	0
HDL	UKBB	EUR	1	275	776	5	9.96815395355225	0	1	1	1
HDL	UKBB	EUR	2	1	677	5	7.42943549156189	0	0	1	17
HDL	UKBB	EUR	2	2	4278	5	96.2337126731873	0	0	0	0
HDL	UKBB	EUR	2	3	1721	5	19.4106726646423	0	0	0	0
HDL	UKBB	EUR	2	4	1552	5	20.4676024913788	0	1	0	0
HDL	UKBB	EUR	2	6	1496	5	21.9123876094818	0	1	1	2
HDL	UKBB	EUR	2	13	3796	5	22.5938346385956	0	1	0	0
HDL	UKBB	EUR	2	28	678	5	12.6342568397522	0	0	0	0
HDL	UKBB	EUR	2	40	3933	5	67.7790977954865	0	1	1	7
HDL	UKBB	EUR	2	41	1765	5	16.0616071224213	0	2	2	19
HDL	UKBB	EUR	2	44	1710	5	1987.95094394684	0	1	1	3
HDL	UKBB	EUR	2	45	3368	5	43.4356322288513	1	3	2	4
HDL	UKBB	EUR	2	46	1609	5	9.72448372840881	0	0	0	0
HDL	UKBB	EUR	2	47	4094	5	55.859334230423	0	0	0	0
HDL	UKBB	EUR	2	48	2464	5	27.3200237751007	0	0	0	0
HDL	UKBB	EUR	2	49	3517	5	64.7962186336517	0	0	0	0
HDL	UKBB	EUR	2	50	2239	5	18.088543176651	0	0	0	0
HDL	UKBB	EUR	2	51	2752	5	27.5627956390381	0	0	0	0
HDL	UKBB	EUR	2	53	1812	5	23.3279905319214	0	0	2	16
HDL	UKBB	EUR	2	55	6372	5	149.529815912247	0	0	0	0
HDL	UKBB	EUR	2	60	2429	5	40.5468180179596	0	0	0	0
HDL	UKBB	EUR	2	62	1338	5	19.1451117992401	0	0	0	0
HDL	UKBB	EUR	2	63	2406	5	31.9389526844025	0	0	0	0
HDL	UKBB	EUR	2	66	5573	5	155.983960151672	0	1	0	0
HDL	UKBB	EUR	2	67	5325	5	87.6343693733215	0	1	0	0
HDL	UKBB	EUR	2	68	909	5	11.4850347042084	0	0	1	7
HDL	UKBB	EUR	2	69	3039	5	40.0165486335754	0	0	0	0
HDL	UKBB	EUR	2	79	3859	5	45.4514207839966	0	3	2	6
HDL	UKBB	EUR	2	80	6125	5	145.365154504776	0	0	0	0
HDL	UKBB	EUR	2	84	8313	5	517.174406528473	0	0	0	0
HDL	UKBB	EUR	2	85	7488	5	2550.46458292007	0	1	2	6
HDL	UKBB	EUR	2	86	3244	5	47.9006052017212	0	0	1	11
HDL	UKBB	EUR	2	87	1230	5	21.4830820560455	0	0	0	0
HDL	UKBB	EUR	2	88	9952	5	625.868580341339	0	0	0	0
HDL	UKBB	EUR	2	89	2298	5	23.4940826892853	0	1	1	3
HDL	UKBB	EUR	2	90	2008	5	19.1775341033936	0	0	1	12
HDL	UKBB	EUR	2	97	2993	5	53.6367542743683	0	0	0	0
HDL	UKBB	EUR	2	99	2040	5	991.910368919373	0	0	2	19
HDL	UKBB	EUR	2	100	2606	5	13.1271221637726	0	0	0	0
HDL	UKBB	EUR	2	115	4151	5	108.72562623024	0	0	0	0
HDL	UKBB	EUR	2	117	2315	5	38.9733512401581	0	0	0	0
HDL	UKBB	EUR	2	122	1858	5	1104.62842822075	0	0	3	62
HDL	UKBB	EUR	2	124	2981	5	41.3758652210236	0	0	0	0
HDL	UKBB	EUR	2	125	2496	5	25.7394797801971	0	1	0	0
HDL	UKBB	EUR	2	128	4829	5	145.140140533447	0	1	0	0
HDL	UKBB	EUR	2	130	672	5	4.63092827796936	0	0	0	0
HDL	UKBB	EUR	2	131	133	5	140.658022642136	0	1	2	4
HDL	UKBB	EUR	2	132	539	5	7.61007833480835	0	0	0	0
HDL	UKBB	EUR	2	138	4227	5	1869.32140612602	0	0	0	0
HDL	UKBB	EUR	2	146	3041	5	41.9457166194916	0	0	2	19
HDL	UKBB	EUR	2	147	5921	5	195.780077934265	0	0	0	0
HDL	UKBB	EUR	2	151	2626	5	22.6478404998779	0	0	0	0
HDL	UKBB	EUR	2	153	3944	5	56.766991853714	1	1	2	7
HDL	UKBB	EUR	2	154	1700	5	19.4592199325562	0	0	1	22
HDL	UKBB	EUR	2	159	5511	5	132.152642965317	0	0	0	0
HDL	UKBB	EUR	2	163	183	5	4.22598218917847	1	1	3	15
HDL	UKBB	EUR	2	164	835	5	5.27665209770203	0	0	0	0
HDL	UKBB	EUR	2	166	6593	5	3146.42454195023	1	1	2	4
HDL	UKBB	EUR	2	168	2735	5	1725.6738421917	0	0	0	0
HDL	UKBB	EUR	2	171	4167	5	115.287455320358	0	0	1	10
HDL	UKBB	EUR	2	175	165	5	8.35561347007751	0	0	0	0
HDL	UKBB	EUR	2	176	3878	5	62.9115815162659	0	0	0	0
HDL	UKBB	EUR	2	177	3260	5	73.8057165145874	0	0	1	15
HDL	UKBB	EUR	2	180	2595	5	21.2314891815186	0	0	0	0
HDL	UKBB	EUR	2	181	3981	5	66.749344587326	0	0	0	0
HDL	UKBB	EUR	2	183	1721	5	19.3872630596161	0	1	0	0
HDL	UKBB	EUR	2	184	4994	5	99.1077501773834	0	1	3	14
HDL	UKBB	EUR	2	185	1496	5	12.836788892746	0	0	0	0
HDL	UKBB	EUR	2	186	4321	5	76.9618484973907	0	0	0	0
HDL	UKBB	EUR	2	191	1009	5	4.30684566497803	0	0	2	31
HDL	UKBB	EUR	2	195	6741	5	108.971387147903	0	0	0	0
HDL	UKBB	EUR	2	197	3407	5	1921.97474169731	0	0	0	0
HDL	UKBB	EUR	2	199	4138	5	84.9514875411987	1	1	2	16
HDL	UKBB	EUR	2	202	631	5	4.10604572296143	0	0	0	0
HDL	UKBB	EUR	2	205	2016	5	39.0485010147095	0	0	1	15
HDL	UKBB	EUR	2	208	5299	5	128.267614126205	0	0	0	0
HDL	UKBB	EUR	2	209	1040	5	7.82146167755127	0	1	0	0
HDL	UKBB	EUR	2	210	1939	5	10.7904677391052	0	0	0	0
HDL	UKBB	EUR	2	213	6677	5	112.756201505661	0	0	2	41
HDL	UKBB	EUR	2	215	2090	5	1841.11030817032	0	0	0	0
HDL	UKBB	EUR	2	217	1565	5	1085.64215302467	1	2	3	38
HDL	UKBB	EUR	2	218	1276	5	1399.75009393692	0	1	3	11
HDL	UKBB	EUR	2	221	2472	5	36.1375343799591	0	0	0	0
HDL	UKBB	EUR	2	227	1387	5	4.56884980201721	0	0	0	0
HDL	UKBB	EUR	2	228	2122	5	21.269020318985	0	0	0	0
HDL	UKBB	EUR	2	230	1962	5	9.08692622184753	1	3	3	19
HDL	UKBB	EUR	2	232	1616	5	10.130467414856	0	0	1	8
HDL	UKBB	EUR	2	233	773	5	6.1637225151062	0	0	0	0
HDL	UKBB	EUR	2	234	2689	5	23.0889010429382	0	0	0	0
HDL	UKBB	EUR	2	235	1452	5	2.81832456588745	0	0	2	18
HDL	UKBB	EUR	2	237	2797	5	33.995423078537	0	0	0	0
HDL	UKBB	EUR	2	240	2646	5	25.3644015789032	0	0	1	28
HDL	UKBB	EUR	2	247	1110	5	7.74558782577515	0	0	0	0
HDL	UKBB	EUR	2	250	5095	5	139.158249855042	0	0	2	60
HDL	UKBB	EUR	2	251	1953	5	15.3280642032623	0	0	0	0
HDL	UKBB	EUR	2	256	2615	5	402.544461250305	0	1	1	3
HDL	UKBB	EUR	3	8	969	5	9.97941327095032	0	1	0	0
HDL	UKBB	EUR	3	9	906	5	9.3213005065918	0	0	0	0
HDL	UKBB	EUR	3	20	3306	5	18.056072473526	0	0	0	0
HDL	UKBB	EUR	3	23	2024	5	26.8282210826874	0	0	0	0
HDL	UKBB	EUR	3	24	3407	5	2377.43239021301	0	1	4	55
HDL	UKBB	EUR	3	25	498	5	7.65938425064087	0	0	0	0
HDL	UKBB	EUR	3	28	221	5	2.15719294548035	0	1	1	6
HDL	UKBB	EUR	3	30	3355	5	59.4919817447662	0	0	1	33
HDL	UKBB	EUR	3	32	4121	5	62.399151802063	0	0	0	0
HDL	UKBB	EUR	3	34	1422	5	9.85354375839233	0	0	0	0
HDL	UKBB	EUR	3	35	3479	5	40.6107950210571	0	0	0	0
HDL	UKBB	EUR	3	39	4431	5	38.0156357288361	0	0	0	0
HDL	UKBB	EUR	3	40	2119	5	19.1739468574524	0	0	0	0
HDL	UKBB	EUR	3	41	4368	5	64.8266015052795	0	0	0	0
HDL	UKBB	EUR	3	42	3164	5	2128.12152600288	0	0	2	40
