pheno	pid	chromosome	block	num_variants_0.9.UKBB	num_variants_0.9.UKBB_0.1.GLGC
HDL	EAS	1	1	0	0
HDL	EAS	1	2	0	0
HDL	EAS	1	3	0	0
HDL	EAS	1	5	0	0
HDL	EAS	1	15	0	0
HDL	EAS	1	17	0	0
HDL	EAS	1	18	0	0
HDL	EAS	1	19	0	0
HDL	EAS	1	21	0	0
HDL	EAS	1	23	0	0
HDL	EAS	1	24	0	0
HDL	EAS	1	35	0	0
HDL	EAS	1	40	0	0
HDL	EAS	1	43	0	0
HDL	EAS	1	44	0	0
HDL	EAS	1	46	0	0
HDL	EAS	1	48	0	0
HDL	EAS	1	49	0	0
HDL	EAS	1	50	0	0
HDL	EAS	1	51	0	0
HDL	EAS	1	52	0	0
HDL	EAS	1	53	0	0
HDL	EAS	1	57	0	0
HDL	EAS	1	63	0	0
HDL	EAS	1	70	0	0
HDL	EAS	1	71	0	0
HDL	EAS	1	73	0	0
HDL	EAS	1	74	0	0
HDL	EAS	1	75	0	0
HDL	EAS	1	76	0	0
HDL	EAS	1	80	0	0
HDL	EAS	1	85	0	0
HDL	EAS	1	87	0	0
HDL	EAS	1	90	0	0
HDL	EAS	1	92	0	0
HDL	EAS	1	94	0	0
HDL	EAS	1	96	0	0
HDL	EAS	1	97	0	0
HDL	EAS	1	98	0	0
HDL	EAS	1	100	0	0
HDL	EAS	1	102	0	0
HDL	EAS	1	105	0	0
HDL	EAS	1	110	0	0
HDL	EAS	1	113	0	0
HDL	EAS	1	117	0	0
HDL	EAS	1	122	0	0
HDL	EAS	1	124	0	0
HDL	EAS	1	125	0	0
HDL	EAS	1	128	0	0
HDL	EAS	1	129	0	0
HDL	EAS	1	132	0	0
HDL	EAS	1	136	0	0
HDL	EAS	1	138	0	0
HDL	EAS	1	139	0	0
HDL	EAS	1	143	0	0
HDL	EAS	1	153	0	0
HDL	EAS	1	154	0	0
HDL	EAS	1	156	0	0
HDL	EAS	1	158	0	0
HDL	EAS	1	159	0	0
HDL	EAS	1	160	0	0
HDL	EAS	1	168	0	0
HDL	EAS	1	173	0	0
HDL	EAS	1	181	0	0
HDL	EAS	1	182	0	0
HDL	EAS	1	183	0	0
HDL	EAS	1	187	0	0
HDL	EAS	1	189	0	0
HDL	EAS	1	191	0	0
HDL	EAS	1	192	0	0
HDL	EAS	1	193	0	0
HDL	EAS	1	201	0	0
HDL	EAS	1	202	0	0
HDL	EAS	1	203	0	0
HDL	EAS	1	204	0	0
HDL	EAS	1	207	0	0
HDL	EAS	1	208	0	0
HDL	EAS	1	209	0	0
HDL	EAS	1	211	0	0
HDL	EAS	1	213	0	0
HDL	EAS	1	214	0	0
HDL	EAS	1	215	0	0
HDL	EAS	1	216	0	0
HDL	EAS	1	218	0	0
HDL	EAS	1	221	0	0
HDL	EAS	1	224	0	0
HDL	EAS	1	228	0	0
HDL	EAS	1	233	0	0
HDL	EAS	1	234	0	0
HDL	EAS	1	235	0	0
HDL	EAS	1	238	0	0
HDL	EAS	1	239	0	0
HDL	EAS	1	240	0	0
HDL	EAS	1	242	0	0
HDL	EAS	1	243	0	0
HDL	EAS	1	244	0	0
HDL	EAS	1	252	0	0
HDL	EAS	1	253	0	0
HDL	EAS	1	254	0	0
HDL	EAS	1	255	0	0
HDL	EAS	1	257	0	0
HDL	EAS	1	264	0	0
HDL	EAS	1	275	0	0
HDL	EAS	2	1	0	0
HDL	EAS	2	2	0	0
HDL	EAS	2	3	0	0
HDL	EAS	2	4	0	0
HDL	EAS	2	6	0	0
HDL	EAS	2	13	0	0
HDL	EAS	2	28	0	0
HDL	EAS	2	40	0	0
HDL	EAS	2	41	0	0
HDL	EAS	2	44	0	0
HDL	EAS	2	45	0	0
HDL	EAS	2	46	0	0
HDL	EAS	2	47	0	0
HDL	EAS	2	48	0	0
HDL	EAS	2	49	0	0
HDL	EAS	2	50	0	0
HDL	EAS	2	51	0	0
HDL	EAS	2	53	0	0
HDL	EAS	2	55	0	0
HDL	EAS	2	60	0	0
HDL	EAS	2	62	0	0
HDL	EAS	2	63	0	0
HDL	EAS	2	66	0	0
HDL	EAS	2	67	0	0
HDL	EAS	2	68	0	0
HDL	EAS	2	69	0	0
HDL	EAS	2	79	0	0
HDL	EAS	2	80	0	0
HDL	EAS	2	84	0	0
HDL	EAS	2	85	0	0
HDL	EAS	2	86	0	0
HDL	EAS	2	87	0	0
HDL	EAS	2	88	0	0
HDL	EAS	2	89	0	0
HDL	EAS	2	90	0	0
HDL	EAS	2	97	0	0
HDL	EAS	2	99	0	0
HDL	EAS	2	100	0	0
HDL	EAS	2	115	0	0
HDL	EAS	2	117	0	0
HDL	EAS	2	122	0	0
HDL	EAS	2	124	0	0
HDL	EAS	2	125	0	0
HDL	EAS	2	128	0	0
HDL	EAS	2	130	0	0
HDL	EAS	2	131	0	0
HDL	EAS	2	132	0	0
HDL	EAS	2	138	0	0
HDL	EAS	2	146	0	0
HDL	EAS	2	147	0	0
HDL	EAS	2	151	0	0
HDL	EAS	2	153	0	0
HDL	EAS	2	154	0	0
HDL	EAS	2	159	0	0
HDL	EAS	2	163	0	0
HDL	EAS	2	164	0	0
HDL	EAS	2	166	0	0
HDL	EAS	2	168	0	0
HDL	EAS	2	171	0	0
HDL	EAS	2	175	0	0
HDL	EAS	2	176	0	0
HDL	EAS	2	177	0	0
HDL	EAS	2	180	0	0
HDL	EAS	2	181	0	0
HDL	EAS	2	183	0	0
