pheno	pid	chromosome	block	UKBB_nCS	GLGC_nCS	UKBB_in_GLGC	GLGC_in_UKBB
HDL	EUR	1	1	0	0	0	0
HDL	EUR	1	2	0	1	0	0
HDL	EUR	1	3	1	0	0	0
HDL	EUR	1	5	0	1	0	0
HDL	EUR	1	15	0	0	0	0
HDL	EUR	1	17	0	0	0	0
HDL	EUR	1	18	0	0	0	0
HDL	EUR	1	19	0	0	0	0
HDL	EUR	1	21	1	1	0	0
HDL	EUR	1	23	0	0	0	0
HDL	EUR	1	24	0	1	0	0
HDL	EUR	1	35	0	0	0	0
HDL	EUR	1	40	0	0	0	0
HDL	EUR	1	43	0	1	0	0
HDL	EUR	1	44	1	2	1	1
HDL	EUR	1	46	0	2	0	0
HDL	EUR	1	48	2	2	0	0
HDL	EUR	1	49	0	0	0	0
HDL	EUR	1	50	1	0	0	0
HDL	EUR	1	51	1	1	1	1
HDL	EUR	1	52	2	3	1	1
HDL	EUR	1	53	4	1	1	1
HDL	EUR	1	57	0	1	0	0
HDL	EUR	1	63	0	0	0	0
HDL	EUR	1	70	2	2	0	0
HDL	EUR	1	71	2	2	1	1
HDL	EUR	1	73	1	3	0	0
HDL	EUR	1	74	0	0	0	0
HDL	EUR	1	75	1	0	0	0
HDL	EUR	1	76	0	0	0	0
HDL	EUR	1	80	0	0	0	0
HDL	EUR	1	85	0	1	0	0
HDL	EUR	1	87	0	0	0	0
HDL	EUR	1	90	0	1	0	0
HDL	EUR	1	92	1	0	0	0
HDL	EUR	1	94	2	2	2	2
HDL	EUR	1	96	1	1	1	1
HDL	EUR	1	97	1	1	1	1
HDL	EUR	1	98	0	1	0	0
HDL	EUR	1	100	2	2	2	2
HDL	EUR	1	102	0	0	0	0
HDL	EUR	1	105	2	2	1	1
HDL	EUR	1	110	0	0	0	0
HDL	EUR	1	113	1	0	0	0
HDL	EUR	1	117	2	0	0	0
HDL	EUR	1	122	2	1	1	1
HDL	EUR	1	124	0	1	0	0
HDL	EUR	1	125	1	1	0	0
HDL	EUR	1	128	0	0	0	0
HDL	EUR	1	129	0	0	0	0
HDL	EUR	1	132	0	0	0	0
HDL	EUR	1	136	0	1	0	0
HDL	EUR	1	138	5	5	1	1
HDL	EUR	1	139	4	1	0	0
HDL	EUR	1	143	0	1	0	0
HDL	EUR	1	153	0	2	0	0
HDL	EUR	1	154	2	1	0	0
HDL	EUR	1	156	0	2	0	0
HDL	EUR	1	158	2	0	0	0
HDL	EUR	1	159	0	1	0	0
HDL	EUR	1	160	0	1	0	0
HDL	EUR	1	168	2	3	0	0
HDL	EUR	1	173	0	0	0	0
HDL	EUR	1	181	0	0	0	0
HDL	EUR	1	182	1	3	0	0
HDL	EUR	1	183	0	0	0	0
HDL	EUR	1	187	2	2	1	1
HDL	EUR	1	189	2	0	0	0
HDL	EUR	1	191	2	1	1	1
HDL	EUR	1	192	2	0	0	0
HDL	EUR	1	193	0	1	0	0
HDL	EUR	1	201	0	1	0	0
HDL	EUR	1	202	1	1	0	0
HDL	EUR	1	203	0	1	0	0
HDL	EUR	1	204	0	0	0	0
HDL	EUR	1	207	2	1	1	1
HDL	EUR	1	208	0	0	0	0
HDL	EUR	1	209	2	2	1	1
HDL	EUR	1	211	1	1	1	1
HDL	EUR	1	213	0	2	0	0
HDL	EUR	1	214	1	1	1	1
HDL	EUR	1	215	0	1	0	0
HDL	EUR	1	216	0	0	0	0
HDL	EUR	1	218	0	0	0	0
HDL	EUR	1	221	2	2	1	1
HDL	EUR	1	224	1	1	1	1
HDL	EUR	1	228	0	1	0	0
HDL	EUR	1	233	1	1	1	1
HDL	EUR	1	234	4	1	1	1
HDL	EUR	1	235	1	1	0	0
HDL	EUR	1	238	0	2	0	0
HDL	EUR	1	239	0	0	0	0
HDL	EUR	1	240	1	1	1	1
HDL	EUR	1	242	1	2	1	1
HDL	EUR	1	243	1	1	1	1
HDL	EUR	1	244	2	1	1	1
HDL	EUR	1	252	1	1	1	1
HDL	EUR	1	253	1	2	0	0
HDL	EUR	1	254	0	0	0	0
HDL	EUR	1	255	1	1	0	0
HDL	EUR	1	257	0	0	0	0
HDL	EUR	1	264	0	0	0	0
HDL	EUR	1	275	1	0	0	0
HDL	EUR	2	1	1	1	1	1
HDL	EUR	2	2	0	1	0	0
HDL	EUR	2	3	0	0	0	0
HDL	EUR	2	4	0	0	0	0
HDL	EUR	2	6	1	2	1	1
HDL	EUR	2	13	0	0	0	0
HDL	EUR	2	28	0	1	0	0
HDL	EUR	2	40	1	0	0	0
HDL	EUR	2	41	2	2	1	1
HDL	EUR	2	44	1	3	0	0
HDL	EUR	2	45	2	2	1	1
HDL	EUR	2	46	0	1	0	0
HDL	EUR	2	47	0	2	0	0
HDL	EUR	2	48	0	3	0	0
HDL	EUR	2	49	0	0	0	0
HDL	EUR	2	50	0	1	0	0
HDL	EUR	2	51	0	0	0	0
HDL	EUR	2	53	2	1	0	0
HDL	EUR	2	55	0	2	0	0
HDL	EUR	2	60	0	0	0	0
HDL	EUR	2	62	0	0	0	0
HDL	EUR	2	63	0	0	0	0
HDL	EUR	2	66	0	0	0	0
HDL	EUR	2	67	0	0	0	0
HDL	EUR	2	68	1	1	1	1
HDL	EUR	2	69	0	0	0	0
HDL	EUR	2	79	2	2	2	2
HDL	EUR	2	80	0	0	0	0
HDL	EUR	2	84	0	1	0	0
HDL	EUR	2	85	2	1	1	1
HDL	EUR	2	86	1	1	1	1
HDL	EUR	2	87	0	0	0	0
HDL	EUR	2	88	0	0	0	0
HDL	EUR	2	89	1	1	1	1
HDL	EUR	2	90	1	1	1	1
HDL	EUR	2	97	0	2	0	0
HDL	EUR	2	99	2	0	0	0
HDL	EUR	2	100	0	0	0	0
HDL	EUR	2	115	0	1	0	0
HDL	EUR	2	117	0	2	0	0
HDL	EUR	2	122	3	2	2	2
HDL	EUR	2	124	0	0	0	0
HDL	EUR	2	125	0	0	0	0
HDL	EUR	2	128	0	0	0	0
HDL	EUR	2	130	0	0	0	0
HDL	EUR	2	131	2	1	1	1
HDL	EUR	2	132	0	1	0	0
HDL	EUR	2	138	0	0	0	0
HDL	EUR	2	146	2	0	0	0
HDL	EUR	2	147	0	0	0	0
HDL	EUR	2	151	0	0	0	0
HDL	EUR	2	153	2	1	0	0
HDL	EUR	2	154	1	0	0	0
HDL	EUR	2	159	0	1	0	0
HDL	EUR	2	163	3	2	2	2
HDL	EUR	2	164	0	2	0	0
HDL	EUR	2	166	2	3	1	1
HDL	EUR	2	168	0	0	0	0
HDL	EUR	2	171	1	0	0	0
HDL	EUR	2	175	0	1	0	0
HDL	EUR	2	176	0	0	0	0
HDL	EUR	2	177	1	2	0	0
HDL	EUR	2	180	0	2	0	0
HDL	EUR	2	181	0	0	0	0
HDL	EUR	2	183	0	0	0	0
HDL	EUR	2	184	3	0	0	0
HDL	EUR	2	185	0	1	0	0
HDL	EUR	2	186	0	0	0	0
HDL	EUR	2	191	2	0	0	0
HDL	EUR	2	195	0	0	0	0
HDL	EUR	2	197	0	0	0	0
HDL	EUR	2	199	2	2	1	1
HDL	EUR	2	202	0	0	0	0
HDL	EUR	2	205	1	1	1	1
HDL	EUR	2	208	0	0	0	0
HDL	EUR	2	209	0	1	0	0
HDL	EUR	2	210	0	1	0	0
HDL	EUR	2	213	2	1	1	1
HDL	EUR	2	215	0	1	0	0
HDL	EUR	2	217	3	5	2	2
HDL	EUR	2	218	3	4	1	1
HDL	EUR	2	221	0	1	0	0
HDL	EUR	2	227	0	0	0	0
HDL	EUR	2	228	0	1	0	0
HDL	EUR	2	230	3	3	2	2
HDL	EUR	2	232	1	1	1	1
HDL	EUR	2	233	0	1	0	0
HDL	EUR	2	234	0	1	0	0
HDL	EUR	2	235	2	2	2	2
HDL	EUR	2	237	0	1	0	0
HDL	EUR	2	240	1	0	0	0
HDL	EUR	2	247	0	0	0	0
HDL	EUR	2	250	2	0	0	0
HDL	EUR	2	251	0	1	0	0
HDL	EUR	2	256	1	2	0	0
HDL	EUR	3	8	0	0	0	0
HDL	EUR	3	9	0	0	0	0
HDL	EUR	3	20	0	0	0	0
HDL	EUR	3	23	0	0	0	0
HDL	EUR	3	24	4	2	1	1
HDL	EUR	3	25	0	0	0	0
HDL	EUR	3	28	1	1	1	1
HDL	EUR	3	30	1	1	1	1
HDL	EUR	3	32	0	0	0	0
HDL	EUR	3	34	0	0	0	0
HDL	EUR	3	35	0	0	0	0
HDL	EUR	3	39	0	1	0	0
HDL	EUR	3	40	0	1	0	0
HDL	EUR	3	41	0	0	0	0
HDL	EUR	3	42	2	0	0	0
HDL	EUR	3	55	1	2	0	0
HDL	EUR	3	59	0	0	0	0
HDL	EUR	3	60	0	0	0	0
HDL	EUR	3	64	0	2	0	0
HDL	EUR	3	65	0	0	0	0
HDL	EUR	3	71	0	0	0	0
HDL	EUR	3	77	1	0	0	0
HDL	EUR	3	81	0	0	0	0
HDL	EUR	3	83	0	0	0	0
HDL	EUR	3	84	0	1	0	0
HDL	EUR	3	85	0	2	0	0
HDL	EUR	3	88	0	1	0	0
HDL	EUR	3	89	3	2	0	0
HDL	EUR	3	90	0	0	0	0
HDL	EUR	3	105	0	0	0	0
HDL	EUR	3	106	0	0	0	0
HDL	EUR	3	108	0	0	0	0
HDL	EUR	3	109	1	2	1	1
HDL	EUR	3	112	0	0	0	0
HDL	EUR	3	114	0	2	0	0
HDL	EUR	3	119	0	0	0	0
HDL	EUR	3	120	2	2	1	1
HDL	EUR	3	121	0	0	0	0
HDL	EUR	3	123	2	1	1	1
HDL	EUR	3	124	1	1	1	1
HDL	EUR	3	125	0	0	0	0
HDL	EUR	3	127	0	0	0	0
HDL	EUR	3	128	0	1	0	0
HDL	EUR	3	129	1	1	1	1
HDL	EUR	3	132	0	1	0	0
HDL	EUR	3	134	0	0	0	0
HDL	EUR	3	135	1	0	0	0
HDL	EUR	3	136	1	0	0	0
HDL	EUR	3	140	1	1	0	0
HDL	EUR	3	144	0	0	0	0
HDL	EUR	3	145	0	0	0	0
HDL	EUR	3	146	0	0	0	0
HDL	EUR	3	155	1	2	1	1
HDL	EUR	3	158	2	1	1	1
HDL	EUR	3	159	1	1	0	0
HDL	EUR	3	161	0	1	0	0
HDL	EUR	3	162	1	2	1	1
HDL	EUR	3	165	2	2	2	2
HDL	EUR	3	170	0	0	0	0
HDL	EUR	3	171	0	0	0	0
HDL	EUR	3	174	0	0	0	0
HDL	EUR	3	175	0	1	0	0
HDL	EUR	3	179	0	1	0	0
HDL	EUR	3	183	0	0	0	0
HDL	EUR	3	184	0	1	0	0
HDL	EUR	3	186	0	0	0	0
HDL	EUR	3	191	0	2	0	0
HDL	EUR	3	193	4	4	4	4
HDL	EUR	3	195	0	1	0	0
HDL	EUR	3	212	0	0	0	0
HDL	EUR	3	214	2	2	1	1
HDL	EUR	3	216	0	0	0	0
HDL	EUR	4	1	1	4	1	1
HDL	EUR	4	4	0	1	0	0
HDL	EUR	4	10	0	0	0	0
HDL	EUR	4	21	0	0	0	0
HDL	EUR	4	32	0	1	0	0
