pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	AFR	1	2	1472	5	1.58080244064331	0	0	0	0
LDL	META	AFR	1	4	1992	5	1.77462220191956	0	0	0	0
LDL	META	AFR	1	17	6619	5	17.1531574726105	0	0	0	0
LDL	META	AFR	1	19	5388	5	19.1525797843933	0	0	0	0
LDL	META	AFR	1	23	1856	5	1.57951712608337	0	0	0	0
LDL	META	AFR	1	35	6558	5	16.2197597026825	0	0	0	0
LDL	META	AFR	1	40	2184	5	2.2513599395752	0	0	0	0
LDL	META	AFR	1	48	2575	5	2.81172490119934	0	0	0	0
LDL	META	AFR	1	49	2481	5	2.73111724853516	0	0	0	0
LDL	META	AFR	1	51	2317	5	2.47316980361938	0	0	0	0
LDL	META	AFR	1	52	6619	5	16.7530152797699	0	0	0	0
LDL	META	AFR	1	53	5723	5	18.2554366588593	0	0	0	0
LDL	META	AFR	1	58	6819	5	20.1540260314941	0	0	0	0
LDL	META	AFR	1	70	4511	5	10.7070367336273	0	0	0	0
LDL	META	AFR	1	73	6384	5	15.8303935527802	0	0	0	0
LDL	META	AFR	1	75	7752	5	37.1458909511566	0	0	0	0
LDL	META	AFR	1	76	3972	5	6.73564505577087	0	0	0	0
LDL	META	AFR	1	78	2455	5	3.27594661712646	0	0	0	0
LDL	META	AFR	1	80	2349	5	2.45924282073975	0	0	1	6
LDL	META	AFR	1	81	1666	5	1.44548678398132	0	0	0	0
LDL	META	AFR	1	82	3622	5	5.08747935295105	0	0	0	0
LDL	META	AFR	1	83	4259	5	50.5289521217346	3	3	3	3
LDL	META	AFR	1	84	6650	10	1435.8406560421	3	3	4	6
LDL	META	AFR	1	85	1976	5	2.14366149902344	0	0	0	0
LDL	META	AFR	1	88	3502	5	4.64197897911072	0	0	0	0
LDL	META	AFR	1	89	3798	5	5.99068665504456	0	0	0	0
LDL	META	AFR	1	92	4457	5	10.3132963180542	0	0	0	0
LDL	META	AFR	1	94	1059	5	0.826857566833496	0	0	0	0
LDL	META	AFR	1	96	4153	5	8.3123505115509	0	0	0	0
LDL	META	AFR	1	97	5112	5	16.349976301193198	1	1	1	1
LDL	META	AFR	1	100	4064	5	10.4583716392517	0	0	0	0
LDL	META	AFR	1	109	5577	5	14.5598192214966	0	0	0	0
LDL	META	AFR	1	124	6844	5	30.1314287185669	0	0	0	0
LDL	META	AFR	1	125	8668	5	1541.99026703835	1	1	1	1
LDL	META	AFR	1	136	5068	5	15.5608220100403	0	0	0	0
LDL	META	AFR	1	138	6689	5	36.9277510643005	1	1	1	1
LDL	META	AFR	1	139	1513	5	1.34711337089539	0	0	0	0
LDL	META	AFR	1	141	2563	5	5.13790893554688	0	0	0	0
LDL	META	AFR	1	145	2809	5	6.40591502189636	0	0	0	0
LDL	META	AFR	1	147	4581	5	16.6716573238373	0	0	0	0
LDL	META	AFR	1	150	4926	5	13.9660108089447	0	0	0	0
LDL	META	AFR	1	151	6645	5	28.7454209327698	0	0	0	0
LDL	META	AFR	1	154	8722	5	71.9361848831177	0	0	0	0
LDL	META	AFR	1	158	5387	5	12.3827073574066	0	0	0	0
LDL	META	AFR	1	162	4256	5	12.5692403316498	0	0	0	0
LDL	META	AFR	1	163	3284	5	6.76258087158203	0	0	0	0
LDL	META	AFR	1	168	5337	5	20.4016373157501	0	0	0	0
LDL	META	AFR	1	169	7103	5	32.9924764633179	0	0	0	0
LDL	META	AFR	1	175	7083	5	31.9101934432983	0	0	0	0
LDL	META	AFR	1	182	7601	5	36.1223752498627	0	0	0	0
LDL	META	AFR	1	183	7176	5	33.3095524311066	0	0	0	0
LDL	META	AFR	1	187	4677	5	9.99037575721741	0	0	0	0
LDL	META	AFR	1	188	5325	5	18.8296129703522	0	0	0	0
LDL	META	AFR	1	189	3739	5	5.16119694709778	0	0	0	0
LDL	META	AFR	1	191	5189	5	17.2834248542786	0	0	0	0
LDL	META	AFR	1	192	5202	5	19.1300268173218	0	0	0	0
LDL	META	AFR	1	201	6278	5	27.7079410552979	0	0	0	0
LDL	META	AFR	1	202	5171	5	17.085083723068198	0	0	0	0
LDL	META	AFR	1	205	2040	5	4.29859948158264	0	0	0	0
LDL	META	AFR	1	213	2803	5	6.23452973365784	0	0	0	0
LDL	META	AFR	1	214	2494	5	4.68411111831665	0	0	0	0
LDL	META	AFR	1	216	5669	5	23.7959666252136	0	0	0	0
LDL	META	AFR	1	221	4849	5	37.0613827705383	0	0	0	0
LDL	META	AFR	1	223	5525	5	21.7681756019592	0	0	0	0
LDL	META	AFR	1	226	1984	5	2.629807472229	0	0	0	0
LDL	META	AFR	1	233	6542	5	68.2452297210693	0	0	0	0
LDL	META	AFR	1	234	7505	5	95.2358901500702	0	0	0	0
LDL	META	AFR	1	238	9842	5	205.904165506363	0	0	0	0
LDL	META	AFR	1	239	2309	5	6.04788446426392	0	0	0	0
LDL	META	AFR	1	252	2316	5	4.14005637168884	1	1	2	5
LDL	META	AFR	1	253	822	5	2.2282726764679	0	0	0	0
LDL	META	AFR	1	254	3999	5	9.61662650108337	0	0	0	0
LDL	META	AFR	1	255	2519	5	2.45496892929077	0	0	0	0
LDL	META	AFR	1	280	10099	5	219.050481081009	0	0	0	0
LDL	META	AFR	2	6	2716	5	6.23092794418335	0	0	0	0
LDL	META	AFR	2	19	825	5	1.90931582450867	0	0	0	0
LDL	META	AFR	2	21	1674	5	3.2474365234375	0	0	0	0
LDL	META	AFR	2	27	2245	5	2.01166796684265	0	0	0	0
LDL	META	AFR	2	34	6265	5	51.6088020801544	0	0	0	0
LDL	META	AFR	2	37	2303	5	2.83683657646179	0	0	0	0
LDL	META	AFR	2	38	4925	5	39.9558861255646	0	0	0	0
LDL	META	AFR	2	39	2296	5	3.76963424682617	0	0	0	0
LDL	META	AFR	2	40	7094	5	60.9261775016785	0	0	1	3
LDL	META	AFR	2	41	3250	5	3.80468606948853	0	0	0	0
LDL	META	AFR	2	42	298	5	2.15629982948303	0	1	0	0
LDL	META	AFR	2	43	714	5	7.05677914619446	0	0	0	0
LDL	META	AFR	2	44	3342	10	1032.439265728	4	5	6	11
LDL	META	AFR	2	45	5978	10	1010.69163322449	1	4	5	31
LDL	META	AFR	2	46	2604	5	6.97745299339294	0	1	0	0
LDL	META	AFR	2	47	7471	5	138.509751319885	0	0	0	0
LDL	META	AFR	2	48	4608	5	14.7710754871368	0	1	0	0
LDL	META	AFR	2	49	7290	5	95.1444311141968	0	0	0	0
LDL	META	AFR	2	50	4163	5	31.5092086791992	0	0	0	0
LDL	META	AFR	2	51	4755	5	32.9231317043304	0	0	0	0
LDL	META	AFR	2	53	3091	5	11.6187407970428	0	0	0	0
LDL	META	AFR	2	69	5620	5	10.2771716117859	0	0	0	0
LDL	META	AFR	2	71	4440	5	702.466704368591	1	1	1	1
LDL	META	AFR	2	72	7365	5	32.8807110786438	1	1	1	1
LDL	META	AFR	2	74	2491	5	11.0050749778748	0	0	0	0
LDL	META	AFR	2	75	2977	5	13.4635055065155	0	0	0	0
LDL	META	AFR	2	77	2882	5	5.76244449615479	0	0	0	0
LDL	META	AFR	2	84	14498	5	218.618006467819	0	0	0	0
LDL	META	AFR	2	86	5708	5	48.124320268631	0	0	0	0
LDL	META	AFR	2	87	2015	5	6.57109475135803	0	0	0	0
LDL	META	AFR	2	88	16740	5	224.819750070572	0	0	0	0
LDL	META	AFR	2	89	4268	5	11.9343559741974	0	0	0	0
LDL	META	AFR	2	97	6392	5	58.3594410419464	0	0	0	0
LDL	META	AFR	2	99	3744	5	8.80889105796814	0	0	0	0
LDL	META	AFR	2	100	5073	5	29.7288808822632	0	0	0	0
LDL	META	AFR	2	115	8462	5	34.0865364074707	0	0	0	0
LDL	META	AFR	2	121	7623	5	21.5377621650696	0	0	0	0
LDL	META	AFR	2	122	3357	5	11.8684592247009	0	0	0	0
LDL	META	AFR	2	124	6304	5	61.7831490039825	0	0	0	0
LDL	META	AFR	2	127	10494	5	211.991643428802	0	0	0	0
LDL	META	AFR	2	128	8920	5	117.837421655655	0	0	0	0
LDL	META	AFR	2	130	972	5	3.48365068435669	0	1	0	0
LDL	META	AFR	2	131	267	5	2.28499579429626	0	1	0	0
LDL	META	AFR	2	138	7521	5	98.126570224762	0	0	0	0
LDL	META	AFR	2	145	2691	5	5.57755303382874	0	1	0	0
LDL	META	AFR	2	146	7338	5	66.4973497390747	0	0	0	0
LDL	META	AFR	2	147	11956	5	63.9887573719025	0	0	0	0
LDL	META	AFR	2	152	4175	5	7.63311672210693	0	0	0	0
LDL	META	AFR	2	162	2765	5	11.6773567199707	0	0	0	0
LDL	META	AFR	2	163	346	5	2.90673446655273	0	1	0	0
LDL	META	AFR	2	166	11540	5	131.421180963516	0	0	0	0
LDL	META	AFR	2	168	5132	5	10.2173027992249	0	0	0	0
LDL	META	AFR	2	172	1571	5	4.1970112323761	0	0	0	0
LDL	META	AFR	2	177	5697	5	62.3808038234711	0	0	0	0
LDL	META	AFR	2	181	7110	5	75.5052812099457	0	0	0	0
LDL	META	AFR	2	184	9623	5	67.7289671897888	0	0	0	0
LDL	META	AFR	2	192	7048	5	75.6890060901642	0	0	0	0
LDL	META	AFR	2	198	4605	5	42.4564166069031	0	0	0	0
LDL	META	AFR	2	199	7545	5	82.4219233989716	0	0	0	0
LDL	META	AFR	2	205	3574	5	13.2804574966431	0	0	0	0
LDL	META	AFR	2	208	11091	5	102.939873933792	0	0	0	0
LDL	META	AFR	2	212	5673	5	28.6733930110931	0	0	0	0
LDL	META	AFR	2	213	12646	5	107.72369146347	0	0	0	0
LDL	META	AFR	2	217	3417	5	12.517751455307	0	0	0	0
LDL	META	AFR	2	232	2710	5	8.6499137878418	0	0	0	0
LDL	META	AFR	2	237	4890	5	39.023574590683	0	0	0	0
LDL	META	AFR	2	240	4368	5	24.2080516815186	0	0	0	0
LDL	META	AFR	2	242	4041	5	23.9700653553009	0	0	0	0
LDL	META	AFR	2	250	9156	5	181.320186376572	0	0	0	0
LDL	META	AFR	2	256	5481	5	43.1218225955963	0	0	0	0
LDL	META	AFR	3	24	6107	5	37.7567887306213	0	0	0	0
LDL	META	AFR	3	41	7590	5	56.4635565280914	0	0	0	0
LDL	META	AFR	3	43	4631	5	37.7911660671234	0	0	0	0
LDL	META	AFR	3	51	2523	5	12.1337225437164	0	0	1	4
LDL	META	AFR	3	56	4792	5	9.18068933486938	0	0	0	0
LDL	META	AFR	3	70	5844	5	11.6149282455444	0	0	0	0
LDL	META	AFR	3	71	7615	5	19.7084913253784	0	0	0	0
LDL	META	AFR	3	83	8358	5	87.5152683258057	0	0	0	0
LDL	META	AFR	3	88	5089	5	43.2650015354156	0	0	0	0
LDL	META	AFR	3	89	5797	5	15.3584213256836	0	0	0	0
