pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EAS	1	2	92	5	0.618504047393799	0	0	0	0
LDL	META	EAS	1	4	410	5	1.25007319450378	0	0	0	0
LDL	META	EAS	1	17	1895	5	3.14286684989929	0	0	0	0
LDL	META	EAS	1	19	1293	5	1.831374168396	0	0	0	0
LDL	META	EAS	1	23	619	5	1.91741108894348	0	0	0	0
LDL	META	EAS	1	35	1520	5	3.07401013374329	0	0	0	0
LDL	META	EAS	1	40	795	5	1.3879222869873	0	0	0	0
LDL	META	EAS	1	48	696	5	1.56683301925659	0	0	0	0
LDL	META	EAS	1	49	435	5	0.963006496429443	0	0	0	0
LDL	META	EAS	1	51	609	5	1.18647813796997	0	0	1	54
LDL	META	EAS	1	52	1510	5	3.25457501411438	0	0	0	0
LDL	META	EAS	1	53	1301	5	1.72645950317383	0	0	0	0
LDL	META	EAS	1	58	1568	5	3.9046938419342	0	0	0	0
LDL	META	EAS	1	70	1504	5	2.41793465614319	0	0	0	0
LDL	META	EAS	1	73	1804	5	3.63592720031738	0	0	0	0
LDL	META	EAS	1	75	2597	5	8.11189818382263	0	0	0	0
LDL	META	EAS	1	76	1430	5	2.90501546859741	0	0	0	0
LDL	META	EAS	1	78	852	5	1.94329309463501	0	0	0	0
LDL	META	EAS	1	80	892	5	1.3050320148468	0	0	0	0
LDL	META	EAS	1	81	605	5	1.67686796188354	0	0	0	0
LDL	META	EAS	1	82	1017	5	1.40332007408142	0	0	0	0
LDL	META	EAS	1	83	1632	5	3.06185388565063	0	0	0	0
LDL	META	EAS	1	84	2481	5	411.289036989212	0	0	2	39
LDL	META	EAS	1	85	957	5	1.60868620872498	0	0	0	0
LDL	META	EAS	1	88	1284	5	2.0638151168823198	0	0	0	0
LDL	META	EAS	1	89	1333	5	1.90799331665039	0	0	0	0
LDL	META	EAS	1	92	1463	5	2.15209102630615	0	0	0	0
