pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EUR	1	2	820	5	0.915306806564331	0	0	0	0
LDL	META	EUR	1	4	1277	5	3.60983180999756	0	0	1	4
LDL	META	EUR	1	17	3343	5	23.310004234314	0	0	0	0
LDL	META	EUR	1	19	2679	5	7.61534905433655	0	0	0	0
LDL	META	EUR	1	23	994	5	0.99956488609314	0	0	0	0
LDL	META	EUR	1	35	3121	5	16.5698938369751	1	1	2	4
LDL	META	EUR	1	40	1268	5	1.90885901451111	0	0	1	8
LDL	META	EUR	1	48	1233	5	2.08799910545349	1	2	3	11
LDL	META	EUR	1	49	1066	5	1.32927918434143	0	0	0	0
LDL	META	EUR	1	51	1253	5	2.11600112915039	0	0	2	24
LDL	META	EUR	1	52	3176	5	2934.15186977386	1	1	2	59
LDL	META	EUR	1	53	3012	5	10.3745911121368	0	1	2	8
LDL	META	EUR	1	58	3188	5	14.8164472579956	0	0	0	0
LDL	META	EUR	1	70	2543	5	4.94935417175293	0	0	1	23
LDL	META	EUR	1	73	3261	5	29.7634651660919	0	0	1	15
LDL	META	EUR	1	75	4012	5	3125.07493448257	1	1	2	16
LDL	META	EUR	1	76	1869	5	2.52395629882812	0	0	0	0
LDL	META	EUR	1	78	1244	5	2.41884565353394	0	0	1	6
LDL	META	EUR	1	80	1184	5	1.38568019866943	0	0	0	0
LDL	META	EUR	1	81	889	5	0.973763227462769	0	0	0	0
LDL	META	EUR	1	82	1970	5	225.567289590836	0	1	1	3
LDL	META	EUR	1	83	2368	5	2808.77969646454	0	0	2	17
LDL	META	EUR	1	84	3556	10	3436.48749351501	1	1	1	1
LDL	META	EUR	1	85	1239	5	7.39284372329712	1	1	1	1
LDL	META	EUR	1	88	1969	5	3.38645124435425	0	0	0	0
LDL	META	EUR	1	89	1959	5	3.03617858886719	0	0	0	0
LDL	META	EUR	1	92	2564	5	5.38629722595215	0	0	0	0
LDL	META	EUR	1	94	675	5	0.846587657928467	0	1	3	27
LDL	META	EUR	1	96	2274	5	4.710524559021	0	1	1	3
LDL	META	EUR	1	97	2748	5	7.18440866470337	0	1	1	3
LDL	META	EUR	1	100	2143	5	5.47007989883423	0	0	0	0
LDL	META	EUR	1	109	2991	5	11.6419479846954	0	0	1	30
LDL	META	EUR	1	124	3741	5	35.8991162776947	0	0	1	7
LDL	META	EUR	1	125	4466	5	3506.12546777725	0	0	1	4
LDL	META	EUR	1	136	2553	5	9.73308181762695	0	0	1	14
LDL	META	EUR	1	138	3465	5	72.9046890735626	1	1	1	1
LDL	META	EUR	1	139	893	5	541.031359672546	0	3	2	9
LDL	META	EUR	1	141	1476	5	10.3153767585754	0	0	0	0
LDL	META	EUR	1	145	1711	5	8.20432019233704	0	0	0	0
LDL	META	EUR	1	147	2696	5	37.8708608150482	0	0	0	0
LDL	META	EUR	1	150	2630	5	39.6422901153564	0	1	0	0
LDL	META	EUR	1	151	3285	5	22.5269734859467	0	0	0	0
LDL	META	EUR	1	154	3946	5	3369.10190629959	1	1	1	1
LDL	META	EUR	1	158	2620	5	1968.4579706192	0	1	2	25
LDL	META	EUR	1	162	2107	5	5.29692983627319	0	0	1	22
LDL	META	EUR	1	163	1937	5	23.0418305397034	0	0	1	19
LDL	META	EUR	1	168	2971	5	2390.47112250328	0	1	1	3
LDL	META	EUR	1	169	4058	5	64.689751625061	0	0	0	0
LDL	META	EUR	1	175	3927	5	63.7420375347137	0	0	0	0
LDL	META	EUR	1	182	3512	5	2904.12860941887	0	0	2	40
LDL	META	EUR	1	183	3699	5	1760.6148993969	0	0	1	38
LDL	META	EUR	1	187	2531	5	15.9072170257568	1	1	1	1
LDL	META	EUR	1	188	2838	5	42.3939576148987	0	0	0	0
LDL	META	EUR	1	189	1966	5	9.5227587223053	0	1	0	0
LDL	META	EUR	1	191	2690	5	11.1408553123474	0	0	1	10
LDL	META	EUR	1	192	2752	5	37.541529417038	0	0	1	27
LDL	META	EUR	1	201	2900	5	2363.14138913155	0	0	1	14
LDL	META	EUR	1	202	2869	5	43.8792808055878	0	1	1	5
LDL	META	EUR	1	205	1048	5	6.39840269088745	0	0	0	0
LDL	META	EUR	1	213	1537	5	14.0446357727051	0	0	1	5
LDL	META	EUR	1	214	1378	5	4.99443960189819	0	1	1	3
LDL	META	EUR	1	216	2890	5	41.1203720569611	0	0	0	0
LDL	META	EUR	1	221	2474	5	42.3136773109436	0	0	0	0
LDL	META	EUR	1	223	3129	5	43.2970397472382	0	0	1	28
LDL	META	EUR	1	226	1276	5	2047.79016280174	0	0	0	0
LDL	META	EUR	1	233	3391	5	73.2138783931732	0	0	0	0
LDL	META	EUR	1	234	3921	5	3151.57882881165	1	1	1	1
LDL	META	EUR	1	238	4968	5	137.574119567871	0	0	2	28
LDL	META	EUR	1	239	1376	5	533.258576154709	0	0	2	23
LDL	META	EUR	1	252	1272	10	2902.14147543907	0	3	5	18
LDL	META	EUR	1	253	580	5	876.766061544418	1	3	4	10
LDL	META	EUR	1	254	2227	5	24.2939219474792	0	0	1	5
LDL	META	EUR	1	255	1251	5	4.82546377182007	0	0	1	8
LDL	META	EUR	1	280	5124	5	127.993908882141	0	0	1	14
LDL	META	EUR	2	6	1476	5	6.17359232902527	0	1	1	4
LDL	META	EUR	2	19	473	5	2.49023938179016	0	0	1	9
LDL	META	EUR	2	21	950	5	4.75452208518982	1	1	2	6
LDL	META	EUR	2	27	1184	5	2.86673760414124	0	0	1	32
LDL	META	EUR	2	34	3502	5	72.1006548404694	0	0	0	0
LDL	META	EUR	2	37	1298	5	7.78746795654297	0	0	0	0
LDL	META	EUR	2	38	2763	5	49.7794060707092	0	0	1	11
LDL	META	EUR	2	39	1208	5	10.7047564983368	0	0	0	0
LDL	META	EUR	2	40	3805	5	59.3004426956177	0	0	0	0
LDL	META	EUR	2	41	1710	5	2259.13984107971	0	0	2	30
LDL	META	EUR	2	42	198	5	4.03736519813538	0	0	0	0
LDL	META	EUR	2	43	394	10	1045.11558198929	0	1	0	0
LDL	META	EUR	2	44	1686	5	2771.21772933006	1	1	1	1
LDL	META	EUR	2	45	3325	15	3867.7572119236	5	6	6	7
LDL	META	EUR	2	46	1560	5	18.6295759677887	0	0	0	0
LDL	META	EUR	2	47	4003	5	94.0638024806976	0	0	0	0
LDL	META	EUR	2	48	2433	5	10.9748721122742	0	3	3	37
LDL	META	EUR	2	49	3445	5	4084.47463178635	1	1	1	1
LDL	META	EUR	2	50	2194	5	11.1193206310272	0	0	0	0
LDL	META	EUR	2	51	2709	5	27.9088623523712	0	0	0	0
LDL	META	EUR	2	53	1766	5	25.3673231601715	0	0	0	0
LDL	META	EUR	2	69	3007	5	62.976133108139	0	2	2	8
LDL	META	EUR	2	71	2355	10	5703.31883978844	2	3	5	13
LDL	META	EUR	2	72	4068	10	5232.65508413315	2	3	4	8
LDL	META	EUR	2	74	1444	5	24.4748146533966	1	1	1	1
LDL	META	EUR	2	75	1976	5	14.4571115970612	0	1	1	3
LDL	META	EUR	2	77	1733	5	23.6258227825165	0	1	0	0
LDL	META	EUR	2	84	8205	5	1833.67252612114	0	0	0	0
LDL	META	EUR	2	86	3207	5	63.0599241256714	0	0	0	0
LDL	META	EUR	2	87	1205	5	9.19838953018188	0	0	2	7
LDL	META	EUR	2	88	9816	5	5452.2200114727	0	0	3	79
LDL	META	EUR	2	89	2245	5	38.3021342754364	0	0	0	0
LDL	META	EUR	2	97	2906	5	54.4811794757843	0	0	1	13
LDL	META	EUR	2	99	2022	5	23.0865280628204	0	0	1	21
LDL	META	EUR	2	100	2583	5	41.4530673027039	0	0	1	48
LDL	META	EUR	2	115	4037	5	57.9471428394318	0	1	1	2
LDL	META	EUR	2	121	3932	5	78.4774961471558	0	0	1	16
LDL	META	EUR	2	122	1828	5	9.40827488899231	0	0	0	0
LDL	META	EUR	2	124	2897	5	56.1864371299744	0	0	1	11
LDL	META	EUR	2	127	5656	5	191.709998607635	0	1	1	2
LDL	META	EUR	2	128	4728	5	158.743100643158	1	1	2	7
LDL	META	EUR	2	130	655	5	7.44152450561523	0	0	1	6
LDL	META	EUR	2	131	131	5	5.84154200553894	1	1	1	1
LDL	META	EUR	2	138	4124	5	141.324077129364	0	0	0	0
LDL	META	EUR	2	145	1531	5	11.1575224399567	0	0	0	0
LDL	META	EUR	2	146	2937	5	3519.81945514679	0	0	0	0
LDL	META	EUR	2	147	5711	5	155.782928228378	0	0	0	0
LDL	META	EUR	2	152	2457	5	37.8593819141388	0	0	0	0
LDL	META	EUR	2	162	1314	5	17.2090444564819	0	0	1	19
LDL	META	EUR	2	163	178	5	349.595832586288	0	0	1	4
LDL	META	EUR	2	166	6414	5	222.281898975372	0	0	0	0
LDL	META	EUR	2	168	2674	5	43.4585626125336	0	0	1	3
LDL	META	EUR	2	172	874	5	10.0138449668884	0	0	1	9
LDL	META	EUR	2	177	3199	5	62.5114393234253	0	1	1	13
LDL	META	EUR	2	181	3917	5	95.0789103507996	0	0	2	15
LDL	META	EUR	2	184	4850	5	143.967000007629	0	0	0	0
LDL	META	EUR	2	192	3478	5	66.8630654811859	0	0	0	0
LDL	META	EUR	2	198	2362	5	28.9789223670959	0	0	1	28
LDL	META	EUR	2	199	4041	5	3826.26423406601	0	0	2	48
LDL	META	EUR	2	205	1964	5	27.3961186408997	0	0	0	0
LDL	META	EUR	2	208	5164	5	163.520777702332	0	0	0	0
LDL	META	EUR	2	212	3197	5	44.5561163425446	0	0	0	0
LDL	META	EUR	2	213	6541	5	2376.40018963814	1	2	3	19
LDL	META	EUR	2	217	1515	5	16.3464272022247	0	0	2	95
LDL	META	EUR	2	232	1571	5	13.214812040329	1	1	1	1
LDL	META	EUR	2	237	2726	5	10.2609088420868	0	0	0	0
LDL	META	EUR	2	240	2608	5	32.9835793972015	0	0	1	20
LDL	META	EUR	2	242	2219	5	1851.33309006691	0	0	2	18
LDL	META	EUR	2	250	5026	5	137.72967672348	0	0	0	0
LDL	META	EUR	2	256	2597	5	59.406129360199	0	0	0	0
LDL	META	EUR	3	24	3320	5	21.6447784900665	2	2	4	45
LDL	META	EUR	3	41	4295	5	105.971359968185	1	1	1	1
LDL	META	EUR	3	43	2472	5	28.0268199443817	0	0	0	0
LDL	META	EUR	3	51	1299	5	6.88689231872559	0	1	1	5
LDL	META	EUR	3	56	2485	5	33.1995580196381	0	0	1	4
LDL	META	EUR	3	70	2948	5	35.2099103927612	0	0	0	0
LDL	META	EUR	3	71	3642	5	76.7977373600006	0	0	3	26
LDL	META	EUR	3	83	4815	5	162.132832288742	0	0	1	21
LDL	META	EUR	3	88	2985	5	36.9563641548157	0	1	1	4
LDL	META	EUR	3	89	3069	5	45.102100610733	0	0	0	0
LDL	META	EUR	3	104	5996	5	213.04886507988	0	0	1	41
LDL	META	EUR	3	107	2592	5	49.35338139534	0	0	0	0
LDL	META	EUR	3	109	5518	5	145.252309560776	0	0	0	0
LDL	META	EUR	3	120	2789	5	34.7929196357727	0	1	1	4
LDL	META	EUR	3	121	3467	5	36.0926029682159	0	0	2	30
LDL	META	EUR	3	122	727	5	6.86109709739685	0	0	0	0
LDL	META	EUR	3	123	1188	5	10.104229927063	0	0	1	7
LDL	META	EUR	3	125	3025	5	53.8891260623932	0	0	0	0
LDL	META	EUR	3	127	3298	5	2792.61389756203	0	2	2	4
LDL	META	EUR	3	128	1646	5	25.7536602020264	0	0	0	0
LDL	META	EUR	3	129	1819	5	15.954708814621	0	0	1	11
LDL	META	EUR	3	132	4214	5	134.158540725708	0	0	1	11
LDL	META	EUR	3	135	2636	5	1743.34821367264	0	0	3	16
LDL	META	EUR	3	140	3739	5	3473.97411060333	0	0	1	33
LDL	META	EUR	3	145	3426	5	59.6929450035095	0	1	2	25
LDL	META	EUR	3	148	2962	5	12.6739571094513	0	1	0	0
LDL	META	EUR	3	149	2341	5	42.5324337482452	0	1	0	0
LDL	META	EUR	3	150	3378	5	40.4913012981415	0	1	2	9
LDL	META	EUR	3	154	928	5	17.3334894180298	0	0	0	0
LDL	META	EUR	3	155	3060	5	38.1908829212189	0	0	0	0
LDL	META	EUR	3	158	3501	5	58.379017829895	0	0	1	21
LDL	META	EUR	3	159	2829	5	44.5658202171326	0	1	0	0
LDL	META	EUR	3	161	4120	5	80.1196529865265	0	0	1	11
LDL	META	EUR	3	165	2967	5	37.384429693222	0	0	1	21
LDL	META	EUR	3	166	6191	5	212.761339187622	0	0	0	0
LDL	META	EUR	3	172	2211	5	10.4786777496338	0	0	1	24
LDL	META	EUR	3	173	1416	5	12.1969566345215	0	1	1	3
LDL	META	EUR	3	175	1096	5	18.9031300544739	0	0	0	0
LDL	META	EUR	3	186	4056	5	61.461042881012	0	0	1	3
LDL	META	EUR	3	190	1713	5	26.3258013725281	0	0	0	0
LDL	META	EUR	3	195	6658	5	214.63108754158	0	0	2	16
LDL	META	EUR	3	214	3905	5	2861.03685879707	0	1	1	2
LDL	META	EUR	3	216	2031	5	34.2471060752869	0	0	0	0
LDL	META	EUR	4	1	9631	5	5209.36271476746	1	1	1	1
LDL	META	EUR	4	15	1533	5	5.82445931434631	0	0	1	4
LDL	META	EUR	4	19	1640	5	19.7765266895294	0	0	1	7
LDL	META	EUR	4	21	5123	5	119.214390039444	0	0	1	61
LDL	META	EUR	4	28	2771	5	46.5724709033966	0	0	1	30
LDL	META	EUR	4	30	1777	5	26.7015056610107	0	0	1	28
LDL	META	EUR	4	42	524	5	9.85472059249878	0	0	1	11
LDL	META	EUR	4	43	1710	5	18.8614029884338	0	0	1	11
LDL	META	EUR	4	55	2595	5	1366.24437689781	0	0	2	15
LDL	META	EUR	4	57	656	5	1509.64395976067	0	0	1	7
LDL	META	EUR	4	64	4843	5	144.399114608765	0	0	0	0
LDL	META	EUR	4	65	1895	5	7.80585408210754	0	1	2	37
LDL	META	EUR	4	66	2428	5	38.1643249988556	0	0	0	0
LDL	META	EUR	4	71	1295	5	14.3673391342163	0	0	1	6
LDL	META	EUR	4	79	2385	5	34.4522485733032	0	0	1	23
LDL	META	EUR	4	80	3396	5	3239.98069000244	0	1	3	29
LDL	META	EUR	4	84	2890	5	1661.57001519203	1	1	3	12
LDL	META	EUR	4	85	1240	5	793.8520591259	1	1	1	1
LDL	META	EUR	4	86	269	5	13.4500772953033	0	1	1	1
LDL	META	EUR	4	87	4477	5	129.617338895798	0	0	2	33
LDL	META	EUR	4	90	2920	5	45.8833076953888	0	0	0	0
LDL	META	EUR	4	92	2401	5	45.5585923194885	0	0	0	0
LDL	META	EUR	4	101	3603	5	61.8270342350006	0	0	1	12
LDL	META	EUR	4	113	3912	5	2361.78486585617	0	0	2	20
LDL	META	EUR	4	115	1507	5	15.1443417072296	1	1	1	1
LDL	META	EUR	4	116	2686	5	40.7381749153137	0	0	0	0
LDL	META	EUR	4	117	3442	5	42.1808414459229	0	1	1	4
LDL	META	EUR	4	121	2434	5	26.5889520645142	0	0	2	33
LDL	META	EUR	4	122	1057	5	12.1889955997467	0	1	0	0
