pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	UKBB	EAS	1	2	92	5	0.672185182571411	0	0	0	0
LDL	UKBB	EAS	1	4	410	5	1.0836033821106	0	0	0	0
LDL	UKBB	EAS	1	17	1895	5	3.03581809997559	0	0	0	0
LDL	UKBB	EAS	1	19	1293	5	1.48007464408875	0	0	0	0
LDL	UKBB	EAS	1	23	619	5	1.69217443466187	0	0	0	0
LDL	UKBB	EAS	1	35	1520	5	2.87504744529724	0	0	0	0
LDL	UKBB	EAS	1	40	795	5	1.27677416801453	0	0	0	0
LDL	UKBB	EAS	1	48	696	5	1.41641426086426	0	0	0	0
LDL	UKBB	EAS	1	49	435	5	1.34049940109253	0	0	0	0
LDL	UKBB	EAS	1	51	609	5	1.42120504379272	0	0	0	0
LDL	UKBB	EAS	1	52	1510	5	2.44915723800659	0	0	0	0
LDL	UKBB	EAS	1	53	1301	5	1.53081512451172	0	0	0	0
LDL	UKBB	EAS	1	58	1568	5	4.15660929679871	0	0	0	0
LDL	UKBB	EAS	1	70	1504	5	2.51371645927429	0	0	0	0
LDL	UKBB	EAS	1	73	1804	5	2.79621148109436	0	0	0	0
LDL	UKBB	EAS	1	75	2597	5	5.25121855735779	0	0	0	0
LDL	UKBB	EAS	1	76	1430	5	2.87693190574646	0	0	0	0
LDL	UKBB	EAS	1	78	852	5	1.45352602005005	0	0	0	0
LDL	UKBB	EAS	1	80	892	5	1.57752084732056	0	0	0	0
LDL	UKBB	EAS	1	81	605	5	1.46894550323486	0	0	0	0
LDL	UKBB	EAS	1	82	1017	5	1.5022029876709	0	0	0	0
LDL	UKBB	EAS	1	83	1632	5	3.31770205497742	0	0	0	0
LDL	UKBB	EAS	1	84	2481	5	4.69119715690613	0	0	0	0
LDL	UKBB	EAS	1	85	957	5	1.57678174972534	0	0	0	0
LDL	UKBB	EAS	1	88	1284	5	1.83178234100342	0	0	0	0
LDL	UKBB	EAS	1	89	1333	5	2.77401280403137	0	0	0	0
LDL	UKBB	EAS	1	92	1463	5	2.40564131736755	0	0	0	0
LDL	UKBB	EAS	1	94	356	5	1.26884961128235	0	0	0	0
LDL	UKBB	EAS	1	96	1352	5	1.69373464584351	0	0	0	0
LDL	UKBB	EAS	1	97	1582	5	3.00367259979248	0	0	0	0
LDL	UKBB	EAS	1	100	1655	5	2.63335084915161	0	0	0	0
LDL	UKBB	EAS	1	109	1824	5	2.22077560424805	0	0	0	0
LDL	UKBB	EAS	1	124	2070	5	3.29826545715332	0	0	0	0
LDL	UKBB	EAS	1	125	2412	5	4.96361994743347	0	0	0	0
LDL	UKBB	EAS	1	136	1303	5	3.27260851860046	0	0	0	0
LDL	UKBB	EAS	1	138	1601	5	2.64921927452087	0	0	0	0
LDL	UKBB	EAS	1	139	433	5	1.60311245918274	0	0	0	0
LDL	UKBB	EAS	1	141	755	5	0.952423095703125	0	0	0	0
LDL	UKBB	EAS	1	145	886	5	1.67708563804626	0	0	0	0
LDL	UKBB	EAS	1	147	1273	5	1.79362368583679	0	0	0	0
LDL	UKBB	EAS	1	150	1707	5	2.46409225463867	0	0	0	0
LDL	UKBB	EAS	1	151	2374	5	4.48209571838379	0	0	0	0
LDL	UKBB	EAS	1	154	2252	5	4.1238739490509	0	0	0	0
LDL	UKBB	EAS	1	158	998	5	2.48719215393066	0	0	0	0
LDL	UKBB	EAS	1	162	1177	5	1.74474096298218	0	0	0	0
LDL	UKBB	EAS	1	163	1118	5	2.28353190422058	0	0	0	0
LDL	UKBB	EAS	1	168	1737	5	2.77467012405396	0	0	0	0
LDL	UKBB	EAS	1	169	2863	5	4.43759918212891	0	0	0	0
LDL	UKBB	EAS	1	175	2312	5	5.31071662902832	0	0	0	0
LDL	UKBB	EAS	1	182	2217	5	3.95493865013123	0	0	0	0
LDL	UKBB	EAS	1	183	2280	5	4.77626705169678	0	0	0	0
LDL	UKBB	EAS	1	187	1544	5	2.69178295135498	0	0	0	0
LDL	UKBB	EAS	1	188	1910	5	4.10719037055969	0	0	0	0
LDL	UKBB	EAS	1	189	1084	5	1.86600708961487	0	0	0	0
LDL	UKBB	EAS	1	191	1581	5	2.13820362091064	0	0	0	0
LDL	UKBB	EAS	1	192	1786	5	2.62689447402954	0	0	0	0
LDL	UKBB	EAS	1	201	1847	5	4.04695868492126	0	0	0	0
LDL	UKBB	EAS	1	202	1602	5	3.0914409160614	0	0	0	0
LDL	UKBB	EAS	1	205	652	5	0.790648698806763	0	0	0	0
LDL	UKBB	EAS	1	213	887	5	1.76572036743164	0	0	0	0
LDL	UKBB	EAS	1	214	763	5	1.70670223236084	0	0	0	0
LDL	UKBB	EAS	1	216	1645	5	3.16647219657898	0	0	0	0
LDL	UKBB	EAS	1	221	1780	5	3.10660147666931	0	0	0	0
LDL	UKBB	EAS	1	223	1818	5	3.81417417526245	0	0	0	0
LDL	UKBB	EAS	1	226	665	5	1.01667380332947	0	0	0	0
LDL	UKBB	EAS	1	233	2267	5	3.57379174232483	0	0	0	0
LDL	UKBB	EAS	1	234	2672	5	4.080411195755	0	0	0	0
LDL	UKBB	EAS	1	238	3671	5	6.15757369995117	0	0	0	0
LDL	UKBB	EAS	1	239	997	5	1.66699767112732	0	0	0	0
LDL	UKBB	EAS	1	252	732	5	1.45162296295166	0	0	0	0
LDL	UKBB	EAS	1	253	210	5	1.08919644355774	0	0	0	0
LDL	UKBB	EAS	1	254	1156	5	1.81610107421875	0	0	0	0
LDL	UKBB	EAS	1	255	930	5	1.687819480896	0	0	0	0
LDL	UKBB	EAS	1	280	3098	5	5.80272150039673	0	0	0	0
LDL	UKBB	EAS	2	6	900	5	1.57047533988953	0	0	0	0
LDL	UKBB	EAS	2	19	300	5	1.32503223419189	0	0	0	0
LDL	UKBB	EAS	2	21	351	5	1.47133016586304	0	0	0	0
LDL	UKBB	EAS	2	27	536	5	1.52464723587036	0	0	0	0
LDL	UKBB	EAS	2	34	2092	5	3.03585481643677	0	0	0	0
LDL	UKBB	EAS	2	37	714	5	1.53563594818115	0	0	0	0
LDL	UKBB	EAS	2	38	1699	5	2.38190412521362	0	0	0	0
LDL	UKBB	EAS	2	39	773	5	1.63027548789978	0	0	0	0
LDL	UKBB	EAS	2	40	2426	5	3.49625730514526	0	0	0	0
LDL	UKBB	EAS	2	41	1053	5	1.53590559959412	0	0	0	0
LDL	UKBB	EAS	2	43	198	5	1.27081298828125	0	0	0	0
LDL	UKBB	EAS	2	44	848	5	2.34866857528687	0	0	0	0
LDL	UKBB	EAS	2	45	1802	5	2.36486864089966	0	0	0	0
LDL	UKBB	EAS	2	46	879	5	1.34434986114502	0	0	0	0
LDL	UKBB	EAS	2	47	2130	5	2.2433032989502	0	0	0	0
LDL	UKBB	EAS	2	48	1195	5	2.48740077018738	0	0	0	0
LDL	UKBB	EAS	2	49	1487	5	2.990642786026	0	0	0	0
LDL	UKBB	EAS	2	50	1393	5	2.44987344741821	0	0	0	0
LDL	UKBB	EAS	2	51	1508	5	2.12410473823547	0	0	0	0
LDL	UKBB	EAS	2	53	1142	5	1.58304476737976	0	0	0	0
LDL	UKBB	EAS	2	69	1992	5	2.09287476539612	0	1	0	0
LDL	UKBB	EAS	2	71	1183	5	1.65494060516357	0	0	0	0
LDL	UKBB	EAS	2	72	2437	5	3.00449013710022	0	0	0	0
LDL	UKBB	EAS	2	74	839	5	1.64224672317505	0	0	0	0
LDL	UKBB	EAS	2	75	1174	5	1.74051547050476	0	0	0	0
LDL	UKBB	EAS	2	77	973	5	0.981774806976318	0	0	0	0
LDL	UKBB	EAS	2	84	5562	5	15.24560546875	0	0	0	0
LDL	UKBB	EAS	2	86	1886	5	2.39576315879822	0	0	0	0
LDL	UKBB	EAS	2	87	652	5	0.988659143447876	0	0	0	0
LDL	UKBB	EAS	2	88	5422	5	16.2211692333221	0	0	0	0
LDL	UKBB	EAS	2	89	1035	5	1.11997580528259	0	0	0	0
LDL	UKBB	EAS	2	97	2248	5	3.36036133766174	0	0	0	0
LDL	UKBB	EAS	2	99	1085	5	1.76163101196289	0	0	0	0
LDL	UKBB	EAS	2	100	994	5	2.46042847633362	0	0	0	0
LDL	UKBB	EAS	2	115	2671	5	3.85511708259583	0	0	0	0
LDL	UKBB	EAS	2	121	2140	5	3.31303119659424	0	0	0	0
LDL	UKBB	EAS	2	122	954	5	1.28629326820374	0	0	0	0
LDL	UKBB	EAS	2	124	1728	5	2.41199064254761	0	0	0	0
LDL	UKBB	EAS	2	127	3161	5	5.16417169570923	0	0	0	0
LDL	UKBB	EAS	2	128	2387	5	3.49857521057129	0	0	0	0
LDL	UKBB	EAS	2	130	276	5	0.650999546051025	0	0	0	0
LDL	UKBB	EAS	2	131	87	5	0.535623550415039	0	0	0	0
LDL	UKBB	EAS	2	138	2245	5	3.00982284545898	0	0	0	0
LDL	UKBB	EAS	2	145	1122	5	1.03046274185181	0	0	0	0
LDL	UKBB	EAS	2	146	2762	5	4.23788547515869	0	0	0	0
LDL	UKBB	EAS	2	147	4142	5	8.76603102684021	0	0	0	0
LDL	UKBB	EAS	2	152	1265	5	1.53069829940796	0	0	0	0
LDL	UKBB	EAS	2	162	739	5	1.70349192619324	0	0	0	0
LDL	UKBB	EAS	2	166	3739	5	7.35921335220337	0	0	0	0
LDL	UKBB	EAS	2	168	1553	5	2.7075309753418	0	0	0	0
LDL	UKBB	EAS	2	172	551	5	1.50043916702271	0	0	0	0
LDL	UKBB	EAS	2	177	2239	5	4.44878816604614	0	0	0	0
LDL	UKBB	EAS	2	181	2219	5	3.82606363296509	0	0	0	0
LDL	UKBB	EAS	2	184	3330	5	5.86644554138184	0	0	0	0
LDL	UKBB	EAS	2	192	2373	5	3.24952411651611	0	0	0	0
LDL	UKBB	EAS	2	198	1150	5	1.23692107200623	0	0	0	0
LDL	UKBB	EAS	2	199	2230	5	3.20660901069641	0	0	0	0
LDL	UKBB	EAS	2	205	978	5	1.34230589866638	0	0	0	0
LDL	UKBB	EAS	2	208	2639	5	4.25346040725708	0	0	0	0
LDL	UKBB	EAS	2	212	1817	5	3.38722562789917	0	0	0	0
LDL	UKBB	EAS	2	213	3643	5	6.49720239639282	0	0	0	0
LDL	UKBB	EAS	2	217	881	5	1.12881302833557	0	0	0	0
LDL	UKBB	EAS	2	232	983	5	1.7410728931427	0	0	0	0
LDL	UKBB	EAS	2	237	1452	5	1.76503920555115	0	0	0	0
LDL	UKBB	EAS	2	240	1469	5	1.30239605903625	0	0	0	0
LDL	UKBB	EAS	2	242	1598	5	2.02221608161926	0	0	0	0
LDL	UKBB	EAS	2	250	3445	5	5.75338411331177	0	0	0	0
LDL	UKBB	EAS	2	256	1597	5	2.05626487731934	0	0	0	0
LDL	UKBB	EAS	3	24	2007	5	2.75538802146912	0	0	0	0
LDL	UKBB	EAS	3	41	2430	5	3.64807343482971	0	0	0	0
LDL	UKBB	EAS	3	43	1621	5	2.82539534568787	0	0	0	0
LDL	UKBB	EAS	3	51	907	5	1.64033555984497	0	0	0	0
LDL	UKBB	EAS	3	56	1245	5	2.39299058914185	0	0	0	0
LDL	UKBB	EAS	3	70	2150	5	2.87390160560608	0	0	0	0
LDL	UKBB	EAS	3	71	1877	5	2.29967331886292	0	0	0	0
LDL	UKBB	EAS	3	83	3303	5	6.57508158683777	0	0	0	0
LDL	UKBB	EAS	3	88	2053	5	3.30324292182922	0	0	0	0
LDL	UKBB	EAS	3	89	1652	5	2.60680317878723	0	0	0	0
LDL	UKBB	EAS	3	104	4315	5	10.7235224246979	0	0	0	0
LDL	UKBB	EAS	3	107	1602	5	1.82492589950562	0	0	0	0
LDL	UKBB	EAS	3	109	3425	5	5.18494415283203	0	0	0	0
LDL	UKBB	EAS	3	120	1614	5	2.39197468757629	0	0	0	0
LDL	UKBB	EAS	3	121	1922	5	3.02153468132019	0	0	0	0
LDL	UKBB	EAS	3	122	493	5	1.28743743896484	0	0	0	0
LDL	UKBB	EAS	3	123	655	5	2.36785769462585	0	0	0	0
LDL	UKBB	EAS	3	125	2051	5	2.87352728843689	0	0	0	0
LDL	UKBB	EAS	3	127	2388	5	3.46456480026245	0	0	0	0
LDL	UKBB	EAS	3	128	703	5	1.3605375289917	0	0	0	0
LDL	UKBB	EAS	3	129	1107	5	1.65453171730042	0	0	0	0
LDL	UKBB	EAS	3	132	2595	5	3.23155617713928	0	0	0	0
LDL	UKBB	EAS	3	135	1926	5	2.45553803443909	0	0	0	0
LDL	UKBB	EAS	3	140	1968	5	2.5787076950073198	0	0	0	0
LDL	UKBB	EAS	3	145	2318	5	2.97847461700439	0	0	0	0
LDL	UKBB	EAS	3	148	1815	5	2.35958075523376	0	0	0	0
LDL	UKBB	EAS	3	149	1602	5	2.31742835044861	0	0	0	0
LDL	UKBB	EAS	3	150	1590	5	2.73053407669067	0	0	0	0
LDL	UKBB	EAS	3	154	575	5	1.00531554222107	0	0	0	0
LDL	UKBB	EAS	3	155	1771	5	2.21788597106934	0	0	0	0
LDL	UKBB	EAS	3	158	2350	5	3.35976481437683	0	0	0	0
LDL	UKBB	EAS	3	159	1618	5	1.85373759269714	0	0	0	0
LDL	UKBB	EAS	3	161	2536	5	3.14982843399048	0	0	0	0
LDL	UKBB	EAS	3	165	2273	5	3.65824604034424	0	0	0	0
LDL	UKBB	EAS	3	166	4193	5	11.4887218475342	0	0	0	0
LDL	UKBB	EAS	3	172	1346	5	2.18731236457825	0	0	0	0
LDL	UKBB	EAS	3	173	722	5	1.35485482215881	0	0	0	0
LDL	UKBB	EAS	3	175	606	5	1.03932571411133	0	0	0	0
LDL	UKBB	EAS	3	186	2333	5	3.93203926086426	0	0	0	0
LDL	UKBB	EAS	3	190	1220	5	1.91745066642761	0	0	0	0
LDL	UKBB	EAS	3	195	3951	5	9.22910952568054	0	0	0	0
LDL	UKBB	EAS	3	214	2108	5	2.48595452308655	0	0	0	0
LDL	UKBB	EAS	3	216	913	5	1.13054156303406	0	0	0	0
LDL	UKBB	EAS	4	1	4518	5	11.4330468177795	0	0	0	0
LDL	UKBB	EAS	4	15	768	5	1.17353129386902	0	0	0	0
LDL	UKBB	EAS	4	19	647	5	1.79746413230896	0	0	0	0
LDL	UKBB	EAS	4	21	3560	5	7.75753211975098	0	0	0	0
LDL	UKBB	EAS	4	28	1887	5	2.60043168067932	0	0	0	0
LDL	UKBB	EAS	4	30	1296	5	1.96554183959961	0	0	0	0
LDL	UKBB	EAS	4	42	324	5	0.937455892562866	0	0	0	0
LDL	UKBB	EAS	4	43	855	5	1.42775440216064	0	0	0	0
LDL	UKBB	EAS	4	55	1870	5	2.08990287780762	0	0	0	0
LDL	UKBB	EAS	4	57	241	5	1.07143616676331	0	0	0	0
LDL	UKBB	EAS	4	64	3072	5	6.26442384719849	0	0	0	0
LDL	UKBB	EAS	4	65	1235	5	2.27766799926758	0	0	0	0
LDL	UKBB	EAS	4	66	1467	5	1.86092925071716	0	0	0	0
LDL	UKBB	EAS	4	71	946	5	1.75786852836609	0	0	0	0
LDL	UKBB	EAS	4	79	1499	5	2.37298488616943	0	0	0	0
LDL	UKBB	EAS	4	80	2115	5	3.84592008590698	0	0	0	0
LDL	UKBB	EAS	4	84	1787	5	2.8475079536438	0	0	0	0
LDL	UKBB	EAS	4	85	764	5	1.35519194602966	0	0	0	0
LDL	UKBB	EAS	4	86	183	5	1.33774709701538	0	1	0	0
LDL	UKBB	EAS	4	87	2908	5	6.51126027107239	0	0	0	0
LDL	UKBB	EAS	4	90	1660	5	2.39467597007751	0	0	0	0
LDL	UKBB	EAS	4	92	1496	5	1.37633490562439	0	0	0	0
LDL	UKBB	EAS	4	101	2081	5	2.68482661247253	0	0	0	0
LDL	UKBB	EAS	4	113	1919	5	2.03510975837708	0	0	0	0
LDL	UKBB	EAS	4	115	991	5	1.29039406776428	0	0	0	0
LDL	UKBB	EAS	4	116	1376	5	2.48225402832031	0	0	0	0
LDL	UKBB	EAS	4	117	1906	5	2.29863786697388	0	0	0	0
LDL	UKBB	EAS	4	121	1720	5	1.7066788673400901	0	0	0	0
LDL	UKBB	EAS	4	122	808	5	1.55132460594177	0	0	0	0
LDL	UKBB	EAS	4	129	2162	5	3.2708888053894	0	0	0	0
LDL	UKBB	EAS	4	130	2345	5	3.14922523498535	0	0	0	0
LDL	UKBB	EAS	4	134	3520	5	6.9830482006073	0	0	0	0
LDL	UKBB	EAS	4	136	3061	5	5.74956345558167	0	0	0	0
LDL	UKBB	EAS	4	148	1308	5	1.74165797233582	0	0	0	0
LDL	UKBB	EAS	4	156	2937	5	6.44839429855347	0	0	0	0
LDL	UKBB	EAS	4	159	786	5	1.24218726158142	0	0	0	0
LDL	UKBB	EAS	4	161	617	5	0.935141563415527	0	0	0	0
LDL	UKBB	EAS	4	162	1466	5	1.95674014091492	0	0	0	0
LDL	UKBB	EAS	4	203	957	5	0.9628005027771	0	0	0	0
LDL	UKBB	EAS	5	6	891	5	1.17330145835876	0	0	0	0
LDL	UKBB	EAS	5	17	1094	5	2.02166128158569	0	0	0	0
LDL	UKBB	EAS	5	55	568	5	0.970468997955322	0	0	0	0
LDL	UKBB	EAS	5	64	2475	5	3.9014093875885	0	0	0	0
LDL	UKBB	EAS	5	69	878	5	1.08837628364563	0	0	0	0
LDL	UKBB	EAS	5	71	2858	5	4.20019149780273	0	0	0	0
LDL	UKBB	EAS	5	81	1428	5	2.47487163543701	0	0	0	0
LDL	UKBB	EAS	5	82	984	5	2.13538908958435	0	0	0	0
LDL	UKBB	EAS	5	84	365	5	2.42216777801514	0	0	0	0
LDL	UKBB	EAS	5	85	2509	5	6.43441843986511	0	0	0	0
LDL	UKBB	EAS	5	86	49	5	0.950492143630981	0	0	0	0
LDL	UKBB	EAS	5	109	1119	5	1.86512398719788	0	0	0	0
LDL	UKBB	EAS	5	127	3410	5	6.6282262802124	0	0	0	0
LDL	UKBB	EAS	5	130	2715	5	3.70450234413147	0	0	0	0
LDL	UKBB	EAS	5	134	1643	5	2.26957750320435	0	0	0	0
LDL	UKBB	EAS	5	144	1895	5	3.37930822372437	0	0	0	0
LDL	UKBB	EAS	5	146	2111	5	3.32752561569214	0	0	0	0
LDL	UKBB	EAS	5	147	1161	5	2.33979535102844	0	0	0	0
LDL	UKBB	EAS	5	156	1637	5	3.18469667434692	0	0	0	0
LDL	UKBB	EAS	5	157	886	5	1.21533751487732	0	0	0	0
LDL	UKBB	EAS	5	158	1314	5	2.13525629043579	0	0	0	0
LDL	UKBB	EAS	5	165	1169	5	1.97181820869446	0	0	0	0
LDL	UKBB	EAS	5	166	1936	5	1.99455547332764	0	0	0	0
LDL	UKBB	EAS	5	167	1341	5	2.03703856468201	0	0	0	0
LDL	UKBB	EAS	5	202	532	5	1.28074884414673	0	0	0	0
LDL	UKBB	EAS	5	207	1479	5	1.77483701705933	0	0	0	0
LDL	UKBB	EAS	6	19	1694	5	1.98815655708313	0	0	0	0
LDL	UKBB	EAS	6	20	1133	5	1.40254092216492	0	0	0	0
LDL	UKBB	EAS	6	25	1212	5	1.49399304389954	0	0	0	0
LDL	UKBB	EAS	6	27	1102	5	1.98280811309814	0	0	0	0
LDL	UKBB	EAS	6	34	1774	5	2.5476930141449	0	0	1	30
LDL	UKBB	EAS	6	35	544	5	1.34448003768921	0	0	0	0
LDL	UKBB	EAS	6	39	2821	5	3.85544896125793	0	0	0	0
LDL	UKBB	EAS	6	43	1695	5	2.5503978729248	0	0	0	0
LDL	UKBB	EAS	6	44	340	5	0.698275327682495	0	0	0	0
LDL	UKBB	EAS	6	47	2362	5	3.8419463634491	0	0	0	0
LDL	UKBB	EAS	6	51	3639	5	7.85521149635315	0	0	0	0
LDL	UKBB	EAS	6	53	991	5	1.46858286857605	0	0	0	0
LDL	UKBB	EAS	6	56	952	5	1.69549012184143	0	0	0	0
LDL	UKBB	EAS	6	58	1658	5	1.84477877616882	0	0	0	0
LDL	UKBB	EAS	6	63	1505	5	1.328284740448	0	0	0	0
LDL	UKBB	EAS	6	64	126	5	0.603155136108398	0	0	0	0
LDL	UKBB	EAS	6	65	506	5	1.0007586479187	0	0	0	0
LDL	UKBB	EAS	6	71	5462	5	17.3512649536133	0	0	0	0
LDL	UKBB	EAS	6	72	781	5	1.39306616783142	0	0	0	0
LDL	UKBB	EAS	6	73	297	5	1.64007139205933	0	0	0	0
LDL	UKBB	EAS	6	75	310	5	1.27861070632935	0	0	0	0
LDL	UKBB	EAS	6	76	3657	5	6.18391466140747	0	0	0	0
LDL	UKBB	EAS	6	87	2759	5	3.64557385444641	0	0	0	0
LDL	UKBB	EAS	6	88	5059	5	15.0537519454956	0	0	0	0
LDL	UKBB	EAS	6	100	37	5	1.28862547874451	0	0	0	0
LDL	UKBB	EAS	6	101	2058	5	2.99986886978149	0	0	1	13
LDL	UKBB	EAS	6	105	1901	5	2.52906036376953	0	0	0	0
LDL	UKBB	EAS	6	106	1726	5	2.65154457092285	0	0	0	0
LDL	UKBB	EAS	6	109	1662	5	2.41318416595459	0	0	0	0
LDL	UKBB	EAS	6	115	3781	5	7.08376884460449	0	0	0	0
LDL	UKBB	EAS	6	117	4080	5	7.95005893707275	0	0	0	0
LDL	UKBB	EAS	6	124	1893	5	2.42320704460144	0	0	0	0
LDL	UKBB	EAS	6	127	1192	5	0.995627164840698	0	0	0	0
LDL	UKBB	EAS	6	128	1930	5	3.39866971969604	0	0	0	0
LDL	UKBB	EAS	6	134	1270	5	2.18965864181519	0	0	0	0
LDL	UKBB	EAS	6	136	888	5	1.08385992050171	0	0	0	0
LDL	UKBB	EAS	6	140	1330	5	2.27812385559082	0	0	0	0
LDL	UKBB	EAS	6	154	1536	5	1.93107080459595	0	0	0	0
LDL	UKBB	EAS	6	158	1566	5	2.10264134407043	0	0	0	0
LDL	UKBB	EAS	6	160	2009	5	2.39823293685913	0	0	0	0
LDL	UKBB	EAS	6	168	2061	5	3.9227294921875	0	0	0	0
LDL	UKBB	EAS	6	169	3480	5	9.02521157264709	0	0	0	0
LDL	UKBB	EAS	6	170	708	5	0.94598913192749	0	0	0	0
LDL	UKBB	EAS	6	180	246	5	0.59118914604187	0	0	0	0
LDL	UKBB	EAS	6	183	615	5	1.28323197364807	0	0	0	0
LDL	UKBB	EAS	6	187	1325	5	4.39677238464355	0	0	0	0
LDL	UKBB	EAS	7	3	862	5	1.23391246795654	0	0	0	0
LDL	UKBB	EAS	7	5	1742	5	1.98287796974182	0	0	0	0
LDL	UKBB	EAS	7	6	730	5	1.40395617485046	0	0	0	0
LDL	UKBB	EAS	7	11	628	5	1.48113393783569	0	0	0	0
LDL	UKBB	EAS	7	12	2161	5	4.73368549346924	0	0	0	0
LDL	UKBB	EAS	7	13	886	5	1.15480399131775	0	0	0	0
LDL	UKBB	EAS	7	33	2438	5	3.42625141143799	0	0	0	0
LDL	UKBB	EAS	7	37	2313	5	4.62897729873657	0	0	0	0
LDL	UKBB	EAS	7	41	1873	5	1.84540462493896	0	0	0	0
LDL	UKBB	EAS	7	42	2010	5	3.78896713256836	0	0	0	0
LDL	UKBB	EAS	7	44	368	5	1.33891534805298	0	0	0	0
LDL	UKBB	EAS	7	50	1096	5	1.57548570632935	0	0	0	0
LDL	UKBB	EAS	7	58	1729	5	2.15330195426941	0	0	0	0
LDL	UKBB	EAS	7	66	758	5	0.901588201522827	0	0	0	0
LDL	UKBB	EAS	7	67	4235	5	11.0093815326691	0	0	0	0
LDL	UKBB	EAS	7	74	922	5	1.49712252616882	0	0	0	0
LDL	UKBB	EAS	7	85	1641	5	2.05141496658325	0	0	0	0
LDL	UKBB	EAS	7	88	2777	5	4.91320300102234	0	0	0	0
LDL	UKBB	EAS	7	89	1810	5	2.29761266708374	0	0	0	0
LDL	UKBB	EAS	7	95	1237	5	1.74870800971985	0	0	0	0
LDL	UKBB	EAS	7	99	2622	5	6.01157021522522	0	0	0	0
LDL	UKBB	EAS	7	103	1394	5	1.85952186584473	0	0	0	0
LDL	UKBB	EAS	7	109	1562	5	2.46534276008606	0	0	0	0
LDL	UKBB	EAS	7	111	1805	5	2.36737775802612	0	0	0	0
LDL	UKBB	EAS	7	112	1113	5	1.40832781791687	0	0	0	0
LDL	UKBB	EAS	7	113	2117	5	3.93674278259277	0	0	0	0
LDL	UKBB	EAS	7	114	3628	5	7.31980776786804	0	0	0	0
LDL	UKBB	EAS	7	119	1173	5	1.80322933197021	0	0	0	0
LDL	UKBB	EAS	7	132	3946	5	7.16819000244141	0	0	0	0
LDL	UKBB	EAS	7	133	2714	5	3.71263456344604	0	0	0	0
LDL	UKBB	EAS	7	134	954	5	1.59042191505432	0	0	0	0
LDL	UKBB	EAS	7	138	2672	5	5.91641688346863	0	0	0	0
LDL	UKBB	EAS	7	139	549	5	1.36418199539185	0	0	0	0
LDL	UKBB	EAS	7	141	2527	5	4.43802309036255	0	0	0	0
LDL	UKBB	EAS	7	147	680	5	0.982359409332275	0	0	0	0
LDL	UKBB	EAS	7	152	677	5	1.50968337059021	0	0	0	0
LDL	UKBB	EAS	7	162	2860	5	4.26443481445312	0	0	0	0
LDL	UKBB	EAS	7	176	359	5	1.00407862663269	0	0	0	0
LDL	UKBB	EAS	7	177	149	5	0.651912450790405	0	0	0	0
LDL	UKBB	EAS	7	187	2657	5	3.62356996536255	0	0	0	0
LDL	UKBB	EAS	8	17	1595	5	1.79502248764038	0	0	0	0
LDL	UKBB	EAS	8	29	3765	5	9.67015480995178	0	0	0	0
LDL	UKBB	EAS	8	36	430	5	0.893470287322998	0	0	0	0
LDL	UKBB	EAS	8	39	1471	5	2.23038458824158	0	0	0	0
