pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	UKBB	EUR	1	2	820	5	2.11998057365417	0	0	0	0
LDL	UKBB	EUR	1	4	1277	5	2.1844048500061	0	0	0	0
LDL	UKBB	EUR	1	17	3343	5	17.6345102787018	0	0	0	0
LDL	UKBB	EUR	1	19	2679	5	5.78689098358154	0	0	1	4
LDL	UKBB	EUR	1	23	994	5	1.76792621612549	0	0	0	0
LDL	UKBB	EUR	1	35	3121	5	14.0762219429016	0	1	1	14
LDL	UKBB	EUR	1	40	1268	5	1.70882511138916	0	1	0	0
LDL	UKBB	EUR	1	48	1233	5	2.29975414276123	1	1	3	22
LDL	UKBB	EUR	1	49	1066	5	1.94393706321716	0	0	0	0
LDL	UKBB	EUR	1	51	1253	5	2.31957864761353	0	0	1	21
LDL	UKBB	EUR	1	52	3176	5	1096.99672913551	0	1	2	29
LDL	UKBB	EUR	1	53	3012	5	10.6868798732758	0	0	0	0
LDL	UKBB	EUR	1	58	3188	5	13.4556200504303	0	0	0	0
LDL	UKBB	EUR	1	70	2543	5	4.87534594535828	0	0	0	0
LDL	UKBB	EUR	1	73	3261	5	14.5185182094574	0	0	0	0
LDL	UKBB	EUR	1	75	4012	5	33.3789007663727	0	0	2	50
LDL	UKBB	EUR	1	76	1869	5	2.03134894371033	0	1	0	0
LDL	UKBB	EUR	1	78	1244	5	2.37907147407532	0	0	0	0
LDL	UKBB	EUR	1	80	1184	5	2.19368386268616	0	0	0	0
LDL	UKBB	EUR	1	81	889	5	1.57556867599487	0	0	0	0
LDL	UKBB	EUR	1	82	1970	5	2.03419637680054	0	0	0	0
LDL	UKBB	EUR	1	83	2368	5	81.4345211982727	3	3	4	11
LDL	UKBB	EUR	1	84	3556	5	1450.52061414719	1	1	1	1
LDL	UKBB	EUR	1	85	1239	5	1.95311546325684	1	1	1	1
LDL	UKBB	EUR	1	88	1969	5	2.09640336036682	0	0	0	0
LDL	UKBB	EUR	1	89	1959	5	2.27476096153259	0	0	0	0
LDL	UKBB	EUR	1	92	2564	5	5.4987165927887	0	0	0	0
LDL	UKBB	EUR	1	94	675	5	1.93489170074463	0	0	0	0
LDL	UKBB	EUR	1	96	2274	5	2.98602867126465	1	1	2	7
LDL	UKBB	EUR	1	97	2748	5	8.65991234779358	0	0	1	32
LDL	UKBB	EUR	1	100	2143	5	3.68944430351257	0	0	0	0
LDL	UKBB	EUR	1	109	2991	5	13.6009240150452	0	0	0	0
LDL	UKBB	EUR	1	124	3741	5	20.6739127635956	0	0	0	0
LDL	UKBB	EUR	1	125	4466	5	1389.88486623764	0	0	0	0
LDL	UKBB	EUR	1	136	2553	5	7.52078676223755	0	0	1	23
LDL	UKBB	EUR	1	138	3465	5	18.4559097290039	0	1	1	2
LDL	UKBB	EUR	1	139	893	5	357.121850967407	0	0	0	0
LDL	UKBB	EUR	1	141	1476	5	8.45107054710388	0	0	0	0
LDL	UKBB	EUR	1	145	1711	5	5.42613434791565	0	0	0	0
LDL	UKBB	EUR	1	147	2696	5	15.6187143325806	0	0	0	0
LDL	UKBB	EUR	1	150	2630	5	22.8787932395935	1	1	1	1
LDL	UKBB	EUR	1	151	3285	5	10.8123898506165	0	0	0	0
LDL	UKBB	EUR	1	154	3946	5	27.8335773944855	0	0	1	32
LDL	UKBB	EUR	1	158	2620	5	7.49223446846008	0	1	0	0
LDL	UKBB	EUR	1	162	2107	5	2.80705547332764	0	0	0	0
LDL	UKBB	EUR	1	163	1937	5	3.30529737472534	0	0	0	0
LDL	UKBB	EUR	1	168	2971	5	22.5237786769867	0	0	0	0
LDL	UKBB	EUR	1	169	4058	5	26.2375068664551	0	0	0	0
LDL	UKBB	EUR	1	175	3927	5	20.8543486595154	0	0	0	0
LDL	UKBB	EUR	1	182	3512	5	25.4336037635803	0	0	0	0
LDL	UKBB	EUR	1	183	3699	5	19.0083026885986	0	0	1	96
