pheno	pid	chromosome	block	UKBB_nCS	GLGC_nCS	UKBB_in_GLGC	GLGC_in_UKBB
LDL	EAS	1	2	0	0	0	0
LDL	EAS	1	4	0	0	0	0
LDL	EAS	1	17	0	0	0	0
LDL	EAS	1	19	0	0	0	0
LDL	EAS	1	23	0	0	0	0
LDL	EAS	1	35	0	0	0	0
LDL	EAS	1	40	0	0	0	0
LDL	EAS	1	48	0	0	0	0
LDL	EAS	1	49	0	0	0	0
LDL	EAS	1	51	0	1	0	0
LDL	EAS	1	52	0	0	0	0
LDL	EAS	1	53	0	0	0	0
LDL	EAS	1	58	0	0	0	0
LDL	EAS	1	70	0	0	0	0
LDL	EAS	1	73	0	0	0	0
LDL	EAS	1	75	0	0	0	0
LDL	EAS	1	76	0	0	0	0
LDL	EAS	1	78	0	0	0	0
LDL	EAS	1	80	0	0	0	0
LDL	EAS	1	81	0	0	0	0
LDL	EAS	1	82	0	0	0	0
LDL	EAS	1	83	0	0	0	0
LDL	EAS	1	84	0	2	0	0
LDL	EAS	1	85	0	0	0	0
LDL	EAS	1	88	0	0	0	0
LDL	EAS	1	89	0	0	0	0
LDL	EAS	1	92	0	0	0	0
LDL	EAS	1	94	0	0	0	0
LDL	EAS	1	96	0	0	0	0
LDL	EAS	1	97	0	1	0	0
LDL	EAS	1	100	0	0	0	0
LDL	EAS	1	109	0	0	0	0
LDL	EAS	1	124	0	0	0	0
LDL	EAS	1	125	0	0	0	0
LDL	EAS	1	136	0	0	0	0
LDL	EAS	1	138	0	1	0	0
LDL	EAS	1	139	0	0	0	0
LDL	EAS	1	141	0	0	0	0
LDL	EAS	1	145	0	0	0	0
LDL	EAS	1	147	0	0	0	0
LDL	EAS	1	150	0	0	0	0
LDL	EAS	1	151	0	0	0	0
LDL	EAS	1	154	0	0	0	0
LDL	EAS	1	158	0	0	0	0
LDL	EAS	1	162	0	0	0	0
LDL	EAS	1	163	0	0	0	0
LDL	EAS	1	168	0	0	0	0
LDL	EAS	1	169	0	0	0	0
LDL	EAS	1	175	0	0	0	0
LDL	EAS	1	182	0	0	0	0
LDL	EAS	1	183	0	0	0	0
LDL	EAS	1	187	0	0	0	0
LDL	EAS	1	188	0	0	0	0
LDL	EAS	1	189	0	0	0	0
LDL	EAS	1	191	0	0	0	0
LDL	EAS	1	192	0	0	0	0
LDL	EAS	1	201	0	0	0	0
LDL	EAS	1	202	0	0	0	0
LDL	EAS	1	205	0	0	0	0
LDL	EAS	1	213	0	0	0	0
LDL	EAS	1	214	0	0	0	0
LDL	EAS	1	216	0	0	0	0
LDL	EAS	1	221	0	0	0	0
LDL	EAS	1	223	0	0	0	0
LDL	EAS	1	226	0	0	0	0
LDL	EAS	1	233	0	0	0	0
LDL	EAS	1	234	0	1	0	0
LDL	EAS	1	238	0	0	0	0
LDL	EAS	1	239	0	0	0	0
LDL	EAS	1	252	0	2	0	0
LDL	EAS	1	253	0	0	0	0
LDL	EAS	1	254	0	0	0	0
LDL	EAS	1	255	0	0	0	0
LDL	EAS	1	280	0	0	0	0
LDL	EAS	2	6	0	0	0	0
LDL	EAS	2	19	0	0	0	0
LDL	EAS	2	21	0	0	0	0
LDL	EAS	2	27	0	0	0	0
LDL	EAS	2	34	0	0	0	0
LDL	EAS	2	37	0	0	0	0
LDL	EAS	2	38	0	0	0	0
LDL	EAS	2	39	0	0	0	0
LDL	EAS	2	40	0	0	0	0
LDL	EAS	2	41	0	0	0	0
LDL	EAS	2	43	0	0	0	0
LDL	EAS	2	44	0	2	0	0
LDL	EAS	2	45	0	0	0	0
LDL	EAS	2	46	0	0	0	0
LDL	EAS	2	47	0	0	0	0
LDL	EAS	2	48	0	0	0	0
LDL	EAS	2	49	0	0	0	0
LDL	EAS	2	50	0	0	0	0
LDL	EAS	2	51	0	0	0	0
LDL	EAS	2	53	0	0	0	0
LDL	EAS	2	69	0	0	0	0
LDL	EAS	2	71	0	0	0	0
LDL	EAS	2	72	0	0	0	0
LDL	EAS	2	74	0	0	0	0
LDL	EAS	2	75	0	0	0	0
LDL	EAS	2	77	0	0	0	0
LDL	EAS	2	84	0	0	0	0
LDL	EAS	2	86	0	0	0	0
LDL	EAS	2	87	0	0	0	0
LDL	EAS	2	88	0	0	0	0
LDL	EAS	2	89	0	0	0	0
LDL	EAS	2	97	0	0	0	0
LDL	EAS	2	99	0	0	0	0
LDL	EAS	2	100	0	0	0	0
LDL	EAS	2	115	0	0	0	0
LDL	EAS	2	121	0	0	0	0
LDL	EAS	2	122	0	0	0	0
LDL	EAS	2	124	0	0	0	0
LDL	EAS	2	127	0	0	0	0
LDL	EAS	2	128	0	0	0	0
LDL	EAS	2	130	0	0	0	0
LDL	EAS	2	131	0	0	0	0
LDL	EAS	2	138	0	0	0	0
LDL	EAS	2	145	0	0	0	0
LDL	EAS	2	146	0	0	0	0
LDL	EAS	2	147	0	0	0	0
LDL	EAS	2	152	0	0	0	0
LDL	EAS	2	162	0	0	0	0
LDL	EAS	2	166	0	0	0	0
LDL	EAS	2	168	0	0	0	0
LDL	EAS	2	172	0	0	0	0
LDL	EAS	2	177	0	0	0	0
LDL	EAS	2	181	0	0	0	0
LDL	EAS	2	184	0	0	0	0
LDL	EAS	2	192	0	0	0	0
LDL	EAS	2	198	0	0	0	0
LDL	EAS	2	199	0	0	0	0
LDL	EAS	2	205	0	0	0	0
LDL	EAS	2	208	0	0	0	0
LDL	EAS	2	212	0	0	0	0
LDL	EAS	2	213	0	0	0	0
LDL	EAS	2	217	0	0	0	0
LDL	EAS	2	232	0	0	0	0
LDL	EAS	2	237	0	0	0	0
LDL	EAS	2	240	0	0	0	0
LDL	EAS	2	242	0	0	0	0
LDL	EAS	2	250	0	0	0	0
LDL	EAS	2	256	0	0	0	0
LDL	EAS	3	24	0	0	0	0
LDL	EAS	3	41	0	0	0	0
LDL	EAS	3	43	0	0	0	0
LDL	EAS	3	51	0	0	0	0
LDL	EAS	3	56	0	0	0	0
LDL	EAS	3	70	0	0	0	0
LDL	EAS	3	71	0	0	0	0
LDL	EAS	3	83	0	0	0	0
LDL	EAS	3	88	0	0	0	0
LDL	EAS	3	89	0	0	0	0
LDL	EAS	3	104	0	0	0	0
LDL	EAS	3	107	0	0	0	0
LDL	EAS	3	109	0	0	0	0
LDL	EAS	3	120	0	0	0	0
LDL	EAS	3	121	0	0	0	0
LDL	EAS	3	122	0	0	0	0
LDL	EAS	3	123	0	0	0	0
LDL	EAS	3	125	0	0	0	0
LDL	EAS	3	127	0	0	0	0
LDL	EAS	3	128	0	0	0	0
LDL	EAS	3	129	0	0	0	0
LDL	EAS	3	132	0	0	0	0
LDL	EAS	3	135	0	0	0	0
LDL	EAS	3	140	0	0	0	0
LDL	EAS	3	145	0	0	0	0
LDL	EAS	3	148	0	0	0	0
LDL	EAS	3	149	0	0	0	0
LDL	EAS	3	150	0	0	0	0
LDL	EAS	3	154	0	0	0	0
LDL	EAS	3	155	0	0	0	0
LDL	EAS	3	158	0	0	0	0
LDL	EAS	3	159	0	0	0	0
LDL	EAS	3	161	0	0	0	0
LDL	EAS	3	165	0	0	0	0
LDL	EAS	3	166	0	0	0	0
LDL	EAS	3	172	0	0	0	0
LDL	EAS	3	173	0	0	0	0
LDL	EAS	3	175	0	0	0	0
LDL	EAS	3	186	0	0	0	0
LDL	EAS	3	190	0	0	0	0
LDL	EAS	3	195	0	0	0	0
LDL	EAS	3	214	0	0	0	0
LDL	EAS	3	216	0	0	0	0
LDL	EAS	4	1	0	1	0	0
LDL	EAS	4	15	0	0	0	0
LDL	EAS	4	19	0	0	0	0
LDL	EAS	4	21	0	0	0	0
LDL	EAS	4	28	0	0	0	0
LDL	EAS	4	30	0	0	0	0
LDL	EAS	4	42	0	0	0	0
LDL	EAS	4	43	0	0	0	0
LDL	EAS	4	55	0	0	0	0
LDL	EAS	4	57	0	0	0	0
LDL	EAS	4	64	0	0	0	0
LDL	EAS	4	65	0	0	0	0
LDL	EAS	4	66	0	0	0	0
LDL	EAS	4	71	0	0	0	0
LDL	EAS	4	79	0	0	0	0
LDL	EAS	4	80	0	1	0	0
LDL	EAS	4	84	0	0	0	0
LDL	EAS	4	85	0	0	0	0
LDL	EAS	4	86	0	0	0	0
LDL	EAS	4	87	0	0	0	0
LDL	EAS	4	90	0	0	0	0
