pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	EAS	1	1	81	5	0.722457647323608	0	0	0	0
TC	META	EAS	1	2	130	5	0.78791332244873	0	0	0	0
TC	META	EAS	1	4	446	5	0.929810285568237	0	0	0	0
TC	META	EAS	1	17	1843	5	3.90040040016174	0	0	0	0
TC	META	EAS	1	19	1424	5	2.29888534545898	0	0	0	0
TC	META	EAS	1	35	1476	5	2.56077408790588	0	0	1	19
TC	META	EAS	1	40	721	5	2.28675127029419	0	0	0	0
TC	META	EAS	1	48	664	5	1.78428936004639	0	0	0	0
TC	META	EAS	1	49	514	5	1.06333947181702	0	0	0	0
TC	META	EAS	1	51	582	5	1.67768216133118	0	0	1	41
TC	META	EAS	1	52	1614	5	2.81437802314758	0	0	0	0
TC	META	EAS	1	53	1238	5	1.98460292816162	0	0	1	8
TC	META	EAS	1	58	1604	5	3.73460674285889	0	0	0	0
TC	META	EAS	1	67	1285	5	2.16076803207397	0	0	0	0
TC	META	EAS	1	70	1434	5	2.15664196014404	0	0	0	0
TC	META	EAS	1	73	1710	5	3.58736109733582	0	0	0	0
TC	META	EAS	1	74	1519	5	2.24540853500366	0	0	0	0
TC	META	EAS	1	75	2502	5	10.9382975101471	0	0	0	0
TC	META	EAS	1	76	1364	5	2.57379460334778	0	0	0	0
TC	META	EAS	1	80	855	5	1.8338029384613	0	0	0	0
TC	META	EAS	1	81	557	5	1.68176174163818	0	0	0	0
TC	META	EAS	1	82	967	5	2.11882400512695	0	0	0	0
TC	META	EAS	1	83	1594	5	264.822058916092	0	0	1	17
TC	META	EAS	1	84	2380	5	897.187564849854	0	1	4	48
TC	META	EAS	1	85	799	5	1.46914911270142	0	0	1	22
TC	META	EAS	1	89	1230	5	2.21809458732605	0	0	0	0
TC	META	EAS	1	92	1453	5	2.83372020721436	0	0	0	0
TC	META	EAS	1	94	306	5	1.67486953735352	0	0	0	0
TC	META	EAS	1	95	317	5	1.68203282356262	0	0	0	0
TC	META	EAS	1	96	1287	5	2.90409636497498	0	0	0	0
TC	META	EAS	1	97	1460	5	3.15697383880615	0	0	1	22
TC	META	EAS	1	100	1545	5	4.54942059516907	0	0	1	27
TC	META	EAS	1	109	1716	5	3.6281316280365	0	0	1	22
TC	META	EAS	1	124	2075	5	5.51210117340088	0	0	0	0
TC	META	EAS	1	125	2314	5	13.2370765209198	0	0	2	69
TC	META	EAS	1	127	1265	5	3.0056095123291	0	0	0	0
TC	META	EAS	1	136	1306	5	6.34599781036377	0	0	0	0
TC	META	EAS	1	138	1529	5	297.732622623444	0	1	1	2
TC	META	EAS	1	139	354	5	1.69762992858887	0	0	0	0
TC	META	EAS	1	140	699	5	1.99375009536743	0	0	0	0
TC	META	EAS	1	141	765	5	0.917361974716187	0	0	0	0
TC	META	EAS	1	144	759	5	5.64043593406677	0	0	0	0
TC	META	EAS	1	145	857	5	2.60646176338196	0	0	0	0
TC	META	EAS	1	150	1536	5	4.33869862556458	0	0	0	0
TC	META	EAS	1	151	2238	5	7.10158967971802	0	0	0	0
TC	META	EAS	1	153	1674	5	3.39538645744324	0	0	0	0
TC	META	EAS	1	154	2213	5	5.82375979423523	0	0	0	0
TC	META	EAS	1	156	1278	5	5.62516593933105	0	0	0	0
TC	META	EAS	1	158	942	5	3.70363283157349	0	0	0	0
TC	META	EAS	1	162	1113	5	5.594731092453	0	0	0	0
TC	META	EAS	1	168	1564	5	7.00906801223755	0	0	0	0
TC	META	EAS	1	169	2617	5	7.23261523246765	0	0	0	0
TC	META	EAS	1	175	2085	5	12.5186183452606	0	0	0	0
TC	META	EAS	1	182	2046	5	8.04731559753418	0	0	0	0
TC	META	EAS	1	183	2136	5	10.8982555866241	0	0	0	0
TC	META	EAS	1	185	579	5	2.77888202667236	0	0	0	0
TC	META	EAS	1	187	1445	5	3.15723919868469	0	0	0	0
TC	META	EAS	1	188	1835	5	6.18580174446106	0	0	0	0
TC	META	EAS	1	192	1664	5	5.87358236312866	0	0	0	0
TC	META	EAS	1	201	1726	5	8.74713897705078	0	0	2	95
TC	META	EAS	1	202	1526	5	4.95240545272827	0	0	0	0
TC	META	EAS	1	205	630	5	2.27993035316467	0	0	0	0
TC	META	EAS	1	209	498	5	2.73107433319092	0	0	1	14
TC	META	EAS	1	213	865	5	1.99687910079956	0	0	0	0
TC	META	EAS	1	221	1649	5	6.86582899093628	0	0	0	0
TC	META	EAS	1	223	1710	5	9.85240912437439	0	0	0	0
TC	META	EAS	1	224	1119	5	3.29508996009827	0	0	0	0
TC	META	EAS	1	226	665	5	1.32949233055115	0	0	0	0
TC	META	EAS	1	229	1438	5	5.87653160095215	0	0	0	0
TC	META	EAS	1	233	2143	5	10.234254360199	0	0	0	0
TC	META	EAS	1	234	2539	5	14.5057196617126	1	1	1	1
TC	META	EAS	1	235	1542	5	5.14570069313049	0	0	0	0
TC	META	EAS	1	238	3472	5	16.0062296390533	0	0	0	0
TC	META	EAS	1	239	979	5	3.47585344314575	0	0	0	0
TC	META	EAS	1	240	3791	5	26.7944548130035	0	0	0	0
TC	META	EAS	1	252	662	5	17.9016904830933	0	0	4	30
TC	META	EAS	1	253	176	5	1.80277490615845	0	1	0	0
TC	META	EAS	1	254	1130	5	3.2225079536438	0	0	1	5
TC	META	EAS	1	255	808	5	5.38715791702271	0	0	0	0
TC	META	EAS	1	257	1008	5	3.89518928527832	0	0	0	0
TC	META	EAS	1	280	2869	5	12.704683303833	0	0	0	0
TC	META	EAS	1	281	1751	5	6.69155263900757	0	0	0	0
TC	META	EAS	2	6	929	5	2.52003169059753	0	0	0	0
TC	META	EAS	2	21	333	5	3.33772134780884	0	0	0	0
TC	META	EAS	2	31	425	5	2.51316165924072	0	0	0	0
TC	META	EAS	2	32	654	5	2.64220809936523	0	0	0	0
TC	META	EAS	2	37	672	5	3.02285242080688	0	0	0	0
TC	META	EAS	2	38	1629	5	4.9946653842926	0	0	0	0
TC	META	EAS	2	39	735	5	2.24958443641663	0	0	0	0
TC	META	EAS	2	40	2233	5	10.8593320846558	0	1	0	0
TC	META	EAS	2	41	962	5	2.74935603141785	0	1	2	46
TC	META	EAS	2	42	73	5	18.0033869743347	0	1	0	0
TC	META	EAS	2	43	183	5	2.51700305938721	0	1	1	2
TC	META	EAS	2	44	721	5	365.193343639374	1	1	4	51
TC	META	EAS	2	45	1688	5	377.851387739182	0	1	0	0
TC	META	EAS	2	46	855	5	4.71886873245239	0	0	0	0
TC	META	EAS	2	47	2182	5	6.93768644332886	0	0	0	0
TC	META	EAS	2	48	1172	5	2.76909518241882	0	0	0	0
TC	META	EAS	2	49	1348	5	729.400298833847	0	0	1	4
TC	META	EAS	2	50	1271	5	5.21398711204529	0	0	0	0
TC	META	EAS	2	51	1408	5	5.024498462677	0	0	0	0
TC	META	EAS	2	53	1072	5	3.22680449485779	0	0	0	0
TC	META	EAS	2	55	2707	5	13.2977666854858	0	0	0	0
TC	META	EAS	2	56	135	5	2.51762247085571	0	0	0	0
TC	META	EAS	2	66	3282	5	14.2119710445404	0	0	0	0
TC	META	EAS	2	69	1883	5	11.0565235614777	0	0	0	0
TC	META	EAS	2	71	1203	5	4.48896861076355	0	0	0	0
TC	META	EAS	2	72	2370	5	10.3887310028076	0	0	0	0
TC	META	EAS	2	74	744	5	2.52439093589783	0	0	0	0
TC	META	EAS	2	75	983	5	3.48968195915222	0	0	0	0
TC	META	EAS	2	77	870	5	4.38935828208923	0	0	0	0
TC	META	EAS	2	84	5250	5	43.3010292053223	0	0	0	0
TC	META	EAS	2	88	5283	5	38.0280725955963	0	0	1	30
TC	META	EAS	2	89	983	5	4.34718084335327	0	0	0	0
TC	META	EAS	2	97	2180	5	8.77242827415466	0	0	0	0
TC	META	EAS	2	99	889	5	2.46326208114624	0	0	0	0
TC	META	EAS	2	100	945	5	3.03856801986694	0	0	0	0
TC	META	EAS	2	102	806	5	3.1703519821167	0	0	0	0
TC	META	EAS	2	107	2962	5	9.03234195709229	0	0	0	0
TC	META	EAS	2	115	2468	5	8.9906325340271	0	0	0	0
TC	META	EAS	2	121	2235	5	14.1389355659485	0	0	0	0
TC	META	EAS	2	122	974	5	4.17995572090149	0	0	0	0
TC	META	EAS	2	124	1561	5	6.0394823551178	0	0	0	0
TC	META	EAS	2	125	1561	5	8.23174953460693	0	0	0	0
TC	META	EAS	2	127	3094	5	27.6214272975922	0	0	0	0
TC	META	EAS	2	128	2234	5	6.23325753211975	0	0	0	0
TC	META	EAS	2	130	336	5	2.7607433795929	0	0	0	0
TC	META	EAS	2	131	73	5	1.93715143203735	0	0	0	0
TC	META	EAS	2	138	2170	5	8.09583473205566	0	0	0	0
TC	META	EAS	2	146	2626	5	11.867518901825	0	0	0	0
TC	META	EAS	2	147	4071	5	26.6781692504883	0	0	0	0
TC	META	EAS	2	152	1219	5	4.78291726112366	0	0	0	0
TC	META	EAS	2	153	1781	5	5.7278835773468	0	0	0	0
TC	META	EAS	2	155	1340	5	3.13720703125	0	0	0	0
TC	META	EAS	2	162	727	5	3.8493318557739302	0	0	0	0
TC	META	EAS	2	163	97	5	2.10229730606079	0	1	1	5
TC	META	EAS	2	164	382	5	2.38937020301819	0	0	0	0
TC	META	EAS	2	166	3626	5	17.204642534256	0	0	0	0
TC	META	EAS	2	168	1579	5	9.28079581260681	0	0	0	0
TC	META	EAS	2	171	2376	5	9.88747692108154	0	0	0	0
TC	META	EAS	2	172	468	5	2.46520304679871	0	0	1	10
TC	META	EAS	2	177	2091	5	9.69910383224487	0	0	0	0
TC	META	EAS	2	180	1402	5	3.46788263320923	0	0	0	0
TC	META	EAS	2	181	1926	5	5.62305760383606	0	0	0	0
TC	META	EAS	2	192	2235	5	18.0542998313904	0	0	0	0
TC	META	EAS	2	196	2464	5	18.5919015407562	0	0	0	0
TC	META	EAS	2	198	1047	5	2.48441410064697	0	0	0	0
TC	META	EAS	2	199	2106	5	8.41659474372864	0	0	0	0
TC	META	EAS	2	205	924	5	3.43539237976074	0	0	0	0
TC	META	EAS	2	208	2549	5	12.6324992179871	0	0	0	0
TC	META	EAS	2	210	1145	5	7.16881084442139	0	0	0	0
TC	META	EAS	2	211	1775	5	4.36144018173218	0	0	0	0
TC	META	EAS	2	212	1778	5	5.97575259208679	0	0	0	0
TC	META	EAS	2	213	3250	5	19.6677715778351	0	0	0	0
TC	META	EAS	2	217	821	5	5.07400155067444	0	0	0	0
TC	META	EAS	2	218	717	5	5.3253231048584	0	0	0	0
TC	META	EAS	2	228	1150	5	6.72299194335938	0	0	0	0
TC	META	EAS	2	232	981	5	2.66479063034058	0	0	0	0
TC	META	EAS	2	233	491	5	1.94190454483032	0	0	0	0
TC	META	EAS	2	241	987	5	3.763920545578	0	0	0	0
TC	META	EAS	2	242	1446	5	9.6185610294342	0	0	0	0
TC	META	EAS	2	250	3292	5	15.8266835212708	0	0	0	0
TC	META	EAS	2	255	1403	5	4.67079162597656	0	0	0	0
TC	META	EAS	3	24	1897	5	13.9801621437073	0	0	0	0
TC	META	EAS	3	41	2229	5	9.67811417579651	0	0	0	0
TC	META	EAS	3	45	1034	5	2.69160127639771	0	0	0	0
TC	META	EAS	3	51	777	5	3.70695161819458	0	0	0	0
TC	META	EAS	3	56	1163	5	3.33499026298523	0	0	0	0
TC	META	EAS	3	70	2100	5	7.04505801200867	0	0	0	0
TC	META	EAS	3	71	1808	5	8.00525498390198	0	0	0	0
TC	META	EAS	3	83	3067	5	12.9478816986084	0	0	0	0
TC	META	EAS	3	88	1944	5	10.8612971305847	0	0	0	0
TC	META	EAS	3	89	1621	5	6.5873076915741	0	0	0	0
TC	META	EAS	3	104	4193	5	22.4644269943237	0	0	0	0
TC	META	EAS	3	107	1520	5	5.7061185836792	0	0	0	0
TC	META	EAS	3	112	1824	5	7.15767550468445	0	0	0	0
TC	META	EAS	3	113	634	5	3.18263673782349	0	0	0	0
TC	META	EAS	3	120	1509	5	4.20405411720276	0	0	1	31
TC	META	EAS	3	121	1786	5	5.81667470932007	0	0	0	0
TC	META	EAS	3	122	427	5	2.67000102996826	0	0	0	0
TC	META	EAS	3	123	679	5	2.42866134643555	0	0	0	0
TC	META	EAS	3	127	2228	5	13.8122465610504	0	0	0	0
TC	META	EAS	3	128	675	5	2.92773246765137	0	0	0	0
TC	META	EAS	3	129	1104	5	3.40052700042725	0	0	0	0
TC	META	EAS	3	131	501	5	3.47433400154114	0	0	0	0
TC	META	EAS	3	132	2533	5	7.46989488601685	0	0	0	0
TC	META	EAS	3	135	1797	5	11.8297412395477	0	0	0	0
TC	META	EAS	3	136	904	5	5.55891299247742	0	0	0	0
TC	META	EAS	3	140	1887	5	7.27639102935791	0	0	0	0
TC	META	EAS	3	145	2255	5	7.38877701759338	0	0	0	0
TC	META	EAS	3	149	1542	5	6.63357329368591	0	0	0	0
TC	META	EAS	3	150	1631	5	6.95530700683594	0	0	0	0
TC	META	EAS	3	154	566	5	3.222815990448	0	0	0	0
TC	META	EAS	3	158	2250	5	8.25407338142395	0	0	0	0
TC	META	EAS	3	161	2435	5	12.076432466507	0	0	0	0
TC	META	EAS	3	165	2178	5	11.5471220016479	0	0	0	0
TC	META	EAS	3	170	1417	5	4.88078284263611	0	0	0	0
TC	META	EAS	3	172	1275	5	2.52733445167542	0	0	0	0
TC	META	EAS	3	173	639	5	2.28129100799561	0	0	0	0
TC	META	EAS	3	175	501	5	3.03556942939758	0	0	0	0
TC	META	EAS	3	190	1086	5	3.51745557785034	0	0	0	0
TC	META	EAS	3	191	1210	5	5.51957774162292	0	0	0	0
TC	META	EAS	3	193	2073	5	11.1211807727814	0	0	0	0
TC	META	EAS	3	195	3672	5	24.7986342906952	0	0	0	0
TC	META	EAS	3	214	2241	5	13.3351867198944	0	0	0	0
TC	META	EAS	3	216	927	5	2.90260481834412	0	0	0	0
TC	META	EAS	4	1	4650	5	30.5074644088745	0	0	1	5
TC	META	EAS	4	15	692	5	4.98112106323242	0	0	0	0
TC	META	EAS	4	19	600	5	2.46702432632446	0	0	0	0
TC	META	EAS	4	21	3405	5	19.9436931610107	0	0	0	0
TC	META	EAS	4	28	1795	5	9.7021906375885	0	0	0	0
TC	META	EAS	4	42	278	5	1.94074821472168	0	0	0	0
TC	META	EAS	4	54	4860	5	39.9334874153137	0	0	0	0
TC	META	EAS	4	55	1960	5	10.2161798477173	0	0	0	0
TC	META	EAS	4	57	283	5	2.64575529098511	0	0	0	0
TC	META	EAS	4	64	2955	5	12.0729622840881	0	0	0	0
TC	META	EAS	4	65	1169	5	3.74499416351318	0	0	0	0
TC	META	EAS	4	66	1315	5	4.45122647285461	0	0	0	0
TC	META	EAS	4	71	850	5	3.50193071365356	0	0	0	0
TC	META	EAS	4	79	1423	5	5.01283979415894	0	0	0	0
TC	META	EAS	4	80	1963	5	5.63363289833069	0	0	1	21
TC	META	EAS	4	84	1725	5	7.05123472213745	0	0	0	0
TC	META	EAS	4	85	752	5	4.66121101379395	0	0	0	0
TC	META	EAS	4	86	171	5	2.36256885528564	0	0	0	0
TC	META	EAS	4	87	2755	5	9.34665179252625	0	0	0	0
TC	META	EAS	4	90	1570	5	4.70441937446594	0	0	0	0
TC	META	EAS	4	92	1469	5	7.31379961967468	0	0	0	0
TC	META	EAS	4	101	2099	5	6.96228957176208	0	0	0	0
TC	META	EAS	4	113	1833	5	5.69382882118225	0	0	1	23
TC	META	EAS	4	114	1999	5	7.50255060195923	0	0	0	0
TC	META	EAS	4	115	993	5	3.38233780860901	0	0	0	0
TC	META	EAS	4	116	1293	5	6.48783040046692	0	0	0	0
TC	META	EAS	4	117	1731	5	9.41648173332214	0	0	0	0
TC	META	EAS	4	121	1659	5	7.75368762016296	0	0	0	0
TC	META	EAS	4	129	2195	5	8.2116334438324	0	0	0	0
TC	META	EAS	4	130	2271	5	10.233535528183	0	0	0	0
TC	META	EAS	4	134	3463	5	19.4910962581635	0	0	0	0
TC	META	EAS	4	136	2925	5	14.3957765102386	0	0	0	0
TC	META	EAS	4	148	1297	5	6.69873380661011	0	0	0	0
TC	META	EAS	4	150	1848	5	9.19216346740723	0	0	0	0
TC	META	EAS	4	151	585	5	3.14906024932861	0	0	0	0
TC	META	EAS	4	156	2725	5	13.2750372886658	0	0	0	0
TC	META	EAS	4	159	791	5	2.82805728912354	0	0	0	0
TC	META	EAS	4	161	657	5	1.56172585487366	0	0	0	0
TC	META	EAS	4	162	1381	5	4.19462251663208	0	0	0	0
TC	META	EAS	4	203	896	5	3.46806001663208	0	0	0	0
TC	META	EAS	5	6	800	5	2.44772720336914	0	0	0	0
TC	META	EAS	5	28	726	5	2.60259032249451	0	0	0	0
TC	META	EAS	5	43	1561	5	6.3403012752533	0	0	0	0
TC	META	EAS	5	56	2737	5	9.1835036277771	0	0	0	0
TC	META	EAS	5	57	1653	5	4.95586848258972	0	0	0	0
TC	META	EAS	5	64	2280	5	6.05461287498474	0	0	0	0
TC	META	EAS	5	68	510	5	3.2517261505127	0	0	0	0
TC	META	EAS	5	69	793	5	5.18668103218079	0	0	0	0
TC	META	EAS	5	71	2688	5	11.5631806850433	0	0	0	0
TC	META	EAS	5	74	3258	5	24.2780470848083	0	0	0	0
TC	META	EAS	5	81	1314	5	3.54449105262756	0	0	0	0
TC	META	EAS	5	84	344	5	2.88620758056641	0	0	0	0
TC	META	EAS	5	85	2343	5	326.3306016922	0	0	1	4
