pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	EAS	1	1	81	5	0.596866130828857	0	0	0	0
TC	UKBB	EAS	1	2	130	5	0.612027168273926	0	0	0	0
TC	UKBB	EAS	1	4	446	5	1.63431644439697	0	0	0	0
TC	UKBB	EAS	1	17	1843	5	3.68414568901062	0	0	0	0
TC	UKBB	EAS	1	19	1424	5	2.19283270835876	0	0	0	0
TC	UKBB	EAS	1	35	1476	5	2.21858525276184	0	0	0	0
TC	UKBB	EAS	1	40	721	5	1.75166964530945	0	0	0	0
TC	UKBB	EAS	1	48	664	5	1.49250245094299	0	0	0	0
TC	UKBB	EAS	1	49	514	5	1.3213906288147	0	0	0	0
TC	UKBB	EAS	1	51	582	5	1.49958419799805	0	0	0	0
TC	UKBB	EAS	1	52	1614	5	3.36738395690918	0	0	0	0
TC	UKBB	EAS	1	53	1238	5	1.75013184547424	0	0	0	0
TC	UKBB	EAS	1	58	1604	5	3.26029133796692	0	0	0	0
TC	UKBB	EAS	1	67	1285	5	1.6906304359436	0	0	0	0
TC	UKBB	EAS	1	70	1434	5	2.37240052223206	0	0	0	0
TC	UKBB	EAS	1	73	1710	5	2.83222079277039	0	0	0	0
TC	UKBB	EAS	1	74	1519	5	2.92906999588013	0	0	0	0
TC	UKBB	EAS	1	75	2502	5	4.96927356719971	0	0	0	0
TC	UKBB	EAS	1	76	1364	5	2.8073878288269	0	0	0	0
TC	UKBB	EAS	1	80	855	5	1.48787069320679	0	0	0	0
TC	UKBB	EAS	1	81	557	5	1.29611206054688	0	0	0	0
TC	UKBB	EAS	1	82	967	5	1.44243192672729	0	0	0	0
TC	UKBB	EAS	1	83	1594	5	3.32015681266785	0	0	0	0
TC	UKBB	EAS	1	84	2380	5	4.21450924873352	0	0	0	0
TC	UKBB	EAS	1	85	799	5	1.57127356529236	0	0	0	0
TC	UKBB	EAS	1	89	1230	5	2.32760834693909	0	0	0	0
TC	UKBB	EAS	1	92	1453	5	2.5638370513916	0	0	0	0
TC	UKBB	EAS	1	94	306	5	1.73788380622864	0	0	0	0
TC	UKBB	EAS	1	95	317	5	1.28092193603516	0	0	0	0
TC	UKBB	EAS	1	96	1287	5	2.10521960258484	0	0	0	0
TC	UKBB	EAS	1	97	1460	5	2.52815723419189	0	0	0	0
TC	UKBB	EAS	1	100	1545	5	2.81341314315796	0	0	0	0
TC	UKBB	EAS	1	109	1716	5	2.70426464080811	0	0	0	0
TC	UKBB	EAS	1	124	2075	5	4.49679732322693	0	0	0	0
TC	UKBB	EAS	1	125	2314	5	4.88130474090576	0	0	0	0
TC	UKBB	EAS	1	127	1265	5	1.91699647903442	0	0	0	0
TC	UKBB	EAS	1	136	1306	5	1.29222774505615	0	0	0	0
TC	UKBB	EAS	1	138	1529	5	2.27890133857727	0	0	0	0
TC	UKBB	EAS	1	139	354	5	1.11156249046326	0	0	0	0
TC	UKBB	EAS	1	140	699	5	1.45145273208618	0	0	0	0
TC	UKBB	EAS	1	141	765	5	1.63962483406067	0	0	0	0
TC	UKBB	EAS	1	144	759	5	2.0510778427124	0	0	0	0
TC	UKBB	EAS	1	145	857	5	1.62419676780701	0	0	0	0
TC	UKBB	EAS	1	150	1536	5	2.60666418075562	0	0	0	0
TC	UKBB	EAS	1	151	2238	5	4.10347843170166	0	0	0	0
TC	UKBB	EAS	1	153	1674	5	3.39641976356506	0	0	0	0
TC	UKBB	EAS	1	154	2213	5	3.79908156394958	0	0	0	0
TC	UKBB	EAS	1	156	1278	5	1.85738682746887	0	0	0	0
TC	UKBB	EAS	1	158	942	5	1.27578616142273	0	0	0	0
TC	UKBB	EAS	1	162	1113	5	1.50144577026367	0	0	0	0
TC	UKBB	EAS	1	168	1564	5	2.30979466438293	0	0	0	0
TC	UKBB	EAS	1	169	2617	5	3.91727089881897	0	0	0	0
TC	UKBB	EAS	1	175	2085	5	3.13180661201477	0	0	0	0
TC	UKBB	EAS	1	182	2046	5	3.13307619094849	0	0	0	0
TC	UKBB	EAS	1	183	2136	5	4.30264449119568	0	0	0	0
TC	UKBB	EAS	1	185	579	5	0.901499271392822	0	0	0	0
TC	UKBB	EAS	1	187	1445	5	2.66120171546936	0	0	0	0
TC	UKBB	EAS	1	188	1835	5	2.51088809967041	0	0	0	0
TC	UKBB	EAS	1	192	1664	5	2.3007025718689	0	0	0	0
TC	UKBB	EAS	1	201	1726	5	3.12920069694519	0	0	0	0
TC	UKBB	EAS	1	202	1526	5	2.317227602005	0	0	0	0
TC	UKBB	EAS	1	205	630	5	1.47463178634644	0	0	0	0
TC	UKBB	EAS	1	209	498	5	1.14515209197998	0	0	0	0
TC	UKBB	EAS	1	213	865	5	1.8603036403656	0	0	0	0
TC	UKBB	EAS	1	221	1649	5	2.53333735466003	0	0	0	0
TC	UKBB	EAS	1	223	1710	5	3.69699859619141	0	0	0	0
TC	UKBB	EAS	1	224	1119	5	1.50443124771118	0	0	0	0
TC	UKBB	EAS	1	226	665	5	1.7954239845275901	0	0	0	0
TC	UKBB	EAS	1	229	1438	5	2.48150181770325	0	0	0	0
TC	UKBB	EAS	1	233	2143	5	3.70571732521057	0	0	0	0
TC	UKBB	EAS	1	234	2539	5	4.82919454574585	0	0	0	0
TC	UKBB	EAS	1	235	1542	5	1.61275267601013	0	0	0	0
TC	UKBB	EAS	1	238	3472	5	6.77151155471802	0	0	0	0
TC	UKBB	EAS	1	239	979	5	1.42383003234863	0	0	0	0
TC	UKBB	EAS	1	240	3791	5	6.30726432800293	0	0	0	0
TC	UKBB	EAS	1	252	662	5	1.31295037269592	0	0	0	0
TC	UKBB	EAS	1	253	176	5	0.74112868309021	0	0	0	0
TC	UKBB	EAS	1	254	1130	5	1.93867754936218	0	0	0	0
TC	UKBB	EAS	1	255	808	5	1.62407398223877	0	0	0	0
TC	UKBB	EAS	1	257	1008	5	2.36247277259827	0	0	0	0
TC	UKBB	EAS	1	280	2869	5	4.83527708053589	0	0	0	0
TC	UKBB	EAS	1	281	1751	5	2.12848043441772	0	0	0	0
TC	UKBB	EAS	2	6	929	5	1.23006820678711	0	0	0	0
TC	UKBB	EAS	2	21	333	5	0.9835045337677	0	0	0	0
TC	UKBB	EAS	2	31	425	5	1.43397879600525	0	0	0	0
TC	UKBB	EAS	2	32	654	5	1.47137427330017	0	0	0	0
TC	UKBB	EAS	2	37	672	5	1.58639025688171	0	0	0	0
TC	UKBB	EAS	2	38	1629	5	2.56073188781738	0	0	0	0
TC	UKBB	EAS	2	39	735	5	1.10703992843628	0	0	0	0
TC	UKBB	EAS	2	40	2233	5	4.13528227806091	0	0	0	0
TC	UKBB	EAS	2	41	962	5	1.70340132713318	0	0	0	0
TC	UKBB	EAS	2	42	73	5	0.725162982940674	0	0	0	0
TC	UKBB	EAS	2	43	183	5	0.894534826278687	0	0	0	0
TC	UKBB	EAS	2	44	721	5	1.8993284702301	0	0	0	0
TC	UKBB	EAS	2	45	1688	5	1.82330298423767	0	0	0	0
TC	UKBB	EAS	2	46	855	5	1.10995650291443	0	0	0	0
TC	UKBB	EAS	2	47	2182	5	3.67944407463074	0	0	0	0
TC	UKBB	EAS	2	48	1172	5	1.4122166633606	0	0	0	0
TC	UKBB	EAS	2	49	1348	5	2.19148445129395	0	0	0	0
TC	UKBB	EAS	2	50	1271	5	1.39551162719727	0	0	0	0
TC	UKBB	EAS	2	51	1408	5	2.53131771087646	0	0	0	0
TC	UKBB	EAS	2	53	1072	5	2.00511693954468	0	0	0	0
TC	UKBB	EAS	2	55	2707	5	4.04955530166626	0	0	0	0
TC	UKBB	EAS	2	56	135	5	1.08525705337524	0	0	0	0
TC	UKBB	EAS	2	66	3282	5	7.42159605026245	0	0	0	0
TC	UKBB	EAS	2	69	1883	5	2.45359063148499	0	1	0	0
TC	UKBB	EAS	2	71	1203	5	2.32086849212646	0	0	0	0
TC	UKBB	EAS	2	72	2370	5	3.90721249580383	0	0	0	0
TC	UKBB	EAS	2	74	744	5	1.1298201084137	0	0	0	0
TC	UKBB	EAS	2	75	983	5	1.18430399894714	0	0	0	0
TC	UKBB	EAS	2	77	870	5	1.32995915412903	0	0	0	0
TC	UKBB	EAS	2	84	5250	5	19.9164316654205	0	0	0	0
TC	UKBB	EAS	2	88	5283	5	19.4249544143677	0	0	0	0
TC	UKBB	EAS	2	89	983	5	1.46732521057129	0	0	0	0
TC	UKBB	EAS	2	97	2180	5	3.88145995140076	0	0	0	0
TC	UKBB	EAS	2	99	889	5	1.11168479919434	0	0	0	0
TC	UKBB	EAS	2	100	945	5	1.18188309669495	0	0	0	0
TC	UKBB	EAS	2	102	806	5	1.28866481781006	0	0	0	0
TC	UKBB	EAS	2	107	2962	5	5.59123182296753	0	0	0	0
TC	UKBB	EAS	2	115	2468	5	3.19036817550659	0	0	0	0
TC	UKBB	EAS	2	121	2235	5	4.53008389472961	0	0	0	0
TC	UKBB	EAS	2	122	974	5	1.77907133102417	0	0	0	0
TC	UKBB	EAS	2	124	1561	5	2.15467286109924	0	0	0	0
TC	UKBB	EAS	2	125	1561	5	1.95152831077576	0	0	0	0
TC	UKBB	EAS	2	127	3094	5	7.1292507648468	0	0	0	0
TC	UKBB	EAS	2	128	2234	5	3.21992349624634	0	0	0	0
TC	UKBB	EAS	2	130	336	5	0.730777502059937	0	0	0	0
TC	UKBB	EAS	2	131	73	5	0.834586143493652	0	0	0	0
TC	UKBB	EAS	2	138	2170	5	3.85463929176331	0	0	0	0
TC	UKBB	EAS	2	146	2626	5	4.64188146591187	0	0	0	0
TC	UKBB	EAS	2	147	4071	5	8.96059846878052	0	0	0	0
TC	UKBB	EAS	2	152	1219	5	1.43068933486938	0	0	0	0
TC	UKBB	EAS	2	153	1781	5	2.95746088027954	0	0	0	0
TC	UKBB	EAS	2	155	1340	5	1.54126381874084	0	0	0	0
TC	UKBB	EAS	2	162	727	5	1.46331214904785	0	0	0	0
TC	UKBB	EAS	2	163	97	5	0.647990703582764	0	0	0	0
TC	UKBB	EAS	2	164	382	5	1.86512660980225	0	0	0	0
TC	UKBB	EAS	2	166	3626	5	7.99319672584534	0	0	0	0
TC	UKBB	EAS	2	168	1579	5	1.83298826217651	0	0	0	0
TC	UKBB	EAS	2	171	2376	5	3.67203092575073	0	0	0	0
TC	UKBB	EAS	2	172	468	5	0.702212333679199	0	0	0	0
TC	UKBB	EAS	2	177	2091	5	3.16966319084167	0	0	0	0
TC	UKBB	EAS	2	180	1402	5	1.74745273590088	0	0	0	0
TC	UKBB	EAS	2	181	1926	5	2.20044255256653	0	0	0	0
TC	UKBB	EAS	2	192	2235	5	2.77143001556396	0	0	0	0
TC	UKBB	EAS	2	196	2464	5	3.33745074272156	0	0	0	0
TC	UKBB	EAS	2	198	1047	5	1.55423831939697	0	0	0	0
TC	UKBB	EAS	2	199	2106	5	2.79371666908264	0	0	0	0
TC	UKBB	EAS	2	205	924	5	1.06170058250427	0	0	0	0
TC	UKBB	EAS	2	208	2549	5	4.31047415733337	0	0	0	0
TC	UKBB	EAS	2	210	1145	5	1.58466386795044	0	0	0	0
TC	UKBB	EAS	2	211	1775	5	2.17925071716309	0	0	0	0
TC	UKBB	EAS	2	212	1778	5	2.64915466308594	0	0	0	0
TC	UKBB	EAS	2	213	3250	5	7.97135543823242	0	0	0	0
TC	UKBB	EAS	2	217	821	5	0.971783399581909	0	0	0	0
TC	UKBB	EAS	2	218	717	5	1.30283784866333	0	0	0	0
TC	UKBB	EAS	2	228	1150	5	1.38773083686829	0	0	0	0
TC	UKBB	EAS	2	232	981	5	1.23832607269287	0	0	0	0
TC	UKBB	EAS	2	233	491	5	0.831108331680298	0	0	0	0
TC	UKBB	EAS	2	241	987	5	1.05960202217102	0	0	0	0
TC	UKBB	EAS	2	242	1446	5	1.6371591091156	0	0	0	0
TC	UKBB	EAS	2	250	3292	5	6.6585738658905	0	0	0	0
TC	UKBB	EAS	2	255	1403	5	1.85181522369385	0	0	0	0
TC	UKBB	EAS	3	24	1897	5	3.67566800117493	0	0	0	0
TC	UKBB	EAS	3	41	2229	5	3.62497472763062	0	0	0	0
TC	UKBB	EAS	3	45	1034	5	1.25217461585999	0	0	0	0
TC	UKBB	EAS	3	51	777	5	1.56893515586853	0	0	0	0
TC	UKBB	EAS	3	56	1163	5	1.43721628189087	0	0	0	0
TC	UKBB	EAS	3	70	2100	5	4.01775979995728	0	0	0	0
TC	UKBB	EAS	3	71	1808	5	2.44005155563354	0	0	0	0
TC	UKBB	EAS	3	83	3067	5	5.04523062705994	0	0	0	0
TC	UKBB	EAS	3	88	1944	5	3.45427322387695	0	0	0	0
TC	UKBB	EAS	3	89	1621	5	2.95128798484802	0	0	0	0
TC	UKBB	EAS	3	104	4193	5	10.3649804592133	0	0	0	0
TC	UKBB	EAS	3	107	1520	5	1.98760437965393	0	0	0	0
TC	UKBB	EAS	3	112	1824	5	2.09893560409546	0	0	0	0
TC	UKBB	EAS	3	113	634	5	1.08682894706726	0	0	0	0
