pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	EUR	1	1	487	5	0.704831123352051	0	0	0	0
TC	UKBB	EUR	1	2	817	5	0.978955507278442	0	0	0	0
TC	UKBB	EUR	1	4	1278	5	1.94775485992432	0	0	0	0
TC	UKBB	EUR	1	17	3414	5	10.6022651195526	0	0	0	0
TC	UKBB	EUR	1	19	2752	5	5.88197135925293	0	0	1	5
TC	UKBB	EUR	1	35	3204	5	13.0014901161194	0	1	1	14
TC	UKBB	EUR	1	40	1313	5	2.31165742874146	0	1	0	0
TC	UKBB	EUR	1	48	1269	5	2.45568656921387	1	2	3	17
TC	UKBB	EUR	1	49	1109	5	2.70669603347778	0	0	0	0
TC	UKBB	EUR	1	51	1273	5	2.02296042442322	0	0	1	21
TC	UKBB	EUR	1	52	3254	5	1515.48385620117	0	0	0	0
TC	UKBB	EUR	1	53	3076	5	16.6434247493744	0	0	0	0
TC	UKBB	EUR	1	58	3265	5	1005.97754740715	0	0	0	0
TC	UKBB	EUR	1	67	2527	5	5.84996271133423	0	0	0	0
TC	UKBB	EUR	1	70	2602	5	1608.57800531387	0	1	0	0
TC	UKBB	EUR	1	73	3361	5	14.5857923030853	0	0	0	0
TC	UKBB	EUR	1	74	3114	5	15.8492541313171	0	0	0	0
TC	UKBB	EUR	1	75	4126	5	1779.38786101341	0	0	2	64
TC	UKBB	EUR	1	76	1936	5	2.91190648078918	0	1	1	10
TC	UKBB	EUR	1	80	1234	5	2.8755145072937	0	0	0	0
TC	UKBB	EUR	1	81	920	5	1.35181045532227	0	0	0	0
TC	UKBB	EUR	1	82	2023	5	201.306091785431	0	0	0	0
TC	UKBB	EUR	1	83	2438	5	461.12503862381	3	3	4	11
TC	UKBB	EUR	1	84	3672	10	3239.12047362328	1	1	1	1
TC	UKBB	EUR	1	85	1292	5	3.23343992233276	1	1	1	1
TC	UKBB	EUR	1	89	2038	5	2.79667544364929	0	0	0	0
TC	UKBB	EUR	1	92	2655	5	12.3933529853821	0	0	0	0
TC	UKBB	EUR	1	94	684	5	1.38793468475342	0	0	0	0
TC	UKBB	EUR	1	95	459	5	0.887085914611816	0	1	0	0
TC	UKBB	EUR	1	96	2312	5	6.9217541217804	1	1	2	7
TC	UKBB	EUR	1	97	2843	5	9.22349190711975	0	0	1	32
TC	UKBB	EUR	1	100	2251	5	18.1571333408356	0	0	1	7
TC	UKBB	EUR	1	109	3087	5	7.67042946815491	0	0	0	0
TC	UKBB	EUR	1	124	3866	5	48.8982970714569	0	0	1	7
TC	UKBB	EUR	1	125	4583	5	1431.30649065971	0	0	2	87
TC	UKBB	EUR	1	127	2212	5	14.3835141658783	0	0	0	0
TC	UKBB	EUR	1	136	2633	5	26.078647851944	0	0	0	0
TC	UKBB	EUR	1	138	3564	5	37.097198009491	0	1	1	2
