pheno	pid	chromosome	block	num_variants_0.9.UKBB	num_variants_0.9.UKBB_0.1.GLGC
TC	EUR	1	1	0	0
TC	EUR	1	2	0	0
TC	EUR	1	4	0	0
TC	EUR	1	17	0	0
TC	EUR	1	19	0	0
TC	EUR	1	35	0	0
TC	EUR	1	40	0	0
TC	EUR	1	48	1	1
TC	EUR	1	49	0	0
TC	EUR	1	51	0	0
TC	EUR	1	52	0	0
TC	EUR	1	53	0	0
TC	EUR	1	58	0	0
TC	EUR	1	67	0	0
TC	EUR	1	70	0	0
TC	EUR	1	73	0	0
TC	EUR	1	74	0	0
TC	EUR	1	75	0	0
TC	EUR	1	76	0	0
TC	EUR	1	80	0	0
TC	EUR	1	81	0	0
TC	EUR	1	82	0	0
TC	EUR	1	83	3	2
TC	EUR	1	84	1	0
TC	EUR	1	85	1	0
TC	EUR	1	89	0	0
TC	EUR	1	92	0	0
TC	EUR	1	94	0	0
TC	EUR	1	95	0	0
TC	EUR	1	96	1	1
TC	EUR	1	97	0	0
TC	EUR	1	100	0	0
TC	EUR	1	109	0	0
TC	EUR	1	124	0	0
TC	EUR	1	125	0	0
TC	EUR	1	127	0	0
TC	EUR	1	136	0	0
TC	EUR	1	138	1	0
TC	EUR	1	139	0	0
TC	EUR	1	140	0	0
TC	EUR	1	141	0	0
TC	EUR	1	144	0	0
TC	EUR	1	145	0	0
TC	EUR	1	150	0	0
TC	EUR	1	151	0	0
TC	EUR	1	153	0	0
TC	EUR	1	154	0	0
TC	EUR	1	156	0	0
TC	EUR	1	158	0	0
TC	EUR	1	162	0	0
TC	EUR	1	168	0	0
TC	EUR	1	169	0	0
TC	EUR	1	175	0	0
TC	EUR	1	182	0	0
TC	EUR	1	183	0	0
TC	EUR	1	185	0	0
TC	EUR	1	187	0	0
TC	EUR	1	188	0	0
TC	EUR	1	192	0	0
TC	EUR	1	201	0	0
TC	EUR	1	202	0	0
TC	EUR	1	205	0	0
TC	EUR	1	209	0	0
TC	EUR	1	213	0	0
TC	EUR	1	221	0	0
TC	EUR	1	223	0	0
TC	EUR	1	224	0	0
TC	EUR	1	226	0	0
TC	EUR	1	229	1	1
TC	EUR	1	233	0	0
TC	EUR	1	234	2	1
TC	EUR	1	235	0	0
TC	EUR	1	238	0	0
TC	EUR	1	239	0	0
TC	EUR	1	240	0	0
TC	EUR	1	252	0	0
TC	EUR	1	253	1	0
TC	EUR	1	254	0	0
TC	EUR	1	255	0	0
TC	EUR	1	257	0	0
TC	EUR	1	280	0	0
TC	EUR	1	281	0	0
TC	EUR	2	6	0	0
TC	EUR	2	21	0	0
TC	EUR	2	31	0	0
TC	EUR	2	32	0	0
TC	EUR	2	37	0	0
TC	EUR	2	38	0	0
TC	EUR	2	39	0	0
TC	EUR	2	40	0	0
TC	EUR	2	41	1	1
TC	EUR	2	42	1	1
TC	EUR	2	43	3	3
TC	EUR	2	44	0	0
TC	EUR	2	45	2	2
TC	EUR	2	46	0	0
TC	EUR	2	47	1	1
TC	EUR	2	48	0	0
TC	EUR	2	49	1	0
TC	EUR	2	50	0	0
TC	EUR	2	51	0	0
TC	EUR	2	53	0	0
TC	EUR	2	55	0	0
TC	EUR	2	56	0	0
TC	EUR	2	66	0	0
TC	EUR	2	69	0	0
TC	EUR	2	71	0	0
TC	EUR	2	72	2	1
TC	EUR	2	74	0	0
TC	EUR	2	75	0	0
TC	EUR	2	77	0	0
TC	EUR	2	84	0	0
TC	EUR	2	88	0	0
TC	EUR	2	89	0	0
TC	EUR	2	97	0	0
TC	EUR	2	99	0	0
TC	EUR	2	100	0	0
TC	EUR	2	102	0	0
TC	EUR	2	107	0	0
TC	EUR	2	115	0	0
TC	EUR	2	121	0	0
TC	EUR	2	122	0	0
TC	EUR	2	124	0	0
TC	EUR	2	125	0	0
TC	EUR	2	127	0	0
TC	EUR	2	128	1	0
TC	EUR	2	130	0	0
TC	EUR	2	131	1	0
TC	EUR	2	138	0	0
TC	EUR	2	146	0	0
TC	EUR	2	147	0	0
TC	EUR	2	152	0	0
TC	EUR	2	153	0	0
TC	EUR	2	155	0	0
TC	EUR	2	162	0	0
TC	EUR	2	163	0	0
TC	EUR	2	164	0	0
TC	EUR	2	166	0	0
TC	EUR	2	168	0	0
TC	EUR	2	171	0	0
TC	EUR	2	172	0	0
TC	EUR	2	177	0	0
TC	EUR	2	180	0	0
TC	EUR	2	181	0	0
TC	EUR	2	192	0	0
TC	EUR	2	196	0	0
TC	EUR	2	198	0	0
TC	EUR	2	199	0	0
TC	EUR	2	205	0	0
TC	EUR	2	208	0	0
TC	EUR	2	210	0	0
TC	EUR	2	211	0	0
TC	EUR	2	212	0	0
TC	EUR	2	213	0	0
TC	EUR	2	217	0	0
TC	EUR	2	218	0	0
TC	EUR	2	228	0	0
TC	EUR	2	232	1	0
TC	EUR	2	233	0	0
TC	EUR	2	241	0	0
TC	EUR	2	242	0	0
TC	EUR	2	250	0	0
TC	EUR	2	255	0	0
TC	EUR	3	24	1	1
TC	EUR	3	41	0	0
TC	EUR	3	45	0	0
TC	EUR	3	51	0	0
TC	EUR	3	56	0	0
TC	EUR	3	70	0	0
TC	EUR	3	71	0	0
TC	EUR	3	83	0	0
TC	EUR	3	88	0	0
TC	EUR	3	89	0	0
TC	EUR	3	104	0	0
TC	EUR	3	107	0	0
TC	EUR	3	112	0	0
TC	EUR	3	113	0	0
TC	EUR	3	120	1	1
TC	EUR	3	121	0	0
TC	EUR	3	122	0	0
TC	EUR	3	123	0	0
TC	EUR	3	127	0	0
TC	EUR	3	128	0	0
TC	EUR	3	129	0	0
TC	EUR	3	131	0	0
TC	EUR	3	132	0	0
TC	EUR	3	135	0	0
TC	EUR	3	136	0	0
TC	EUR	3	140	0	0
TC	EUR	3	145	0	0
TC	EUR	3	149	0	0
TC	EUR	3	150	0	0
TC	EUR	3	154	0	0
TC	EUR	3	158	0	0
TC	EUR	3	161	0	0
TC	EUR	3	165	0	0
TC	EUR	3	170	0	0
TC	EUR	3	172	0	0
TC	EUR	3	173	0	0
TC	EUR	3	175	0	0
TC	EUR	3	190	0	0
TC	EUR	3	191	0	0
TC	EUR	3	193	0	0
TC	EUR	3	195	0	0
TC	EUR	3	214	0	0
TC	EUR	3	216	0	0
TC	EUR	4	1	1	0
TC	EUR	4	15	0	0
TC	EUR	4	19	0	0
TC	EUR	4	21	0	0
TC	EUR	4	28	0	0
TC	EUR	4	42	0	0
TC	EUR	4	54	0	0
TC	EUR	4	55	0	0
TC	EUR	4	57	0	0
TC	EUR	4	64	0	0
TC	EUR	4	65	0	0
TC	EUR	4	66	0	0
TC	EUR	4	71	0	0
TC	EUR	4	79	0	0
TC	EUR	4	80	0	0
TC	EUR	4	84	0	0
TC	EUR	4	85	0	0
TC	EUR	4	86	0	0
TC	EUR	4	87	0	0
TC	EUR	4	90	0	0
TC	EUR	4	92	0	0
TC	EUR	4	101	0	0
TC	EUR	4	113	0	0
TC	EUR	4	114	0	0
TC	EUR	4	115	1	0
TC	EUR	4	116	0	0
TC	EUR	4	117	1	1
TC	EUR	4	121	0	0
TC	EUR	4	129	0	0
TC	EUR	4	130	0	0
TC	EUR	4	134	0	0
TC	EUR	4	136	0	0
TC	EUR	4	148	0	0
TC	EUR	4	150	0	0
TC	EUR	4	151	0	0
TC	EUR	4	156	0	0
TC	EUR	4	159	1	1
TC	EUR	4	161	1	0
TC	EUR	4	162	0	0
TC	EUR	4	203	0	0
TC	EUR	5	6	0	0
TC	EUR	5	28	0	0
TC	EUR	5	43	0	0
TC	EUR	5	56	0	0
TC	EUR	5	57	0	0
TC	EUR	5	64	0	0
TC	EUR	5	68	0	0
TC	EUR	5	69	0	0
TC	EUR	5	71	0	0
TC	EUR	5	74	0	0
TC	EUR	5	81	0	0
TC	EUR	5	84	0	0
TC	EUR	5	85	1	0
TC	EUR	5	92	0	0
TC	EUR	5	109	0	0
TC	EUR	5	130	0	0
TC	EUR	5	134	0	0
TC	EUR	5	136	0	0
TC	EUR	5	146	0	0
TC	EUR	5	147	0	0
TC	EUR	5	154	0	0
TC	EUR	5	156	0	0
TC	EUR	5	158	0	0
TC	EUR	5	165	0	0
TC	EUR	5	166	0	0
TC	EUR	5	167	0	0
TC	EUR	5	168	0	0
TC	EUR	5	191	0	0
TC	EUR	5	202	0	0
TC	EUR	5	207	0	0
TC	EUR	5	210	0	0
TC	EUR	5	211	0	0
TC	EUR	6	1	0	0
TC	EUR	6	19	0	0
TC	EUR	6	20	0	0
TC	EUR	6	25	0	0
TC	EUR	6	27	0	0
TC	EUR	6	30	0	0
TC	EUR	6	34	0	0
TC	EUR	6	35	0	0
TC	EUR	6	39	0	0
TC	EUR	6	43	0	0
TC	EUR	6	44	0	0
TC	EUR	6	47	0	0
TC	EUR	6	51	0	0
TC	EUR	6	52	0	0
TC	EUR	6	53	0	0
TC	EUR	6	56	0	0
TC	EUR	6	58	0	0
TC	EUR	6	63	0	0
TC	EUR	6	64	0	0
TC	EUR	6	65	0	0
TC	EUR	6	69	0	0
TC	EUR	6	72	0	0
TC	EUR	6	73	0	0
TC	EUR	6	75	0	0
TC	EUR	6	76	0	0
TC	EUR	6	85	0	0
TC	EUR	6	87	0	0
TC	EUR	6	88	0	0
TC	EUR	6	94	0	0
TC	EUR	6	99	0	0
TC	EUR	6	100	0	0
TC	EUR	6	101	0	0
TC	EUR	6	105	0	0
TC	EUR	6	109	0	0
TC	EUR	6	115	0	0
TC	EUR	6	116	0	0
TC	EUR	6	117	0	0
TC	EUR	6	124	0	0
TC	EUR	6	127	0	0
TC	EUR	6	128	0	0
TC	EUR	6	130	0	0
TC	EUR	6	134	0	0
TC	EUR	6	135	0	0
TC	EUR	6	137	0	0
TC	EUR	6	138	0	0
TC	EUR	6	140	0	0
TC	EUR	6	146	0	0
TC	EUR	6	148	0	0
TC	EUR	6	154	0	0
TC	EUR	6	158	0	0
TC	EUR	6	160	0	0
TC	EUR	6	168	0	0
TC	EUR	6	169	0	0
TC	EUR	6	183	0	0
TC	EUR	7	3	0	0
TC	EUR	7	5	0	0
TC	EUR	7	6	0	0
TC	EUR	7	11	0	0
TC	EUR	7	12	1	1
TC	EUR	7	28	0	0
TC	EUR	7	33	0	0
TC	EUR	7	37	0	0
TC	EUR	7	40	0	0
TC	EUR	7	41	0	0
TC	EUR	7	42	1	0
TC	EUR	7	44	0	0
TC	EUR	7	50	0	0
TC	EUR	7	51	0	0
TC	EUR	7	58	0	0
TC	EUR	7	66	0	0
TC	EUR	7	67	1	1
TC	EUR	7	73	0	0
TC	EUR	7	85	0	0
TC	EUR	7	87	0	0
TC	EUR	7	88	0	0
TC	EUR	7	89	0	0
TC	EUR	7	95	0	0
TC	EUR	7	99	0	0
TC	EUR	7	103	0	0
TC	EUR	7	107	0	0
TC	EUR	7	109	0	0
TC	EUR	7	111	0	0
TC	EUR	7	112	0	0
TC	EUR	7	113	0	0
TC	EUR	7	119	0	0
TC	EUR	7	125	0	0
TC	EUR	7	127	0	0
TC	EUR	7	131	0	0
TC	EUR	7	132	0	0
TC	EUR	7	133	0	0
TC	EUR	7	134	0	0
TC	EUR	7	138	0	0
TC	EUR	7	139	0	0
TC	EUR	7	140	0	0
TC	EUR	7	141	0	0
TC	EUR	7	142	0	0
TC	EUR	7	147	0	0
TC	EUR	7	152	0	0
TC	EUR	7	159	0	0
TC	EUR	7	162	0	0
TC	EUR	7	176	0	0
TC	EUR	7	177	0	0
TC	EUR	7	187	0	0
TC	EUR	8	17	0	0
TC	EUR	8	29	0	0
TC	EUR	8	32	0	0
TC	EUR	8	36	0	0
TC	EUR	8	39	0	0
TC	EUR	8	41	0	0
TC	EUR	8	42	0	0
TC	EUR	8	43	0	0
TC	EUR	8	44	0	0
TC	EUR	8	45	0	0
TC	EUR	8	57	0	0
TC	EUR	8	59	0	0
TC	EUR	8	65	0	0
TC	EUR	8	68	0	0
TC	EUR	8	69	0	0
TC	EUR	8	78	0	0
TC	EUR	8	81	0	0
TC	EUR	8	83	0	0
TC	EUR	8	84	0	0
TC	EUR	8	85	0	0
TC	EUR	8	88	0	0
TC	EUR	8	106	0	0
TC	EUR	8	109	0	0
TC	EUR	8	110	0	0
TC	EUR	8	113	0	0
TC	EUR	8	118	0	0
TC	EUR	8	121	0	0
TC	EUR	8	124	0	0
TC	EUR	8	125	2	0
TC	EUR	8	126	0	0
TC	EUR	8	135	0	0
TC	EUR	8	153	0	0
TC	EUR	8	159	0	0
TC	EUR	8	160	0	0
TC	EUR	9	4	1	0
TC	EUR	9	5	0	0
TC	EUR	9	9	0	0
TC	EUR	9	12	0	0
TC	EUR	9	13	0	0
TC	EUR	9	31	1	1
TC	EUR	9	33	0	0
TC	EUR	9	36	0	0
TC	EUR	9	39	0	0
TC	EUR	9	40	0	0
TC	EUR	9	51	0	0
TC	EUR	9	53	0	0
TC	EUR	9	69	0	0
TC	EUR	9	70	0	0
TC	EUR	9	72	0	0
TC	EUR	9	73	0	0
TC	EUR	9	89	0	0
TC	EUR	9	93	0	0
TC	EUR	9	99	0	0
TC	EUR	9	100	0	0
TC	EUR	9	102	0	0
TC	EUR	9	103	0	0
TC	EUR	9	104	0	0
TC	EUR	9	105	0	0
TC	EUR	9	106	0	0
TC	EUR	9	107	1	1
TC	EUR	9	109	0	0
TC	EUR	9	110	2	1
TC	EUR	9	111	1	1
TC	EUR	9	112	1	1
TC	EUR	9	113	0	0
TC	EUR	9	114	0	0
TC	EUR	9	115	0	0
TC	EUR	9	116	0	0
TC	EUR	9	118	0	0
TC	EUR	9	119	0	0
TC	EUR	9	121	0	0
TC	EUR	9	124	0	0
TC	EUR	9	125	0	0
TC	EUR	9	134	0	0
TC	EUR	9	140	0	0
TC	EUR	9	142	0	0
TC	EUR	9	144	0	0
TC	EUR	9	145	0	0
TC	EUR	9	149	0	0
TC	EUR	9	153	0	0
TC	EUR	9	160	0	0
TC	EUR	9	161	0	0
TC	EUR	10	13	0	0
TC	EUR	10	22	0	0
TC	EUR	10	43	0	0
TC	EUR	10	44	0	0
TC	EUR	10	46	0	0
TC	EUR	10	52	0	0
TC	EUR	10	53	0	0
TC	EUR	10	58	0	0
TC	EUR	10	59	0	0
TC	EUR	10	67	0	0
TC	EUR	10	69	0	0
TC	EUR	10	70	1	0
TC	EUR	10	73	0	0
TC	EUR	10	77	0	0
TC	EUR	10	80	0	0
TC	EUR	10	81	0	0
TC	EUR	10	84	0	0
TC	EUR	10	85	0	0
TC	EUR	10	92	0	0
TC	EUR	10	100	0	0
TC	EUR	10	101	0	0
TC	EUR	10	109	0	0
TC	EUR	10	110	0	0
TC	EUR	10	112	0	0
TC	EUR	10	113	0	0
TC	EUR	10	117	0	0
TC	EUR	10	120	0	0
TC	EUR	10	121	0	0
TC	EUR	10	123	0	0
TC	EUR	10	126	0	0
TC	EUR	10	127	0	0
