pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	META	AFR	1	3	820	5	0.72850489616394	0	0	0	0
TG	META	AFR	1	4	1984	5	1.68759298324585	0	0	0	0
TG	META	AFR	1	5	3594	5	4.48692607879639	0	0	0	0
TG	META	AFR	1	15	5216	5	10.5969634056091	0	0	0	0
TG	META	AFR	1	17	6602	5	15.9180631637573	0	0	0	0
TG	META	AFR	1	18	2496	5	2.67421627044678	0	0	0	0
TG	META	AFR	1	19	5384	5	11.0099565982819	0	0	0	0
TG	META	AFR	1	21	3660	5	4.67130708694458	0	0	0	0
TG	META	AFR	1	23	1852	5	1.70213985443115	0	0	0	0
TG	META	AFR	1	32	1442	5	1.1516432762146	0	0	0	0
TG	META	AFR	1	35	6543	5	16.4949688911438	0	0	0	0
TG	META	AFR	1	43	1376	5	1.14460897445679	0	0	0	0
TG	META	AFR	1	48	2576	5	2.73008012771606	0	0	0	0
TG	META	AFR	1	50	3554	5	4.44783711433411	0	1	0	0
TG	META	AFR	1	51	2313	5	2.44290971755981	0	0	0	0
TG	META	AFR	1	52	6601	5	16.7097811698914	0	0	0	0
TG	META	AFR	1	53	5709	5	11.8742446899414	0	0	0	0
TG	META	AFR	1	58	6810	5	18.5250918865204	0	0	0	0
TG	META	AFR	1	63	5211	5	10.9341113567352	0	0	0	0
TG	META	AFR	1	67	4388	5	7.97600555419922	0	0	0	0
TG	META	AFR	1	70	4508	5	8.27630496025085	0	0	0	0
TG	META	AFR	1	71	4682	5	8.97700047492981	0	0	0	0
TG	META	AFR	1	83	4244	5	7.244464635849	0	0	0	0
TG	META	AFR	1	85	1974	5	1.78441262245178	0	0	0	0
TG	META	AFR	1	94	1055	5	0.966830253601074	0	0	0	0
TG	META	AFR	1	96	4148	5	7.41904783248901	0	0	0	0
TG	META	AFR	1	97	5089	5	10.3115956783295	1	1	1	1
TG	META	AFR	1	100	4054	5	5.85054516792297	0	0	0	0
TG	META	AFR	1	101	4245	5	7.84460282325745	0	0	0	0
TG	META	AFR	1	105	11487	5	68.7090620994568	0	0	0	0
TG	META	AFR	1	124	6840	5	16.6674013137817	0	0	0	0
TG	META	AFR	1	125	8663	5	38.4122629165649	0	0	0	0
TG	META	AFR	1	127	3674	5	4.89658689498901	0	0	0	0
TG	META	AFR	1	129	2213	5	1.85204458236694	0	0	0	0
TG	META	AFR	1	132	4547	5	7.91790080070496	0	0	0	0
TG	META	AFR	1	135	7509	5	22.1929047107697	0	1	0	0
TG	META	AFR	1	138	6665	5	17.8294594287872	0	0	0	0
TG	META	AFR	1	139	1514	5	1.22655868530273	0	0	0	0
TG	META	AFR	1	143	4016	5	5.29188394546509	0	0	0	0
TG	META	AFR	1	144	3661	5	4.68356513977051	0	0	0	0
TG	META	AFR	1	150	4916	5	9.1404824256897	0	0	0	0
TG	META	AFR	1	154	8691	5	35.5362319946289	0	0	0	0
TG	META	AFR	1	155	3504	5	6.00753235816956	0	0	0	0
TG	META	AFR	1	156	4612	5	8.73560690879822	0	0	0	0
TG	META	AFR	1	158	5374	5	12.2504386901855	0	0	0	0
TG	META	AFR	1	168	5333	5	10.2492666244507	0	0	0	0
TG	META	AFR	1	182	7605	5	23.2925918102264	0	0	0	0
TG	META	AFR	1	183	7164	5	19.7877380847931	0	0	0	0
TG	META	AFR	1	184	1603	5	1.28596663475037	0	1	1	1
TG	META	AFR	1	187	4655	5	8.16859865188599	0	0	0	0
TG	META	AFR	1	192	5207	5	10.1477298736572	0	0	0	0
TG	META	AFR	1	193	6039	5	14.8613379001617	0	0	0	0
TG	META	AFR	1	201	6258	5	15.3277773857117	0	0	0	0
TG	META	AFR	1	202	5163	5	9.81951403617859	0	0	0	0
TG	META	AFR	1	203	4393	5	7.10503602027893	0	0	0	0
TG	META	AFR	1	207	3090	5	3.8551287651062	0	0	0	0
TG	META	AFR	1	208	3716	5	6.18715167045593	0	0	0	0
TG	META	AFR	1	209	1258	5	0.973556041717529	1	1	1	1
TG	META	AFR	1	211	2773	5	3.04242634773254	0	0	0	0
TG	META	AFR	1	212	3850	5	5.88939762115479	0	0	0	0
TG	META	AFR	1	213	2785	5	2.85262274742126	0	0	0	0
TG	META	AFR	1	214	2484	5	3.16428542137146	0	0	0	0
TG	META	AFR	1	217	2056	5	2.10854434967041	0	0	0	0
TG	META	AFR	1	219	4148	5	7.13078498840332	0	0	0	0
TG	META	AFR	1	221	4835	5	8.97528529167175	0	0	0	0
TG	META	AFR	1	226	1978	5	1.93521237373352	0	0	0	0
TG	META	AFR	1	228	2787	5	4.64747333526611	0	0	0	0
TG	META	AFR	1	233	6521	5	15.7858655452728	0	0	0	0
TG	META	AFR	1	234	7476	5	22.8102548122406	0	0	0	0
TG	META	AFR	1	235	5239	5	11.6895277500153	0	0	0	0
TG	META	AFR	1	238	9835	5	46.4736301898956	0	0	0	0
TG	META	AFR	1	239	2306	5	2.75362634658813	0	0	0	0
TG	META	AFR	1	240	10161	5	53.4226007461548	0	0	0	0
TG	META	AFR	1	242	2439	5	2.6325798034668	0	0	0	0
TG	META	AFR	1	243	2762	5	3.36707925796509	0	0	1	7
TG	META	AFR	1	244	5951	5	12.9486167430878	0	0	0	0
TG	META	AFR	1	248	3070	5	3.44201445579529	0	1	0	0
TG	META	AFR	1	252	2317	5	2.33158683776855	0	0	0	0
TG	META	AFR	1	254	3997	5	6.14360976219177	0	0	0	0
TG	META	AFR	1	255	2516	5	2.7906482219696	0	1	0	0
TG	META	AFR	1	257	2584	5	3.08091235160828	0	0	0	0
TG	META	AFR	1	264	2785	5	3.03954029083252	0	0	1	6
TG	META	AFR	1	274	6482	5	15.3597614765167	0	0	0	0
TG	META	AFR	1	277	1390	5	1.51045799255371	0	1	0	0
TG	META	AFR	1	280	10100	5	49.5032203197479	0	0	0	0
TG	META	AFR	2	1	1410	5	1.46443843841553	0	0	0	0
TG	META	AFR	2	2	8995	5	40.7073776721954	0	0	0	0
TG	META	AFR	2	6	2716	5	2.84923267364502	0	0	0	0
TG	META	AFR	2	7	1923	5	2.41505312919617	0	0	0	0
TG	META	AFR	2	21	1680	5	1.46671009063721	0	0	0	0
TG	META	AFR	2	34	6254	5	15.6251549720764	0	0	0	0
TG	META	AFR	2	41	3253	5	4.51201963424683	0	0	0	0
TG	META	AFR	2	43	711	5	0.643022537231445	0	0	0	0
TG	META	AFR	2	44	3326	5	4.35539412498474	0	2	2	8
TG	META	AFR	2	45	5959	5	13.6464891433716	0	0	0	0
TG	META	AFR	2	47	7471	5	23.8389048576355	0	0	0	0
TG	META	AFR	2	48	4596	5	10.0159661769867	0	0	0	0
TG	META	AFR	2	49	7286	5	24.0346856117249	1	1	1	1
TG	META	AFR	2	50	4173	5	6.96299195289612	0	0	0	0
TG	META	AFR	2	55	11035	5	54.9455194473267	0	0	0	0
TG	META	AFR	2	63	4482	5	8.16903591156006	0	0	0	0
TG	META	AFR	2	66	10535	5	58.7383115291595	0	0	0	0
TG	META	AFR	2	69	5621	5	10.876268863678	0	0	0	0
TG	META	AFR	2	71	4455	5	7.9960789680481	0	0	0	0
TG	META	AFR	2	72	7354	5	21.9431717395782	0	0	0	0
TG	META	AFR	2	74	2485	5	2.66816711425781	0	0	0	0
TG	META	AFR	2	76	3423	5	6.28595900535583	0	0	0	0
TG	META	AFR	2	79	6455	5	19.2498171329498	0	0	0	0
TG	META	AFR	2	80	10846	5	65.1836230754852	0	0	0	0
TG	META	AFR	2	84	14486	5	99.5096800327301	0	0	0	0
TG	META	AFR	2	85	13800	5	108.413343429565	0	0	0	0
TG	META	AFR	2	86	5700	5	11.4060561656952	0	0	0	0
TG	META	AFR	2	87	2015	5	1.72834300994873	0	0	0	0
TG	META	AFR	2	88	16712	5	187.874143123627	0	0	0	0
TG	META	AFR	2	89	4258	5	7.08487510681152	0	0	0	0
TG	META	AFR	2	90	3547	5	6.81688594818115	0	0	0	0
TG	META	AFR	2	95	3908	5	4.91028904914856	0	0	0	0
TG	META	AFR	2	99	3745	5	5.34437346458435	0	0	0	0
TG	META	AFR	2	115	8448	5	46.2948443889618	0	0	0	0
TG	META	AFR	2	117	4508	5	10.2835607528687	0	0	0	0
TG	META	AFR	2	122	3348	5	4.62062907218933	0	0	0	0
TG	META	AFR	2	123	669	5	0.735310316085815	0	0	0	0
TG	META	AFR	2	124	6305	5	14.3926453590393	0	0	0	0
TG	META	AFR	2	125	5184	5	9.14981579780579	0	0	0	0
TG	META	AFR	2	128	8911	5	40.3560056686401	0	0	0	0
TG	META	AFR	2	131	266	5	0.563392877578735	0	0	0	0
TG	META	AFR	2	132	981	5	0.854396104812622	0	0	0	0
TG	META	AFR	2	138	7510	5	20.9136724472046	0	0	0	0
TG	META	AFR	2	153	6986	5	23.8967742919922	0	0	0	0
TG	META	AFR	2	159	10172	5	47.1824371814728	0	0	0	0
TG	META	AFR	2	161	7534	5	19.9545953273773	0	0	0	0
TG	META	AFR	2	163	345	5	0.676695108413696	0	0	0	0
TG	META	AFR	2	164	1473	5	1.11216330528259	0	0	0	0
TG	META	AFR	2	166	11511	5	78.5167274475098	0	0	0	0
TG	META	AFR	2	168	5116	5	12.2826199531555	0	0	0	0
TG	META	AFR	2	169	5802	5	13.0234391689301	0	0	0	0
TG	META	AFR	2	171	7519	5	22.4663774967194	0	0	0	0
TG	META	AFR	2	174	1858	5	1.80891752243042	0	0	0	0
TG	META	AFR	2	176	7052	5	22.2035667896271	0	0	0	0
TG	META	AFR	2	180	4623	5	7.64503026008606	0	0	0	0
TG	META	AFR	2	181	7100	5	20.1934342384338	0	0	0	0
TG	META	AFR	2	184	9583	5	46.1869416236877	0	0	0	0
TG	META	AFR	2	186	6953	5	19.6194641590118	0	0	0	0
TG	META	AFR	2	195	13217	5	88.9841871261597	0	0	0	0
TG	META	AFR	2	197	6156	5	14.5097842216492	0	0	0	0
TG	META	AFR	2	198	4600	5	7.63548994064331	0	0	0	0
TG	META	AFR	2	199	7545	5	27.3982908725739	0	0	0	0
TG	META	AFR	2	201	6288	5	15.113655090332	0	0	0	0
TG	META	AFR	2	202	1029	5	0.934391975402832	0	0	0	0
TG	META	AFR	2	205	3573	5	5.12785601615906	0	0	0	0
TG	META	AFR	2	210	3888	5	7.3886342048645	0	0	0	0
TG	META	AFR	2	211	5627	5	13.4572513103485	0	0	0	0
TG	META	AFR	2	213	12633	5	78.0956029891968	0	0	0	0
TG	META	AFR	2	214	2295	5	2.18772888183594	0	0	0	0
TG	META	AFR	2	217	3415	5	5.13750910758972	0	0	0	0
TG	META	AFR	2	218	2652	5	3.57284307479858	0	0	0	0
TG	META	AFR	2	230	3553	5	4.6037712097168	0	1	0	0
TG	META	AFR	2	231	1985	5	1.62381315231323	0	0	0	0
TG	META	AFR	2	235	2158	5	1.82669734954834	0	0	0	0
TG	META	AFR	2	237	4875	5	9.37047839164734	0	0	0	0
TG	META	AFR	2	240	4352	5	6.96701955795288	0	0	0	0
TG	META	AFR	2	242	4042	5	5.62092423439026	0	0	0	0
TG	META	AFR	2	250	9119	5	36.3080379962921	0	0	0	0
TG	META	AFR	2	251	3114	5	4.85069513320923	0	0	0	0
