pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	EAS	1	3	156	5	0.857789039611816	0	0	0	0
TG	UKBB	EAS	1	4	407	5	1.42494797706604	0	0	0	0
TG	UKBB	EAS	1	5	488	5	1.59641027450562	0	0	0	0
TG	UKBB	EAS	1	15	1437	5	2.45379304885864	0	0	0	0
TG	UKBB	EAS	1	17	1882	5	2.38788294792175	0	0	0	0
TG	UKBB	EAS	1	18	790	5	1.6103987693786599	0	0	0	0
TG	UKBB	EAS	1	19	1298	5	1.78842616081238	0	0	0	0
TG	UKBB	EAS	1	21	1080	5	1.46231818199158	0	0	0	0
TG	UKBB	EAS	1	23	620	5	1.27742505073547	0	0	0	0
TG	UKBB	EAS	1	32	511	5	2.05816721916199	0	0	0	0
TG	UKBB	EAS	1	35	1512	5	2.07148385047913	0	0	0	0
TG	UKBB	EAS	1	43	471	5	1.95537376403809	0	0	0	0
TG	UKBB	EAS	1	48	691	5	1.63289499282837	0	0	0	0
TG	UKBB	EAS	1	50	951	5	1.35141801834106	0	0	0	0
TG	UKBB	EAS	1	51	611	5	1.64127445220947	0	0	0	0
TG	UKBB	EAS	1	52	1510	5	2.72050189971924	0	0	0	0
TG	UKBB	EAS	1	53	1289	5	1.57778477668762	0	0	0	0
TG	UKBB	EAS	1	58	1575	5	2.55306839942932	0	0	0	0
TG	UKBB	EAS	1	63	1610	5	3.24997520446777	0	0	0	0
TG	UKBB	EAS	1	67	1234	5	1.58881568908691	0	0	0	0
TG	UKBB	EAS	1	70	1507	5	2.56611132621765	0	0	0	0
TG	UKBB	EAS	1	71	1654	5	2.87209272384644	0	0	0	0
TG	UKBB	EAS	1	83	1626	5	2.27720093727112	0	0	0	0
TG	UKBB	EAS	1	85	958	5	1.45616054534912	0	0	0	0
TG	UKBB	EAS	1	94	353	5	1.02022099494934	0	0	0	0
TG	UKBB	EAS	1	96	1350	5	2.08536219596863	0	0	0	0
TG	UKBB	EAS	1	97	1570	5	2.0287172794342	0	0	0	0
TG	UKBB	EAS	1	100	1650	5	2.24707317352295	0	0	0	0
TG	UKBB	EAS	1	101	1289	5	2.60712480545044	0	0	0	0
TG	UKBB	EAS	1	105	3215	5	5.95547389984131	0	0	0	0
TG	UKBB	EAS	1	124	2078	5	3.12740063667297	0	0	0	0
TG	UKBB	EAS	1	125	2416	5	3.63533782958984	0	0	0	0
TG	UKBB	EAS	1	127	1325	5	2.34013724327087	0	0	0	0
TG	UKBB	EAS	1	129	581	5	1.08418560028076	0	0	0	0
TG	UKBB	EAS	1	132	1723	5	2.02297115325928	0	0	0	0
TG	UKBB	EAS	1	135	2230	5	4.66733360290527	0	0	0	0
TG	UKBB	EAS	1	138	1597	5	2.13667178153992	0	0	0	0
TG	UKBB	EAS	1	139	430	5	1.07702279090881	0	0	0	0
TG	UKBB	EAS	1	143	1210	5	1.82906723022461	0	0	0	0
TG	UKBB	EAS	1	144	749	5	1.07641053199768	0	0	0	0
TG	UKBB	EAS	1	150	1696	5	2.20518064498901	0	0	0	0
TG	UKBB	EAS	1	154	2237	5	4.53831195831299	0	0	0	0
TG	UKBB	EAS	1	155	1128	5	2.31027030944824	0	0	0	0
TG	UKBB	EAS	1	156	1411	5	2.16359543800354	0	0	0	0
TG	UKBB	EAS	1	158	993	5	1.04851388931274	0	0	0	0
TG	UKBB	EAS	1	168	1730	5	4.13414192199707	0	0	0	0
TG	UKBB	EAS	1	182	2209	5	4.41137170791626	0	0	0	0
TG	UKBB	EAS	1	183	2279	5	4.84183073043823	0	0	0	0
TG	UKBB	EAS	1	184	525	5	0.803194046020508	0	0	0	0
TG	UKBB	EAS	1	187	1542	5	2.44671845436096	0	0	0	0
TG	UKBB	EAS	1	192	1790	5	3.18198728561401	0	0	0	0
TG	UKBB	EAS	1	193	1989	5	3.48721122741699	0	0	0	0
TG	UKBB	EAS	1	201	1846	5	3.22357964515686	0	0	0	0
TG	UKBB	EAS	1	202	1600	5	2.24955081939697	0	0	0	0
TG	UKBB	EAS	1	203	1530	5	2.0257420539856	0	0	0	0
TG	UKBB	EAS	1	207	972	5	1.71874499320984	0	0	0	0
TG	UKBB	EAS	1	208	1263	5	1.64088869094849	0	0	0	0
