pheno	db	pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	EUR	1	3	519	5	0.6658616065979	0	0	0	0
TG	UKBB	EUR	1	4	1272	5	18.0821990966797	0	0	0	0
TG	UKBB	EUR	1	5	1955	5	4.18424463272095	0	1	0	0
TG	UKBB	EUR	1	15	2722	5	6.50164675712585	0	0	0	0
TG	UKBB	EUR	1	17	3336	5	10.9023680686951	0	0	0	0
TG	UKBB	EUR	1	18	1456	5	2.79163718223572	0	0	0	0
TG	UKBB	EUR	1	19	2682	5	6.93726634979248	0	0	1	6
TG	UKBB	EUR	1	21	1723	5	3.68257355690002	1	1	1	1
TG	UKBB	EUR	1	23	991	5	1.48559045791626	0	0	0	0
TG	UKBB	EUR	1	32	882	5	1.64321684837341	0	0	0	0
TG	UKBB	EUR	1	35	3113	5	10.2227780818939	0	0	0	0
TG	UKBB	EUR	1	43	877	5	1.64188456535339	0	0	0	0
TG	UKBB	EUR	1	48	1230	5	1.96455526351929	0	0	1	11
TG	UKBB	EUR	1	50	1846	5	3.66931867599487	0	0	0	0
TG	UKBB	EUR	1	51	1248	5	1.97423720359802	0	0	0	0
TG	UKBB	EUR	1	52	3167	5	1297.45151424408	1	1	2	11
TG	UKBB	EUR	1	53	3002	5	6.54090905189514	1	1	1	1
TG	UKBB	EUR	1	58	3184	5	9.55050492286682	0	0	0	0
TG	UKBB	EUR	1	63	2067	5	4.94123530387878	0	0	0	0
TG	UKBB	EUR	1	67	2444	5	5.96100234985352	0	0	0	0
TG	UKBB	EUR	1	70	2539	5	382.705048084259	0	0	3	24
TG	UKBB	EUR	1	71	2477	5	6.71808886528015	0	0	1	12
TG	UKBB	EUR	1	83	2364	5	937.168189287186	0	1	1	4
TG	UKBB	EUR	1	85	1241	5	3.03199577331543	0	0	0	0
TG	UKBB	EUR	1	94	672	5	1.99724197387695	0	0	1	18
TG	UKBB	EUR	1	96	2269	5	578.30247592926	0	1	3	17
TG	UKBB	EUR	1	97	2732	5	10.7169840335846	0	0	1	8
TG	UKBB	EUR	1	100	2126	5	3.90521335601807	0	0	0	0
TG	UKBB	EUR	1	101	2171	5	3.8026909828186	0	0	0	0
TG	UKBB	EUR	1	105	5775	5	156.564092874527	0	0	0	0
TG	UKBB	EUR	1	124	3743	5	2247.74347949028	0	0	0	0
TG	UKBB	EUR	1	125	4461	5	2456.29709863663	0	1	2	61
TG	UKBB	EUR	1	127	2121	5	3.93249654769897	0	0	0	0
TG	UKBB	EUR	1	129	1453	5	15.2562136650085	0	0	1	24
TG	UKBB	EUR	1	132	2551	5	6.14006209373474	0	0	0	0
TG	UKBB	EUR	1	135	3713	5	37.1319127082825	0	0	0	0
TG	UKBB	EUR	1	138	3451	5	18.8717427253723	0	0	0	0
TG	UKBB	EUR	1	139	893	5	2.02771830558777	0	0	1	7
TG	UKBB	EUR	1	143	2200	5	8.34618020057678	0	0	0	0
TG	UKBB	EUR	1	144	1745	5	4.20039224624634	0	0	0	0
TG	UKBB	EUR	1	150	2617	5	1801.02107214928	0	0	2	46
TG	UKBB	EUR	1	154	3923	5	2001.19608926773	0	0	2	63
TG	UKBB	EUR	1	155	1519	5	8.42745304107666	0	0	0	0
TG	UKBB	EUR	1	156	2449	5	6.25879001617432	1	1	1	1
TG	UKBB	EUR	1	158	2612	5	24.196845293045	0	0	0	0
TG	UKBB	EUR	1	168	2959	5	20.5509943962097	0	0	0	0
TG	UKBB	EUR	1	182	3510	5	31.4105389118195	0	0	1	15
TG	UKBB	EUR	1	183	3675	5	33.628112077713	0	0	0	0
TG	UKBB	EUR	1	184	831	5	6.93113088607788	0	0	0	0
TG	UKBB	EUR	1	187	2517	5	6.76464986801147	0	0	1	12
TG	UKBB	EUR	1	192	2751	5	36.1770107746124	0	0	0	0
