pheno	pid	chromosome	block	num_variants_0.9.UKBB	num_variants_0.9.UKBB_0.1.GLGC
TG	EUR	1	3	0	0
TG	EUR	1	4	0	0
TG	EUR	1	5	0	0
TG	EUR	1	15	0	0
TG	EUR	1	17	0	0
TG	EUR	1	18	0	0
TG	EUR	1	19	0	0
TG	EUR	1	21	1	0
TG	EUR	1	23	0	0
TG	EUR	1	32	0	0
TG	EUR	1	35	0	0
TG	EUR	1	43	0	0
TG	EUR	1	48	0	0
TG	EUR	1	50	0	0
TG	EUR	1	51	0	0
TG	EUR	1	52	1	1
TG	EUR	1	53	1	1
TG	EUR	1	58	0	0
TG	EUR	1	63	0	0
TG	EUR	1	67	0	0
TG	EUR	1	70	0	0
TG	EUR	1	71	0	0
TG	EUR	1	83	0	0
TG	EUR	1	85	0	0
TG	EUR	1	94	0	0
TG	EUR	1	96	0	0
TG	EUR	1	97	0	0
TG	EUR	1	100	0	0
TG	EUR	1	101	0	0
TG	EUR	1	105	0	0
TG	EUR	1	124	0	0
TG	EUR	1	125	0	0
TG	EUR	1	127	0	0
TG	EUR	1	129	0	0
TG	EUR	1	132	0	0
TG	EUR	1	135	0	0
TG	EUR	1	138	0	0
TG	EUR	1	139	0	0
TG	EUR	1	143	0	0
TG	EUR	1	144	0	0
TG	EUR	1	150	0	0
TG	EUR	1	154	0	0
TG	EUR	1	155	0	0
TG	EUR	1	156	1	0
TG	EUR	1	158	0	0
TG	EUR	1	168	0	0
TG	EUR	1	182	0	0
TG	EUR	1	183	0	0
TG	EUR	1	184	0	0
TG	EUR	1	187	0	0
TG	EUR	1	192	0	0
TG	EUR	1	193	2	0
TG	EUR	1	201	0	0
TG	EUR	1	202	0	0
TG	EUR	1	203	0	0
TG	EUR	1	207	0	0
TG	EUR	1	208	0	0
TG	EUR	1	209	1	1
TG	EUR	1	211	0	0
TG	EUR	1	212	0	0
TG	EUR	1	213	0	0
TG	EUR	1	214	0	0
TG	EUR	1	217	0	0
TG	EUR	1	219	0	0
TG	EUR	1	221	0	0
TG	EUR	1	226	0	0
TG	EUR	1	228	0	0
TG	EUR	1	233	0	0
TG	EUR	1	234	0	0
TG	EUR	1	235	0	0
TG	EUR	1	238	0	0
