pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	EUR	1	1	475	5	TRUE	17.1335425376892	0	0	2	25
HDL	META	EUR	1	2	805	5	TRUE	18.015137434005698	0	0	1	40
HDL	META	EUR	1	3	507	5	TRUE	0.621026277542114	0	0	0	0
HDL	META	EUR	1	5	1967	5	TRUE	18.7309737205505	0	0	1	7
HDL	META	EUR	1	15	2777	5	TRUE	6.91018176078796	0	0	0	0
HDL	META	EUR	1	17	3413	5	TRUE	14.7171587944031	0	0	0	0
HDL	META	EUR	1	18	1470	5	TRUE	11.3997123241425	0	1	0	0
HDL	META	EUR	1	19	2744	5	TRUE	60.4553377628326	0	0	1	18
HDL	META	EUR	1	21	1765	5	TRUE	19.7738122940063	0	1	1	61
HDL	META	EUR	1	23	1028	5	TRUE	3.45124554634094	0	0	0	0
HDL	META	EUR	1	24	1164	5	TRUE	8.01331090927124	0	0	1	4
HDL	META	EUR	1	35	3193	5	TRUE	7.9141571521759	0	0	0	0
HDL	META	EUR	1	40	1290	5	TRUE	5.75378561019897	0	0	0	0
HDL	META	EUR	1	43	901	5	TRUE	1.74852752685547	0	0	0	0
HDL	META	EUR	1	44	697	5	TRUE	7.80544972419739	0	1	1	9
HDL	META	EUR	1	46	2423	5	TRUE	22.462468624115	0	0	1	13
HDL	META	EUR	1	48	1267	5	TRUE	89.5613236427307	2	2	2	2
HDL	META	EUR	1	49	1100	5	TRUE	4.56996583938599	0	0	0	0
HDL	META	EUR	1	50	1895	5	TRUE	62.5065913200378	1	1	1	1
HDL	META	EUR	1	51	1277	5	TRUE	5.1715350151062	0	1	0	0
HDL	META	EUR	1	52	3236	5	TRUE	194.905828475952	2	3	4	21
HDL	META	EUR	1	53	3055	5	TRUE	30.9014704227448	0	0	1	6
HDL	META	EUR	1	57	2050	5	TRUE	11.6188910007477	0	0	1	24
HDL	META	EUR	1	63	2132	5	TRUE	6.86279034614563	0	1	0	0
