pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	UKBB	EUR	1	1	475	5	TRUE	1.46564936637878	0	0	0	0
HDL	UKBB	EUR	1	2	805	5	TRUE	4.10829997062683	0	0	0	0
HDL	UKBB	EUR	1	3	507	5	TRUE	37.5871312618256	0	0	1	35
HDL	UKBB	EUR	1	5	1967	5	TRUE	8.16429781913757	0	1	0	0
HDL	UKBB	EUR	1	15	2777	5	TRUE	7.96981406211853	0	1	0	0
HDL	UKBB	EUR	1	17	3413	5	TRUE	7.19288802146912	0	0	0	0
HDL	UKBB	EUR	1	18	1470	5	TRUE	24.8591992855072	0	0	1	10
HDL	UKBB	EUR	1	19	2744	5	TRUE	8.67161321640015	0	0	0	0
HDL	UKBB	EUR	1	21	1765	5	TRUE	39.8603079319	1	2	1	1
HDL	UKBB	EUR	1	23	1028	5	TRUE	7.91832518577576	0	0	0	0
HDL	UKBB	EUR	1	24	1164	5	TRUE	36.8998141288757	0	0	1	4
HDL	UKBB	EUR	1	35	3193	5	TRUE	29.9073665142059	0	1	1	6
HDL	UKBB	EUR	1	40	1290	5	TRUE	6.15036463737488	0	0	0	0
HDL	UKBB	EUR	1	43	901	5	TRUE	23.6018221378326	0	0	0	0
HDL	UKBB	EUR	1	44	697	5	TRUE	31.5814616680145	0	0	1	10
HDL	UKBB	EUR	1	46	2423	5	TRUE	8.6959593296051	0	0	0	0
HDL	UKBB	EUR	1	48	1267	5	TRUE	75.4718964099884	1	2	2	10
HDL	UKBB	EUR	1	49	1100	5	TRUE	20.571085691452	0	1	1	7
HDL	UKBB	EUR	1	50	1895	5	TRUE	36.0008397102356	0	0	1	27
HDL	UKBB	EUR	1	51	1277	5	TRUE	25.934374332428	0	1	1	72
HDL	UKBB	EUR	1	52	3236	5	TRUE	173.081350564957	1	3	3	8
HDL	UKBB	EUR	1	53	3055	5	TRUE	206.327651262283	0	3	4	19
HDL	UKBB	EUR	1	57	2050	5	TRUE	7.32368206977844	0	0	0	0
HDL	UKBB	EUR	1	63	2132	5	TRUE	6.60355257987976	0	0	0	0
HDL	UKBB	EUR	1	70	2607	5	TRUE	65.2714602947235	0	2	1	3
HDL	UKBB	EUR	1	71	2526	5	TRUE	40.4714348316193	0	0	1	14
HDL	UKBB	EUR	1	73	3340	5	TRUE	27.7521874904633	1	1	1	1
HDL	UKBB	EUR	1	74	3101	5	TRUE	13.0252656936646	0	0	0	0
HDL	UKBB	EUR	1	75	4105	5	TRUE	65.3805367946625	0	0	1	49
HDL	UKBB	EUR	1	76	1916	5	TRUE	12.4256861209869	0	0	0	0
HDL	UKBB	EUR	1	80	1227	5	TRUE	5.34625220298767	0	0	0	0
HDL	UKBB	EUR	1	85	1278	5	TRUE	10.6698575019836	0	0	0	0
HDL	UKBB	EUR	1	87	1475	5	TRUE	3.78133916854858	0	0	0	0
HDL	UKBB	EUR	1	90	302	5	TRUE	9.56760907173157	0	0	0	0
HDL	UKBB	EUR	1	92	2654	5	TRUE	8.04766130447388	0	0	0	0
HDL	UKBB	EUR	1	94	681	5	TRUE	19.9650807380676	0	0	1	12
HDL	UKBB	EUR	1	96	2307	5	TRUE	28.0592992305756	1	2	1	1
HDL	UKBB	EUR	1	97	2826	5	TRUE	51.19309258461	0	0	1	45
HDL	UKBB	EUR	1	98	2436	5	TRUE	8.78250050544739	0	0	0	0
HDL	UKBB	EUR	1	100	2249	5	TRUE	80.4482727050781	0	0	2	31
HDL	UKBB	EUR	1	102	2085	5	TRUE	4.90131258964539	0	1	0	0
HDL	UKBB	EUR	1	105	5965	5	TRUE	18.2069635391235	0	0	0	0
HDL	UKBB	EUR	1	110	1108	5	TRUE	5.06086230278015	0	0	0	0
HDL	UKBB	EUR	1	113	1888	5	TRUE	27.1864116191864	0	0	1	26
HDL	UKBB	EUR	1	117	1444	5	TRUE	16.6119782924652	0	1	0	0
HDL	UKBB	EUR	1	122	4195	5	TRUE	82.6792623996735	0	1	1	2
HDL	UKBB	EUR	1	124	3865	5	TRUE	26.5693988800049	0	0	0	0
HDL	UKBB	EUR	1	125	4578	5	TRUE	203.773806333542	1	2	4	37
HDL	UKBB	EUR	1	128	4125	5	TRUE	23.7319397926331	0	0	0	0
HDL	UKBB	EUR	1	129	1493	5	TRUE	5.59611129760742	0	0	0	0
HDL	UKBB	EUR	1	132	2639	5	TRUE	8.60502696037292	0	0	0	0
HDL	UKBB	EUR	1	136	2621	5	TRUE	17.7041051387787	0	2	0	0
HDL	UKBB	EUR	1	138	3541	5	TRUE	250.776269435883	1	3	4	13
HDL	UKBB	EUR	1	139	912	5	TRUE	189.090517759323	1	4	4	12
HDL	UKBB	EUR	1	143	2254	5	TRUE	9.63619518280029	0	1	0	0
HDL	UKBB	EUR	1	153	2542	5	TRUE	68.9403829574585	1	3	1	1
HDL	UKBB	EUR	1	154	4038	5	TRUE	157.763133049011	1	3	2	6
HDL	UKBB	EUR	1	156	2514	5	TRUE	177.579180240631	1	4	3	14
HDL	UKBB	EUR	1	158	2657	5	TRUE	114.216204404831	1	2	1	1
HDL	UKBB	EUR	1	159	568	5	TRUE	93.0211315155029	0	1	2	12
HDL	UKBB	EUR	1	160	2231	5	TRUE	17.9872667789459	0	0	0	0
HDL	UKBB	EUR	1	168	3013	5	TRUE	375.267258405685	1	1	2	9
HDL	UKBB	EUR	1	173	2436	5	TRUE	15.8295745849609	0	0	0	0
HDL	UKBB	EUR	1	181	3786	5	TRUE	12.5840089321136	0	0	0	0
HDL	UKBB	EUR	1	182	3638	5	TRUE	116.387239456177	0	1	1	5
HDL	UKBB	EUR	1	183	3781	5	TRUE	15.3544449806213	0	0	0	0
HDL	UKBB	EUR	1	187	2604	5	TRUE	113.639005422592	0	0	2	35
HDL	UKBB	EUR	1	189	1990	5	TRUE	80.938047170639	0	1	2	29
HDL	UKBB	EUR	1	191	2762	5	TRUE	34.9253530502319	0	1	1	10
HDL	UKBB	EUR	1	192	2843	5	TRUE	64.7065727710724	0	1	2	50
HDL	UKBB	EUR	1	193	3226	5	TRUE	52.6081359386444	1	2	1	1
HDL	UKBB	EUR	1	201	2958	5	TRUE	63.0768206119537	0	0	1	25
HDL	UKBB	EUR	1	202	2929	5	TRUE	58.7015523910522	1	1	1	1
HDL	UKBB	EUR	1	203	2277	5	TRUE	23.1580724716187	0	0	0	0
HDL	UKBB	EUR	1	204	2293	5	TRUE	54.4632251262665	0	1	1	5
HDL	UKBB	EUR	1	207	1727	5	TRUE	28.0391571521759	0	0	1	19
HDL	UKBB	EUR	1	208	2038	5	TRUE	168.330092191696	1	1	2	10
HDL	UKBB	EUR	1	209	808	5	TRUE	12.6578569412231	0	1	0	0
HDL	UKBB	EUR	1	211	1439	5	TRUE	20.03826212883	0	0	1	9
HDL	UKBB	EUR	1	213	1578	5	TRUE	17.0605068206787	0	0	1	23
HDL	UKBB	EUR	1	214	1412	5	TRUE	40.1158628463745	0	0	1	3
HDL	UKBB	EUR	1	215	685	5	TRUE	50.1701030731201	1	1	1	1
HDL	UKBB	EUR	1	216	2969	5	TRUE	8.89838528633118	0	0	0	0
HDL	UKBB	EUR	1	218	566	5	TRUE	9.13111686706543	0	0	0	0
HDL	UKBB	EUR	1	221	2537	5	TRUE	9.17939281463623	0	1	0	0
HDL	UKBB	EUR	1	224	1806	5	TRUE	51.5820324420929	0	0	1	20
HDL	UKBB	EUR	1	228	1428	5	TRUE	4.83741760253906	0	0	0	0
HDL	UKBB	EUR	1	233	3506	5	TRUE	78.6863625049591	0	1	1	4
HDL	UKBB	EUR	1	234	4037	5	TRUE	223.700246334076	2	4	3	4
HDL	UKBB	EUR	1	235	2641	5	TRUE	51.5446527004242	1	1	1	1
HDL	UKBB	EUR	1	238	5124	5	TRUE	14.5439398288727	0	1	0	0
HDL	UKBB	EUR	1	239	1422	5	TRUE	6.31528782844543	0	0	0	0
HDL	UKBB	EUR	1	240	5344	5	TRUE	83.1642844676971	0	1	1	3
HDL	UKBB	EUR	1	242	1366	5	TRUE	121.160818576813	1	2	3	17
