pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	AFR	1	2	1472	5	TRUE	0.95573902130127	0	0	0	0
LDL	META	AFR	1	4	1992	5	TRUE	0.707735538482666	0	0	0	0
LDL	META	AFR	1	17	6619	5	TRUE	11.2473995685577	0	0	0	0
LDL	META	AFR	1	19	5388	5	TRUE	5.92634391784668	0	0	0	0
LDL	META	AFR	1	23	1856	5	TRUE	0.680692911148071	0	0	0	0
LDL	META	AFR	1	35	6558	5	TRUE	8.6853654384613	0	0	0	0
LDL	META	AFR	1	40	2184	5	TRUE	0.721317529678345	0	0	0	0
LDL	META	AFR	1	48	2575	5	TRUE	2.2937924861908	0	0	0	0
LDL	META	AFR	1	49	2481	5	TRUE	1.29831457138062	0	0	0	0
LDL	META	AFR	1	51	2317	5	TRUE	2.05383205413818	0	0	0	0
LDL	META	AFR	1	52	6619	5	TRUE	5.48323822021484	0	0	0	0
LDL	META	AFR	1	53	5723	5	TRUE	3.76208066940308	0	0	0	0
LDL	META	AFR	1	58	6819	5	TRUE	10.7181770801544	0	0	0	0
LDL	META	AFR	1	70	4511	5	TRUE	2.52867412567139	0	0	0	0
LDL	META	AFR	1	73	6384	5	TRUE	7.00477242469788	0	0	0	0
LDL	META	AFR	1	75	7752	5	TRUE	14.1022312641144	0	0	0	0
LDL	META	AFR	1	76	3972	5	TRUE	10.2925605773926	0	0	0	0
LDL	META	AFR	1	78	2455	5	TRUE	2.71383118629456	0	0	0	0
LDL	META	AFR	1	80	2349	5	TRUE	3.84901714324951	0	0	1	6
LDL	META	AFR	1	81	1666	5	TRUE	1.50143074989319	0	0	0	0
LDL	META	AFR	1	82	3622	5	TRUE	8.17862248420715	0	0	0	0
LDL	META	AFR	1	83	4259	5	TRUE	146.808556318283	4	4	4	4
LDL	META	AFR	1	84	6650	15	TRUE	5878.18073558807	10	13	13	16
LDL	META	AFR	1	85	1976	5	TRUE	3.78524041175842	0	2	0	0
LDL	META	AFR	1	88	3502	5	TRUE	3.62836790084839	0	0	0	0
LDL	META	AFR	1	89	3798	5	TRUE	6.9776623249054	0	0	0	0
LDL	META	AFR	1	92	4457	5	TRUE	6.63790535926819	0	0	0	0
LDL	META	AFR	1	94	1059	5	TRUE	0.816308498382568	0	0	0	0
LDL	META	AFR	1	96	4153	5	TRUE	5.60414099693298	0	0	0	0
LDL	META	AFR	1	97	5112	5	TRUE	26.5519921779633	1	1	1	1
LDL	META	AFR	1	100	4064	5	TRUE	1.85967469215393	0	0	0	0
LDL	META	AFR	1	109	5577	5	TRUE	3.95044946670532	0	0	0	0
LDL	META	AFR	1	124	6844	5	TRUE	4.81761646270752	0	0	0	0
LDL	META	AFR	1	125	8668	5	TRUE	2688.47698450089	4	4	4	4
LDL	META	AFR	1	136	5068	5	TRUE	4.05186462402344	0	0	0	0
LDL	META	AFR	1	138	6689	5	TRUE	33.1824557781219	1	1	1	1
LDL	META	AFR	1	139	1513	5	TRUE	0.823031663894653	0	0	0	0
LDL	META	AFR	1	141	2563	5	TRUE	2.87455105781555	0	0	0	0
LDL	META	AFR	1	145	2809	5	TRUE	1.87401270866394	0	0	0	0
LDL	META	AFR	1	147	4581	5	TRUE	3.36995387077332	0	0	0	0
LDL	META	AFR	1	150	4926	5	TRUE	3.73254108428955	0	0	0	0
LDL	META	AFR	1	151	6645	5	TRUE	5.32594084739685	0	0	0	0
LDL	META	AFR	1	154	8722	5	TRUE	15.7813427448273	0	0	0	0
LDL	META	AFR	1	158	5387	5	TRUE	5.71482181549072	0	0	0	0
LDL	META	AFR	1	162	4256	5	TRUE	3.26045751571655	0	0	0	0
LDL	META	AFR	1	163	3284	5	TRUE	1.47817230224609	0	0	0	0
LDL	META	AFR	1	168	5337	5	TRUE	3.45261430740356	0	0	0	0
LDL	META	AFR	1	169	7103	5	TRUE	7.95459580421448	0	0	0	0
LDL	META	AFR	1	175	7083	5	TRUE	7.75942301750183	0	0	0	0
LDL	META	AFR	1	182	7601	5	TRUE	10.1876773834229	0	0	0	0
LDL	META	AFR	1	183	7176	5	TRUE	6.4904088973999	0	0	0	0
LDL	META	AFR	1	187	4677	5	TRUE	3.6998884677887	0	0	0	0
LDL	META	AFR	1	188	5325	5	TRUE	3.97732162475586	0	0	0	0
LDL	META	AFR	1	189	3739	5	TRUE	5.2461359500885	0	0	0	0
LDL	META	AFR	1	191	5189	5	TRUE	4.74937963485718	0	0	0	0
LDL	META	AFR	1	192	5202	5	TRUE	4.10780882835388	0	0	0	0
LDL	META	AFR	1	201	6278	5	TRUE	8.93824100494385	0	0	0	0
LDL	META	AFR	1	202	5171	5	TRUE	5.89816904067993	0	0	0	0
LDL	META	AFR	1	205	2040	5	TRUE	2.8521990776062	0	0	0	0
LDL	META	AFR	1	213	2803	5	TRUE	1.98543000221252	0	0	0	0
LDL	META	AFR	1	214	2494	5	TRUE	1.01127195358276	0	0	0	0
LDL	META	AFR	1	216	5669	5	TRUE	5.40027403831482	0	0	0	0
LDL	META	AFR	1	221	4849	5	TRUE	4.0623300075531	0	0	0	0
LDL	META	AFR	1	223	5525	5	TRUE	3.69553756713867	0	0	0	0
LDL	META	AFR	1	226	1984	5	TRUE	1.06078004837036	0	0	0	0
LDL	META	AFR	1	233	6542	5	TRUE	15.9891545772552	0	0	0	0
LDL	META	AFR	1	234	7505	5	TRUE	11.2137641906738	0	0	0	0
LDL	META	AFR	1	238	9842	5	TRUE	24.3255462646484	0	0	0	0
LDL	META	AFR	1	239	2309	5	TRUE	1.41951823234558	0	0	0	0
LDL	META	AFR	1	252	2316	5	TRUE	15.5756886005402	1	1	2	5
LDL	META	AFR	1	253	822	5	TRUE	2.91267132759094	0	0	0	0
LDL	META	AFR	1	254	3999	5	TRUE	3.35465502738953	0	0	0	0
LDL	META	AFR	1	255	2519	5	TRUE	1.30409145355225	0	0	0	0
LDL	META	AFR	1	280	10099	5	TRUE	32.1589343547821	0	0	0	0
LDL	META	AFR	2	6	2716	5	TRUE	1.35646486282349	0	0	0	0
LDL	META	AFR	2	19	825	5	TRUE	0.445839405059814	0	0	0	0
LDL	META	AFR	2	21	1674	5	TRUE	1.02001571655273	0	0	0	0
LDL	META	AFR	2	27	2245	5	TRUE	2.59494137763977	0	0	0	0
LDL	META	AFR	2	34	6265	5	TRUE	11.3174767494202	0	0	0	0
LDL	META	AFR	2	37	2303	5	TRUE	1.81216144561768	0	0	0	0
LDL	META	AFR	2	38	4925	5	TRUE	9.11353039741516	0	0	0	0
LDL	META	AFR	2	39	2296	5	TRUE	2.40055871009827	0	0	0	0
LDL	META	AFR	2	40	7094	5	TRUE	88.3098843097687	0	0	1	3
LDL	META	AFR	2	41	3250	5	TRUE	11.6334991455078	0	0	0	0
LDL	META	AFR	2	42	298	5	TRUE	6.89027380943298	1	2	1	1
LDL	META	AFR	2	43	714	5	TRUE	9.53172659873962	1	2	2	5
LDL	META	AFR	2	44	3342	10	FALSE	2603.32378292084	8	8	9	11
LDL	META	AFR	2	45	5978	5	TRUE	106.984333753586	0	1	3	24
LDL	META	AFR	2	46	2604	5	TRUE	45.7002725601196	2	5	3	4
LDL	META	AFR	2	47	7471	5	TRUE	52.6562235355377	0	1	1	6
LDL	META	AFR	2	48	4608	5	TRUE	8.86410403251648	0	1	0	0
LDL	META	AFR	2	49	7290	5	TRUE	21.9264485836029	0	1	0	0
LDL	META	AFR	2	50	4163	5	TRUE	6.69814777374268	0	0	0	0
LDL	META	AFR	2	51	4755	5	TRUE	6.36247062683105	0	0	0	0
LDL	META	AFR	2	53	3091	5	TRUE	3.63077521324158	0	0	0	0
LDL	META	AFR	2	69	5620	5	TRUE	5.32499647140503	0	0	0	0
LDL	META	AFR	2	71	4440	5	TRUE	57.2521936893463	2	2	2	2
LDL	META	AFR	2	72	7365	5	TRUE	62.8052060604095	1	1	1	1
LDL	META	AFR	2	74	2491	5	TRUE	1.20507025718689	0	0	0	0
LDL	META	AFR	2	75	2977	5	TRUE	1.43020963668823	0	0	0	0
LDL	META	AFR	2	77	2882	5	TRUE	1.55518078804016	0	0	0	0
LDL	META	AFR	2	84	14498	5	TRUE	22.8529996871948	0	0	0	0
LDL	META	AFR	2	86	5708	5	TRUE	7.97740745544434	0	0	0	0
LDL	META	AFR	2	87	2015	5	TRUE	1.42570114135742	0	0	0	0
